name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.01,0.11,17298
Lamar Jackson,2,QB,BAL,QB2,1,2,8,2.87,1.32,17233
Drake Maye,3,QB,NE,QB3,1,2,7,3.17,1.10,23046
Joe Burrow,4,QB,CIN,QB4,1,2,19,4.67,2.24,19196
Jayden Daniels,5,QB,WAS,QB5,2,3,18,6.95,4.08,22902
Jalen Hurts,6,QB,PHI,QB6,2,2,28,7.50,4.27,19275
Ja'Marr Chase,7,WR,CIN,WR1,2,6,12,7.63,2.41,19788
Puka Nacua,8,WR,LAR,WR2,2,6,20,10.68,2.73,23180
Caleb Williams,9,QB,CHI,QB7,2,3,26,11.04,4.91,23084
Bijan Robinson,10,RB,ATL,RB1,2,4,25,11.33,2.62,23133
Justin Herbert,11,QB,LAC,QB8,2,4,41,11.62,6.70,18635
Jahmyr Gibbs,12,RB,DET,RB2,2,5,22,11.79,2.46,22968
Jaxon Smith-Njigba,13,WR,SEA,WR3,2,6,20,12.13,1.86,23070
Dak Prescott,14,QB,DAL,QB9,3,7,30,14.82,5.50,15600
Amon-Ra St. Brown,15,WR,DET,WR4,3,11,23,14.96,2.99,19799
Trevor Lawrence,16,QB,JAC,QB10,3,7,31,15.17,5.83,19780
Christian McCaffrey,17,RB,SF,RB3,3,10,45,19.37,7.50,16393
Jaxson Dart,18,QB,NYG,QB11,3,5,39,20.30,7.39,23160
CeeDee Lamb,19,WR,DAL,WR5,3,14,44,20.79,3.82,19202
Brock Purdy,20,QB,SF,QB12,3,9,38,20.83,5.27,19797
Justin Jefferson,21,WR,MIN,WR6,3,12,47,21.14,4.83,19236
Jonathan Taylor,22,RB,IND,RB4,4,13,48,23.86,8.03,19217
Drake London,23,WR,ATL,WR7,4,20,36,25.01,4.31,23163
Bo Nix,24,QB,DEN,QB13,4,16,56,26.17,6.29,22910
Patrick Mahomes II,25,QB,KC,QB14,4,8,55,27.03,7.38,16413
A.J. Brown,26,WR,NE,WR8,4,20,51,28.09,6.59,18218
Nico Collins,27,WR,HOU,WR9,4,21,51,29.01,5.68,20130
Matthew Stafford,28,QB,LAR,QB15,4,5,55,29.49,8.96,9451
Ashton Jeanty,29,RB,LV,RB5,4,15,51,30.76,8.36,25989
George Pickens,30,WR,DAL,WR10,4,21,57,33.14,6.23,22963
Trey McBride,31,TE,ARI,TE1,4,30,54,33.25,5.18,22936
Jared Goff,32,QB,DET,QB16,5,8,55,33.71,9.28,15501
De'Von Achane,33,RB,MIA,RB6,5,13,66,33.97,9.26,23136
James Cook III,34,RB,BUF,RB7,5,15,59,34.14,9.90,22958
Chris Olave,35,WR,NO,WR11,5,23,69,35.54,8.84,20111
Chase Brown,36,RB,CIN,RB8,5,22,55,36.20,7.23,25324
Rashee Rice,37,WR,KC,WR12,5,23,63,37.49,10.31,23113
Brock Bowers,38,TE,LV,TE2,5,26,60,38.14,4.12,22955
Kyler Murray,39,QB,MIN,QB17,5,14,66,38.51,11.44,18600
Omarion Hampton,40,RB,LAC,RB9,5,22,74,41.55,8.79,25395
DeVonta Smith,41,WR,PHI,WR13,5,23,73,41.63,9.18,19222
Saquon Barkley,42,RB,PHI,RB10,5,22,67,42.78,7.76,17240
Jordan Love,43,QB,GB,QB18,5,20,60,45.37,8.67,19246
Tetairoa McMillan,44,WR,CAR,WR14,5,28,76,46.21,9.36,25417
Baker Mayfield,45,QB,TB,QB19,5,18,60,46.26,10.10,17237
Garrett Wilson,46,WR,NYJ,WR15,5,28,69,46.38,7.45,23072
Kenneth Walker III,47,RB,KC,RB11,6,28,85,48.17,9.51,23021
Zay Flowers,48,WR,BAL,WR16,6,23,63,48.43,9.58,22916
Tyler Shough,49,QB,NO,QB20,6,29,66,49.64,9.73,23096
Tee Higgins,50,WR,CIN,WR17,6,35,72,49.68,8.36,19211
Ladd McConkey,51,WR,LAC,WR18,6,30,79,52.11,8.54,26122
Jeremiyah Love,52,RB,ARI,RB12,6,38,92,52.79,9.05,25403
Colston Loveland,53,TE,CHI,TE3,6,39,106,55.59,15.71,26006
Malik Willis,54,QB,MIA,QB21,6,21,94,55.62,13.86,23499
Malik Nabers,55,WR,NYG,WR19,6,23,101,55.72,15.38,25409
Derrick Henry,56,RB,BAL,RB13,6,25,77,56.12,9.95,15514
Jaylen Waddle,57,WR,DEN,WR20,6,34,76,56.32,8.27,19790
Emeka Egbuka,58,WR,TB,WR21,6,27,91,57.12,11.51,23062
Breece Hall,59,RB,NYJ,RB14,6,47,95,59.17,8.63,22982
C.J. Stroud,60,QB,HOU,QB22,6,30,83,61.34,8.49,23071
Kyren Williams,61,RB,LAR,RB15,6,40,77,61.36,8.64,23059
Terry McLaurin,62,WR,WAS,WR22,6,44,89,61.58,9.39,18466
Josh Jacobs,63,RB,GB,RB16,6,42,84,62.74,8.75,18269
Sam Darnold,64,QB,SEA,QB23,6,38,94,63.17,6.66,17236
Luther Burden III,65,WR,CHI,WR23,6,45,84,63.21,8.06,27016
Javonte Williams,66,RB,DAL,RB17,7,48,81,67.20,7.92,22739
Travis Etienne Jr.,67,RB,NO,RB18,7,42,95,67.93,10.32,19231
Cam Ward,68,QB,TEN,QB24,7,54,94,67.95,7.88,24755
Davante Adams,69,WR,LAR,WR24,7,52,90,68.57,7.44,12123
Bryce Young,70,QB,CAR,QB25,7,50,94,72.28,7.80,22900
DJ Moore,71,WR,BUF,WR25,7,35,100,72.45,12.09,17265
Tyler Warren,72,TE,IND,TE4,7,47,93,73.24,11.93,26434
Mike Evans,73,WR,SF,WR26,7,53,123,73.28,13.42,12119
Jameson Williams,74,WR,DET,WR27,7,57,110,73.96,7.87,23677
Cam Skattebo,75,RB,NYG,RB19,7,54,99,75.18,8.66,27166
Daniel Jones,76,QB,IND,QB26,7,38,127,72.12,13.84,18232
Christian Watson,77,WR,GB,WR28,7,59,123,78.89,11.37,23886
Bucky Irving,78,RB,TB,RB20,7,53,99,79.59,8.82,25981
Rome Odunze,79,WR,CHI,WR29,7,55,112,80.71,9.33,25411
TreVeyon Henderson,80,RB,NE,RB21,7,54,105,81.24,10.86,23065
Quinshon Judkins,81,RB,CLE,RB22,7,52,99,81.30,9.47,25391
D'Andre Swift,82,RB,CHI,RB23,7,67,98,82.83,7.75,19210
Carnell Tate,83,WR,TEN,WR30,7,52,191,83.62,23.62,26009
David Montgomery,84,RB,HOU,RB24,7,63,134,85.58,11.80,18239
Marvin Harrison Jr.,85,WR,ARI,WR31,7,65,133,88.21,13.22,23064
Jacoby Brissett,86,QB,ARI,QB27,8,41,127,86.13,18.89,15642
Tucker Kraft,87,TE,GB,TE5,8,47,121,92.95,11.01,25298
Jaylen Warren,88,RB,PIT,RB25,8,81,108,93.47,5.19,24209
Bhayshul Tuten,89,RB,JAC,RB26,8,74,138,94.03,11.95,27297
Harold Fannin Jr.,90,TE,CLE,TE6,8,78,126,94.57,10.52,27050
DK Metcalf,91,WR,PIT,WR32,8,68,123,94.63,12.25,18219
Alec Pierce,92,WR,IND,WR33,8,53,128,94.79,13.80,23791
Courtland Sutton,93,WR,DEN,WR34,8,69,122,96.04,12.65,17253
Jadarian Price,94,RB,SEA,RB27,8,66,119,96.97,9.76,27329
Kyle Pitts Sr.,95,TE,ATL,TE7,8,86,122,99.70,8.93,20164
Brian Thomas Jr.,96,WR,JAC,WR35,8,73,128,99.80,14.11,23000
Chris Godwin Jr.,97,WR,TB,WR36,8,80,140,100.72,11.93,16406
Tony Pollard,98,RB,TEN,RB28,8,79,130,102.14,8.22,18705
Rhamondre Stevenson,99,RB,NE,RB29,8,88,130,102.32,7.69,22726
Michael Pittman Jr.,100,WR,PIT,WR37,8,59,125,102.34,12.50,19278
Chuba Hubbard,101,RB,CAR,RB30,8,74,134,102.76,11.71,19792
Jordyn Tyson,102,WR,NO,WR38,8,80,195,104.42,21.63,26035
Wan'Dale Robinson,103,WR,TEN,WR39,8,68,146,105.79,14.48,22985
RJ Harvey,104,RB,DEN,RB31,8,65,141,105.97,14.89,27142
Rico Dowdle,105,RB,PIT,RB32,8,82,130,106.47,8.67,19647
Sam LaPorta,106,TE,DET,TE8,8,86,127,106.50,8.86,22978
Michael Wilson,107,WR,ARI,WR40,8,80,137,106.63,12.10,25333
Parker Washington,108,WR,JAC,WR41,8,73,146,107.95,14.91,23106
Jakobi Meyers,109,WR,JAC,WR42,8,84,139,112.32,10.91,18598
Josh Downs,110,WR,IND,WR43,8,72,158,113.12,15.30,24706
Makai Lemon,111,WR,PHI,WR44,8,84,188,113.95,18.88,25420
Geno Smith,112,QB,NYJ,QB28,8,70,184,102.61,23.96,11687
Travis Kelce,113,TE,KC,TE9,8,95,147,116.14,10.01,11594
Ricky Pearsall,114,WR,SF,WR45,9,91,180,117.04,15.77,26214
Kenny Gainwell,115,RB,TB,RB33,9,97,143,117.26,12.11,23310
Kyle Monangai,116,RB,CHI,RB34,9,99,138,117.64,9.45,27131
Quentin Johnston,117,WR,LAC,WR46,9,82,138,119.41,12.30,23123
Jake Ferguson,118,TE,DAL,TE10,9,93,148,120.34,10.39,22718
J.K. Dobbins,119,RB,DEN,RB35,9,95,152,120.62,12.01,19245
Aaron Rodgers,120,QB,PIT,QB29,9,41,177,98.39,24.04,9001
Jordan Addison,121,WR,MIN,WR47,9,100,147,122.12,9.28,23107
George Kittle,122,TE,SF,TE11,9,86,163,122.68,15.51,16499
Rachaad White,123,RB,WAS,RB36,9,88,150,123.17,13.34,23891
Aaron Jones Sr.,124,RB,MIN,RB37,9,97,152,123.78,12.61,16673
Blake Corum,125,RB,LAR,RB38,9,98,155,124.17,11.06,23013
Jayden Reed,126,WR,GB,WR48,9,100,157,125.45,10.81,23020
Dalton Kincaid,127,TE,BUF,TE12,9,104,215,128.89,15.86,25247
Khalil Shakir,128,WR,BUF,WR49,9,107,157,130.39,10.23,23748
Isaiah Likely,129,TE,NYG,TE13,9,106,225,131.78,21.45,23781
Jayden Higgins,130,WR,HOU,WR50,9,110,157,133.86,9.06,27077
Xavier Worthy,131,WR,KC,WR51,9,112,158,134.80,9.58,23019
Dallas Goedert,132,TE,PHI,TE14,9,106,206,135.16,16.91,17270
Jacory Croskey-Merritt,133,RB,WAS,RB39,9,103,176,136.97,10.54,27316
Jordan Mason,134,RB,MIN,RB40,9,118,163,138.01,9.53,22969
Jonathon Brooks,135,RB,CAR,RB41,9,97,317,138.63,31.02,26148
KC Concepcion,136,WR,CLE,WR52,9,101,269,140.14,29.85,27331
Romeo Doubs,137,WR,NE,WR53,9,113,173,141.21,11.71,23794
Mark Andrews,138,TE,BAL,TE15,9,115,179,142.17,15.52,17269
Tyrone Tracy Jr.,139,RB,NYG,RB42,9,128,168,142.39,8.72,22980
Fernando Mendoza,140,QB,LV,QB30,9,76,192,114.39,30.53,28013
Jalen Coker,141,WR,CAR,WR54,9,123,195,144.05,14.49,26403
Matthew Golden,142,WR,GB,WR55,9,111,190,147.38,15.48,26024
Woody Marks,143,RB,HOU,RB43,9,105,188,148.25,13.75,27520
Tyler Allgeier,144,RB,ARI,RB44,10,130,229,150.47,15.36,24172
Zach Charbonnet,145,RB,SEA,RB45,10,105,214,150.74,15.26,23152
Chris Rodriguez Jr.,146,RB,JAC,RB46,10,119,201,151.20,14.23,22986
Tyjae Spears,147,RB,TEN,RB47,10,130,188,151.58,10.36,25323
Juwan Johnson,148,TE,NO,TE16,10,106,189,153.99,17.69,19562
Dylan Sampson,149,RB,CLE,RB48,10,132,184,154.38,9.70,27102
Isiah Pacheco,150,RB,DET,RB49,10,131,168,155.18,8.39,24333
Rashid Shaheed,151,WR,SEA,WR56,10,135,254,157.89,15.68,24687
Alvin Kamara,152,RB,NO,RB50,10,120,214,158.01,16.96,16421
Brenton Strange,153,TE,JAC,TE17,10,121,209,158.34,17.19,25345
Omar Cooper Jr.,154,WR,NYJ,WR57,10,134,266,161.22,19.51,28127
Jerry Jeudy,155,WR,CLE,WR58,10,124,218,162.00,15.05,19201
Chig Okonkwo,156,TE,WAS,TE18,10,114,230,162.89,25.14,23982
Jauan Jennings,157,WR,MIN,WR59,10,110,243,158.16,20.35,19590
Denzel Boston,158,WR,CLE,WR60,10,128,272,160.87,24.40,27339
Tua Tagovailoa,159,QB,ATL,QB31,10,60,184,132.71,30.90,19198
Hunter Henry,160,TE,NE,TE19,10,115,206,165.13,17.88,15561
Oronde Gadsden II,161,TE,LAC,TE20,10,113,227,166.01,26.72,25997
Keaton Mitchell,162,RB,LAC,RB51,10,141,254,168.12,22.47,25360
Jonah Coleman,163,RB,DEN,RB52,10,138,331,167.92,29.34,27320
Tre Tucker,164,WR,LV,WR61,10,123,233,173.72,19.76,25337
Adonai Mitchell,165,WR,NYJ,WR62,10,143,278,173.95,22.66,24357
Jalen McMillan,166,WR,TB,WR63,10,144,269,170.54,21.00,23179
Tank Bigsby,167,RB,PHI,RB53,10,145,225,175.64,17.10,22908
Brian Robinson Jr.,168,RB,ATL,RB54,10,151,295,174.85,20.32,20094
Dalton Schultz,169,TE,HOU,TE21,10,126,205,177.36,15.41,17349
Travis Hunter,170,WR,JAC,WR64,10,112,255,172.92,26.88,26034
Michael Penix Jr.,171,QB,ATL,QB32,10,83,278,139.74,34.57,22973
Tre' Harris,172,WR,LAC,WR65,10,147,260,180.72,20.77,26215
Braelon Allen,173,RB,NYJ,RB55,10,143,290,174.30,23.80,24346
T.J. Hockenson,174,TE,MIN,TE22,10,138,223,182.64,13.38,18290
Troy Franklin,175,WR,DEN,WR66,10,117,269,184.09,25.60,23092
Ryan Flournoy,176,WR,DAL,WR67,10,157,297,184.87,21.82,26398
Kayshon Boutte,177,WR,NE,WR68,10,154,242,186.71,17.53,22989
James Conner,178,RB,ARI,RB56,11,95,319,184.97,35.90,16447
Stefon Diggs,179,WR,FA,WR69,11,91,278,165.14,35.41,13981
Calvin Ridley,180,WR,TEN,WR70,11,147,281,191.69,23.05,17258
Jaylin Noel,181,WR,HOU,WR71,11,145,270,189.55,24.52,27122
Emanuel Wilson,182,RB,SEA,RB57,11,154,321,191.34,29.17,25885
Isaac TeSlaa,183,WR,DET,WR72,11,169,256,193.61,17.71,27446
Kenyon Sadiq,184,TE,NYJ,TE23,11,148,300,197.39,22.76,26055
AJ Barner,185,TE,SEA,TE24,11,153,228,197.41,14.82,26335
Ray Davis,186,RB,BUF,RB58,11,153,288,195.92,25.25,26191
Darnell Mooney,187,WR,NYG,WR73,11,158,260,196.34,18.18,19810
Malik Washington,188,WR,MIA,WR74,11,124,265,201.28,26.60,26314
Jalen Nailor,189,WR,LV,WR75,11,133,268,195.22,32.16,24177
Gunnar Helm,190,TE,TEN,TE25,11,166,253,201.83,19.01,27109
Shedeur Sanders,191,QB,CLE,QB33,11,83,268,163.58,33.43,25968
Antonio Williams,192,WR,WAS,WR76,11,133,285,188.35,32.11,25418
Kimani Vidal,193,RB,LAC,RB59,11,159,291,193.03,23.47,26355
Pat Bryant,194,WR,DEN,WR77,11,174,281,199.95,19.58,27211
Emmett Johnson,195,RB,KC,RB60,11,155,280,189.04,26.72,28107
Dontayvion Wicks,196,WR,PHI,WR78,11,160,259,201.42,16.05,24354
Deebo Samuel Sr.,197,WR,FA,WR79,11,128,269,181.32,29.42,18244
Mike Washington Jr.,198,RB,LV,RB61,11,152,289,193.91,26.31,28108
Sean Tucker,199,RB,TB,RB62,11,152,324,199.78,28.54,23679
Cooper Kupp,200,WR,SEA,WR80,11,169,265,210.29,22.94,16433
