name,Rank,source_rank,position,team,source_player_id,bye,rush_attempts,rush_yards,rush_touchdowns,receptions,receiving_yards,receiving_touchdowns,projected_fantasy_points,source_updated_date,season
Jahmyr Gibbs,1,1,RB,DET,18522,6,279,1422,12,72,572,4,331.4,2026-08-20,2026
Bijan Robinson,2,2,RB,ATL,18630,11,280,1402,9,84,707,3,324.9,2026-08-20,2026
Christian McCaffrey,3,3,RB,SF,15950,8,279,1144,9,82,715,4,304.9,2026-08-20,2026
Jonathan Taylor,4,4,RB,IND,17224,13,299,1436,12,36,289,1,268.5,2026-08-20,2026
James Cook,5,5,RB,BUF,18046,7,275,1377,11,32,275,2,259.2,2026-08-20,2026
Derrick Henry,6,6,RB,BAL,15602,13,321,1572,12,16,144,0,251.6,2026-08-20,2026
Omarion Hampton,7,7,RB,LAC,19379,7,257,1129,9,52,366,2,241.5,2026-08-20,2026
Saquon Barkley,8,8,RB,PHI,16319,10,281,1236,9,42,307,2,241.3,2026-08-20,2026
De'Von Achane,9,9,RB,MIA,18452,6,228,1161,6,56,411,3,239.2,2026-08-20,2026
Chase Brown,10,10,RB,CIN,18488,6,242,1066,7,55,377,4,237.8,2026-08-20,2026
Kenneth Walker,11,11,RB,KC,18234,5,262,1177,9,42,322,2,236.9,2026-08-20,2026
Ashton Jeanty,12,12,RB,LV,19405,13,271,1137,7,56,406,2,236.3,2026-08-20,2026
Jeremiyah Love,13,13,RB,ARI,19832,14,246,1082,7,56,417,2,231.9,2026-08-20,2026
Kyren Williams,14,14,RB,LAR,18245,11,249,1171,10,34,245,2,230.6,2026-08-20,2026
Josh Jacobs,15,15,RB,GB,16611,11,282,1155,10,35,277,1,226.7,2026-08-20,2026
Breece Hall,16,16,RB,NYJ,18087,13,258,1162,5,47,403,2,222,2026-08-20,2026
Javonte Williams,17,17,RB,DAL,17753,14,245,1126,10,33,217,1,216.8,2026-08-20,2026
Cam Skattebo,18,18,RB,NYG,19506,8,262,1048,8,44,346,1,215.4,2026-08-20,2026
Bucky Irving,19,19,RB,TB,18997,10,261,1045,7,39,315,2,209.5,2026-08-20,2026
Bhayshul Tuten,20,20,RB,JAC,19531,7,257,1055,7,38,288,2,207.3,2026-08-20,2026
Travis Etienne,21,21,RB,NO,17561,8,246,1082,5,44,327,2,204.9,2026-08-20,2026
D'Andre Swift,22,22,RB,CHI,17220,10,233,1049,7,39,316,1,204,2026-08-20,2026
Quinshon Judkins,23,23,RB,CLE,19411,11,275,1098,7,30,205,1,193.3,2026-08-20,2026
David Montgomery,24,24,RB,HOU,16658,8,217,935,7,34,244,1,182.9,2026-08-20,2026
Tony Pollard,25,25,RB,TEN,16676,9,242,1065,5,32,227,1,181.2,2026-08-20,2026
Jaylen Warren,26,26,RB,PIT,18267,9,190,854,5,41,329,2,180.8,2026-08-20,2026
TreVeyon Henderson,27,27,RB,NE,19389,11,182,856,7,34,257,1,176.3,2026-08-20,2026
Rhamondre Stevenson,28,28,RB,NE,17716,11,163,735,7,40,302,1,171.7,2026-08-20,2026
Jadarian Price,29,29,RB,SEA,19817,11,195,837,7,31,226,1,169.8,2026-08-20,2026
J.K. Dobbins,30,30,RB,DEN,17062,10,206,988,7,16,104,1,165.2,2026-08-20,2026
Chuba Hubbard,31,31,RB,CAR,17603,5,192,767,6,34,258,1,161.5,2026-08-20,2026
Rico Dowdle,32,32,RB,PIT,17262,9,186,801,5,30,203,1,151.4,2026-08-20,2026
Rachaad White,33,33,RB,WAS,18240,7,131,539,5,42,310,2,147.9,2026-08-20,2026
Jacory Croskey-Merritt,34,34,RB,WAS,19346,7,179,788,7,12,84,0,135.2,2026-08-20,2026
Jonathon Brooks,35,35,RB,CAR,18926,5,158,646,4,32,229,1,133.5,2026-08-20,2026
Aaron Jones,36,36,RB,MIN,15916,6,143,602,3,37,268,1,129.5,2026-08-20,2026
RJ Harvey,37,37,RB,DEN,19384,10,96,373,3,44,326,3,127.9,2026-08-20,2026
Kyle Monangai,38,38,RB,CHI,19453,10,176,775,4,20,162,0,127.7,2026-08-20,2026
Blake Corum,39,39,RB,LAR,18942,11,159,745,6,13,89,0,125.9,2026-08-20,2026
Jordan Mason,40,40,RB,MIN,18282,6,189,831,5,12,62,0,125.3,2026-08-20,2026
Kenneth Gainwell,41,41,RB,TB,17578,10,100,439,3,37,275,2,119.9,2026-08-20,2026
Alvin Kamara,42,42,RB,NO,15924,8,113,428,2,34,235,2,107.3,2026-08-20,2026
Woody Marks,43,43,RB,HOU,19432,8,135,527,2,27,214,1,105.6,2026-08-20,2026
Zach Charbonnet,44,44,RB,SEA,18495,11,128,537,3,19,135,1,100.7,2026-08-20,2026
Tyjae Spears,45,45,RB,TEN,18659,9,86,344,2,38,255,1,96.9,2026-08-20,2026
Dylan Sampson,46,46,RB,CLE,19494,11,61,245,1,40,316,2,94.1,2026-08-20,2026
Chris Rodriguez Jr.,47,47,RB,JAC,18633,7,129,556,4,10,76,0,92.2,2026-08-20,2026
Tyrone Tracy Jr.,48,48,RB,NYG,19125,8,90,380,2,28,215,1,91.5,2026-08-20,2026
Isiah Pacheco,49,49,RB,DET,18172,6,122,489,3,20,139,0,90.8,2026-08-20,2026
Ty Johnson,50,50,RB,BUF,16623,7,52,212,1,29,270,2,80.7,2026-08-20,2026
Brian Robinson Jr.,51,51,RB,ATL,18194,11,107,462,4,9,58,0,80.5,2026-08-20,2026
Tyler Allgeier,52,52,RB,ARI,18000,14,98,391,3,18,124,0,78.5,2026-08-20,2026
Justice Hill,53,53,RB,BAL,16598,13,51,241,2,28,221,1,78.2,2026-08-20,2026
MarShawn Lloyd,54,54,RB,GB,19041,11,89,383,3,10,72,0,68.5,2026-08-20,2026
Braelon Allen,55,55,RB,NYJ,18905,13,91,372,3,10,80,0,68.2,2026-08-20,2026
Samaje Perine,56,56,RB,CIN,15976,6,72,304,2,16,98,1,66.2,2026-08-20,2026
Keaton Mitchell,57,57,RB,LAC,18710,7,39,194,2,19,147,1,61.6,2026-08-20,2026
Ray Davis,58,58,RB,BUF,18949,7,62,281,2,12,94,1,61.5,2026-08-20,2026
