name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.04,0.20,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,7,2.63,1.03,17233
Drake Maye,3,QB,NE,QB3,1,2,7,3.43,1.15,23046
Joe Burrow,4,QB,CIN,QB4,1,2,19,4.79,2.94,19196
Jayden Daniels,5,QB,WAS,QB5,2,3,18,6.23,3.16,22902
Jalen Hurts,6,QB,PHI,QB6,2,2,16,6.86,2.66,19275
Ja'Marr Chase,7,WR,CIN,WR1,2,6,12,7.51,2.36,19788
Puka Nacua,8,WR,LAR,WR2,2,6,21,10.91,2.61,23180
Jahmyr Gibbs,9,RB,DET,RB1,2,2,15,11.29,2.55,22968
Caleb Williams,10,QB,CHI,QB7,2,2,26,11.33,5.53,23084
Justin Herbert,11,QB,LAC,QB8,2,5,30,11.36,5.14,18635
Bijan Robinson,12,RB,ATL,RB2,2,3,37,11.44,3.85,23133
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,23,12.67,2.61,23070
Dak Prescott,14,QB,DAL,QB9,3,7,30,14.70,5.42,15600
Trevor Lawrence,15,QB,JAC,QB10,3,7,30,14.81,4.98,19780
Amon-Ra St. Brown,16,WR,DET,WR4,3,11,41,15.27,4.37,19799
Christian McCaffrey,17,RB,SF,RB3,3,10,45,18.83,8.01,16393
CeeDee Lamb,18,WR,DAL,WR5,3,14,44,20.19,3.99,19202
Brock Purdy,19,QB,SF,QB11,3,11,32,20.66,4.66,19797
Justin Jefferson,20,WR,MIN,WR6,3,12,46,21.03,4.68,19236
Jaxson Dart,21,QB,NYG,QB12,3,8,39,21.13,7.45,23160
Drake London,22,WR,ATL,WR7,4,20,49,25.06,4.98,23163
Jonathan Taylor,23,RB,IND,RB4,4,14,48,25.64,8.47,19217
Bo Nix,24,QB,DEN,QB13,4,14,41,26.01,6.11,22910
Patrick Mahomes II,25,QB,KC,QB14,4,15,41,26.76,6.01,16413
A.J. Brown,26,WR,NE,WR8,4,20,52,28.60,7.35,18218
Nico Collins,27,WR,HOU,WR9,4,24,56,30.34,6.06,20130
Matthew Stafford,28,QB,LAR,QB15,4,16,55,30.74,9.11,9451
Ashton Jeanty,29,RB,LV,RB5,4,15,61,30.94,8.74,25989
Trey McBride,30,TE,ARI,TE1,5,27,54,33.93,5.87,22936
George Pickens,31,WR,DAL,WR10,5,24,57,34.50,6.32,22963
James Cook III,32,RB,BUF,RB6,5,15,61,34.81,10.18,22958
Jared Goff,33,QB,DET,QB16,5,8,55,34.87,9.83,15501
Chase Brown,34,RB,CIN,RB7,5,22,55,35.11,7.88,25324
Rashee Rice,35,WR,KC,WR11,5,23,63,35.60,10.28,23113
De'Von Achane,36,RB,MIA,RB8,5,20,68,35.84,9.14,23136
Brock Bowers,37,TE,LV,TE2,5,22,60,37.54,5.19,22955
Kyler Murray,38,QB,MIN,QB17,5,13,64,37.59,12.15,18600
Chris Olave,39,WR,NO,WR12,5,23,69,37.90,9.52,20111
Omarion Hampton,40,RB,LAC,RB9,5,22,62,39.84,8.45,25395
DeVonta Smith,41,WR,PHI,WR13,5,24,63,41.81,8.57,19222
Saquon Barkley,42,RB,PHI,RB10,5,22,65,42.06,8.04,17240
Jordan Love,43,QB,GB,QB18,5,20,60,45.73,9.29,19246
Baker Mayfield,44,QB,TB,QB19,5,19,64,46.00,10.06,17237
Zay Flowers,45,WR,BAL,WR14,5,24,69,46.50,10.58,22916
Garrett Wilson,46,WR,NYJ,WR15,6,36,68,47.01,7.15,23072
Tyler Shough,47,QB,NO,QB20,6,29,64,47.46,9.88,23096
Kenneth Walker III,48,RB,KC,RB11,6,25,77,47.96,9.36,23021
Tetairoa McMillan,49,WR,CAR,WR16,6,28,72,49.19,9.20,25417
Tee Higgins,50,WR,CIN,WR17,6,35,69,49.76,7.98,19211
Ladd McConkey,51,WR,LAC,WR18,6,30,76,52.70,8.80,26122
Jeremiyah Love,52,RB,ARI,RB12,6,42,90,54.46,9.84,25403
Malik Willis,53,QB,MIA,QB21,6,21,94,55.03,13.21,23499
Jaylen Waddle,54,WR,DEN,WR19,6,34,76,55.27,9.16,19790
Colston Loveland,55,TE,CHI,TE3,6,39,106,55.31,16.02,26006
Emeka Egbuka,56,WR,TB,WR20,6,28,82,55.56,10.63,23062
Malik Nabers,57,WR,NYG,WR21,6,21,91,56.41,16.77,25409
Derrick Henry,58,RB,BAL,RB13,6,31,74,56.54,9.15,15514
Breece Hall,59,RB,NYJ,RB14,6,47,80,57.84,6.91,22982
C.J. Stroud,60,QB,HOU,QB22,6,23,76,60.81,9.72,23071
Kyren Williams,61,RB,LAR,RB15,6,42,77,60.87,7.99,23059
Terry McLaurin,62,WR,WAS,WR22,6,44,80,61.47,7.82,18466
Josh Jacobs,63,RB,GB,RB16,6,37,85,62.14,9.90,18269
Sam Darnold,64,QB,SEA,QB23,6,24,83,62.81,7.11,17236
Luther Burden III,65,WR,CHI,WR23,6,51,84,65.13,7.86,27016
Javonte Williams,66,RB,DAL,RB17,7,48,81,66.73,7.97,22739
Cam Ward,67,QB,TEN,QB24,7,33,91,66.87,7.68,24755
Davante Adams,68,WR,LAR,WR24,7,53,84,67.89,7.05,12123
Mike Evans,69,WR,SF,WR25,7,52,100,70.67,9.57,12119
Travis Etienne Jr.,70,RB,NO,RB18,7,46,95,71.23,9.30,19231
Cam Skattebo,71,RB,NYG,RB19,7,54,99,74.59,9.08,27166
Jameson Williams,72,WR,DET,WR26,7,57,110,74.91,8.48,23677
Daniel Jones,73,QB,IND,QB25,7,26,127,71.26,15.11,18232
DJ Moore,74,WR,BUF,WR27,7,36,117,75.37,13.14,17265
Tyler Warren,75,TE,IND,TE4,7,47,104,76.27,9.97,26434
Bryce Young,76,QB,CAR,QB26,7,30,94,73.55,9.83,22900
Christian Watson,77,WR,GB,WR28,7,59,123,78.43,11.31,23886
Bucky Irving,78,RB,TB,RB20,7,49,104,79.34,10.63,25981
Rome Odunze,79,WR,CHI,WR29,7,57,117,79.69,10.45,25411
Quinshon Judkins,80,RB,CLE,RB21,7,51,98,81.23,8.99,25391
D'Andre Swift,81,RB,CHI,RB22,7,67,98,82.06,7.51,19210
TreVeyon Henderson,82,RB,NE,RB23,7,54,105,83.00,10.69,23065
David Montgomery,83,RB,HOU,RB24,7,67,120,84.21,11.04,18239
Jacoby Brissett,84,QB,ARI,QB27,7,27,127,85.50,18.82,15642
Carnell Tate,85,WR,TEN,WR30,7,52,195,86.50,27.67,26009
Marvin Harrison Jr.,86,WR,ARI,WR31,7,63,123,88.11,12.28,23064
Bhayshul Tuten,87,RB,JAC,RB25,8,62,132,92.59,12.57,27297
Tucker Kraft,88,TE,GB,TE5,8,76,121,94.23,10.79,25298
Jaylen Warren,89,RB,PIT,RB26,8,79,108,94.40,5.60,24209
