name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,16,151,112,1104,69,9.9,9,0,157,9.8,2026
Dallas Goedert,2,2,TE,TE,PHI,2132551,16,98,72,833,52.1,11.6,12,0,154,9.6,2026
Harold Fannin Jr.,3,3,TE,TE,CLE,28900882,16,118,78,828,51.8,10.6,8,1,127,7.9,2026
Brock Bowers,4,4,TE,TE,LV,26693971,16,110,82,852,53.3,10.4,8,0,126,7.9,2026
Tyler Warren,5,5,TE,TE,IND,3168800,16,101,67,793,49.6,11.8,8,0,125,7.8,2026
Dalton Kincaid,6,6,TE,TE,BUF,2982991,16,82,61,896,56,14.7,6,0,118,7.4,2026
Tucker Kraft,7,7,TE,TE,GB,3133332,16,78,54,766,47.9,14.2,8,0,116,7.3,2026
Isaiah Likely,8,8,TE,TE,NYG,2961906,16,95,76,778,48.6,10.2,8,2,113,7.1,2026
George Kittle,9,9,TE,TE,SF,2818265,16,92,71,825,51.6,11.6,6,0,111,6.9,2026
Kyle Pitts,10,10,TE,TE,ATL,2964514,16,99,70,803,50.2,11.5,6,0,109,6.8,2026
Sam LaPorta,11,11,TE,TE,DET,3124197,16,91,69,840,52.5,12.2,5,0,106,6.6,2026
Travis Kelce,12,12,TE,TE,KC,1725130,17,115,82,839,49.4,10.2,5,0,105,6.2,2026
Colston Loveland,13,13,TE,TE,CHI,28874696,16,98,62,753,47.1,12.2,6,0,104,6.5,2026
Mark Andrews,14,14,TE,TE,BAL,2131121,16,75,53,556,34.8,10.5,8,0,102,6.4,2026
Brenton Strange,15,15,TE,TE,JAC,3121696,16,90,65,734,45.9,11.3,6,0,101,6.3,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,16,85,61,763,47.7,12.5,5,1,96,6,2026
Hunter Henry,17,17,TE,TE,NE,2079848,16,79,55,670,41.9,12.2,5,0,89,5.6,2026
Dalton Schultz,18,18,TE,TE,HOU,2136748,16,93,67,648,40.5,9.7,4,0,81,5.1,2026
Pat Freiermuth,19,19,TE,TE,PIT,2961270,16,59,47,525,32.8,11.2,6,0,80,5,2026
Cade Otton,20,21,TE,TE,TB,2815179,16,86,61,634,39.6,10.4,4,0,79,4.9,2026
Jake Ferguson,21,20,TE,TE,DAL,2867159,16,86,67,550,34.4,8.2,6,2,79,4.9,2026
A. Barner,22,22,TE,TE,SEA,3169283,16,55,44,432,27,9.8,6,0,78,4.9,2026
Mike Gesicki,23,23,TE,TE,CIN,2139298,16,70,51,605,37.8,11.9,4,0,76,4.8,2026
Kenyon Sadiq,24,24,TE,TE,NYJ,29125433,16,65,46,505,31.6,11,5,2,76,4.8,2026
T.J. Hockenson,25,25,TE,TE,MIN,2251097,16,70,53,513,32.1,9.7,5,0,74,4.6,2026
Chigoziem Okonkwo,26,26,TE,TE,WAS,2965208,16,70,50,596,37.3,11.9,3,0,70,4.4,2026
David Njoku,27,27,TE,TE,LAC,2136474,16,61,44,428,26.8,9.7,5,0,64,4,2026
Darren Waller,28,28,TE,TE,CAR,1850793,16,55,40,400,25,10,5,0,63,3.9,2026
Greg Dulcich,29,29,TE,TE,MIA,2964274,16,67,52,564,35.3,10.9,3,2,63,3.9,2026
Colby Parkinson,30,30,TE,TE,LAR,2867522,16,53,37,391,24.4,10.6,5,0,61,3.8,2026
Evan Engram,31,31,TE,TE,DEN,2079887,17,85,56,478,28.1,8.5,3,0,57,3.4,2026
Oronde Gadsden II,32,32,TE,TE,LAC,26727374,16,47,35,487,30.4,13.9,2,1,51,3.2,2026
Tyler Higbee,33,33,TE,TE,LAR,1853103,16,52,38,435,27.2,11.5,3,2,50,3.1,2026
Mason Taylor,34,34,TE,TE,NYJ,28878064,16,75,50,375,23.4,7.5,3,0,48,3,2026
Dawson Knox,35,35,TE,TE,BUF,2186345,16,44,32,359,22.4,11.2,3,0,46,2.9,2026
Eli Raridon,36,37,TE,TE,NE,28924611,16,41,29,304,19,10.5,4,1,45,2.8,2026
Theo Johnson,37,36,TE,TE,NYG,3162129,16,47,30,344,21.5,11.5,3,0,45,2.8,2026
Noah Fant,38,38,TE,TE,NO,2251095,16,55,40,379,23.7,9.5,3,2,44,2.8,2026
Gunnar Helm,39,39,TE,TE,TEN,26696189,16,56,45,372,23.3,8.3,2,0,42,2.6,2026
Jonnu Smith,40,43,TE,TE,GB,2081506,16,40,29,296,18.5,10.2,2,0,41,2.6,2026
Josh Oliver,41,41,TE,TE,MIN,2184618,16,31,22,255,15.9,11.6,4,0,41,2.6,2026
Terrance Ferguson,42,42,TE,TE,LAR,26701481,16,34,17,306,19.1,18,3,0,41,2.6,2026
Charlie Kolar,43,40,TE,TE,LAC,2866273,16,34,24,311,19.4,13,3,0,41,2.6,2026
Michael Mayer,44,44,TE,TE,LV,3171673,16,62,44,356,22.3,8.1,2,0,40,2.5,2026
Darnell Washington,45,45,TE,TE,PIT,3163963,16,44,33,364,22.8,11,2,1,38,2.4,2026
Brock Wright,46,46,TE,TE,DET,2807423,16,40,28,241,15.1,8.6,3,0,35,2.2,2026
Marlin Klein,47,47,TE,TE,HOU,28927889,16,45,32,324,20.3,10.1,2,1,35,2.2,2026
Cole Kmet,48,49,TE,TE,CHI,2868619,16,29,21,227,14.2,10.8,3,0,33,2.1,2026
Daniel Bellinger,49,48,TE,TE,TEN,2963615,16,31,24,293,18.3,12.2,2,0,33,2.1,2026
Erick All,50,50,TE,TE,CIN,3121555,16,41,33,285,17.8,8.6,2,0,32,2,2026
Adam Trautman,51,51,TE,TE,DEN,2182228,17,36,27,281,16.5,10.4,2,0,31,1.8,2026
Austin Hooper,52,53,TE,TE,ATL,2067004,16,32,24,266,16.6,11.1,2,0,30,1.9,2026
Eli Stowers,53,52,TE,TE,PHI,26696120,13,38,26,278,21.4,10.7,2,1,30,2.3,2026
Matthew Hibner,54,54,TE,TE,BAL,3169490,16,33,23,275,17.2,12,2,1,30,1.9,2026
Davis Allen,55,55,TE,TE,LAR,3123267,16,34,25,219,13.7,8.8,2,0,26,1.6,2026
Nate Boerkircher,56,56,TE,TE,JAC,3162867,16,29,20,221,13.8,11.1,2,1,24,1.5,2026
Connor Heyward,57,57,TE,FB,LV,2867599,16,18,13,95,5.9,7.3,2,0,23,1.4,2026
