name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,16,277,1440,5.2,16,85,69,592,37,8.6,4,3,303,18.9,2026
Bijan Robinson,2,2,RB,RB,ATL,3168163,16,292,1431,4.9,10,103,81,816,51,10.1,6,2,302,18.9,2026
Jonathan Taylor,3,3,RB,RB,IND,2866395,16,334,1552,4.7,17,52,41,339,21.2,8.3,2,3,283,17.7,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,16,292,1587,5.4,15,21,16,180,11.3,11.3,1,2,254,15.9,2026
Ashton Jeanty,5,5,RB,RB,LV,28874008,16,268,974,3.6,9,73,57,392,24.5,6.9,7,1,214,13.4,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,16,213,1026,4.8,6,88,72,519,32.4,7.2,5,1,203,12.7,2026
Saquon Barkley,7,7,RB,RB,PHI,2185957,16,288,1364,4.7,7,57,41,296,18.5,7.2,2,1,202,12.6,2026
Kenneth Walker III,8,8,RB,RB,KC,3121372,17,271,1319,4.9,8,56,48,374,22,7.8,0,1,199,11.7,2026
Javonte Williams,9,9,RB,RB,DAL,2961719,16,271,1258,4.6,12,41,29,140,8.8,4.8,1,2,197,12.3,2026
James Cook,10,10,RB,RB,BUF,2975698,16,274,1341,4.9,8,39,32,238,14.9,7.4,2,2,197,12.3,2026
Chase Brown,11,11,RB,RB,CIN,2965160,16,220,926,4.2,9,88,70,442,27.6,6.3,4,1,196,12.3,2026
Christian McCaffrey,12,12,RB,RB,SF,2136743,16,213,858,4,7,86,66,577,36.1,8.7,4,1,192,12,2026
D'Andre Swift,13,13,RB,RB,CHI,2871710,16,234,1080,4.6,10,42,32,299,18.7,9.3,1,1,185,11.6,2026
David Montgomery,14,14,RB,RB,HOU,2261252,16,266,994,3.7,11,31,27,210,13.1,7.8,1,1,176,11,2026
Breece Hall,15,15,RB,RB,NYJ,3123469,16,225,1037,4.6,7,49,38,343,21.4,9,2,2,172,10.8,2026
Omarion Hampton,16,16,RB,RB,LAC,28908905,16,210,901,4.3,11,45,40,245,15.3,6.1,2,3,171,10.7,2026
Kyren Williams,17,17,RB,RB,LAR,3121836,16,201,938,4.7,9,41,33,242,15.1,7.3,3,2,170,10.6,2026
Bucky Irving,18,18,RB,RB,TB,26693770,16,232,922,4,7,52,47,413,25.8,8.8,2,3,165,10.3,2026
Jeremiyah Love,19,19,RB,RB,ARI,29133405,16,205,913,4.5,8,56,41,351,21.9,8.6,2,3,165,10.3,2026
Bhayshul Tuten,20,20,RB,RB,JAC,26732838,16,222,913,4.1,9,23,17,183,11.4,10.8,3,2,163,10.2,2026
Cam Skattebo,21,21,RB,RB,NYG,26697012,16,201,865,4.3,7,53,40,342,21.4,8.6,3,2,162,10.1,2026
Jadarian Price,22,22,RB,RB,SEA,28875230,16,215,943,4.4,7,34,26,262,16.4,10.1,2,3,151,9.4,2026
Quinshon Judkins,23,23,RB,RB,CLE,28878286,16,256,889,3.5,9,48,36,258,16.1,7.2,0,1,151,9.4,2026
Chuba Hubbard,24,24,RB,RB,CAR,2865693,16,192,811,4.2,7,44,35,238,14.9,6.8,4,2,150,9.4,2026
J.K. Dobbins,25,25,RB,RB,DEN,2804420,17,248,1155,4.7,6,26,20,77,4.5,3.9,0,1,143,8.4,2026
Travis Etienne,26,26,RB,RB,NO,2809206,16,202,796,3.9,4,63,46,316,19.8,6.9,4,1,140,8.8,2026
R. Harvey,27,27,RB,RB,DEN,3121207,17,151,512,3.4,6,58,46,340,20,7.4,5,1,135,7.9,2026
TreVeyon Henderson,28,29,RB,RB,NE,26699547,16,178,824,4.6,7,38,31,196,12.3,6.3,1,1,133,8.3,2026
Rhamondre Stevenson,29,28,RB,RB,NE,3125832,16,166,665,4,6,44,37,368,23,10,2,2,133,8.3,2026
Jaylen Warren,30,30,RB,RB,PIT,3126535,16,181,779,4.3,5,48,41,321,20.1,7.8,1,2,126,7.9,2026
Jordan Mason,31,31,RB,RB,MIN,2967536,16,183,891,4.9,7,18,15,69,4.3,4.6,0,1,124,7.8,2026
Kyle Monangai,32,32,RB,RB,CHI,3177368,16,196,886,4.5,5,36,24,222,13.9,9.3,0,1,123,7.7,2026
Tony Pollard,33,34,RB,RB,TEN,2184011,16,200,891,4.5,6,40,30,173,10.8,5.8,0,2,122,7.6,2026
Jacory Croskey-Merritt,34,33,RB,RB,WAS,3126952,16,181,843,4.7,8,13,11,51,3.2,4.6,0,2,122,7.6,2026
MarShawn Lloyd,35,35,RB,RB,GB,3162514,16,207,843,4.1,6,22,11,116,7.3,10.6,1,2,119,7.4,2026
Rico Dowdle,36,36,RB,RB,PIT,2252798,16,149,628,4.2,6,42,31,217,13.6,7,1,1,109,6.8,2026
Blake Corum,37,37,RB,RB,LAR,3169252,16,172,875,5.1,5,7,5,29,1.8,5.8,0,1,108,6.8,2026
Kaelon Black,38,38,RB,RB,SF,3162599,16,186,737,4,5,17,13,124,7.8,9.5,1,2,103,6.4,2026
Aaron Jones,39,39,RB,RB,MIN,2071937,16,144,640,4.4,4,46,32,233,14.6,7.3,1,1,100,6.3,2026
Rachaad White,40,40,RB,RB,WAS,3169147,16,135,646,4.8,5,27,24,160,10,6.7,1,1,100,6.3,2026
Kenneth Gainwell,41,41,RB,RB,TB,2968948,16,111,465,4.2,3,61,51,375,23.4,7.4,2,1,97,6.1,2026
Jonathon Brooks,42,42,RB,RB,CAR,26730706,16,144,564,3.9,4,26,18,229,14.3,12.7,1,1,92,5.8,2026
Chris Rodriguez Jr.,43,43,RB,RB,JAC,2964667,16,148,573,3.9,7,2,2,17,1.1,8.5,0,1,90,5.6,2026
Josh Jacobs,44,44,RB,RB,GB,2257876,14,115,449,3.9,5,31,24,204,14.6,8.5,1,1,82,5.9,2026
Alvin Kamara,45,45,RB,RB,NO,2082721,16,124,467,3.8,3,41,33,239,14.9,7.2,1,1,76,4.8,2026
Zach Charbonnet,46,46,RB,RB,SEA,3123810,13,111,442,4,6,20,17,131,10.1,7.7,0,1,75,5.8,2026
Tyler Allgeier,47,47,RB,RB,ARI,2975590,16,135,472,3.5,5,19,17,99,6.2,5.8,0,1,71,4.4,2026
Brian Robinson Jr.,48,50,RB,RB,ATL,2741207,16,120,532,4.4,4,5,4,23,1.4,5.8,0,1,69,4.3,2026
Dylan Sampson,49,48,RB,RB,CLE,28912068,16,97,268,2.8,2,46,37,320,20,8.7,3,2,69,4.3,2026
Christopher Brooks,50,49,RB,RB,GB,2962350,16,125,568,4.5,3,18,12,81,5.1,6.8,0,1,69,4.3,2026
Justice Hill,51,51,RB,RB,BAL,2250388,16,61,297,4.9,3,28,23,200,12.5,8.7,2,0,63,3.9,2026
T. Johnson,52,54,RB,RB,BUF,2179323,16,49,198,4,2,32,24,286,17.9,11.9,3,0,62,3.9,2026
Mike Washington Jr.,53,53,RB,RB,LV,26693539,16,117,408,3.5,3,28,21,174,10.9,8.3,1,2,62,3.9,2026
Braelon Allen,54,52,RB,RB,NYJ,26726580,16,120,516,4.3,2,19,11,86,5.4,7.8,1,2,62,3.9,2026
Isiah Pacheco,55,56,RB,RB,DET,2966551,13,116,488,4.2,2,27,20,122,9.4,6.1,1,1,60,4.6,2026
Tyjae Spears,56,55,RB,RB,TEN,3122588,16,82,312,3.8,3,54,45,298,18.6,6.6,0,1,60,3.8,2026
Devin Singletary,57,57,RB,RB,NYG,2241251,16,115,427,3.7,4,9,9,68,4.3,7.6,0,1,59,3.7,2026
Woody Marks,58,58,RB,RB,HOU,3171045,16,99,384,3.9,2,25,17,133,8.3,7.8,2,1,59,3.7,2026
Emmett Johnson,59,59,RB,RB,KC,28877097,17,87,383,4.4,3,14,11,102,6,9.3,1,1,56,3.3,2026
Samaje Perine,60,60,RB,RB,CIN,2131148,16,91,407,4.5,3,22,18,151,9.4,8.4,0,2,54,3.4,2026
Adam Randall,61,61,RB,RB,BAL,28878514,13,63,341,5.4,3,17,13,154,11.8,11.9,1,1,54,4.2,2026
Emanuel Wilson,62,62,RB,RB,SEA,29104952,16,99,404,4.1,3,13,11,75,4.7,6.8,0,0,54,3.4,2026
Tank Bigsby,63,63,RB,RB,PHI,3162021,16,70,382,5.5,3,4,3,28,1.8,9.3,0,0,49,3.1,2026
Kimani Vidal,64,64,RB,RB,LAC,3163421,16,80,328,4.1,2,21,15,136,8.5,9.1,1,0,49,3.1,2026
Keaton Mitchell,65,65,RB,RB,LAC,3164710,16,100,444,4.4,2,11,8,56,3.5,7,0,1,48,3,2026
George Holani,66,66,RB,RB,SEA,3131661,16,113,393,3.5,3,13,9,68,4.3,7.6,0,4,44,2.8,2026
Najee Harris,67,67,RB,RB,NYG,2741200,16,79,341,4.3,2,12,9,77,4.8,8.6,0,0,42,2.6,2026
Jaylen Wright,68,68,RB,RB,MIA,26698774,16,96,348,3.6,2,10,5,39,2.4,7.8,0,2,36,2.3,2026
Brashard Smith,69,69,RB,RB,KC,26694196,17,54,201,3.7,1,31,22,146,8.6,6.6,1,0,30,1.8,2026
Kyle Juszczyk,70,70,RB,FB,SF,1683145,16,4,2,0.5,0,31,25,228,14.3,9.1,2,0,27,1.7,2026
LeQuint Allen,71,71,RB,RB,JAC,28877884,16,56,213,3.8,1,9,8,49,3.1,6.1,0,0,22,1.4,2026
Seth McGowan,72,72,RB,RB,IND,3161581,16,29,132,4.6,2,4,3,24,1.5,8,0,0,19,1.2,2026
Sean Tucker,73,73,RB,RB,TB,3168416,16,31,129,4.2,2,1,1,5,0.3,5,0,0,18,1.1,2026
Isaiah Davis,74,74,RB,RB,NYJ,26718641,16,30,162,5.4,1,9,7,59,3.7,8.4,0,0,17,1.1,2026
Emari Demercado,75,75,RB,RB,DAL,2964372,16,39,246,6.3,0,10,7,56,3.5,8,0,1,17,1.1,2026
Kaytron Allen,76,76,RB,RB,WAS,28875485,16,33,160,4.9,1,2,2,19,1.2,9.5,0,0,16,1,2026
Kendre Miller,77,77,RB,RB,NO,3162256,16,29,109,3.8,2,1,1,5,0.3,5,0,0,16,1,2026
Roschon Johnson,78,78,RB,RB,CHI,3121395,16,25,75,3,2,3,2,13,0.8,6.5,0,0,15,0.9,2026
Michael Burton,79,79,RB,FB,CLE,1759407,16,8,9,1.1,1,8,6,39,2.4,6.5,1,0,13,0.8,2026
Andrew Beck,80,80,RB,FB,NYJ,2131774,16,1,7,7,0,7,4,34,2.1,8.5,2,0,13,0.8,2026
Jonah Coleman,81,82,RB,RB,DEN,28877250,17,32,134,4.2,1,3,3,23,1.4,7.7,0,0,12,0.7,2026
Demond Claiborne,82,81,RB,RB,MIN,28883197,16,28,127,4.5,1,3,2,20,1.3,10,0,0,12,0.8,2026
D. Giddens,83,85,RB,RB,IND,26695679,16,29,126,4.3,1,2,1,12,0.8,12,0,0,11,0.7,2026
Raheim Sanders,84,86,RB,RB,CLE,26700087,16,28,99,3.5,1,6,4,36,2.3,9,0,0,11,0.7,2026
Nicholas Singleton,85,87,RB,RB,TEN,28876754,16,23,95,4.1,1,3,2,20,1.3,10,0,0,11,0.7,2026
Eli Heidenreich,86,83,RB,RB,PIT,28901170,16,27,106,3.9,1,3,2,20,1.3,10,0,0,11,0.7,2026
Jacob Saylors,87,84,RB,RB,DET,2976071,16,23,108,4.7,1,3,3,28,1.8,9.3,0,0,11,0.7,2026
Zonovan Knight,88,88,RB,RB,ARI,3121860,16,26,83,3.2,1,3,3,20,1.3,6.7,0,0,11,0.7,2026
Jordan James,89,89,RB,RB,SF,28916212,16,19,77,4.1,1,3,2,20,1.3,10,0,0,10,0.6,2026
Isaac Guerendo,90,90,RB,RB,SF,2964154,13,25,126,5,1,3,3,28,2.2,9.3,0,0,10,0.8,2026
Ollie Gordon II,91,91,RB,RB,MIA,28873887,16,28,75,2.7,1,1,1,4,0.3,4,0,0,9,0.6,2026
Ray Davis,92,92,RB,RB,BUF,3123108,16,34,150,4.4,0,2,2,16,1,8,0,0,8,0.5,2026
Rasheen Ali,93,93,RB,RB,BAL,3168797,16,10,35,3.5,0,7,5,41,2.6,8.2,1,0,8,0.5,2026
James Conner,94,94,RB,RB,ARI,2071585,13,21,70,3.3,1,3,3,23,1.8,7.7,0,0,7,0.5,2026
Jeremy McNichols,95,95,RB,RB,WAS,2139987,13,13,69,5.3,1,7,6,43,3.3,7.2,0,0,7,0.5,2026
A. Dillon,96,97,RB,RB,CAR,2867083,16,27,132,4.9,0,2,2,14,0.9,7,0,0,6,0.4,2026
Tyrone Tracy Jr.,97,98,RB,RB,NYG,2963637,16,32,136,4.3,0,2,2,14,0.9,7,0,0,6,0.4,2026
Hunter Luepke,98,96,RB,RB,DAL,2969438,16,17,72,4.2,0,9,7,64,4,9.1,0,0,6,0.4,2026
