name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,17,279,1435,5.1,16,92,75,633,37.2,8.4,5,1,314,18.5,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,17,356,1579,4.4,15,53,42,344,20.2,8.2,2,2,274,16.1,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,17,291,1399,4.8,9,91,71,702,41.3,9.9,4,2,269,15.8,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,305,1655,5.4,15,23,17,171,10.1,10.1,1,2,259,15.2,2026
Christian McCaffrey,5,5,RB,RB,SF,2136743,17,256,1007,3.9,8,95,75,686,40.4,9.2,5,1,229,13.5,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,17,229,1130,4.9,7,93,76,552,32.5,7.3,6,1,227,13.4,2026
James Cook,7,7,RB,RB,BUF,2975698,17,288,1435,5,9,39,32,273,16.1,8.5,2,3,214,12.6,2026
Chase Brown,8,8,RB,RB,CIN,2965160,17,236,1008,4.3,9,91,73,471,27.7,6.5,5,1,212,12.5,2026
Saquon Barkley,9,9,RB,RB,PHI,2185957,17,306,1375,4.5,7,55,41,314,18.5,7.7,2,1,203,11.9,2026
Kenneth Walker III,10,10,RB,RB,KC,3121372,17,263,1205,4.6,8,55,47,360,21.2,7.7,0,1,187,11,2026
Javonte Williams,11,11,RB,RB,DAL,2961719,17,257,1198,4.7,11,43,31,147,8.6,4.7,1,2,186,10.9,2026
D'Andre Swift,12,12,RB,RB,CHI,2871710,17,248,1121,4.5,9,48,36,325,19.1,9,1,1,185,10.9,2026
Cam Skattebo,13,13,RB,RB,NYG,26697012,17,209,907,4.3,9,57,43,351,20.6,8.2,4,2,184,10.8,2026
Kyren Williams,14,14,RB,RB,LAR,3121836,17,221,1046,4.7,9,43,33,243,14.3,7.4,3,2,181,10.6,2026
Bucky Irving,15,15,RB,RB,TB,26693770,17,265,1028,3.9,6,51,44,400,23.5,9.1,3,1,179,10.5,2026
Travis Etienne,16,17,RB,RB,NO,2809206,17,251,986,3.9,5,65,48,359,21.1,7.5,5,1,177,10.4,2026
Ashton Jeanty,17,16,RB,RB,LV,28874008,17,229,875,3.8,8,65,49,300,17.6,6.1,5,1,177,10.4,2026
Omarion Hampton,18,18,RB,RB,LAC,28908905,17,220,893,4.1,10,53,46,298,17.5,6.5,2,1,172,10.1,2026
Bhayshul Tuten,19,19,RB,RB,JAC,26732838,17,224,891,4,12,22,16,128,7.5,8,3,3,170,10,2026
Breece Hall,20,20,RB,RB,NYJ,3123469,17,224,1014,4.5,6,53,40,370,21.8,9.3,2,2,165,9.7,2026
Jeremiyah Love,21,21,RB,RB,ARI,29133405,17,211,946,4.5,7,56,43,382,22.5,8.9,2,3,164,9.6,2026
Quinshon Judkins,22,22,RB,RB,CLE,28878286,17,277,973,3.5,10,51,37,243,14.3,6.6,0,1,163,9.6,2026
David Montgomery,23,23,RB,RB,HOU,2261252,17,263,1014,3.9,9,31,27,214,12.6,7.9,0,2,155,9.1,2026
Jadarian Price,24,24,RB,RB,SEA,28875230,17,229,977,4.3,8,27,20,222,13.1,11.1,1,3,152,8.9,2026
MarShawn Lloyd,25,25,RB,RB,GB,3162514,17,244,1028,4.2,8,17,13,131,7.7,10.1,1,3,148,8.7,2026
J.K. Dobbins,26,26,RB,RB,DEN,2804420,17,248,1137,4.6,7,26,21,77,4.5,3.7,0,1,147,8.6,2026
TreVeyon Henderson,27,27,RB,RB,NE,26699547,17,189,882,4.7,7,40,33,207,12.2,6.3,1,1,139,8.2,2026
Rico Dowdle,28,29,RB,RB,PIT,2252798,17,191,833,4.4,7,46,36,252,14.8,7,1,1,137,8.1,2026
Jaylen Warren,29,28,RB,RB,PIT,3126535,17,194,836,4.3,5,46,40,316,18.6,7.9,2,1,137,8.1,2026
Jonathon Brooks,30,30,RB,RB,CAR,26730706,17,215,880,4.1,7,29,24,199,11.7,8.3,1,2,136,8,2026
Tony Pollard,31,31,RB,RB,TEN,2184011,17,226,990,4.4,6,43,34,215,12.6,6.3,0,3,133,7.8,2026
R. Harvey,32,32,RB,RB,DEN,3121207,17,149,530,3.6,6,56,45,332,19.5,7.4,4,1,128,7.5,2026
Rhamondre Stevenson,33,33,RB,RB,NE,3125832,17,169,692,4.1,6,40,33,332,19.5,10.1,2,3,127,7.5,2026
Jordan Mason,34,34,RB,RB,MIN,2967536,17,195,905,4.6,7,21,18,82,4.8,4.6,0,1,126,7.4,2026
Jacory Croskey-Merritt,35,35,RB,RB,WAS,3126952,17,180,859,4.8,8,13,9,71,4.2,7.9,0,2,125,7.4,2026
Chuba Hubbard,36,36,RB,RB,CAR,2865693,17,167,712,4.3,5,44,33,210,12.4,6.4,3,1,122,7.2,2026
Kyle Monangai,37,37,RB,RB,CHI,3177368,17,206,855,4.2,5,37,23,208,12.2,9,0,1,119,7,2026
Blake Corum,38,38,RB,RB,LAR,3169252,17,175,886,5.1,6,8,6,36,2.1,6,0,1,116,6.8,2026
Kenneth Gainwell,39,39,RB,RB,TB,2968948,17,123,536,4.4,4,71,60,438,25.8,7.3,2,1,115,6.8,2026
Rachaad White,40,40,RB,RB,WAS,3169147,17,145,710,4.9,6,28,25,167,9.8,6.7,1,1,110,6.5,2026
Chris Rodriguez Jr.,41,41,RB,RB,JAC,2964667,17,177,695,3.9,8,3,2,23,1.4,11.5,0,1,108,6.4,2026
Aaron Jones,42,42,RB,RB,MIN,2071937,17,157,661,4.2,3,53,38,291,17.1,7.7,2,1,105,6.2,2026
Mike Washington Jr.,43,44,RB,RB,LV,26693539,17,164,611,3.7,4,36,27,227,13.4,8.4,1,2,93,5.5,2026
