name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,15,143,107,996,66.4,9.3,9,0,145,9.7,2026
Brock Bowers,2,2,TE,TE,LV,26693971,15,104,78,813,54.2,10.4,9,0,127,8.5,2026
Tyler Warren,3,3,TE,TE,IND,3168800,15,96,67,676,45.1,10.1,10,0,126,8.4,2026
Dalton Kincaid,4,4,TE,TE,BUF,2982991,15,80,61,902,60.1,14.8,6,0,119,7.9,2026
Sam LaPorta,5,5,TE,TE,DET,3124197,15,89,69,811,54.1,11.8,6,0,109,7.3,2026
Dallas Goedert,6,6,TE,TE,PHI,2132551,13,68,50,557,42.8,11.1,9,0,107,8.2,2026
George Kittle,7,7,TE,TE,SF,2818265,15,79,63,780,52,12.4,6,0,106,7.1,2026
Travis Kelce,8,8,TE,TE,KC,1725130,15,98,71,782,52.1,11,5,0,100,6.7,2026
Isaiah Likely,9,9,TE,TE,NYG,2961906,15,97,70,672,44.8,9.6,7,1,98,6.5,2026
Juwan Johnson,10,10,TE,TE,NO,2186637,15,82,61,810,54,13.3,4,1,95,6.3,2026
Colston Loveland,11,12,TE,TE,CHI,28874696,15,91,56,666,44.4,11.9,6,0,94,6.3,2026
Harold Fannin Jr.,12,11,TE,TE,CLE,28900882,15,92,62,676,45.1,10.9,5,1,94,6.3,2026
Dalton Schultz,13,13,TE,TE,HOU,2136748,15,99,73,737,49.1,10.1,4,0,90,6,2026
Jake Ferguson,14,14,TE,TE,DAL,2867159,15,74,59,481,32.1,8.2,8,2,84,5.6,2026
Tucker Kraft,15,15,TE,TE,GB,3133332,14,68,44,582,41.6,13.2,5,0,80,5.7,2026
Brenton Strange,16,16,TE,TE,JAC,3121696,15,68,51,577,38.5,11.3,5,0,79,5.3,2026
Hunter Henry,17,18,TE,TE,NE,2079848,15,73,51,626,41.7,12.3,4,0,78,5.2,2026
Mark Andrews,18,19,TE,TE,BAL,2131121,15,69,50,495,33,9.9,6,0,78,5.2,2026
Pat Freiermuth,19,17,TE,TE,PIT,2961270,15,57,46,503,33.5,10.9,6,0,78,5.2,2026
Mike Gesicki,20,21,TE,TE,CIN,2139298,15,66,48,588,39.2,12.3,4,0,75,5,2026
Terrance Ferguson,21,20,TE,TE,LAR,26701481,15,69,35,470,31.3,13.4,6,0,75,5,2026
A. Barner,22,22,TE,TE,SEA,3169283,15,49,39,383,25.5,9.8,5,0,72,4.8,2026
Kyle Pitts,23,23,TE,TE,ATL,2964514,14,72,50,554,39.6,11.1,4,0,71,5.1,2026
Cade Otton,24,24,TE,TE,TB,2815179,15,82,60,598,39.9,10,3,0,69,4.6,2026
Darren Waller,25,25,TE,TE,CAR,1850793,15,49,38,384,25.6,10.1,6,0,66,4.4,2026
T.J. Hockenson,26,26,TE,TE,MIN,2251097,15,65,50,479,31.9,9.6,4,0,63,4.2,2026
Kenyon Sadiq,27,27,TE,TE,NYJ,29125433,15,60,42,483,32.2,11.5,4,1,62,4.1,2026
Chigoziem Okonkwo,28,28,TE,TE,WAS,2965208,14,61,44,502,35.9,11.4,3,0,59,4.2,2026
Evan Engram,29,29,TE,TE,DEN,2079887,15,70,48,436,29.1,9.1,3,0,54,3.6,2026
Colby Parkinson,30,30,TE,TE,LAR,2867522,15,52,37,382,25.5,10.3,4,0,54,3.6,2026
Oronde Gadsden II,31,31,TE,TE,LAC,26727374,15,44,33,448,29.9,13.6,3,1,52,3.5,2026
Greg Dulcich,32,32,TE,TE,MIA,2964274,15,61,46,468,31.2,10.2,2,1,49,3.3,2026
Dawson Knox,33,33,TE,TE,BUF,2186345,15,39,30,314,20.9,10.5,4,0,47,3.1,2026
Gunnar Helm,34,34,TE,TE,TEN,26696189,15,53,43,351,23.4,8.2,3,0,45,3,2026
Noah Fant,35,35,TE,TE,NO,2251095,15,56,40,388,25.9,9.7,3,2,44,2.9,2026
Mason Taylor,36,37,TE,TE,NYJ,28878064,14,66,45,339,24.2,7.5,3,0,43,3.1,2026
Eli Raridon,37,36,TE,TE,NE,28924611,15,35,25,291,19.4,11.6,4,1,43,2.9,2026
Josh Oliver,38,38,TE,TE,MIN,2184618,15,29,21,258,17.2,12.3,4,0,42,2.8,2026
Zach Ertz,39,39,TE,TE,PHI,1685963,15,42,30,301,20.1,10,3,0,41,2.7,2026
Michael Mayer,40,40,TE,TE,LV,3171673,15,59,43,326,21.7,7.6,2,0,36,2.4,2026
Darnell Washington,41,41,TE,TE,PIT,3163963,15,41,30,330,22,11,2,1,35,2.3,2026
Jonnu Smith,42,43,TE,TE,GB,2081506,14,35,25,247,17.6,9.9,2,0,34,2.4,2026
Marlin Klein,43,42,TE,TE,HOU,28927889,15,44,31,319,21.3,10.3,2,1,34,2.3,2026
Daniel Bellinger,44,44,TE,TE,TEN,2963615,15,29,21,258,17.2,12.3,2,0,30,2,2026
Nate Adkins,45,45,TE,TE,DEN,2977285,15,21,17,133,8.9,7.8,4,0,29,1.9,2026
Erick All,46,46,TE,TE,CIN,3121555,15,40,30,240,16,8,2,0,28,1.9,2026
Tyler Higbee,47,50,TE,TE,LAR,1853103,15,27,20,233,15.5,11.7,2,1,25,1.7,2026
Brock Wright,48,47,TE,TE,DET,2807423,15,37,25,216,14.4,8.6,2,0,25,1.7,2026
Charlie Kolar,49,49,TE,TE,LAC,2866273,14,25,20,212,15.1,10.6,2,0,25,1.8,2026
Theo Johnson,50,48,TE,TE,NYG,3162129,15,33,19,217,14.5,11.4,2,0,25,1.7,2026
Cole Kmet,51,51,TE,TE,CHI,2868619,15,27,18,196,13.1,10.9,2,0,24,1.6,2026
Davis Allen,52,52,TE,TE,LAR,3123267,15,31,22,204,13.6,9.3,2,0,24,1.6,2026
Austin Hooper,53,53,TE,TE,ATL,2067004,14,27,19,199,14.2,10.5,2,0,23,1.6,2026
Adam Trautman,54,54,TE,TE,DEN,2182228,15,32,23,242,16.1,10.5,1,0,22,1.5,2026
Nate Boerkircher,55,55,TE,TE,JAC,3162867,15,26,18,206,13.7,11.4,2,1,22,1.5,2026
Matthew Hibner,56,56,TE,TE,BAL,3169490,15,23,16,188,12.5,11.8,2,0,22,1.5,2026
Durham Smythe,57,57,TE,TE,BAL,2082845,15,31,18,175,11.7,9.7,2,0,21,1.4,2026
David Njoku,58,59,TE,TE,LAC,2136474,11,28,19,181,16.5,9.5,2,0,21,1.9,2026
Connor Heyward,59,58,TE,FB,LV,2867599,15,17,12,86,5.7,7.2,2,0,21,1.4,2026
Luke Musgrave,60,60,TE,TE,GB,3129283,12,26,19,193,16.1,10.2,1,0,16,1.3,2026
Jackson Hawes,61,61,TE,TE,BUF,3135324,15,11,9,108,7.2,12,2,0,16,1.1,2026
John Bates,62,63,TE,TE,WAS,2257291,15,29,19,176,11.7,9.3,1,0,15,1,2026
Ja'Tavion Sanders,63,62,TE,TE,CAR,26731381,15,26,22,174,11.6,7.9,1,0,15,1,2026
Jeremy Ruckert,64,64,TE,TE,NYJ,2965446,15,29,23,175,11.7,7.6,1,0,15,1,2026
Tommy Tremble,65,65,TE,TE,CAR,2969027,15,30,20,171,11.4,8.6,1,0,15,1,2026
Charlie Woerner,66,67,TE,TE,ATL,2248629,14,28,18,160,11.4,8.9,1,0,14,1,2026
