name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,16,152,112,1106,69.1,9.9,10,0,163,10.2,2026
Dallas Goedert,2,2,TE,TE,PHI,2132551,15,91,67,772,51.5,11.5,11,0,141,9.4,2026
Isaiah Likely,3,4,TE,TE,NYG,2961906,16,98,78,802,50.1,10.3,9,2,123,7.7,2026
Tyler Warren,4,3,TE,TE,IND,3168800,16,100,67,776,48.5,11.6,8,0,123,7.7,2026
Brock Bowers,5,5,TE,TE,LV,26693971,15,106,80,807,53.8,10.1,8,0,120,8,2026
Dalton Kincaid,6,6,TE,TE,BUF,2982991,15,81,62,913,60.9,14.7,6,0,119,7.9,2026
Tucker Kraft,7,7,TE,TE,GB,3133332,15,73,50,713,47.5,14.3,8,0,111,7.4,2026
Sam LaPorta,8,8,TE,TE,DET,3124197,15,89,69,810,54,11.7,6,0,109,7.3,2026
Brenton Strange,9,9,TE,TE,JAC,3121696,16,89,65,744,46.5,11.5,7,0,108,6.8,2026
Travis Kelce,10,10,TE,TE,KC,1725130,16,108,77,843,52.7,11,5,0,106,6.6,2026
George Kittle,11,11,TE,TE,SF,2818265,16,86,67,777,48.6,11.6,6,0,105,6.6,2026
Harold Fannin Jr.,12,12,TE,TE,CLE,28900882,15,91,60,651,43.4,10.9,7,1,103,6.9,2026
Mark Andrews,13,13,TE,TE,BAL,2131121,15,68,48,500,33.3,10.4,8,0,96,6.4,2026
Kyle Pitts,14,14,TE,TE,ATL,2964514,15,92,65,743,49.5,11.4,5,0,96,6.4,2026
Colston Loveland,15,15,TE,TE,CHI,28874696,15,95,60,723,48.2,12.1,5,0,94,6.3,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,15,81,59,740,49.3,12.5,4,1,88,5.9,2026
Hunter Henry,17,17,TE,TE,NE,2079848,15,74,52,633,42.2,12.2,5,0,85,5.7,2026
Jake Ferguson,18,19,TE,TE,DAL,2867159,16,84,66,542,33.9,8.2,6,2,78,4.9,2026
Pat Freiermuth,19,18,TE,TE,PIT,2961270,15,56,44,497,33.1,11.3,6,0,78,5.2,2026
A. Barner,20,20,TE,TE,SEA,3169283,16,55,44,434,27.1,9.9,6,0,78,4.9,2026
Mike Gesicki,21,21,TE,TE,CIN,2139298,15,67,48,585,39,12.2,4,0,75,5,2026
Kenyon Sadiq,22,22,TE,TE,NYJ,29125433,15,61,42,473,31.5,11.3,5,1,73,4.9,2026
Dalton Schultz,23,23,TE,TE,HOU,2136748,15,87,62,607,40.5,9.8,3,0,71,4.7,2026
Cade Otton,24,24,TE,TE,TB,2815179,15,82,59,601,40.1,10.2,3,0,71,4.7,2026
T.J. Hockenson,25,25,TE,TE,MIN,2251097,15,66,51,484,32.3,9.5,5,0,70,4.7,2026
Chigoziem Okonkwo,26,26,TE,TE,WAS,2965208,15,65,46,554,36.9,12,4,0,70,4.7,2026
David Njoku,27,27,TE,TE,LAC,2136474,16,59,43,406,25.4,9.4,5,0,63,3.9,2026
Colby Parkinson,28,29,TE,TE,LAR,2867522,16,53,37,391,24.4,10.6,5,0,61,3.8,2026
Greg Dulcich,29,28,TE,TE,MIA,2964274,16,66,51,544,34,10.7,3,2,61,3.8,2026
Darren Waller,30,31,TE,TE,CAR,1850793,15,51,37,386,25.7,10.4,5,0,60,4,2026
Terrance Ferguson,31,30,TE,TE,LAR,26701481,16,49,25,440,27.5,17.6,4,0,60,3.8,2026
Evan Engram,32,32,TE,TE,DEN,2079887,16,82,55,486,30.4,8.8,3,0,59,3.7,2026
Theo Johnson,33,33,TE,TE,NYG,3162129,16,49,31,368,23,11.9,4,0,54,3.4,2026
Tyler Higbee,34,34,TE,TE,LAR,1853103,16,52,37,433,27.1,11.7,3,2,50,3.1,2026
Oronde Gadsden II,35,35,TE,TE,LAC,26727374,16,45,33,464,29,14.1,2,1,49,3.1,2026
Dawson Knox,36,36,TE,TE,BUF,2186345,15,39,30,315,21,10.5,4,0,48,3.2,2026
Mason Taylor,37,37,TE,TE,NYJ,28878064,15,70,48,356,23.7,7.4,3,0,45,3,2026
Noah Fant,38,38,TE,TE,NO,2251095,15,54,39,371,24.7,9.5,3,2,42,2.8,2026
Jonnu Smith,39,39,TE,TE,GB,2081506,15,39,28,288,19.2,10.3,2,0,40,2.7,2026
Michael Mayer,40,40,TE,TE,LV,3171673,16,65,46,367,22.9,8,2,0,40,2.5,2026
Josh Oliver,41,43,TE,TE,MIN,2184618,15,30,21,238,15.9,11.3,4,0,39,2.6,2026
Gunnar Helm,42,41,TE,TE,TEN,26696189,15,53,43,359,23.9,8.4,2,0,39,2.6,2026
Charlie Kolar,43,42,TE,TE,LAC,2866273,16,32,23,296,18.5,12.9,3,0,39,2.4,2026
Darnell Washington,44,44,TE,TE,PIT,3163963,15,42,32,355,23.7,11.1,2,1,37,2.5,2026
Eli Raridon,45,45,TE,TE,NE,28924611,15,38,26,281,18.7,10.8,3,1,35,2.3,2026
Marlin Klein,46,46,TE,TE,HOU,28927889,15,42,30,303,20.2,10.1,2,1,33,2.2,2026
Cole Kmet,47,48,TE,TE,CHI,2868619,15,28,19,210,14,11.1,3,0,31,2.1,2026
Daniel Bellinger,48,47,TE,TE,TEN,2963615,15,29,22,278,18.5,12.6,2,0,31,2.1,2026
Eli Stowers,49,50,TE,TE,PHI,26696120,13,38,26,277,21.3,10.7,2,1,30,2.3,2026
Erick All,50,49,TE,TE,CIN,3121555,15,39,32,268,17.9,8.4,2,0,30,2,2026
Austin Hooper,51,51,TE,TE,ATL,2067004,15,29,21,240,16,11.4,2,0,28,1.9,2026
Davis Allen,52,53,TE,TE,LAR,3123267,16,34,24,218,13.6,9.1,2,0,26,1.6,2026
Matthew Hibner,53,52,TE,TE,BAL,3169490,15,31,22,253,16.9,11.5,2,1,26,1.7,2026
