name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.7,1.02,1101,1,4,0.8,6,2qb,10,6,6705,2026-08-11,2026-09-10
Josh Allen,2,2,QB,BUF,2885,1.9,1.02,1073,1,4,0.9,7,2qb,10,6,6705,2026-08-11,2026-09-10
Bijan Robinson,3,3,RB,ATL,5670,2.6,1.03,604,1,6,0.6,11,2qb,10,6,6705,2026-08-11,2026-09-10
Jonathan Taylor,4,4,RB,IND,4864,5.1,1.05,616,3,10,1.3,13,2qb,10,6,6705,2026-08-11,2026-09-10
Puka Nacua,5,5,WR,LAR,5714,5.2,1.05,495,1,11,1.4,11,2qb,10,6,6705,2026-08-11,2026-09-10
Ja'Marr Chase,6,6,WR,CIN,5177,5.9,1.06,1484,1,14,1.9,6,2qb,10,6,6705,2026-08-11,2026-09-10
Drake Maye,7,7,QB,NE,6187,7.8,1.08,874,1,17,2.9,11,2qb,10,6,6705,2026-08-11,2026-09-10
Lamar Jackson,8,8,QB,BAL,2888,8.7,1.09,1492,1,17,3.1,13,2qb,10,6,6705,2026-08-11,2026-09-10
Jaxon Smith-Njigba,9,9,WR,SEA,5671,8.8,1.09,850,1,20,2.7,11,2qb,10,6,6705,2026-08-11,2026-09-10
Christian McCaffrey,10,10,RB,SF,2434,9.1,1.09,1069,3,19,2.5,8,2qb,10,6,6705,2026-08-11,2026-09-10
Joe Burrow,11,11,QB,CIN,4882,9.7,1.10,1082,1,20,3.1,6,2qb,10,6,6705,2026-08-11,2026-09-10
Derrick Henry,12,12,RB,BAL,2350,10.1,1.10,439,3,19,2.5,13,2qb,10,6,6705,2026-08-11,2026-09-10
Amon-Ra St. Brown,13,13,WR,DET,5182,13.2,2.03,1382,3,27,3.7,6,2qb,10,6,6705,2026-08-11,2026-09-10
James Cook III,14,14,RB,BUF,5652,13.3,2.03,1581,4,27,3.6,7,2qb,10,6,6705,2026-08-11,2026-09-10
Dak Prescott,15,15,QB,DAL,2377,14.1,2.04,712,6,27,3,14,2qb,10,6,6705,2026-08-11,2026-09-10
Jayden Daniels,16,16,QB,WAS,5854,14.6,2.05,665,6,26,3,7,2qb,10,6,6705,2026-08-11,2026-09-10
Matthew Stafford,17,17,QB,LAR,1664,17.3,2.07,415,9,28,2.9,11,2qb,10,6,6705,2026-08-11,2026-09-10
Jalen Hurts,18,18,QB,PHI,5025,17.8,2.08,693,9,30,3.2,10,2qb,10,6,6705,2026-08-11,2026-09-10
De'Von Achane,19,19,RB,MIA,5683,19.9,2.10,972,8,35,4.5,6,2qb,10,6,6705,2026-08-11,2026-09-10
Brock Purdy,20,20,QB,SF,5648,19.9,2.10,259,13,30,3,8,2qb,10,6,6705,2026-08-11,2026-09-10
