name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Brandon Aubrey,1,131,K,DAL,6162,128.1,16.08,2315,69,184,22.4,14,ppr,8,6,8234,2026-08-23,2026-08-30
Jason Myers,2,147,K,SEA,2424,136.4,17.08,213,88,184,18.2,11,ppr,8,6,8234,2026-08-23,2026-08-30
Ka'imi Fairbairn,3,148,K,HOU,2531,136.4,17.08,201,84,186,19.8,8,ppr,8,6,8234,2026-08-23,2026-08-30
Cameron Dicker,4,155,K,LAC,5538,141.3,18.05,321,86,189,21,7,ppr,8,6,8234,2026-08-23,2026-08-30
Jake Bates,5,158,K,DET,6055,145.3,19.01,180,99,188,17.6,6,ppr,8,6,8234,2026-08-23,2026-08-30
Harrison Mevis,6,165,K,LAR,6299,148.3,19.04,161,102,179,17.4,11,ppr,8,6,8234,2026-08-23,2026-08-30
Chase McLaughlin,7,176,K,TB,4865,153,20.01,161,105,210,18.3,10,ppr,8,6,8234,2026-08-23,2026-08-30
Joey Slye,8,175,K,TEN,4868,153,20.01,11,148,176,11.1,9,ppr,8,6,8234,2026-08-23,2026-08-30
Cam Little,9,179,K,JAX,6188,153.6,20.02,382,109,204,17,7,ppr,8,6,8234,2026-08-23,2026-08-30
Tyler Loop,10,184,K,BAL,6587,155.7,20.04,162,114,210,16.9,13,ppr,8,6,8234,2026-08-23,2026-08-30
Tyler Bass,11,197,K,BUF,5036,158.2,20.06,23,110,210,23.5,7,ppr,8,6,8234,2026-08-23,2026-08-30
Chris Boswell,12,199,K,PIT,2340,158.3,20.06,48,109,204,21.7,9,ppr,8,6,8234,2026-08-23,2026-08-30
Wil Lutz,13,210,K,DEN,2522,160.4,20.08,182,119,209,16.6,10,ppr,8,6,8234,2026-08-23,2026-08-30
Will Reichard,14,218,K,MIN,6296,162.2,21.02,126,118,197,17,6,ppr,8,6,8234,2026-08-23,2026-08-30
Harrison Butker,15,221,K,KC,2514,162.6,21.03,327,110,210,20.1,5,ppr,8,6,8234,2026-08-23,2026-08-30
Blake Grupe,16,224,K,IND,6046,162.9,21.03,67,113,210,18.9,13,ppr,8,6,8234,2026-08-23,2026-08-30
Trey Smack,17,227,K,GB,6835,163.8,21.04,66,114,205,19.8,11,ppr,8,6,8234,2026-08-23,2026-08-30
Eddy Piñeiro,18,232,K,SF,3097,165.4,21.05,85,109,210,21.5,8,ppr,8,6,8234,2026-08-23,2026-08-30
Evan McPherson,19,242,K,CIN,5669,168.2,21.08,89,118,210,19,6,ppr,8,6,8234,2026-08-23,2026-08-30
Andy Borregales,20,243,K,NE,6585,168.4,21.08,33,138,202,14.9,11,ppr,8,6,8234,2026-08-23,2026-08-30
Jake Elliott,21,245,K,PHI,2529,169.8,22.02,11,135,205,21.9,10,ppr,8,6,8234,2026-08-23,2026-08-30
Cairo Santos,22,246,K,CHI,2335,170.2,22.02,46,110,210,23,10,ppr,8,6,8234,2026-08-23,2026-08-30
Nick Folk,23,256,K,ATL,383,172.5,22.04,12,132,204,21.6,11,ppr,8,6,8234,2026-08-23,2026-08-30
Dominic Zvada,24,267,K,NYG,6936,183.4,23.07,5,173,201,12.5,8,ppr,8,6,8234,2026-08-23,2026-08-30
