name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,3,1.20,0.48,17298
Drake Maye,2,QB,NE,QB2,1,1,6,2.23,0.99,23046
Lamar Jackson,3,QB,BAL,QB3,1,2,12,4.83,2.37,17233
Jayden Daniels,4,QB,WAS,QB4,1,3,12,5.00,2.76,22902
Ja'Marr Chase,5,WR,CIN,WR1,2,3,8,6.73,1.82,19788
Caleb Williams,6,QB,CHI,QB5,2,4,17,7.47,3.10,23084
Joe Burrow,7,QB,CIN,QB6,2,3,25,7.80,5.61,19196
Jaxon Smith-Njigba,8,WR,SEA,WR2,2,2,13,8.77,2.17,23070
Puka Nacua,9,WR,LAR,WR3,2,6,18,10.93,3.71,23180
Justin Herbert,10,QB,LAC,QB7,2,5,28,11.43,5.87,18635
Bijan Robinson,11,RB,ATL,RB1,3,4,19,12.67,4.99,23133
Patrick Mahomes II,12,QB,KC,QB8,3,5,26,12.77,5.28,16413
Jahmyr Gibbs,13,RB,DET,RB2,3,5,19,13.93,5.12,22968
Jalen Hurts,14,QB,PHI,QB9,3,6,29,15.23,5.71,19275
Trevor Lawrence,15,QB,JAC,QB10,3,11,34,16.13,6.10,19780
Amon-Ra St. Brown,16,WR,DET,WR4,3,7,26,17.53,4.92,19799
Justin Jefferson,17,WR,MIN,WR5,3,10,27,18.60,4.12,19236
Jaxson Dart,18,QB,NYG,QB11,3,12,36,20.10,7.35,23160
CeeDee Lamb,19,WR,DAL,WR6,3,14,32,21.17,4.24,19202
Ashton Jeanty,20,RB,LV,RB3,4,12,27,21.43,4.20,25989
Bo Nix,21,QB,DEN,QB12,4,13,46,21.50,8.97,22910
Brock Purdy,22,QB,SF,QB13,4,14,47,21.60,9.59,19797
Malik Nabers,23,WR,NYG,WR7,4,10,34,22.17,5.69,25409
Jeremiyah Love,24,RB,ARI,RB4,4,13,32,24.60,4.57,25403
Drake London,25,WR,ATL,WR8,4,15,30,25.97,3.80,23163
De'Von Achane,26,RB,MIA,RB5,4,17,38,28.10,4.33,23136
Dak Prescott,27,QB,DAL,QB14,4,15,61,29.07,13.26,15600
Brock Bowers,28,TE,LV,TE1,4,11,44,29.77,9.48,22955
Omarion Hampton,29,RB,LAC,RB6,4,18,38,29.87,4.92,25395
Tetairoa McMillan,30,WR,CAR,WR9,4,23,39,31.07,3.95,25417
James Cook III,31,RB,BUF,RB7,4,19,39,31.57,4.27,22958
Jordan Love,32,QB,GB,QB15,4,17,68,33.10,13.97,19246
Nico Collins,33,WR,HOU,WR10,5,27,41,33.57,3.57,20130
Jonathan Taylor,34,RB,IND,RB8,5,22,49,33.87,5.92,19217
George Pickens,35,WR,DAL,WR11,5,20,42,34.43,4.67,22963
Emeka Egbuka,36,WR,TB,WR12,5,27,50,34.73,4.57,23062
Trey McBride,37,TE,ARI,TE2,5,16,58,38.07,9.74,22936
Chris Olave,38,WR,NO,WR13,5,34,51,39.00,3.95,20111
Carnell Tate,39,WR,TEN,WR14,5,30,58,42.10,6.89,26009
Kenneth Walker III,40,RB,KC,RB9,5,31,63,42.13,8.65,23021
Garrett Wilson,41,WR,NYJ,WR15,5,32,59,42.43,6.03,23072
Jared Goff,42,QB,DET,QB16,5,24,85,43.37,18.56,15501
Ladd McConkey,43,WR,LAC,WR16,5,37,56,43.83,4.40,26122
Zay Flowers,44,WR,BAL,WR17,5,35,61,46.47,5.95,22916
DeVonta Smith,45,WR,PHI,WR18,5,35,57,46.90,6.61,19222
A.J. Brown,46,WR,NE,WR19,5,35,65,47.43,6.94,18218
Luther Burden III,47,WR,CHI,WR20,5,39,68,47.97,6.68,27016
Breece Hall,48,RB,NYJ,RB10,5,36,65,48.00,7.66,22982
Colston Loveland,49,TE,CHI,TE3,6,22,63,50.87,11.95,26006
Chase Brown,50,RB,CIN,RB11,6,36,63,52.40,6.67,25324
Jordyn Tyson,51,WR,NO,WR21,6,32,82,53.13,10.95,26035
Fernando Mendoza,52,QB,LV,QB17,6,24,90,53.30,13.67,28013
Tee Higgins,53,WR,CIN,WR22,6,42,78,53.73,9.10,19211
Rashee Rice,54,WR,KC,WR23,6,37,90,54.47,12.55,23113
Baker Mayfield,55,QB,TB,QB18,6,24,82,55.67,13.92,17237
Makai Lemon,56,WR,PHI,WR24,6,43,74,55.77,7.60,25420
Tyler Warren,57,TE,IND,TE4,6,39,70,57.50,6.04,26434
Jaylen Waddle,58,WR,DEN,WR25,6,41,76,57.67,8.22,19790
Rome Odunze,59,WR,CHI,WR26,6,46,82,60.27,8.90,25411
Cam Ward,60,QB,TEN,QB19,6,34,86,60.73,10.41,24755
TreVeyon Henderson,61,RB,NE,RB12,6,48,85,61.03,9.13,23065
C.J. Stroud,62,QB,HOU,QB20,6,35,95,61.40,15.70,23071
Tucker Kraft,63,TE,GB,TE5,6,52,72,63.37,4.37,25298
Saquon Barkley,64,RB,PHI,RB13,6,51,77,65.23,6.82,17240
Christian McCaffrey,65,RB,SF,RB14,7,40,79,66.10,9.73,16393
Quinshon Judkins,66,RB,CLE,RB15,7,44,88,66.27,8.72,25391
Jameson Williams,67,WR,DET,WR27,7,51,83,66.33,6.93,23677
Marvin Harrison Jr.,68,WR,ARI,WR28,7,49,83,66.60,9.25,23064
Harold Fannin Jr.,69,TE,CLE,TE6,7,59,84,66.77,5.30,27050
Tyler Shough,70,QB,NO,QB21,7,36,92,67.10,12.66,23096
Kyler Murray,71,QB,MIN,QB22,7,49,101,70.73,13.83,18600
Brian Thomas Jr.,72,WR,JAC,WR29,7,54,85,71.90,9.59,23000
Sam LaPorta,73,TE,DET,TE7,7,65,91,72.10,5.93,22978
Kyren Williams,74,RB,LAR,RB16,7,61,92,72.27,7.07,23059
Kyle Pitts Sr.,75,TE,ATL,TE8,7,63,97,74.27,7.17,20164
Travis Etienne Jr.,76,RB,NO,RB17,7,63,91,76.93,5.76,19231
Christian Watson,77,WR,GB,WR30,7,57,112,78.07,12.42,23886
Bucky Irving,78,RB,TB,RB18,7,50,101,79.93,12.15,25981
Sam Darnold,79,QB,SEA,QB23,7,52,94,80.33,10.92,17236
Javonte Williams,80,RB,DAL,RB19,7,62,100,81.97,9.38,22739
Cam Skattebo,81,RB,NYG,RB20,7,71,101,82.37,9.60,27166
Jadarian Price,82,RB,SEA,RB21,7,63,117,82.83,11.18,27329
Malik Willis,83,QB,MIA,QB24,7,48,104,83.43,13.88,23499
Terry McLaurin,84,WR,WAS,WR31,7,70,97,84.43,7.09,18466
KC Concepcion,85,WR,CLE,WR32,7,57,122,84.87,14.09,27331
Alec Pierce,86,WR,IND,WR33,7,68,114,86.67,11.51,23791
Kenyon Sadiq,87,TE,NYJ,TE9,7,74,131,87.87,13.34,26055
DJ Moore,88,WR,BUF,WR34,7,68,108,88.07,9.16,17265
Matthew Stafford,89,QB,LAR,QB25,7,50,106,88.57,10.72,9451
Jordan Addison,90,WR,MIN,WR35,8,79,110,92.93,9.78,23107
Daniel Jones,91,QB,IND,QB26,8,77,111,93.47,5.94,18232
Derrick Henry,92,RB,BAL,RB22,8,71,104,94.03,8.62,15514
Bryce Young,93,QB,CAR,QB27,8,54,137,95.00,15.30,22900
DK Metcalf,94,WR,PIT,WR36,8,81,110,96.33,7.50,18219
Josh Jacobs,95,RB,GB,RB23,8,72,130,97.87,12.80,18269
Bhayshul Tuten,96,RB,JAC,RB24,8,76,111,97.97,8.70,27297
Parker Washington,97,WR,JAC,WR37,8,75,128,98.10,13.70,23106
Eli Stowers,98,TE,PHI,TE10,8,74,159,101.00,20.69,23144
D'Andre Swift,99,RB,CHI,RB25,8,78,114,102.87,6.45,19210
Dalton Kincaid,100,TE,BUF,TE11,8,83,126,103.23,14.72,25247
Michael Wilson,101,WR,ARI,WR38,8,79,129,105.00,9.69,25333
Isaiah Likely,102,TE,NYG,TE12,8,81,139,105.20,15.86,23781
Wan'Dale Robinson,103,WR,TEN,WR39,8,85,123,106.10,9.21,22985
Oronde Gadsden II,104,TE,LAC,TE13,8,79,158,106.23,20.67,25997
Ty Simpson,105,QB,LAR,QB28,8,93,137,106.60,13.98,25368
Jayden Higgins,106,WR,HOU,WR40,8,96,121,108.07,6.79,27077
Omar Cooper Jr.,107,WR,NYJ,WR41,8,80,176,108.27,22.97,28127
Davante Adams,108,WR,LAR,WR42,8,79,128,109.13,10.22,12123
Josh Downs,109,WR,IND,WR43,8,82,133,109.43,10.76,24706
Denzel Boston,110,WR,CLE,WR44,8,60,137,110.13,15.89,27339
Michael Pittman Jr.,111,WR,PIT,WR45,8,96,128,112.47,6.53,19278
David Montgomery,112,RB,HOU,RB26,8,98,130,112.70,8.21,18239
Courtland Sutton,113,WR,DEN,WR46,8,91,127,113.03,6.94,17253
Mike Evans,114,WR,SF,WR47,8,99,125,113.57,6.04,12119
Xavier Worthy,115,WR,KC,WR48,8,85,132,114.03,12.04,23019
RJ Harvey,116,RB,DEN,RB27,9,78,153,116.97,14.98,27142
George Kittle,117,TE,SF,TE14,9,80,140,117.43,14.57,16499
Jake Ferguson,118,TE,DAL,TE15,9,89,141,117.47,13.78,22718
Quentin Johnston,119,WR,LAC,WR49,9,100,132,117.80,7.51,23123
Jayden Reed,120,WR,GB,WR50,9,97,136,117.97,8.01,23020
Jakobi Meyers,121,WR,JAC,WR51,9,100,135,119.00,8.66,18598
Brenton Strange,122,TE,JAC,TE16,9,89,143,121.90,13.47,25345
Matthew Golden,123,WR,GB,WR52,9,107,136,123.47,7.03,26024
Chris Godwin Jr.,124,WR,TB,WR53,9,109,141,123.83,6.87,16406
Jaylen Warren,125,RB,PIT,RB28,9,99,142,124.13,11.92,24209
Ricky Pearsall,126,WR,SF,WR54,9,84,207,124.40,26.25,26214
Kyle Monangai,127,RB,CHI,RB29,9,107,156,128.47,14.17,27131
Blake Corum,128,RB,LAR,RB30,9,106,151,132.20,13.45,23013
Zach Charbonnet,129,RB,SEA,RB31,9,101,166,133.47,16.38,23152
Romeo Doubs,130,WR,NE,WR55,9,109,177,134.90,16.17,23794
Jalen Coker,131,WR,CAR,WR56,9,115,160,135.00,9.04,26403
Khalil Shakir,132,WR,BUF,WR57,9,119,165,135.67,10.18,23748
Travis Hunter,133,WR,JAC,WR58,9,116,175,136.43,16.58,26034
Antonio Williams,134,WR,WAS,WR59,9,119,203,138.63,17.84,25418
Rhamondre Stevenson,135,RB,NE,RB32,9,116,161,140.67,10.63,22726
Jonathon Brooks,136,RB,CAR,RB33,9,102,198,141.33,23.07,26148
Chuba Hubbard,137,RB,CAR,RB34,9,112,169,143.10,15.25,19792
Mark Andrews,138,TE,BAL,TE17,9,131,180,144.60,12.97,17269
Chig Okonkwo,139,TE,WAS,TE18,9,95,200,145.47,23.03,23982
Rico Dowdle,140,RB,PIT,RB35,9,121,160,145.50,8.39,19647
Michael Penix Jr.,141,QB,ATL,QB29,9,98,154,122.93,16.11,22973
