name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.04,0.21,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,7,2.69,1.28,17233
Drake Maye,3,QB,NE,QB3,1,2,50,3.81,5.07,23046
Joe Burrow,4,QB,CIN,QB4,1,2,18,5.10,2.86,19196
Ja'Marr Chase,5,WR,CIN,WR1,2,4,14,6.97,2.10,19788
Jalen Hurts,6,QB,PHI,QB5,2,3,24,7.58,3.75,19275
Jayden Daniels,7,QB,WAS,QB6,2,3,55,8.23,7.54,22902
Jahmyr Gibbs,8,RB,DET,RB1,2,2,15,10.51,2.67,22968
Caleb Williams,9,QB,CHI,QB7,2,2,62,10.63,7.26,23084
Puka Nacua,10,WR,LAR,WR2,2,6,23,11.42,3.21,23180
Bijan Robinson,11,RB,ATL,RB2,2,3,37,11.57,3.44,23133
Justin Herbert,12,QB,LAC,QB8,2,4,73,12.17,8.76,18635
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,41,13.17,3.96,23070
Amon-Ra St. Brown,14,WR,DET,WR4,3,8,21,13.97,2.72,19799
Trevor Lawrence,15,QB,JAC,QB9,3,4,106,15.88,11.34,19780
Dak Prescott,16,QB,DAL,QB10,3,5,119,17.41,12.47,15600
CeeDee Lamb,17,WR,DAL,WR5,3,12,43,20.38,4.46,19202
Christian McCaffrey,18,RB,SF,RB3,3,13,46,20.86,8.77,16393
Justin Jefferson,19,WR,MIN,WR6,3,12,50,21.62,5.31,19236
Brock Purdy,20,QB,SF,QB11,4,8,55,22.61,7.40,19797
Drake London,21,WR,ATL,WR7,4,12,46,25.01,5.32,23163
Jonathan Taylor,22,RB,IND,RB4,4,12,48,25.04,9.27,19217
Jaxson Dart,23,QB,NYG,QB12,4,7,97,25.31,12.31,23160
Bo Nix,24,QB,DEN,QB13,4,14,55,26.40,8.71,22910
A.J. Brown,25,WR,NE,WR8,4,14,52,27.53,7.35,18218
Patrick Mahomes II,26,QB,KC,QB14,4,9,161,27.99,16.51,16413
Ashton Jeanty,27,RB,LV,RB5,4,15,58,30.47,8.48,25989
Nico Collins,28,WR,HOU,WR9,4,23,56,31.91,6.71,20130
Jared Goff,29,QB,DET,QB15,4,8,55,32.08,8.47,15501
James Cook III,30,RB,BUF,RB6,4,13,52,32.46,10.48,22958
Chase Brown,31,RB,CIN,RB7,5,15,55,33.13,8.02,25324
Matthew Stafford,32,QB,LAR,QB16,5,7,163,33.18,17.51,9451
Brock Bowers,33,TE,LV,TE1,5,20,54,34.57,5.54,22955
Chris Olave,34,WR,NO,WR10,5,23,58,34.72,8.44,20111
George Pickens,35,WR,DAL,WR11,5,23,62,35.32,8.06,22963
De'Von Achane,36,RB,MIA,RB8,5,13,58,36.81,9.08,23136
Trey McBride,37,TE,ARI,TE2,5,25,60,36.88,5.95,22936
Rashee Rice,38,WR,KC,WR12,5,14,63,37.44,10.13,23113
DeVonta Smith,39,WR,PHI,WR13,5,23,63,39.87,8.91,19222
Kyler Murray,40,QB,MIN,QB17,5,7,64,37.10,11.66,18600
Omarion Hampton,41,RB,LAC,RB9,5,22,61,40.94,8.46,25395
Saquon Barkley,42,RB,PHI,RB10,5,22,66,41.02,6.89,17240
Malik Nabers,43,WR,NYG,WR14,5,21,73,41.08,10.83,25409
Baker Mayfield,44,QB,TB,QB18,5,18,60,44.89,10.49,17237
Kenneth Walker III,45,RB,KC,RB11,5,25,77,44.94,9.10,23021
Zay Flowers,46,WR,BAL,WR15,6,24,69,47.01,9.53,22916
Garrett Wilson,47,WR,NYJ,WR16,6,27,65,47.14,8.16,23072
Jordan Love,48,QB,GB,QB19,6,19,167,47.16,16.32,19246
Tyler Shough,49,QB,NO,QB20,6,17,175,49.84,17.39,23096
Tetairoa McMillan,50,WR,CAR,WR17,6,28,74,50.33,9.18,25417
Ladd McConkey,51,WR,LAC,WR18,6,28,73,51.73,8.67,26122
Jaylen Waddle,52,WR,DEN,WR19,6,34,70,52.61,8.06,19790
Tee Higgins,53,WR,CIN,WR20,6,30,74,52.78,8.70,19211
Colston Loveland,54,TE,CHI,TE3,6,35,104,55.10,15.74,26006
Derrick Henry,55,RB,BAL,RB12,6,28,74,55.28,10.68,15514
Jeremiyah Love,56,RB,ARI,RB13,6,38,88,56.46,10.16,25403
Emeka Egbuka,57,WR,TB,WR21,6,27,82,56.73,9.98,23062
Malik Willis,58,QB,MIA,QB21,6,19,94,54.12,13.18,23499
Breece Hall,59,RB,NYJ,RB14,6,48,77,57.96,7.61,22982
Kyren Williams,60,RB,LAR,RB15,6,40,79,61.01,8.49,23059
Josh Jacobs,61,RB,GB,RB16,7,45,81,64.13,8.90,18269
Javonte Williams,62,RB,DAL,RB17,7,48,81,64.63,7.79,22739
Terry McLaurin,63,WR,WAS,WR22,7,44,85,65.32,8.47,18466
C.J. Stroud,64,QB,HOU,QB22,7,24,87,62.91,9.65,23071
Luther Burden III,65,WR,CHI,WR23,7,43,91,66.41,10.78,27016
Sam Darnold,66,QB,SEA,QB23,7,26,179,64.02,14.37,17236
Travis Etienne Jr.,67,RB,NO,RB18,7,49,93,69.82,10.33,19231
Cam Ward,68,QB,TEN,QB24,7,34,156,71.03,14.84,24755
Davante Adams,69,WR,LAR,WR24,7,48,92,71.19,7.92,12123
DJ Moore,70,WR,BUF,WR25,7,35,117,73.09,13.52,17265
Daniel Jones,71,QB,IND,QB25,7,27,182,67.20,17.02,18232
Mike Evans,72,WR,SF,WR26,7,52,101,74.07,9.60,12119
Tyler Warren,73,TE,IND,TE4,7,39,104,74.28,12.96,26434
Jameson Williams,74,WR,DET,WR27,7,57,107,74.34,10.12,23677
Cam Skattebo,75,RB,NYG,RB19,7,46,99,74.70,10.84,27166
Rome Odunze,76,WR,CHI,WR28,7,56,102,77.64,9.39,25411
Christian Watson,77,WR,GB,WR29,7,59,107,77.96,9.29,23886
D'Andre Swift,78,RB,CHI,RB20,7,54,97,78.21,8.58,19210
Bucky Irving,79,RB,TB,RB21,7,58,109,79.72,9.75,25981
Bryce Young,80,QB,CAR,QB26,7,32,94,75.36,9.09,22900
David Montgomery,81,RB,HOU,RB22,7,54,105,82.02,9.94,18239
Quinshon Judkins,82,RB,CLE,RB23,7,58,99,82.11,9.14,25391
Carnell Tate,83,WR,TEN,WR30,8,63,180,86.10,19.10,26009
Parker Washington,84,WR,JAC,WR31,8,56,144,86.70,16.52,23106
TreVeyon Henderson,85,RB,NE,RB24,8,58,108,87.23,10.07,23065
Bhayshul Tuten,86,RB,JAC,RB25,8,66,115,88.39,9.99,27297
Marvin Harrison Jr.,87,WR,ARI,WR32,8,60,123,88.74,11.24,23064
Jacoby Brissett,88,QB,ARI,QB27,8,29,127,84.28,16.81,15642
Jadarian Price,89,RB,SEA,RB26,8,64,108,93.66,8.62,27329
Harold Fannin Jr.,90,TE,CLE,TE5,8,47,127,94.76,11.61,27050
Tucker Kraft,91,TE,GB,TE6,8,47,121,94.86,12.82,25298
Jaylen Warren,92,RB,PIT,RB27,8,79,111,95.67,6.87,24209
Brian Thomas Jr.,93,WR,JAC,WR33,8,69,127,96.08,12.59,23000
Chris Godwin Jr.,94,WR,TB,WR34,8,63,137,98.59,13.79,16406
Kyle Pitts Sr.,95,TE,ATL,TE7,8,78,122,98.82,9.45,20164
Rhamondre Stevenson,96,RB,NE,RB28,8,73,130,98.91,8.80,22726
DK Metcalf,97,WR,PIT,WR35,8,72,133,99.24,12.18,18219
Sam LaPorta,98,TE,DET,TE8,8,76,121,101.09,9.81,22978
Michael Pittman Jr.,99,WR,PIT,WR36,8,63,137,101.67,13.42,19278
Tony Pollard,100,RB,TEN,RB29,8,71,130,102.24,9.54,18705
Courtland Sutton,101,WR,DEN,WR37,8,72,134,102.74,12.31,17253
Josh Downs,102,WR,IND,WR38,8,63,144,103.64,14.75,24706
Wan'Dale Robinson,103,WR,TEN,WR39,8,57,145,104.03,15.44,22985
Rico Dowdle,104,RB,PIT,RB30,8,81,138,105.90,10.25,19647
Michael Wilson,105,WR,ARI,WR40,8,72,146,106.12,14.87,25333
Geno Smith,106,QB,NYJ,QB28,8,30,184,99.73,23.83,11687
Chuba Hubbard,107,RB,CAR,RB31,9,81,150,112.57,13.20,19792
RJ Harvey,108,RB,DEN,RB32,9,61,154,112.64,15.80,27142
Alec Pierce,109,WR,IND,WR41,9,73,144,112.97,14.64,23791
Jonathon Brooks,110,RB,CAR,RB33,9,81,220,115.23,25.62,26148
Aaron Rodgers,111,QB,PIT,QB29,9,30,176,95.77,22.79,9001
Travis Kelce,112,TE,KC,TE9,9,87,148,115.91,12.39,11594
Kenny Gainwell,113,RB,TB,RB34,9,85,145,116.23,11.72,23310
Quentin Johnston,114,WR,LAC,WR42,9,72,154,116.48,13.55,23123
Jakobi Meyers,115,WR,JAC,WR43,9,75,167,116.67,14.64,18598
