name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Josh Allen,1,1,QB,QB,BUF,2181054,15,433,297,3404,226.9,28,10,103.9,129,591,4.6,11,3,388,25.9,2026
Trevor Lawrence,2,2,QB,QB,JAC,2967185,16,494,308,3723,232.7,32,13,96.1,70,312,4.5,5,2,357,22.3,2026
Patrick Mahomes,3,3,QB,QB,KC,2142052,16,551,342,3619,226.2,29,12,89.6,80,395,4.9,5,1,347,21.7,2026
Jayden Daniels,4,4,QB,QB,WAS,3123337,16,449,283,3254,203.4,26,10,94.8,125,699,5.6,4,2,342,21.4,2026
Dak Prescott,5,5,QB,QB,DAL,1824864,16,575,375,4067,254.2,31,11,95.9,54,192,3.6,2,2,340,21.3,2026
Jaxson Dart,6,6,QB,QB,NYG,26694019,16,475,298,3281,205.1,25,12,90.2,108,571,5.3,7,2,338,21.1,2026
Brock Purdy,7,7,QB,QB,SF,2961306,16,524,359,3814,238.4,29,15,96,78,341,4.4,5,4,338,21.1,2026
Lamar Jackson,8,8,QB,QB,BAL,2181169,15,356,239,3114,207.6,30,9,112,95,522,5.5,3,5,330,22,2026
Jalen Hurts,9,9,QB,QB,PHI,2240246,15,415,267,3028,201.9,25,5,101.2,103,454,4.4,7,3,328,21.9,2026
Caleb Williams,10,10,QB,QB,CHI,26695775,15,505,301,3480,232,27,8,91.7,75,375,5,3,2,322,21.5,2026
Joe Burrow,11,11,QB,QB,CIN,2179798,15,543,364,3790,252.7,31,12,96.9,35,182,5.2,1,1,320,21.3,2026
Jared Goff,12,12,QB,QB,DET,2061053,15,475,335,3828,255.2,31,8,109.2,25,51,2,0,3,311,20.7,2026
Matthew Stafford,13,13,QB,QB,LAR,1114942,16,497,314,3662,228.9,30,7,99.7,24,36,1.5,0,2,303,18.9,2026
Daniel Jones,14,14,QB,QB,IND,2179245,16,500,315,3604,225.3,28,11,94.1,44,155,3.5,2,3,296,18.5,2026
Drake Maye,15,15,QB,QB,NE,26695757,15,416,286,3313,220.9,24,12,99.8,88,476,5.4,3,5,290,19.3,2026
Justin Herbert,16,16,QB,QB,LAC,2221960,16,481,315,3346,209.1,23,13,90.3,75,475,6.3,2,1,288,18,2026
Tyler Shough,17,17,QB,QB,NO,2964064,15,512,342,3715,247.7,23,13,92.4,66,266,4,4,5,283,18.9,2026
B. Nix,18,18,QB,QB,DEN,3121193,16,525,332,3185,199.1,25,10,88,67,272,4.1,3,2,283,17.7,2026
Jordan Love,19,19,QB,QB,GB,2239997,15,455,293,3607,240.5,27,9,100.3,40,166,4.2,0,3,282,18.8,2026
Bryce Young,20,20,QB,QB,CAR,3161957,15,460,295,3089,205.9,25,12,90.8,51,227,4.5,4,1,279,18.6,2026
Baker Mayfield,21,21,QB,QB,TB,2080032,15,478,309,3357,223.8,24,12,91.5,53,344,6.5,3,5,278,18.5,2026
Jacoby Brissett,22,22,QB,QB,ARI,1877247,16,559,365,3640,227.5,24,10,90.5,61,238,3.9,1,5,274,17.1,2026
Kyler Murray,23,24,QB,QB,MIN,2180829,15,417,266,2941,196.1,26,18,87.4,61,400,6.6,3,3,271,18.1,2026
C.J. Stroud,24,23,QB,QB,HOU,3163079,15,505,315,3533,235.5,25,10,91.5,44,202,4.6,1,5,271,18.1,2026
Sam Darnold,25,25,QB,QB,SEA,2180320,15,427,291,3536,235.7,27,11,103.7,40,117,2.9,0,5,267,17.8,2026
Malik Willis,26,26,QB,QB,MIA,2804167,16,424,283,2850,178.1,20,18,83.7,136,666,4.9,4,5,265,16.6,2026
Cam Ward,27,27,QB,QB,TEN,3168422,15,487,290,2915,194.3,20,8,83.5,36,159,4.4,2,5,221,14.7,2026
Geno Smith,28,28,QB,QB,NYJ,1700358,15,425,273,2648,176.5,21,13,85.3,54,194,3.6,1,1,213,14.2,2026
Aaron Rodgers,29,29,QB,QB,PIT,419780,15,429,271,2741,182.7,20,7,90.1,21,52,2.5,1,2,211,14.1,2026
Fernando Mendoza,30,30,QB,QB,LV,28916321,16,418,281,2566,160.4,20,16,83.7,53,244,4.6,1,2,202,12.6,2026
Michael Penix Jr.,31,31,QB,QB,ATL,2963496,14,350,224,2608,186.3,18,9,92.9,24,74,3.1,1,3,187,13.4,2026
Deshaun Watson,32,32,QB,QB,CLE,2133482,15,369,230,2453,163.5,15,12,81.7,63,325,5.2,2,3,186,12.4,2026
Tua Tagovailoa,33,33,QB,QB,ATL,2741209,15,95,61,700,46.7,5,2,95.1,5,11,2.2,0,0,44,2.9,2026
Shedeur Sanders,34,34,QB,QB,CLE,26710004,15,92,58,613,40.9,4,3,83.3,9,59,6.6,0,0,34,2.3,2026
T. Simpson,35,35,QB,QB,LAR,28878532,16,56,35,409,25.6,3,1,95,7,30,4.3,0,0,26,1.6,2026
Kirk Cousins,36,36,QB,QB,LV,1272574,16,74,49,463,28.9,3,3,80,6,5,0.8,0,0,24,1.5,2026
Drew Lock,37,37,QB,QB,SEA,2185479,16,46,30,363,22.7,3,1,102,7,31,4.4,0,0,23,1.4,2026
Marcus Mariota,38,38,QB,QB,WAS,1880862,16,45,28,325,20.3,3,1,97,1,6,6,0,0,21,1.3,2026
Anthony Richardson,39,39,QB,QB,IND,3163263,16,20,13,152,9.5,1,0,104.6,4,19,4.8,0,0,10,0.6,2026
Jameis Winston,40,41,QB,QB,NYG,1998197,16,19,12,134,8.4,1,0,101.6,5,20,4,0,0,9,0.6,2026
Jarrett Stidham,41,42,QB,QB,DEN,2180697,16,22,14,130,8.1,1,0,94.9,4,17,4.3,0,0,9,0.6,2026
Stetson Bennett,42,40,QB,QB,LAR,2871628,16,20,13,138,8.6,1,0,101.7,3,20,6.7,0,0,9,0.6,2026
Gardner Minshew,43,43,QB,QB,ARI,2183083,16,23,15,148,9.3,1,0,97.7,4,15,3.8,0,0,8,0.5,2026
Tyrod Taylor,44,53,QB,QB,GB,1243338,15,19,12,147,9.8,1,0,104.5,4,17,4.3,0,0,7,0.5,2026
Justin Fields,45,56,QB,QB,KC,1273205,16,22,14,146,9.1,1,1,79,4,23,5.8,0,0,7,0.4,2026
Mitch Trubisky,46,57,QB,QB,TEN,2060476,15,20,11,107,7.1,1,0,86.9,3,9,3,0,0,7,0.5,2026
