name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.4,1.01,1150,1,4,0.6,6,ppr,8,6,5144,2026-09-01,2026-09-08
Bijan Robinson,2,2,RB,ATL,5670,2.3,1.02,585,1,5,0.7,11,ppr,8,6,5144,2026-09-01,2026-09-08
Puka Nacua,3,3,WR,LAR,5714,2.8,1.03,153,1,5,0.8,11,ppr,8,6,5144,2026-09-01,2026-09-08
Ja'Marr Chase,4,4,WR,CIN,5177,3.8,1.04,1091,1,8,1.1,6,ppr,8,6,5144,2026-09-01,2026-09-08
Christian McCaffrey,5,5,RB,SF,2434,5.5,1.06,629,2,13,1.4,8,ppr,8,6,5144,2026-09-01,2026-09-08
Jaxon Smith-Njigba,6,6,WR,SEA,5671,5.7,1.06,597,2,9,1.3,11,ppr,8,6,5144,2026-09-01,2026-09-08
Amon-Ra St. Brown,7,7,WR,DET,5182,7,1.07,777,3,12,1.5,6,ppr,8,6,5144,2026-09-01,2026-09-08
Jonathan Taylor,8,8,RB,IND,4864,7.4,1.07,982,3,14,1.7,13,ppr,8,6,5144,2026-09-01,2026-09-08
De'Von Achane,9,9,RB,MIA,5683,9.6,2.02,344,5,16,1.6,6,ppr,8,6,5144,2026-09-01,2026-09-08
CeeDee Lamb,10,10,WR,DAL,4869,10.5,2.02,526,6,16,1.7,14,ppr,8,6,5144,2026-09-01,2026-09-08
James Cook III,11,11,RB,BUF,5652,11.3,2.03,1410,3,20,2.8,7,ppr,8,6,5144,2026-09-01,2026-09-08
Justin Jefferson,12,12,WR,MIN,4876,11.7,2.04,594,7,17,2,6,ppr,8,6,5144,2026-09-01,2026-09-08
Chase Brown,13,13,RB,CIN,5706,13.1,2.05,911,6,20,2.5,6,ppr,8,6,5144,2026-09-01,2026-09-08
Drake London,14,14,WR,ATL,5574,13.8,2.06,145,9,18,1.9,11,ppr,8,6,5144,2026-09-01,2026-09-08
Derrick Henry,15,15,RB,BAL,2350,15.5,2.07,531,9,24,2.3,13,ppr,8,6,5144,2026-09-01,2026-09-08
A.J. Brown,16,16,WR,NE,3247,16.5,3.01,790,9,24,2.7,11,ppr,8,6,5144,2026-09-01,2026-09-08
Rashee Rice,17,17,WR,KC,5696,17.3,3.01,162,11,28,2.3,5,ppr,8,6,5144,2026-09-01,2026-09-08
Saquon Barkley,18,18,RB,PHI,2860,18.3,3.02,1711,9,29,3.4,10,ppr,8,6,5144,2026-09-01,2026-09-08
George Pickens,19,19,WR,DAL,5576,19.9,3.04,361,12,28,3,14,ppr,8,6,5144,2026-09-01,2026-09-08
Chris Olave,20,20,WR,NO,5544,20,3.04,340,13,28,2.4,8,ppr,8,6,5144,2026-09-01,2026-09-08
Nico Collins,21,21,WR,HOU,5207,20.1,3.04,402,13,27,2.7,8,ppr,8,6,5144,2026-09-01,2026-09-08
Kenneth Walker,22,22,RB,KC,5625,21,3.05,1416,11,32,3.8,5,ppr,8,6,5144,2026-09-01,2026-09-08
Ashton Jeanty,23,23,RB,LV,6500,21.2,3.05,460,10,30,4.1,13,ppr,8,6,5144,2026-09-01,2026-09-08
Omarion Hampton,24,24,RB,LAC,6538,22.3,3.06,1319,11,33,4.2,7,ppr,8,6,5144,2026-09-01,2026-09-08
Zay Flowers,25,25,WR,BAL,5675,24.6,4.01,213,19,33,2.5,13,ppr,8,6,5144,2026-09-01,2026-09-08
Malik Nabers,26,26,WR,NYG,6183,26.8,4.03,886,17,40,3.7,8,ppr,8,6,5144,2026-09-01,2026-09-08
Garrett Wilson,27,27,WR,NYJ,5548,26.9,4.03,320,19,40,2.9,13,ppr,8,6,5144,2026-09-01,2026-09-08
Jeremiyah Love,28,28,RB,ARI,6769,28.2,4.04,344,20,38,3.1,14,ppr,8,6,5144,2026-09-01,2026-09-08
DeVonta Smith,29,29,WR,PHI,4883,29.1,4.05,746,20,41,3.3,10,ppr,8,6,5144,2026-09-01,2026-09-08
Breece Hall,30,30,RB,NYJ,5503,30.6,4.07,367,22,38,3,13,ppr,8,6,5144,2026-09-01,2026-09-08
Trey McBride,31,31,TE,ARI,5656,31.2,4.07,693,15,46,6.5,14,ppr,8,6,5144,2026-09-01,2026-09-08
Tetairoa McMillan,32,32,WR,CAR,6561,31.6,4.08,300,21,41,4.3,5,ppr,8,6,5144,2026-09-01,2026-09-08
Javonte Williams,33,33,RB,DAL,5185,31.7,4.08,826,21,46,4,14,ppr,8,6,5144,2026-09-01,2026-09-08
Kyren Williams,34,34,RB,LAR,5623,31.8,4.08,623,22,45,3.6,11,ppr,8,6,5144,2026-09-01,2026-09-08
Josh Allen,35,35,QB,BUF,2885,32.4,4.08,691,13,46,7.4,7,ppr,8,6,5144,2026-09-01,2026-09-08
Brock Bowers,36,36,TE,LV,6178,34.5,5.02,1266,16,48,7,13,ppr,8,6,5144,2026-09-01,2026-09-08
Emeka Egbuka,37,37,WR,TB,6576,35.5,5.03,799,24,49,4.2,10,ppr,8,6,5144,2026-09-01,2026-09-08
Travis Etienne Jr.,38,38,RB,NO,4863,36.3,5.04,473,26,46,3.7,8,ppr,8,6,5144,2026-09-01,2026-09-08
Tee Higgins,39,39,WR,CIN,4870,36.6,5.05,440,25,50,4.1,6,ppr,8,6,5144,2026-09-01,2026-09-08
Cam Skattebo,40,40,RB,NYG,6509,37.5,5.06,270,26,49,4.4,8,ppr,8,6,5144,2026-09-01,2026-09-08
Ladd McConkey,41,41,WR,LAC,6281,38.8,5.07,1281,27,52,4.3,7,ppr,8,6,5144,2026-09-01,2026-09-08
Davante Adams,42,42,WR,LAR,2125,41.8,6.02,502,28,61,5,11,ppr,8,6,5144,2026-09-01,2026-09-08
D'Andre Swift,43,43,RB,CHI,4862,42.5,6.02,749,31,53,4,10,ppr,8,6,5144,2026-09-01,2026-09-08
Jaylen Waddle,44,44,WR,DEN,5178,44.2,6.04,1130,31,62,5,10,ppr,8,6,5144,2026-09-01,2026-09-08
Jameson Williams,45,45,WR,DET,5643,45.6,6.06,305,33,63,4.7,6,ppr,8,6,5144,2026-09-01,2026-09-08
Bucky Irving,46,46,RB,TB,6190,45.7,6.06,304,33,55,4.6,10,ppr,8,6,5144,2026-09-01,2026-09-08
DJ Moore,47,47,WR,BUF,2876,47.4,6.07,1197,31,70,5.9,7,ppr,8,6,5144,2026-09-01,2026-09-08
Terry McLaurin,48,48,WR,WAS,3449,48.3,6.08,377,37,68,5.1,7,ppr,8,6,5144,2026-09-01,2026-09-08
Quinshon Judkins,49,49,RB,CLE,6531,49.2,7.01,347,35,61,5.2,11,ppr,8,6,5144,2026-09-01,2026-09-08
Luther Burden III,50,50,WR,CHI,6559,50.7,7.03,680,35,70,6,10,ppr,8,6,5144,2026-09-01,2026-09-08
Drake Maye,51,51,QB,NE,6187,51.1,7.03,256,28,69,8.7,11,ppr,8,6,5144,2026-09-01,2026-09-08
David Montgomery,52,52,RB,HOU,3238,51.9,7.04,673,35,72,6.3,8,ppr,8,6,5144,2026-09-01,2026-09-08
Bhayshul Tuten,53,53,RB,JAX,6513,53.6,7.06,664,37,72,6.2,7,ppr,8,6,5144,2026-09-01,2026-09-08
Colston Loveland,54,54,TE,CHI,6501,53.8,7.06,1366,27,80,10.1,10,ppr,8,6,5144,2026-09-01,2026-09-08
Joe Burrow,55,55,QB,CIN,4882,54.5,7.06,286,36,68,7.1,6,ppr,8,6,5144,2026-09-01,2026-09-08
Rome Odunze,56,56,WR,CHI,6194,54.9,7.07,655,39,74,5.8,10,ppr,8,6,5144,2026-09-01,2026-09-08
Lamar Jackson,57,57,QB,BAL,2888,55,7.07,460,33,75,8.4,13,ppr,8,6,5144,2026-09-01,2026-09-08
Christian Watson,58,58,WR,GB,5360,56.5,7.08,956,40,80,6.2,11,ppr,8,6,5144,2026-09-01,2026-09-08
Mike Evans,59,59,WR,SF,2111,57.4,8.01,431,39,78,6.9,8,ppr,8,6,5144,2026-09-01,2026-09-08
