name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,15,296,1513,5.1,16,85,69,611,40.7,8.9,5,3,316,21.1,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,16,334,1537,4.6,17,53,41,326,20.4,8,2,3,279,17.4,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,15,275,1349,4.9,9,96,76,761,50.7,10,5,2,274,18.3,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,15,274,1499,5.5,14,19,15,159,10.6,10.6,1,2,235,15.7,2026
Ashton Jeanty,5,5,RB,RB,LV,28874008,16,281,1026,3.7,10,75,59,404,25.3,6.9,8,1,234,14.6,2026
Kenneth Walker III,6,6,RB,RB,KC,3121372,16,286,1327,4.6,8,64,51,387,24.2,7.6,2,1,213,13.3,2026
Cam Skattebo,7,7,RB,RB,NYG,26697012,16,252,1103,4.4,10,51,38,348,21.8,9.2,3,2,202,12.6,2026
Javonte Williams,8,8,RB,RB,DAL,2961719,16,245,1091,4.5,12,56,42,213,13.3,5.1,3,2,201,12.6,2026
Christian McCaffrey,9,10,RB,RB,SF,2136743,16,213,851,4,7,86,66,577,36.1,8.7,4,1,192,12,2026
James Cook III,10,9,RB,RB,BUF,2975698,15,284,1369,4.8,8,38,29,214,14.3,7.4,1,2,192,12.8,2026
Saquon Barkley,11,11,RB,RB,PHI,2185957,15,269,1269,4.7,7,53,38,274,18.3,7.2,2,1,189,12.6,2026
Chase Brown,12,12,RB,RB,CIN,2965160,15,204,871,4.3,9,84,67,422,28.1,6.3,4,1,189,12.6,2026
De'Von Achane,13,13,RB,RB,MIA,3171161,16,221,1025,4.6,5,85,69,480,30,7,4,1,188,11.8,2026
D'Andre Swift,14,15,RB,RB,CHI,2871710,15,220,1015,4.6,9,39,29,283,18.9,9.8,1,1,170,11.3,2026
Kyren Williams,15,14,RB,RB,LAR,3121836,16,199,939,4.7,9,41,33,242,15.1,7.3,3,2,170,10.6,2026
Jeremiyah Love,16,16,RB,RB,ARI,29133405,16,205,922,4.5,8,57,41,354,22.1,8.6,2,3,166,10.4,2026
Breece Hall,17,17,RB,RB,NYJ,3123469,15,210,980,4.7,7,45,35,322,21.5,9.2,2,2,164,10.9,2026
Omarion Hampton,18,18,RB,RB,LAC,28908905,16,220,911,4.1,10,43,39,246,15.4,6.3,2,4,163,10.2,2026
Bhayshul Tuten,19,19,RB,RB,JAC,26732838,16,222,943,4.3,10,22,16,160,10,10,2,2,162,10.1,2026
Bucky Irving,20,20,RB,RB,TB,26693770,15,217,876,4,7,48,43,376,25.1,8.7,2,3,157,10.5,2026
Chuba Hubbard,21,21,RB,RB,CAR,2865693,15,196,838,4.3,7,44,34,237,15.8,7,4,2,152,10.1,2026
Jadarian Price,22,22,RB,RB,SEA,28875230,16,214,941,4.4,7,34,26,261,16.3,10,2,3,151,9.4,2026
Jacory Croskey-Merritt,23,23,RB,RB,WAS,3126952,16,219,1005,4.6,10,15,12,58,3.6,4.8,0,2,150,9.4,2026
Quinshon Judkins,24,24,RB,RB,CLE,28878286,15,248,857,3.5,9,46,34,258,17.2,7.6,0,1,148,9.9,2026
David Montgomery,25,25,RB,RB,HOU,2261252,15,233,854,3.7,9,28,24,193,12.9,8,1,1,144,9.6,2026
Travis Etienne,26,26,RB,RB,NO,2809206,15,190,753,4,4,62,45,311,20.7,6.9,4,1,137,9.1,2026
J.K. Dobbins,27,27,RB,RB,DEN,2804420,16,225,1048,4.7,6,21,17,62,3.9,3.7,0,1,133,8.3,2026
Rhamondre Stevenson,28,28,RB,RB,NE,3125832,15,173,687,4,6,42,35,334,22.3,9.5,2,2,129,8.6,2026
Jaylen Warren,29,29,RB,RB,PIT,3126535,15,168,731,4.4,5,45,38,276,18.4,7.3,1,2,115,7.7,2026
Kyle Monangai,30,30,RB,RB,CHI,3177368,15,185,839,4.5,5,33,22,209,13.9,9.5,0,1,115,7.7,2026
R. Harvey,31,31,RB,RB,DEN,3121207,15,126,449,3.6,5,52,43,308,20.5,7.2,4,1,111,7.4,2026
Tony Pollard,32,32,RB,RB,TEN,2184011,15,186,828,4.5,5,39,29,168,11.2,5.8,0,2,110,7.3,2026
TreVeyon Henderson,33,33,RB,RB,NE,26699547,15,148,685,4.6,6,33,27,160,10.7,5.9,1,1,108,7.2,2026
Blake Corum,34,34,RB,RB,LAR,3169252,16,173,872,5,5,8,5,29,1.8,5.8,0,1,108,6.8,2026
MarShawn Lloyd,35,35,RB,RB,GB,3162514,15,188,761,4.1,5,20,10,106,7.1,10.6,1,2,104,6.9,2026
Aaron Jones,36,36,RB,RB,MIN,2071937,15,156,682,4.4,4,45,32,231,15.4,7.2,1,1,103,6.9,2026
Kaelon Black,37,37,RB,RB,SF,3162599,16,186,734,4,5,17,13,124,7.8,9.5,1,2,102,6.4,2026
Jordan Mason,38,38,RB,RB,MIN,2967536,12,144,720,5,6,12,11,49,4.1,4.5,0,1,99,8.3,2026
Rico Dowdle,39,39,RB,RB,PIT,2252798,15,140,597,4.3,5,41,30,210,14,7,1,1,98,6.5,2026
Chris Rodriguez Jr.,40,40,RB,RB,JAC,2964667,16,147,593,4,7,2,2,17,1.1,8.5,0,1,93,5.8,2026
Kenneth Gainwell,41,41,RB,RB,TB,2968948,15,104,438,4.2,3,57,49,356,23.7,7.3,2,1,91,6.1,2026
Josh Jacobs,42,42,RB,RB,GB,2257876,14,113,442,3.9,5,31,25,203,14.5,8.1,1,1,81,5.8,2026
Jonathon Brooks,43,43,RB,RB,CAR,26730706,15,121,483,4,4,23,16,212,14.1,13.3,1,1,81,5.4,2026
Zach Charbonnet,44,44,RB,RB,SEA,3123810,13,109,451,4.1,6,21,17,136,10.5,8,0,1,75,5.8,2026
Rachaad White,45,45,RB,RB,WAS,3169147,16,108,506,4.7,3,25,23,151,9.4,6.6,1,1,72,4.5,2026
Alvin Kamara,46,46,RB,RB,NO,2082721,15,115,426,3.7,3,39,31,234,15.6,7.6,1,1,71,4.7,2026
Tyler Allgeier,47,47,RB,RB,ARI,2975590,16,133,471,3.5,5,19,17,100,6.3,5.9,0,1,71,4.4,2026
