name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Puka Nacua,1,1,WR,WR,LAR,3121687,17,177,129,1701,100.1,13.2,9,15,109,7.3,2,1,231,13.6,2026
Jaxon Smith-Njigba,2,2,WR,WR,SEA,3162959,17,154,111,1616,95.1,14.6,11,7,36,5.1,0,1,219,12.9,2026
Drake London,3,3,WR,WR,ATL,3127902,17,169,104,1424,83.8,13.7,14,0,0,0,0,1,216,12.7,2026
Ja'Marr Chase,4,4,WR,WR,CIN,2966320,17,187,129,1555,91.5,12.1,10,3,19,6.3,0,1,207,12.2,2026
Amon-Ra St. Brown,5,5,WR,WR,DET,2967690,17,161,114,1365,80.3,12,11,3,8,2.7,0,0,195,11.5,2026
George Pickens,6,6,WR,WR,DAL,3123212,17,142,94,1388,81.6,14.8,10,1,-1,-1,0,0,191,11.2,2026
Rashee Rice,7,7,WR,WR,KC,3124978,17,150,104,1049,61.7,10.1,13,8,34,4.3,2,0,188,11.1,2026
A.J. Brown,8,8,WR,WR,NE,2258303,17,147,94,1333,78.4,14.2,9,0,0,0,0,0,178,10.5,2026
Chris Olave,9,9,WR,WR,NO,2963666,17,152,99,1239,72.9,12.5,10,1,0,0,0,0,175,10.3,2026
Nico Collins,10,10,WR,WR,HOU,2878193,17,134,82,1233,72.5,15,8,2,13,6.5,1,1,167,9.8,2026
Zay Flowers,11,11,WR,WR,BAL,3127049,17,118,83,1194,70.2,14.4,8,10,60,6,1,2,164,9.6,2026
Tee Higgins,12,12,WR,WR,CIN,2809208,17,119,74,1037,61,14,11,0,0,0,0,0,163,9.6,2026
CeeDee Lamb,13,13,WR,WR,DAL,2865251,17,157,102,1334,78.5,13.1,6,5,25,5,0,0,161,9.5,2026
Justin Jefferson,14,14,WR,WR,MIN,2871343,17,146,90,1268,74.6,14.1,7,2,6,3,0,0,160,9.4,2026
Malik Nabers,15,15,WR,WR,NYG,26697761,17,124,74,998,58.7,13.5,11,4,2,0.5,0,0,156,9.2,2026
Alec Pierce,16,16,WR,WR,IND,2965664,17,101,56,1074,63.2,19.2,9,0,0,0,0,0,154,9.1,2026
Emeka Egbuka,17,17,WR,WR,TB,26696165,17,143,72,1121,65.9,15.6,8,2,10,5,0,0,151,8.9,2026
Jameson Williams,18,18,WR,WR,DET,3125968,17,98,63,1079,63.5,17.1,7,7,39,5.6,1,0,149,8.8,2026
Terry McLaurin,19,19,WR,WR,WAS,2139279,17,98,64,926,54.5,14.5,10,1,1,1,0,0,144,8.5,2026
Rome Odunze,20,21,WR,WR,CHI,3162979,17,132,66,971,57.1,14.7,9,1,4,4,0,0,143,8.4,2026
Ladd McConkey,21,20,WR,WR,LAC,3163962,17,126,82,1035,60.9,12.6,8,0,0,0,0,0,143,8.4,2026
DeVonta Smith,22,22,WR,WR,PHI,2866975,17,126,90,1155,67.9,12.8,6,0,0,0,0,0,142,8.4,2026
Tetairoa McMillan,23,23,WR,WR,CAR,28877124,17,128,74,1098,64.6,14.8,7,0,0,0,0,1,141,8.3,2026
Garrett Wilson,24,24,WR,WR,NYJ,3123864,17,140,89,955,56.2,10.7,9,1,2,2,0,1,139,8.2,2026
Mike Evans,25,25,WR,WR,SF,1824909,17,134,76,993,58.4,13.1,8,0,0,0,0,0,138,8.1,2026
Davante Adams,26,26,WR,WR,LAR,1893167,17,128,68,851,50.1,12.5,10,0,0,0,0,0,138,8.1,2026
Christian Watson,27,27,WR,WR,GB,2869806,17,89,53,940,55.3,17.7,8,3,11,3.7,0,0,134,7.9,2026
Luther Burden III,28,28,WR,WR,CHI,28874444,17,98,70,1025,60.3,14.6,6,8,31,3.9,0,0,132,7.8,2026
Marvin Harrison Jr.,29,29,WR,WR,ARI,26701883,17,125,69,947,55.7,13.7,7,0,0,0,0,0,128,7.5,2026
D. Moore,30,32,WR,WR,BUF,2179328,17,109,70,815,47.9,11.6,8,16,81,5.1,1,1,127,7.5,2026
Jaylen Waddle,31,31,WR,WR,DEN,2962110,17,114,75,993,58.4,13.2,6,3,25,8.3,0,0,127,7.5,2026
Brian Thomas Jr.,32,30,WR,WR,JAC,3132164,17,105,60,931,54.8,15.5,6,4,29,7.3,1,0,127,7.5,2026
Courtland Sutton,33,34,WR,WR,DEN,2218461,17,118,70,909,53.5,13,7,0,0,0,0,0,125,7.4,2026
Parker Washington,34,33,WR,WR,JAC,3168820,17,101,61,915,53.8,15,7,7,2,0.3,0,0,125,7.4,2026
D. Metcalf,35,35,WR,WR,PIT,2260185,17,103,61,889,52.3,14.6,6,2,10,5,1,0,123,7.2,2026
Quentin Johnston,36,36,WR,WR,LAC,3162609,17,98,58,786,46.2,13.6,9,3,8,2.7,0,1,122,7.2,2026
Chris Godwin,37,38,WR,WR,TB,2818150,17,108,75,842,49.5,11.2,6,1,1,1,0,0,111,6.5,2026
Jordan Addison,38,37,WR,WR,MIN,3162290,17,89,50,735,43.2,14.7,6,3,78,26,1,0,111,6.5,2026
Rashod Bateman,39,39,WR,WR,BAL,2960940,17,78,43,631,37.1,14.7,9,0,0,0,0,0,109,6.4,2026
Michael Wilson,40,40,WR,WR,ARI,2965181,17,106,66,797,46.9,12.1,6,0,2,0,0,0,106,6.2,2026
Rashid Shaheed,41,41,WR,WR,SEA,2250863,17,96,57,863,50.8,15.1,4,13,91,7,0,1,104,6.1,2026
Tank Dell,42,42,WR,WR,HOU,2963970,17,99,62,799,47,12.9,5,12,53,4.4,0,0,104,6.1,2026
Jakobi Meyers,43,43,WR,WR,JAC,2183835,17,102,68,805,47.4,11.8,5,4,17,4.3,0,1,101,5.9,2026
Calvin Ridley,44,45,WR,WR,TEN,2186328,17,99,50,849,49.9,17,3,3,23,7.7,1,0,100,5.9,2026
Jordyn Tyson,45,44,WR,WR,NO,28900885,17,99,61,871,51.2,14.3,4,2,10,5,0,2,100,5.9,2026
Jayden Reed,46,46,WR,WR,GB,2967762,17,77,60,730,42.9,12.2,5,16,127,7.9,0,0,99,5.8,2026
Josh Downs,47,47,WR,WR,IND,3162970,17,118,78,717,42.2,9.2,6,2,2,1,0,1,98,5.8,2026
Jalen Coker,48,48,WR,WR,CAR,3163990,17,72,54,699,41.1,12.9,6,0,0,0,0,1,97,5.7,2026
Deebo Samuel,49,51,WR,WR,SF,2139735,17,92,65,650,38.2,10,5,36,114,3.2,1,0,96,5.6,2026
Romeo Doubs,50,49,WR,WR,NE,2961886,17,86,56,732,43.1,13.1,5,0,0,0,0,0,96,5.6,2026
Wan'Dale Robinson,51,50,WR,WR,TEN,3124107,17,128,84,799,47,9.5,4,2,6,3,0,0,96,5.6,2026
Michael Pittman,52,53,WR,WR,PIT,2240188,17,110,77,676,39.8,8.8,6,0,0,0,0,0,94,5.5,2026
Jayden Higgins,53,52,WR,WR,HOU,26708551,17,80,49,602,35.4,12.3,7,0,0,0,0,0,94,5.5,2026
Jauan Jennings,54,54,WR,WR,MIN,2180514,17,83,51,628,36.9,12.3,7,0,0,0,0,1,93,5.5,2026
Stefon Diggs,55,55,WR,WR,WAS,2000038,17,85,68,749,44.1,11,4,1,2,2,0,0,91,5.4,2026
Xavier Worthy,56,56,WR,WR,KC,26730787,17,88,53,642,37.8,12.1,4,22,146,6.6,1,0,91,5.4,2026
Denzel Boston,57,57,WR,WR,CLE,28875368,17,96,59,787,46.3,13.3,4,2,10,5,0,2,90,5.3,2026
K. Concepcion,58,58,WR,WR,CLE,29123718,17,96,59,787,46.3,13.3,4,2,10,5,0,2,90,5.3,2026
Matthew Golden,59,59,WR,WR,GB,28874927,17,70,47,702,41.3,14.9,4,12,57,4.8,0,0,89,5.2,2026
Carnell Tate,60,60,WR,WR,TEN,29124411,17,91,56,773,45.5,13.8,4,2,9,4.5,0,2,89,5.2,2026
Theo Wease Jr.,61,61,WR,WR,MIA,3124276,17,79,48,686,40.4,14.3,5,2,8,4,0,1,89,5.2,2026
Kayshon Boutte,62,62,WR,WR,NE,3163170,17,58,37,606,35.6,16.4,6,0,0,0,0,0,88,5.2,2026
John Metchie III,63,63,WR,WR,CAR,3121171,17,97,65,619,36.4,9.5,6,3,-4,-1.3,0,1,87,5.1,2026
Makai Lemon,64,64,WR,WR,PHI,29123772,17,87,54,737,43.4,13.7,4,3,13,4.3,0,2,86,5.1,2026
Cooper Kupp,65,66,WR,WR,SEA,2006951,17,85,57,697,41,12.2,4,1,3,3,0,1,85,5,2026
Elic Ayomanor,66,65,WR,WR,TEN,28900714,17,85,42,571,33.6,13.6,6,0,0,0,0,0,85,5,2026
Jalen Nailor,67,67,WR,WR,LV,2967232,17,76,43,574,33.8,13.4,6,2,6,3,0,0,85,5,2026
Troy Franklin,68,69,WR,WR,DEN,26693436,17,92,57,588,34.6,10.3,6,4,11,2.8,0,1,84,4.9,2026
De'Zhaun Stribling,69,68,WR,WR,SF,26696676,17,88,54,727,42.8,13.5,4,3,13,4.3,0,2,84,4.9,2026
Tre Tucker,70,70,WR,WR,LV,3121848,17,85,52,611,35.9,11.8,5,12,48,4,0,0,83,4.9,2026
Jerry Jeudy,71,71,WR,WR,CLE,2741201,17,106,55,743,43.7,13.5,3,1,4,4,0,1,82,4.8,2026
Ja'Kobi Lane,72,72,WR,WR,BAL,29158151,17,59,37,601,35.4,16.2,5,3,17,5.7,0,1,81,4.8,2026
Christian Kirk,73,73,WR,WR,SF,2180820,17,97,56,636,37.4,11.4,4,0,0,0,0,0,79,4.6,2026
Khalil Shakir,74,75,WR,WR,BUF,2969119,17,85,67,648,38.1,9.7,4,1,4,4,0,1,78,4.6,2026
Jalen McMillan,75,74,WR,WR,TB,3162347,17,66,46,625,36.8,13.6,4,5,29,5.8,0,0,78,4.6,2026
Marquise Brown,76,76,WR,WR,PHI,2804128,17,69,44,546,32.1,12.4,5,0,0,0,0,0,77,4.5,2026
Antonio Williams,77,77,WR,WR,WAS,28877974,17,73,45,649,38.2,14.4,4,3,15,5,0,2,76,4.5,2026
