name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Josh Allen,1,1,QB,QB,BUF,2181054,15,433,297,3404,226.9,28,10,103.9,129,591,4.6,11,3,388,25.9,2026
Jalen Hurts,2,3,QB,QB,PHI,2240246,16,443,286,3252,203.3,27,5,102.1,110,484,4.4,8,4,357,22.3,2026
Trevor Lawrence,3,2,QB,QB,JAC,2967185,16,494,308,3724,232.8,32,13,96.1,70,312,4.5,5,2,357,22.3,2026
Lamar Jackson,4,4,QB,QB,BAL,2181169,16,380,255,3310,206.9,32,9,112.5,101,553,5.5,3,6,353,22.1,2026
Patrick Mahomes,5,5,QB,QB,KC,2142052,16,551,342,3620,226.3,29,12,89.7,80,395,4.9,5,1,347,21.7,2026
Caleb Williams,6,6,QB,QB,CHI,26695775,16,538,320,3697,231.1,29,8,92.1,80,399,5,3,2,345,21.6,2026
Joe Burrow,7,8,QB,QB,CIN,2179798,16,578,385,4018,251.1,32,13,95.6,38,194,5.1,2,1,342,21.4,2026
Jayden Daniels,8,7,QB,QB,WAS,3123337,16,449,283,3254,203.4,26,10,94.8,125,699,5.6,4,2,342,21.4,2026
Dak Prescott,9,9,QB,QB,DAL,1824864,16,575,375,4067,254.2,31,11,95.9,54,192,3.6,2,2,340,21.3,2026
Jaxson Dart,10,10,QB,QB,NYG,26694019,16,475,298,3282,205.1,25,12,90.2,108,571,5.3,7,2,338,21.1,2026
Brock Purdy,11,11,QB,QB,SF,2961306,16,524,359,3814,238.4,29,15,96,78,341,4.4,5,4,338,21.1,2026
Jared Goff,12,12,QB,QB,DET,2061053,15,475,335,3828,255.2,31,8,109.2,25,51,2,0,3,311,20.7,2026
Drake Maye,13,13,QB,QB,NE,26695757,16,443,305,3547,221.7,25,12,100.3,94,506,5.4,3,5,309,19.3,2026
Jordan Love,14,14,QB,QB,GB,2239997,16,485,313,3849,240.6,29,10,100.3,43,178,4.1,0,3,304,19,2026
Matthew Stafford,15,15,QB,QB,LAR,1114942,16,497,314,3662,228.9,30,7,99.7,24,36,1.5,0,2,303,18.9,2026
Tyler Shough,16,16,QB,QB,NO,2964064,16,546,363,3943,246.4,24,14,91.5,71,282,4,5,6,302,18.9,2026
