name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.7,1.02,1150,1,4,0.8,6,2qb,10,6,6964,2026-08-09,2026-09-08
Josh Allen,2,2,QB,BUF,2885,1.9,1.02,1140,1,4,0.9,7,2qb,10,6,6964,2026-08-09,2026-09-08
Bijan Robinson,3,3,RB,ATL,5670,2.6,1.03,628,1,6,0.6,11,2qb,10,6,6964,2026-08-09,2026-09-08
Puka Nacua,4,4,WR,LAR,5714,5,1.05,512,1,10,1.4,11,2qb,10,6,6964,2026-08-09,2026-09-08
Jonathan Taylor,5,5,RB,IND,4864,5.2,1.05,637,3,10,1.3,13,2qb,10,6,6964,2026-08-09,2026-09-08
Ja'Marr Chase,6,6,WR,CIN,5177,6.1,1.06,1579,1,14,2,6,2qb,10,6,6964,2026-08-09,2026-09-08
Drake Maye,7,7,QB,NE,6187,7.7,1.08,889,1,17,2.9,11,2qb,10,6,6964,2026-08-09,2026-09-08
Jaxon Smith-Njigba,8,8,WR,SEA,5671,8.5,1.09,868,2,18,2.3,11,2qb,10,6,6964,2026-08-09,2026-09-08
Lamar Jackson,9,9,QB,BAL,2888,8.7,1.09,1509,1,17,3.1,13,2qb,10,6,6964,2026-08-09,2026-09-08
Christian McCaffrey,10,10,RB,SF,2434,9.4,1.09,1155,3,19,2.7,8,2qb,10,6,6964,2026-08-09,2026-09-08
Joe Burrow,11,11,QB,CIN,4882,9.6,1.10,1132,1,20,3,6,2qb,10,6,6964,2026-08-09,2026-09-08
Derrick Henry,12,12,RB,BAL,2350,10,1.10,456,3,17,2.4,13,2qb,10,6,6964,2026-08-09,2026-09-08
Amon-Ra St. Brown,13,13,WR,DET,5182,13.1,2.03,1430,4,26,3.5,6,2qb,10,6,6964,2026-08-09,2026-09-08
James Cook III,14,14,RB,BUF,5652,13.7,2.04,1680,4,30,4,7,2qb,10,6,6964,2026-08-09,2026-09-08
Dak Prescott,15,15,QB,DAL,2377,14.1,2.04,740,6,27,3,14,2qb,10,6,6964,2026-08-09,2026-09-08
Jayden Daniels,16,16,QB,WAS,5854,14.5,2.04,696,6,26,3.1,7,2qb,10,6,6964,2026-08-09,2026-09-08
Matthew Stafford,17,17,QB,LAR,1664,17.3,2.07,437,9,28,2.9,11,2qb,10,6,6964,2026-08-09,2026-09-08
Jalen Hurts,18,18,QB,PHI,5025,17.7,2.08,725,9,30,3.1,10,2qb,10,6,6964,2026-08-09,2026-09-08
De'Von Achane,19,20,RB,MIA,5683,19.9,2.10,985,8,35,4.5,6,2qb,10,6,6964,2026-08-09,2026-09-08
Brock Purdy,20,19,QB,SF,5648,19.9,2.10,259,12,30,3.1,8,2qb,10,6,6964,2026-08-09,2026-09-08
Caleb Williams,21,21,QB,CHI,6173,20.7,3.01,880,8,45,4.7,10,2qb,10,6,6964,2026-08-09,2026-09-08
Trevor Lawrence,22,22,QB,JAX,5186,20.9,3.01,601,9,37,4.6,7,2qb,10,6,6964,2026-08-09,2026-09-08
Saquon Barkley,23,23,RB,PHI,2860,23.6,3.04,2114,9,40,5.5,10,2qb,10,6,6964,2026-08-09,2026-09-08
CeeDee Lamb,24,24,WR,DAL,4869,24.7,3.05,2037,10,42,5.4,14,2qb,10,6,6964,2026-08-09,2026-09-08
Jared Goff,25,25,QB,DET,2351,25,3.05,518,13,49,4.6,6,2qb,10,6,6964,2026-08-09,2026-09-08
Justin Herbert,26,26,QB,LAC,4887,25.4,3.05,1030,11,53,5.2,7,2qb,10,6,6964,2026-08-09,2026-09-08
Patrick Mahomes,27,27,QB,KC,2462,25.5,3.05,442,10,46,5.6,5,2qb,10,6,6964,2026-08-09,2026-09-08
Drake London,28,28,WR,ATL,5574,26,3.06,314,12,36,5.1,11,2qb,10,6,6964,2026-08-09,2026-09-08
Justin Jefferson,29,29,WR,MIN,4876,27.4,3.07,1994,11,44,6.1,6,2qb,10,6,6964,2026-08-09,2026-09-08
Chase Brown,30,30,RB,CIN,5706,28.4,3.08,2354,12,47,6.1,6,2qb,10,6,6964,2026-08-09,2026-09-08
Bo Nix,31,31,QB,DEN,6253,29.9,3.10,664,15,51,5.5,10,2qb,10,6,6964,2026-08-09,2026-09-08
Jaxson Dart,32,32,QB,NYG,6568,32.6,4.03,506,13,61,7.2,8,2qb,10,6,6964,2026-08-09,2026-09-08
Ashton Jeanty,33,33,RB,LV,6500,33.2,4.03,1541,9,62,9.2,13,2qb,10,6,6964,2026-08-09,2026-09-08
