name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jaxon Smith-Njigba,1,1,WR,WR,SEA,3162959,16,146,105,1538,96.1,14.7,12,6,33,5.5,0,0,219,13.7,2026
Puka Nacua,2,2,WR,WR,LAR,3121687,16,165,116,1525,95.3,13.2,8,12,77,6.4,1,1,200,12.5,2026
Amon-Ra St. Brown,3,3,WR,WR,DET,2967690,15,157,111,1303,86.9,11.7,13,1,4,4,0,0,199,13.3,2026
Drake London,4,4,WR,WR,ATL,3127902,15,140,86,1200,80,14,11,2,11,5.5,0,0,179,11.9,2026
Rashee Rice,5,5,WR,WR,KC,3124978,16,132,94,934,58.4,9.9,13,8,26,3.3,1,0,170,10.6,2026
Chris Olave,6,6,WR,WR,NO,2963666,15,137,93,1266,84.4,13.6,8,1,0,0,0,0,166,11.1,2026
George Pickens,7,7,WR,WR,DAL,3123212,16,131,85,1259,78.7,14.8,8,0,-1,0,0,0,165,10.3,2026
Ja'Marr Chase,8,8,WR,WR,CIN,2966320,15,154,104,1243,82.9,12,8,3,16,5.3,0,1,161,10.7,2026
Justin Jefferson,9,9,WR,WR,MIN,2871343,15,132,86,1171,78.1,13.6,8,1,4,4,0,0,157,10.5,2026
Nico Collins,10,10,WR,WR,HOU,2878193,15,120,75,1121,74.7,15,8,3,22,7.3,1,1,155,10.3,2026
Parker Washington,11,11,WR,WR,JAC,3168820,16,114,71,1077,67.3,15.2,9,7,2,0.3,0,0,154,9.6,2026
CeeDee Lamb,12,12,WR,WR,DAL,2865251,16,141,91,1172,73.3,12.9,7,8,25,3.1,0,0,153,9.6,2026
Christian Watson,13,13,WR,WR,GB,2869806,15,90,57,1013,67.5,17.8,10,2,10,5,0,0,153,10.2,2026
Zay Flowers,14,14,WR,WR,BAL,3127049,15,101,72,1141,76.1,15.9,7,7,45,6.4,1,2,151,10.1,2026
Alec Pierce,15,15,WR,WR,IND,2965664,16,91,51,1098,68.6,21.5,8,0,0,0,0,0,149,9.3,2026
Tee Higgins,16,16,WR,WR,CIN,2809208,15,104,64,925,61.7,14.5,10,0,0,0,0,0,144,9.6,2026
DeVonta Smith,17,17,WR,WR,PHI,2866975,15,127,88,1140,76,13,6,0,0,0,0,0,142,9.5,2026
Mike Evans,18,18,WR,WR,SF,1824909,16,118,73,903,56.4,12.4,9,0,0,0,0,0,136,8.5,2026
Ladd McConkey,19,19,WR,WR,LAC,3163962,16,114,74,959,59.9,13,8,0,0,0,0,0,135,8.4,2026
Terry McLaurin,20,20,WR,WR,WAS,2139279,16,86,56,798,49.9,14.3,9,1,1,1,0,0,125,7.8,2026
Tetairoa McMillan,21,21,WR,WR,CAR,28877124,15,124,73,1026,68.4,14.1,6,0,0,0,0,3,124,8.3,2026
Garrett Wilson,22,22,WR,WR,NYJ,3123864,15,117,78,863,57.5,11.1,8,1,2,2,0,1,124,8.3,2026
