name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,17,154,115,1135,66.8,9.9,8,0,152,8.9,2026
Brock Bowers,2,2,TE,TE,LV,26693971,17,119,88,982,57.8,11.2,9,0,143,8.4,2026
Colston Loveland,3,3,TE,TE,CHI,28874696,17,126,84,1036,60.9,12.3,8,0,143,8.4,2026
Dallas Goedert,4,4,TE,TE,PHI,2132551,17,92,68,717,42.2,10.5,11,0,136,8,2026
Tucker Kraft,5,5,TE,TE,GB,3133332,17,76,56,815,47.9,14.6,10,0,132,7.8,2026
George Kittle,6,6,TE,TE,SF,2818265,17,94,77,898,52.8,11.7,8,0,129,7.6,2026
Harold Fannin Jr.,7,7,TE,TE,CLE,28900882,17,117,79,829,48.8,10.5,8,1,125,7.4,2026
Tyler Warren,8,8,TE,TE,IND,3168800,17,109,74,905,53.2,12.2,6,0,125,7.4,2026
Isaiah Likely,9,9,TE,TE,NYG,2961906,17,94,68,897,52.8,13.2,7,2,119,7,2026
Sam LaPorta,10,10,TE,TE,DET,3124197,17,92,72,910,53.5,12.6,6,0,119,7,2026
Mark Andrews,11,11,TE,TE,BAL,2131121,17,84,60,594,34.9,9.9,10,0,117,6.9,2026
Dalton Kincaid,12,12,TE,TE,BUF,2982991,17,81,60,778,45.8,13,7,0,111,6.5,2026
Kyle Pitts,13,13,TE,TE,ATL,2964514,17,103,75,822,48.4,11,6,0,109,6.4,2026
Travis Kelce,14,14,TE,TE,KC,1725130,17,110,79,815,47.9,10.3,6,0,108,6.4,2026
Brenton Strange,15,15,TE,TE,JAC,3121696,17,95,70,814,47.9,11.6,5,0,102,6,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,17,94,71,870,51.2,12.3,4,2,100,5.9,2026
Hunter Henry,17,17,TE,TE,NE,2079848,17,83,56,699,41.1,12.5,6,0,99,5.8,2026
Jake Ferguson,18,18,TE,TE,DAL,2867159,17,100,78,636,37.4,8.2,7,2,93,5.5,2026
Cade Otton,19,19,TE,TE,TB,2815179,17,94,67,707,41.6,10.6,4,0,87,5.1,2026
A. Barner,20,20,TE,TE,SEA,3169283,17,60,47,473,27.8,10.1,7,0,86,5.1,2026
Dalton Schultz,21,21,TE,TE,HOU,2136748,17,95,71,683,40.2,9.6,4,0,85,5,2026
Kenyon Sadiq,22,22,TE,TE,NYJ,29125433,17,70,47,528,31.1,11.2,6,1,80,4.7,2026
