name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.02,0.15,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,8,2.53,1.06,17233
Drake Maye,3,QB,NE,QB3,1,2,7,3.54,1.08,23046
Joe Burrow,4,QB,CIN,QB4,1,2,19,5.16,2.75,19196
Jayden Daniels,5,QB,WAS,QB5,2,3,18,6.08,3.39,22902
Jalen Hurts,6,QB,PHI,QB6,2,2,17,7.02,2.96,19275
Ja'Marr Chase,7,WR,CIN,WR1,2,6,12,7.84,2.49,19788
Puka Nacua,8,WR,LAR,WR2,2,6,20,10.65,2.52,23180
Caleb Williams,9,QB,CHI,QB7,2,2,26,10.99,5.15,23084
Justin Herbert,10,QB,LAC,QB8,2,3,32,11.00,5.54,18635
Bijan Robinson,11,RB,ATL,RB1,2,3,25,11.24,2.56,23133
Jahmyr Gibbs,12,RB,DET,RB2,2,2,37,11.35,3.95,22968
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,23,12.66,2.46,23070
Trevor Lawrence,14,QB,JAC,QB9,3,6,30,14.76,5.21,19780
Amon-Ra St. Brown,15,WR,DET,WR4,3,11,41,14.83,3.98,19799
Dak Prescott,16,QB,DAL,QB10,3,7,32,15.53,5.37,15600
Christian McCaffrey,17,RB,SF,RB3,3,10,46,18.77,8.26,16393
CeeDee Lamb,18,WR,DAL,WR5,3,14,46,20.75,4.23,19202
Jaxson Dart,19,QB,NYG,QB11,3,5,39,21.35,7.23,23160
Justin Jefferson,20,WR,MIN,WR6,3,12,47,21.35,5.12,19236
Brock Purdy,21,QB,SF,QB12,3,8,50,21.69,6.59,19797
Jonathan Taylor,22,RB,IND,RB4,4,15,48,24.83,7.84,19217
Drake London,23,WR,ATL,WR7,4,20,49,26.31,6.82,23163
Bo Nix,24,QB,DEN,QB13,4,14,50,26.49,7.21,22910
Patrick Mahomes II,25,QB,KC,QB14,4,15,41,26.95,6.11,16413
A.J. Brown,26,WR,NE,WR8,4,20,52,28.81,7.64,18218
