name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Puka Nacua,1,1,WR,WR,LAR,3121687,17,177,130,1698,99.9,13.1,9,15,109,7.3,2,1,228,13.4,2026
Jaxon Smith-Njigba,2,2,WR,WR,SEA,3162959,17,154,111,1619,95.2,14.6,12,7,36,5.1,0,1,225,13.2,2026
Ja'Marr Chase,3,3,WR,WR,CIN,2966320,17,187,128,1554,91.4,12.1,10,3,19,6.3,0,1,207,12.2,2026
Amon-Ra St. Brown,4,4,WR,WR,DET,2967690,17,162,115,1370,80.6,11.9,11,3,8,2.7,0,0,195,11.5,2026
George Pickens,5,5,WR,WR,DAL,3123212,17,142,93,1383,81.4,14.9,10,1,-1,-1,0,0,191,11.2,2026
Rashee Rice,6,6,WR,WR,KC,3124978,17,151,105,1052,61.9,10,13,9,35,3.9,2,0,188,11.1,2026
Drake London,7,7,WR,WR,ATL,3127902,17,153,94,1256,73.9,13.4,12,0,0,0,0,1,187,11,2026
Chris Olave,8,8,WR,WR,NO,2963666,17,155,100,1253,73.7,12.5,11,1,0,0,0,0,183,10.8,2026
A.J. Brown,9,9,WR,WR,NE,2258303,17,143,91,1327,78.1,14.6,9,0,0,0,0,0,178,10.5,2026
Nico Collins,10,10,WR,WR,HOU,2878193,17,134,82,1247,73.4,15.2,9,2,13,6.5,1,1,175,10.3,2026
Malik Nabers,11,11,WR,WR,NYG,26697761,17,134,80,1082,63.6,13.5,11,4,2,0.5,0,0,166,9.8,2026
Justin Jefferson,12,12,WR,WR,MIN,2871343,17,147,91,1275,75,14,7,2,6,3,0,0,162,9.5,2026
Tee Higgins,13,14,WR,WR,CIN,2809208,17,119,74,1036,60.9,14,11,0,0,0,0,0,161,9.5,2026
CeeDee Lamb,14,13,WR,WR,DAL,2865251,17,156,101,1330,78.2,13.2,6,5,25,5,0,0,161,9.5,2026
Zay Flowers,15,15,WR,WR,BAL,3127049,17,117,83,1182,69.5,14.2,8,10,60,6,1,2,161,9.5,2026
Tetairoa McMillan,16,16,WR,WR,CAR,28877124,17,141,82,1215,71.5,14.8,8,0,0,0,0,1,160,9.4,2026
Alec Pierce,17,17,WR,WR,IND,2965664,17,92,51,1102,64.8,21.6,9,0,0,0,0,0,155,9.1,2026
Emeka Egbuka,18,18,WR,WR,TB,26696165,17,143,72,1117,65.7,15.5,8,2,10,5,0,0,151,8.9,2026
Jameson Williams,19,19,WR,WR,DET,3125968,17,99,63,1082,63.6,17.2,7,8,40,5,1,0,149,8.8,2026
Terry McLaurin,20,20,WR,WR,WAS,2139279,17,98,64,925,54.4,14.5,10,1,1,1,0,0,144,8.5,2026
DeVonta Smith,21,21,WR,WR,PHI,2866975,17,127,90,1163,68.4,12.9,6,0,0,0,0,0,143,8.4,2026
Ladd McConkey,22,22,WR,WR,LAC,3163962,17,126,82,1032,60.7,12.6,8,0,0,0,0,0,143,8.4,2026
Garrett Wilson,23,23,WR,WR,NYJ,3123864,17,141,89,956,56.2,10.7,9,1,3,3,0,1,139,8.2,2026
Christian Watson,24,24,WR,WR,GB,2869806,17,88,53,906,53.3,17.1,9,3,13,4.3,0,0,137,8.1,2026
Luther Burden III,25,25,WR,WR,CHI,28874444,17,104,75,1086,63.9,14.5,6,8,32,4,0,0,137,8.1,2026
Davante Adams,26,26,WR,WR,LAR,1893167,17,128,69,849,49.9,12.3,10,0,0,0,0,0,135,7.9,2026
Rome Odunze,27,27,WR,WR,CHI,3162979,17,124,62,911,53.6,14.7,8,1,4,4,0,0,131,7.7,2026
Marvin Harrison Jr.,28,28,WR,WR,ARI,26701883,17,120,66,953,56.1,14.4,7,0,0,0,0,0,129,7.6,2026
Brian Thomas Jr.,29,29,WR,WR,JAC,3132164,17,106,61,941,55.4,15.4,6,4,30,7.5,1,0,129,7.6,2026
D. Moore,30,31,WR,WR,BUF,2179328,17,109,69,814,47.9,11.8,8,16,81,5.1,1,1,127,7.5,2026
Jaylen Waddle,31,30,WR,WR,DEN,2962110,17,114,75,994,58.5,13.3,6,3,25,8.3,0,0,127,7.5,2026
Parker Washington,32,32,WR,WR,JAC,3168820,17,101,62,924,54.4,14.9,7,7,2,0.3,0,0,126,7.4,2026
Courtland Sutton,33,33,WR,WR,DEN,2218461,17,118,70,909,53.5,13,7,0,0,0,0,0,125,7.4,2026
Mike Evans,34,34,WR,WR,SF,1824909,17,119,68,890,52.4,13.1,7,0,0,0,0,0,123,7.2,2026
D. Metcalf,35,35,WR,WR,PIT,2260185,17,103,61,891,52.4,14.6,6,2,10,5,1,0,123,7.2,2026
Quentin Johnston,36,36,WR,WR,LAC,3162609,17,98,58,784,46.1,13.5,9,3,7,2.3,0,1,122,7.2,2026
Chris Godwin,37,39,WR,WR,TB,2818150,17,108,75,840,49.4,11.2,6,1,1,1,0,0,111,6.5,2026
Michael Wilson,38,37,WR,WR,ARI,2965181,17,106,66,838,49.3,12.7,6,0,2,0,0,0,111,6.5,2026
Jordan Addison,39,38,WR,WR,MIN,3162290,17,90,50,739,43.5,14.8,6,3,78,26,1,0,111,6.5,2026
Romeo Doubs,40,40,WR,WR,NE,2961886,17,93,61,810,47.6,13.3,6,0,0,0,0,0,108,6.4,2026
