name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jaxon Smith-Njigba,1,1,WR,WR,SEA,3162959,16,146,105,1540,96.3,14.7,12,6,33,5.5,0,0,219,13.7,2026
Amon-Ra St. Brown,2,2,WR,WR,DET,2967690,16,165,116,1322,82.6,11.4,13,2,5,2.5,0,0,202,12.6,2026
Puka Nacua,3,3,WR,WR,LAR,3121687,16,167,118,1548,96.8,13.1,8,12,77,6.4,1,1,201,12.6,2026
Drake London,4,4,WR,WR,ATL,3127902,16,149,91,1276,79.8,14,12,2,11,5.5,0,0,191,11.9,2026
Chris Olave,5,5,WR,WR,NO,2963666,16,146,99,1344,84,13.6,9,1,0,0,0,0,181,11.3,2026
Ja'Marr Chase,6,6,WR,WR,CIN,2966320,16,163,110,1318,82.4,12,9,3,17,5.7,0,1,177,11.1,2026
Justin Jefferson,7,7,WR,WR,MIN,2871343,16,141,91,1252,78.3,13.8,9,1,4,4,0,0,171,10.7,2026
Nico Collins,8,8,WR,WR,HOU,2878193,16,130,80,1192,74.5,14.9,9,3,23,7.7,1,1,170,10.6,2026
Rashee Rice,9,9,WR,WR,KC,3124978,16,132,94,933,58.3,9.9,13,8,26,3.3,1,0,170,10.6,2026
Zay Flowers,10,10,WR,WR,BAL,3127049,16,110,79,1262,78.9,16,8,7,48,6.9,1,2,169,10.6,2026
Christian Watson,11,11,WR,WR,GB,2869806,16,97,61,1083,67.7,17.8,11,2,10,5,0,0,166,10.4,2026
George Pickens,12,12,WR,WR,DAL,3123212,16,131,85,1259,78.7,14.8,8,0,-1,0,0,0,165,10.3,2026
CeeDee Lamb,13,13,WR,WR,DAL,2865251,16,141,91,1172,73.3,12.9,8,8,25,3.1,0,0,159,9.9,2026
Tee Higgins,14,14,WR,WR,CIN,2809208,16,110,68,980,61.3,14.4,10,0,0,0,0,0,151,9.4,2026
DeVonta Smith,15,15,WR,WR,PHI,2866975,16,137,94,1228,76.8,13.1,6,0,0,0,0,0,150,9.4,2026
Alec Pierce,16,16,WR,WR,IND,2965664,16,91,51,1099,68.7,21.6,8,0,0,0,0,0,149,9.3,2026
D. Moore,17,17,WR,WR,BUF,2179328,16,108,68,842,52.6,12.4,10,15,74,4.9,1,0,145,9.1,2026
Jameson Williams,18,18,WR,WR,DET,3125968,16,102,62,1030,64.4,16.6,7,7,38,5.4,0,0,138,8.6,2026
Tetairoa McMillan,19,19,WR,WR,CAR,28877124,16,133,78,1097,68.6,14.1,7,0,0,0,0,3,137,8.6,2026
Mike Evans,20,20,WR,WR,SF,1824909,16,120,73,908,56.8,12.4,9,0,0,0,0,0,136,8.5,2026
Garrett Wilson,21,21,WR,WR,NYJ,3123864,16,125,83,917,57.3,11.1,9,1,2,2,0,1,136,8.5,2026
Parker Washington,22,22,WR,WR,JAC,3168820,16,100,62,937,58.6,15.1,8,7,2,0.3,0,0,133,8.3,2026
Jalen Coker,23,23,WR,WR,CAR,3163990,16,83,65,871,54.4,13.4,9,0,0,0,0,1,131,8.2,2026
Emeka Egbuka,24,24,WR,WR,TB,26696165,16,129,68,1018,63.6,15,6,1,3,3,0,0,130,8.1,2026
Ladd McConkey,25,25,WR,WR,LAC,3163962,16,109,71,912,57,12.9,7,0,0,0,0,0,126,7.9,2026
Luther Burden III,26,26,WR,WR,CHI,28874444,16,89,68,996,62.3,14.7,6,9,29,3.2,0,2,125,7.8,2026
Matthew Golden,27,27,WR,WR,GB,28874927,16,111,68,1005,62.8,14.8,5,10,45,4.5,0,0,123,7.7,2026
Davante Adams,28,28,WR,WR,LAR,1893167,16,117,63,740,46.3,11.8,9,0,0,0,0,0,120,7.5,2026
Brian Thomas Jr.,29,29,WR,WR,JAC,3132164,16,95,59,904,56.5,15.3,6,3,24,8,0,0,119,7.4,2026
Terry McLaurin,30,30,WR,WR,WAS,2139279,16,85,55,779,48.7,14.2,8,1,1,1,0,0,117,7.3,2026
Malik Nabers,31,31,WR,WR,NYG,26697761,16,122,75,958,59.9,12.8,5,3,1,0.3,0,0,117,7.3,2026
D. Metcalf,32,32,WR,WR,PIT,2260185,16,104,59,858,53.6,14.5,5,2,9,4.5,1,0,114,7.1,2026
Marvin Harrison Jr.,33,33,WR,WR,ARI,26701883,16,105,56,851,53.2,15.2,6,0,0,0,0,0,114,7.1,2026
Courtland Sutton,34,34,WR,WR,DEN,2218461,16,108,63,809,50.6,12.8,6,0,0,0,0,0,109,6.8,2026
Rome Odunze,35,35,WR,WR,CHI,3162979,16,109,55,865,54.1,15.7,5,1,3,3,0,0,109,6.8,2026
Michael Wilson,36,36,WR,WR,ARI,2965181,16,104,67,832,52,12.4,5,0,2,0,0,0,106,6.6,2026
Deebo Samuel,37,37,WR,WR,SF,2139735,16,95,69,676,42.3,9.8,6,33,116,3.5,1,1,105,6.6,2026
Jerry Jeudy,38,38,WR,WR,CLE,2741201,16,121,62,849,53.1,13.7,4,1,4,4,0,1,100,6.3,2026
Jaylen Waddle,39,39,WR,WR,DEN,2962110,16,92,57,771,48.2,13.5,5,2,22,11,0,0,100,6.3,2026
Stefon Diggs,40,40,WR,WR,WAS,2000038,16,90,67,765,47.8,11.4,5,1,2,2,0,0,98,6.1,2026
Jakobi Meyers,41,43,WR,WR,JAC,2183835,16,92,62,760,47.5,12.3,5,6,19,3.2,0,1,97,6.1,2026
Quentin Johnston,42,42,WR,WR,LAC,3162609,16,90,51,654,40.9,12.8,7,2,6,3,0,1,97,6.1,2026
Josh Downs,43,41,WR,WR,IND,3162970,16,96,62,705,44.1,11.4,6,2,2,1,0,1,97,6.1,2026
Chris Godwin,44,44,WR,WR,TB,2818150,16,92,67,750,46.9,11.2,5,3,10,3.3,0,0,96,6,2026
A.J. Brown,45,46,WR,WR,NE,2258303,10,78,50,725,72.5,14.5,5,0,0,0,0,0,95,9.5,2026
Denzel Boston,46,45,WR,WR,CLE,28875368,16,91,55,774,48.4,14.1,5,2,9,4.5,0,2,95,5.9,2026
Calvin Ridley,47,48,WR,WR,TEN,2186328,16,89,45,772,48.3,17.2,3,3,24,8,1,0,94,5.9,2026
Jordan Addison,48,47,WR,WR,MIN,3162290,16,80,43,637,39.8,14.8,5,2,71,35.5,1,0,94,5.9,2026
Michael Pittman,49,49,WR,WR,PIT,2240188,16,100,70,688,43,9.8,5,0,0,0,0,0,92,5.8,2026
Antonio Williams,50,50,WR,WR,WAS,28877974,16,73,47,701,43.8,14.9,5,2,13,6.5,0,1,90,5.6,2026
Wan'Dale Robinson,51,51,WR,WR,TEN,3124107,16,118,78,724,45.3,9.3,4,2,6,3,0,0,89,5.6,2026
Carnell Tate,52,52,WR,WR,TEN,29124411,16,89,55,747,46.7,13.6,4,1,8,8,0,2,86,5.4,2026
Xavier Worthy,53,55,WR,WR,KC,26730787,16,92,54,630,39.4,11.7,3,22,142,6.5,1,0,85,5.3,2026
Makai Lemon,54,53,WR,WR,PHI,29123772,16,95,60,724,45.3,12.1,4,2,12,6,0,2,85,5.3,2026
Devaughn Vele,55,54,WR,WR,NO,3121113,16,77,54,639,39.9,11.8,5,0,0,0,0,0,85,5.3,2026
Keenan Allen,56,56,WR,WR,IND,1737096,16,98,64,670,41.9,10.5,4,0,0,0,0,0,83,5.2,2026
Jauan Jennings,57,57,WR,WR,MIN,2180514,16,74,46,553,34.6,12,6,0,0,0,0,1,81,5.1,2026
Jayden Reed,58,58,WR,WR,GB,2967762,16,83,58,602,37.6,10.4,4,14,120,8.6,0,0,81,5.1,2026
Cooper Kupp,59,59,WR,WR,SEA,2006951,16,77,51,634,39.6,12.4,4,0,3,0,0,1,77,4.8,2026
Mack Hollins,60,62,WR,WR,NE,2010349,16,71,50,666,41.6,13.3,3,1,3,3,0,0,77,4.8,2026
K. Concepcion,61,60,WR,WR,CLE,29123718,16,94,59,746,46.6,12.6,3,6,32,5.3,0,4,77,4.8,2026
Khalil Shakir,62,61,WR,WR,BUF,2969119,16,82,64,627,39.2,9.8,4,1,4,4,0,1,77,4.8,2026
Rashid Shaheed,63,64,WR,WR,SEA,2250863,16,75,43,635,39.7,14.8,3,12,83,6.9,0,1,75,4.7,2026
Rashod Bateman,64,63,WR,WR,BAL,2960940,16,50,27,414,25.9,15.3,7,0,0,0,0,0,75,4.7,2026
Romeo Doubs,65,68,WR,WR,NE,2961886,16,69,43,582,36.4,13.5,4,0,0,0,0,0,74,4.6,2026
Jalen Nailor,66,65,WR,WR,LV,2967232,16,72,42,523,32.7,12.5,5,2,6,3,0,0,74,4.6,2026
Dontayvion Wicks,67,69,WR,WR,PHI,3122375,16,70,40,517,32.3,12.9,5,1,5,5,0,0,74,4.6,2026
Jalen McMillan,68,67,WR,WR,TB,3162347,16,61,43,566,35.4,13.2,4,4,26,6.5,0,0,74,4.6,2026
Kayshon Boutte,69,66,WR,WR,HOU,3163170,16,54,33,519,32.4,15.7,5,0,0,0,0,0,74,4.6,2026
Tre Tucker,70,70,WR,WR,LV,3121848,16,79,48,558,34.9,11.6,4,10,40,4,0,0,72,4.5,2026
Caleb Douglas,71,72,WR,WR,MIA,28900321,16,82,51,639,39.9,12.5,3,2,9,4.5,0,1,71,4.4,2026
Elic Ayomanor,72,71,WR,WR,TEN,28900714,16,71,36,483,30.2,13.4,5,0,0,0,0,0,71,4.4,2026
Jordyn Tyson,73,73,WR,WR,NO,28900885,13,70,43,625,48.1,14.5,3,2,8,4,0,1,70,5.4,2026
Tyquan Thornton,74,74,WR,WR,KC,2965066,16,48,24,509,31.8,21.2,4,0,0,0,0,0,67,4.2,2026
Jaylin Noel,75,75,WR,WR,HOU,26697286,16,53,39,542,33.9,13.9,3,5,11,2.2,0,0,64,4,2026
Demarcus Robinson,76,77,WR,WR,SF,2061095,16,49,30,468,29.3,15.6,4,1,4,4,0,0,63,3.9,2026
Adonai Mitchell,77,76,WR,WR,NYJ,26701928,16,77,39,545,34.1,14,3,2,-1,-0.5,0,1,63,3.9,2026
Chris Bell,78,78,WR,WR,MIA,28877196,16,70,42,535,33.4,12.7,3,2,9,4.5,0,1,62,3.9,2026
Isaac TeSlaa,79,79,WR,WR,DET,29122587,16,51,26,389,24.3,15,5,0,0,0,0,0,61,3.8,2026
Ashton Dulin,80,80,WR,WR,IND,3116796,16,46,23,539,33.7,23.4,2,4,48,12,0,0,60,3.8,2026
Xavier Hutchinson,81,81,WR,WR,HOU,3161943,16,78,42,494,30.9,11.8,3,1,12,12,0,0,59,3.7,2026
Ja'Kobi Lane,82,82,WR,WR,BAL,29158151,12,50,29,451,37.6,15.6,4,2,11,5.5,0,1,58,4.8,2026
Tank Dell,83,83,WR,WR,HOU,2963970,13,61,38,491,37.8,12.9,3,9,40,4.4,0,0,58,4.5,2026
Christian Kirk,84,84,WR,WR,SF,2180820,13,73,42,471,36.2,11.2,3,0,0,0,0,0,56,4.3,2026
Chimere Dike,85,85,WR,WR,TEN,3162452,16,60,41,397,24.8,9.7,5,8,5,0.6,0,3,55,3.4,2026
Kalif Raymond,86,86,WR,WR,CHI,1999329,16,47,39,445,27.8,11.4,3,2,11,5.5,0,0,54,3.4,2026
Josh Palmer,87,87,WR,WR,BUF,2867325,16,50,30,434,27.1,14.5,3,0,0,0,0,0,54,3.4,2026
Isaiah Bond,88,88,WR,WR,CLE,28910521,16,50,25,545,34.1,21.8,1,5,29,5.8,0,0,54,3.4,2026
Pat Bryant,89,89,WR,WR,DEN,26697415,16,66,44,494,30.9,11.2,2,1,1,1,0,0,53,3.3,2026
Omar Cooper Jr.,90,92,WR,WR,NYJ,28900921,15,56,36,446,29.7,12.4,3,2,11,5.5,0,1,52,3.5,2026
Andrei Iosivas,91,91,WR,WR,CIN,2966908,16,56,34,429,26.8,12.6,3,2,9,4.5,0,0,52,3.3,2026
Luke McCaffrey,92,90,WR,WR,WAS,3121502,16,32,23,355,22.2,15.4,4,0,0,0,0,0,52,3.3,2026
Kendrick Bourne,93,93,WR,WR,ARI,2088428,16,53,39,476,29.8,12.2,2,0,2,0,0,0,51,3.2,2026
Jahdae Walker,94,94,WR,WR,CHI,29174299,16,42,27,346,21.6,12.8,4,1,5,5,0,0,51,3.2,2026
Devontez Walker,95,95,WR,WR,BAL,26702084,16,32,20,397,24.8,19.9,3,0,3,0,0,0,49,3.1,2026
Tory Horton,96,96,WR,WR,SEA,3165177,16,41,25,322,20.1,12.9,4,1,6,6,0,0,49,3.1,2026
Malik Washington,97,97,WR,WR,MIA,3124729,16,69,45,367,22.9,8.2,3,11,61,5.6,1,3,48,3,2026
Malachi Fields,98,98,WR,WR,NYG,26706066,16,49,30,394,24.6,13.1,3,2,11,5.5,0,1,47,2.9,2026
Olamide Zaccheaus,99,99,WR,WR,ATL,2186266,16,63,41,360,22.5,8.8,3,2,13,6.5,0,0,46,2.9,2026
Ted Hurst,100,100,WR,WR,TB,29421796,16,51,33,438,27.4,13.3,2,2,11,5.5,0,1,46,2.9,2026
