name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,17,39,44,,0.304,0.304,8.4,9.2,12.5,13.2,11.4,12.9,6.5,6.5,50,51,167,9.8,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,17,39,43,,0.327,0.327,9,9.5,10.6,10.9,11.9,13.3,6.9,6.9,40,41,157,9.2,2026
Brandon Aubrey,3,3,K,DAL,2815718,17,35,40,,0.288,0.289,8.3,8.4,9.4,10.2,10.7,11.9,6.1,6.1,49,49,154,9.1,2026
Blake Grupe,4,4,K,IND,2876348,17,34,42,,0.262,0.262,8.9,9,11.5,13.5,7.5,11.2,5.6,5.6,51,52,153,9,2026
Nick Folk,5,5,K,ATL,410721,17,35,38,,0.293,0.293,8,8.1,10.1,10.2,10.1,11.2,6.2,6.2,46,47,151,8.9,2026
Cairo Santos,6,6,K,CHI,2132690,17,33,38,,0.256,0.256,7,7.1,9.2,10.1,10.9,13.5,5.4,5.4,48,48,147,8.6,2026
Jake Bates,7,7,K,DET,3173439,17,31,38,,0.242,0.242,6.7,6.7,9.5,9.7,9.5,11.5,5,5,53,55,146,8.6,2026
Cameron Dicker,8,8,K,LAC,2961997,17,35,38,,0.277,0.278,7.6,7.7,11.6,12.3,10.3,11.5,5.3,5.3,38,40,143,8.4,2026
Harrison Mevis,9,9,K,LAR,3162619,17,29,31,,0.243,0.245,6.7,6.7,7.9,8.3,10.3,11.5,3.37,3.37,55,56,142,8.4,2026
Chase McLaughlin,10,11,K,TB,2165272,17,33,40,,0.29,0.29,8.2,8.3,9.9,11.6,8.3,11.8,6.2,6.2,42,44,141,8.3,2026
Will Reichard,11,10,K,MIN,3121084,17,33,36,,0.29,0.291,8,8.1,10,10.3,8.3,9.3,6.2,6.2,42,43,141,8.3,2026
Tyler Loop,12,12,K,BAL,3174704,17,29,32,,0.231,0.232,9.3,9.4,10.6,10.8,7.7,8.7,1.16,1.16,49,51,136,8,2026
Cam Little,13,13,K,JAC,26702477,17,29,32,,0.237,0.238,6.5,6.6,8.2,8.3,8.7,10.4,5,5,48,49,135,7.9,2026
Harrison Butker,14,15,K,KC,2078888,17,33,38,,0.506,0.506,9.5,9.8,10.1,10.2,8.4,10.1,4.62,4.62,35,39,134,7.9,2026
Wil Lutz,15,14,K,DEN,2008545,17,30,36,,0.223,0.223,8.4,8.4,10.6,10.8,6.4,9.3,4.4,4.4,44,44,134,7.9,2026
Evan McPherson,16,16,K,CIN,2962681,17,29,34,,0.235,0.235,6.5,6.5,7.6,7.7,10,11.1,4.99,4.99,47,50,134,7.9,2026
Eddy Pineiro,17,17,K,SF,2221833,17,31,34,,0.244,0.244,6.7,6.8,8.5,8.8,10.3,11.5,5.2,5.2,37,41,130,7.6,2026
