name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Puka Nacua,1,1,WR,WR,LAR,3121687,17,177,129,1698,99.9,13.2,9,15,109,7.3,2,1,228,13.4,2026
Jaxon Smith-Njigba,2,2,WR,WR,SEA,3162959,17,154,111,1619,95.2,14.6,11,7,36,5.1,0,1,219,12.9,2026
Drake London,3,3,WR,WR,ATL,3127902,17,168,104,1424,83.8,13.7,14,0,0,0,0,1,216,12.7,2026
Ja'Marr Chase,4,4,WR,WR,CIN,2966320,17,186,128,1550,91.2,12.1,10,3,19,6.3,0,1,207,12.2,2026
Amon-Ra St. Brown,5,5,WR,WR,DET,2967690,17,162,115,1368,80.5,11.9,11,3,8,2.7,0,0,195,11.5,2026
George Pickens,6,6,WR,WR,DAL,3123212,17,142,94,1388,81.6,14.8,10,1,-1,-1,0,0,191,11.2,2026
Rashee Rice,7,7,WR,WR,KC,3124978,17,150,105,1050,61.8,10,13,8,34,4.3,2,0,188,11.1,2026
A.J. Brown,8,9,WR,WR,NE,2258303,17,142,91,1296,76.2,14.2,9,0,0,0,0,0,175,10.3,2026
Chris Olave,9,8,WR,WR,NO,2963666,17,152,98,1238,72.8,12.6,10,1,0,0,0,0,175,10.3,2026
Nico Collins,10,10,WR,WR,HOU,2878193,17,134,82,1233,72.5,15,8,2,13,6.5,1,1,167,9.8,2026
Zay Flowers,11,11,WR,WR,BAL,3127049,17,118,84,1191,70.1,14.2,8,10,60,6,1,2,164,9.6,2026
Tee Higgins,12,12,WR,WR,CIN,2809208,17,119,74,1033,60.8,14,11,0,0,0,0,0,161,9.5,2026
CeeDee Lamb,13,13,WR,WR,DAL,2865251,17,157,102,1334,78.5,13.1,6,5,25,5,0,0,161,9.5,2026
Justin Jefferson,14,14,WR,WR,MIN,2871343,17,146,90,1269,74.6,14.1,7,2,6,3,0,0,160,9.4,2026
Malik Nabers,15,15,WR,WR,NYG,26697761,17,124,73,995,58.5,13.6,11,4,2,0.5,0,0,156,9.2,2026
Alec Pierce,16,16,WR,WR,IND,2965664,17,101,56,1074,63.2,19.2,9,0,0,0,0,0,154,9.1,2026
Tetairoa McMillan,17,17,WR,WR,CAR,28877124,17,140,82,1166,68.6,14.2,8,0,0,0,0,1,153,9,2026
Emeka Egbuka,18,18,WR,WR,TB,26696165,17,143,72,1118,65.8,15.5,8,2,10,5,0,0,151,8.9,2026
Jameson Williams,19,19,WR,WR,DET,3125968,17,98,63,1081,63.6,17.2,7,7,39,5.6,1,0,149,8.8,2026
Rome Odunze,20,20,WR,WR,CHI,3162979,17,136,68,1005,59.1,14.8,9,1,4,4,0,0,146,8.6,2026
Terry McLaurin,21,21,WR,WR,WAS,2139279,17,98,64,927,54.5,14.5,10,1,1,1,0,0,144,8.5,2026
Ladd McConkey,22,22,WR,WR,LAC,3163962,17,127,82,1036,60.9,12.6,8,0,0,0,0,0,143,8.4,2026
DeVonta Smith,23,23,WR,WR,PHI,2866975,17,126,90,1153,67.8,12.8,6,0,0,0,0,0,142,8.4,2026
Garrett Wilson,24,24,WR,WR,NYJ,3123864,17,141,89,956,56.2,10.7,9,1,2,2,0,1,139,8.2,2026
Mike Evans,25,25,WR,WR,SF,1824909,17,133,76,992,58.4,13.1,8,0,0,0,0,0,138,8.1,2026
Davante Adams,26,26,WR,WR,LAR,1893167,17,128,69,850,50,12.3,10,0,0,0,0,0,138,8.1,2026
Luther Burden III,27,27,WR,WR,CHI,28874444,17,101,73,1062,62.5,14.6,6,8,32,4,0,0,135,7.9,2026
Christian Watson,28,28,WR,WR,GB,2869806,17,89,54,943,55.5,17.5,8,3,11,3.7,0,0,134,7.9,2026
Brian Thomas Jr.,29,29,WR,WR,JAC,3132164,17,106,61,943,55.5,15.5,6,4,30,7.5,1,0,129,7.6,2026
D. Moore,30,31,WR,WR,BUF,2179328,17,109,70,816,48,11.7,8,16,81,5.1,1,1,128,7.5,2026
Marvin Harrison Jr.,31,30,WR,WR,ARI,26701883,17,125,69,949,55.8,13.8,7,0,0,0,0,0,128,7.5,2026
Jaylen Waddle,32,32,WR,WR,DEN,2962110,17,114,74,992,58.4,13.4,6,3,25,8.3,0,0,127,7.5,2026
Parker Washington,33,33,WR,WR,JAC,3168820,17,102,62,926,54.5,14.9,7,7,2,0.3,0,0,126,7.4,2026
Courtland Sutton,34,34,WR,WR,DEN,2218461,17,118,70,908,53.4,13,7,0,0,0,0,0,125,7.4,2026
D. Metcalf,35,35,WR,WR,PIT,2260185,17,103,61,892,52.5,14.6,6,2,10,5,1,0,123,7.2,2026
Quentin Johnston,36,36,WR,WR,LAC,3162609,17,98,58,787,46.3,13.6,9,3,7,2.3,0,1,122,7.2,2026
Chris Godwin,37,38,WR,WR,TB,2818150,17,108,75,840,49.4,11.2,6,1,1,1,0,0,111,6.5,2026
Jordan Addison,38,37,WR,WR,MIN,3162290,17,89,50,735,43.2,14.7,6,3,78,26,1,0,111,6.5,2026
Rashod Bateman,39,39,WR,WR,BAL,2960940,17,78,43,630,37.1,14.7,9,0,0,0,0,0,109,6.4,2026
Michael Wilson,40,40,WR,WR,ARI,2965181,17,106,66,798,46.9,12.1,6,0,2,0,0,0,106,6.2,2026
Rashid Shaheed,41,43,WR,WR,SEA,2250863,17,96,57,865,50.9,15.2,4,13,91,7,0,1,104,6.1,2026
De'Zhaun Stribling,42,42,WR,WR,SF,26696676,17,97,60,855,50.3,14.3,5,3,13,4.3,0,2,104,6.1,2026
Tank Dell,43,41,WR,WR,HOU,2963970,17,99,62,799,47,12.9,5,12,53,4.4,0,0,104,6.1,2026
Jakobi Meyers,44,44,WR,WR,JAC,2183835,17,102,68,816,48,12,5,4,17,4.3,0,1,102,6,2026
Jayden Reed,45,45,WR,WR,GB,2967762,17,78,60,731,43,12.2,5,16,128,8,0,0,101,5.9,2026
