name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,3,1.22,0.50,17298
Drake Maye,2,QB,NE,QB2,1,1,6,2.22,1.03,23046
Lamar Jackson,3,QB,BAL,QB3,1,2,12,5.04,2.40,17233
Jayden Daniels,4,QB,WAS,QB4,1,3,12,5.04,2.89,22902
Ja'Marr Chase,5,WR,CIN,WR1,2,3,8,6.59,1.87,19788
Caleb Williams,6,QB,CHI,QB5,2,4,17,7.67,3.20,23084
Joe Burrow,7,QB,CIN,QB6,2,3,25,8.30,5.96,19196
Jaxon Smith-Njigba,8,WR,SEA,WR2,2,2,13,8.70,2.27,23070
Puka Nacua,9,WR,LAR,WR3,2,6,18,10.85,3.77,23180
Justin Herbert,10,QB,LAC,QB7,2,5,28,11.63,6.12,18635
Bijan Robinson,11,RB,ATL,RB1,2,4,19,12.37,5.02,23133
Patrick Mahomes II,12,QB,KC,QB8,3,5,26,13.26,5.31,16413
Jahmyr Gibbs,13,RB,DET,RB2,3,5,19,13.41,5.14,22968
Jalen Hurts,14,QB,PHI,QB9,3,6,29,15.78,6.09,19275
Trevor Lawrence,15,QB,JAC,QB10,3,11,34,16.63,6.49,19780
Amon-Ra St. Brown,16,WR,DET,WR4,3,7,26,17.26,5.14,19799
Justin Jefferson,17,WR,MIN,WR5,3,10,27,18.26,4.20,19236
Jaxson Dart,18,QB,NYG,QB11,3,12,36,20.81,7.40,23160
Ashton Jeanty,19,RB,LV,RB3,3,12,27,21.22,4.18,25989
CeeDee Lamb,20,WR,DAL,WR6,3,14,32,21.22,4.45,19202
Malik Nabers,21,WR,NYG,WR7,3,10,34,21.30,5.78,25409
Bo Nix,22,QB,DEN,QB12,4,13,46,22.11,9.24,22910
Brock Purdy,23,QB,SF,QB13,4,14,47,22.26,9.89,19797
Jeremiyah Love,24,RB,ARI,RB4,4,13,29,24.41,4.33,25403
Drake London,25,WR,ATL,WR8,4,15,30,25.67,4.00,23163
De'Von Achane,26,RB,MIA,RB5,4,17,38,27.96,4.61,23136
Brock Bowers,27,TE,LV,TE1,4,11,43,28.70,9.34,22955
Omarion Hampton,28,RB,LAC,RB6,4,18,38,29.70,5.16,25395
Dak Prescott,29,QB,DAL,QB14,4,15,61,29.78,13.78,15600
Tetairoa McMillan,30,WR,CAR,WR9,4,23,39,30.96,4.07,25417
James Cook III,31,RB,BUF,RB7,4,19,39,31.67,4.41,22958
Jonathan Taylor,32,RB,IND,RB8,5,22,49,33.85,6.07,19217
Nico Collins,33,WR,HOU,WR10,5,27,41,33.89,3.57,20130
Jordan Love,34,QB,GB,QB15,5,17,68,34.37,14.15,19246
George Pickens,35,WR,DAL,WR11,5,20,42,34.44,4.92,22963
Emeka Egbuka,36,WR,TB,WR12,5,27,50,34.67,4.80,23062
Trey McBride,37,TE,ARI,TE2,5,16,58,37.67,10.15,22936
Chris Olave,38,WR,NO,WR13,5,34,51,39.11,4.12,20111
Kenneth Walker III,39,RB,KC,RB9,5,31,63,41.15,7.92,23021
Carnell Tate,40,WR,TEN,WR14,5,30,58,42.04,7.23,26009
Garrett Wilson,41,WR,NYJ,WR15,5,32,59,42.85,6.15,23072
Jared Goff,42,QB,DET,QB16,5,24,85,43.30,18.98,15501
Ladd McConkey,43,WR,LAC,WR16,5,37,56,44.22,4.63,26122
