name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Ka'imi Fairbairn,1,1,K,HOU,1996562,17,39,43,,0.324,0.324,8.9,9.4,10.6,10.9,11.8,13.1,6.9,6.9,40,41,157,9.2,2026
Jason Myers,2,2,K,SEA,2169640,16,36,41,,0.285,0.285,7.8,8.5,12.1,12.7,9.7,11.1,6.1,6.1,45,46,153,9.6,2026
Spencer Shrader,3,3,K,IND,3131541,17,34,39,,0.282,0.285,10.3,10.4,12.1,12.9,8.1,9.3,2.99,2.99,51,52,153,9,2026
Brandon Aubrey,4,4,K,DAL,2815718,17,34,39,,0.284,0.284,8.4,8.5,9.2,10,10.4,11.5,6,6,48,49,150,8.8,2026
Jake Bates,5,5,K,DET,3173439,17,31,38,,0.24,0.24,6.6,6.7,9.2,9.3,9.8,11.8,5.1,5.1,53,55,146,8.6,2026
Cameron Dicker,6,6,K,LAC,2961997,17,35,38,,0.276,0.276,7.6,7.7,11,11.6,10.5,11.7,5.4,5.4,38,40,143,8.4,2026
Cairo Santos,7,7,K,CHI,2132690,17,32,37,,0.248,0.248,6.8,6.9,9.1,10,10.5,13.2,5.3,5.3,47,47,143,8.4,2026
Chase McLaughlin,8,8,K,TB,2165272,17,33,39,,0.285,0.285,8.2,8.3,9.9,11.6,8.2,11.1,6.1,6.1,42,43,141,8.3,2026
Will Reichard,9,9,K,MIN,3121084,17,33,36,,0.293,0.293,8.1,8.1,9.8,10.1,8.4,9.4,6.2,6.2,42,43,141,8.3,2026
Harrison Butker,10,10,K,KC,2078888,17,34,39,,0.512,0.513,9.6,9.8,10.1,10.3,9,10.7,4.34,4.34,36,40,138,8.1,2026
Tyler Loop,11,11,K,BAL,3174704,17,29,32,,0.231,0.232,9.3,9.3,11,11.1,7.4,8.4,1.16,1.16,50,51,137,8.1,2026
Cam Little,12,12,K,JAC,26702477,17,29,33,,0.24,0.241,6.6,6.7,7.8,7.9,8.9,10.7,5.1,5.1,48,49,135,7.9,2026
Wil Lutz,13,13,K,DEN,2008545,17,30,36,,0.223,0.224,8.6,8.7,10.2,10.4,6.4,9.3,4.54,4.54,44,45,134,7.9,2026
Evan McPherson,14,14,K,CIN,2962681,17,29,34,,0.234,0.234,6.4,6.5,7.6,7.7,9.9,11.1,4.97,4.97,47,50,134,7.9,2026
Nick Folk,15,15,K,ATL,410721,17,30,33,,0.255,0.255,7,7.1,8.5,8.6,9.2,10.2,5.4,5.4,41,41,131,7.7,2026
Trey Smack,16,16,K,GB,28899321,17,29,34,,0.288,0.291,8.1,8.3,9.2,10.2,8.1,10.5,3.16,3.16,39,43,126,7.4,2026
Daniel Carlson,17,18,K,NO,2079862,17,30,35,,0.243,0.243,7.9,8,9.2,9.3,7,9.5,5.2,5.2,34,36,124,7.3,2026
Tyler Bass,18,17,K,BUF,2188356,17,26,31,,0.214,0.214,8,8.9,7.1,7.2,6.2,9.3,4.55,4.55,46,49,124,7.3,2026
Blake Grupe,19,20,K,NYJ,2876348,17,29,36,,0.229,0.229,7.5,7.6,9.9,11.2,6.6,9.8,4.86,4.86,36,37,123,7.2,2026
Harrison Mevis,20,19,K,LAR,3162619,16,25,27,,0.213,0.215,5.9,5.9,6.9,7.3,9.1,10.1,2.96,2.96,48,49,123,7.7,2026
Eddy Pineiro,21,21,K,SF,2221833,16,29,33,,0.243,0.244,6.8,6.9,7.9,8.2,9.2,10.2,5.2,5.2,35,39,122,7.6,2026
Joey Slye,22,22,K,TEN,3116871,17,29,35,,0.257,0.257,7.2,7.5,8.3,8.7,7.5,10.1,5.5,5.5,34,35,121,7.1,2026
