name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.08,0.28,17298
Drake Maye,2,QB,NE,QB2,1,2,6,2.92,1.19,23046
Lamar Jackson,3,QB,BAL,QB3,1,2,11,4.83,2.91,17233
Jayden Daniels,4,QB,WAS,QB4,2,3,11,5.92,2.63,22902
Ja'Marr Chase,5,WR,CIN,WR1,2,3,8,6.00,1.87,19788
Caleb Williams,6,QB,CHI,QB5,2,4,14,8.00,3.19,23084
Jaxon Smith-Njigba,7,WR,SEA,WR2,2,2,16,8.92,3.38,23070
Joe Burrow,8,QB,CIN,QB6,2,3,21,9.58,6.13,19196
Puka Nacua,9,WR,LAR,WR3,2,6,16,9.92,2.75,23180
Jahmyr Gibbs,10,RB,DET,RB1,3,5,19,10.25,4.46,22968
Bijan Robinson,11,RB,ATL,RB2,3,4,18,10.33,4.27,23133
Justin Herbert,12,QB,LAC,QB7,3,6,26,12.42,6.49,18635
Amon-Ra St. Brown,13,WR,DET,WR4,3,9,19,14.17,2.73,19799
Jalen Hurts,14,QB,PHI,QB8,3,4,24,14.67,6.54,19275
Patrick Mahomes II,15,QB,KC,QB9,3,7,26,17.00,5.54,16413
Trevor Lawrence,16,QB,JAC,QB10,4,12,28,18.58,5.87,19780
CeeDee Lamb,17,WR,DAL,WR5,4,14,26,18.58,4.27,19202
Justin Jefferson,18,WR,MIN,WR6,4,13,24,19.00,3.34,19236
Ashton Jeanty,19,RB,LV,RB3,4,12,31,21.75,5.72,25989
Malik Nabers,20,WR,NYG,WR7,4,14,35,23.42,6.70,25409
Brock Purdy,21,QB,SF,QB11,4,14,42,23.67,8.31,19797
Drake London,22,WR,ATL,WR8,4,15,28,23.75,3.74,23163
Jaxson Dart,23,QB,NYG,QB12,4,13,34,24.17,7.02,23160
Bo Nix,24,QB,DEN,QB13,4,15,35,24.83,6.18,22910
James Cook III,25,RB,BUF,RB4,5,19,35,27.42,4.44,22958
Jeremiyah Love,26,RB,ARI,RB5,5,13,75,27.58,15.67,25403
De'Von Achane,27,RB,MIA,RB6,5,17,39,28.50,6.40,23136
Brock Bowers,28,TE,LV,TE1,5,11,43,29.42,9.52,22955
Jonathan Taylor,29,RB,IND,RB7,5,20,41,30.17,7.10,19217
Dak Prescott,30,QB,DAL,QB14,5,17,57,30.42,13.08,15600
Nico Collins,31,WR,HOU,WR9,5,27,37,32.08,3.09,20130
Tetairoa McMillan,32,WR,CAR,WR10,5,24,43,32.50,5.77,25417
Jordan Love,33,QB,GB,QB15,5,20,46,32.75,9.07,19246
Omarion Hampton,34,RB,LAC,RB8,5,19,51,33.58,7.62,25395
George Pickens,35,WR,DAL,WR11,5,23,41,33.75,5.02,22963
Trey McBride,36,TE,ARI,TE2,5,16,48,36.92,10.32,22936
Chris Olave,37,WR,NO,WR12,5,30,43,37.17,3.21,20111
Emeka Egbuka,38,WR,TB,WR13,6,30,54,39.92,7.33,23062
Kenneth Walker III,39,RB,KC,RB9,6,26,64,42.08,11.15,23021
Garrett Wilson,40,WR,NYJ,WR14,6,35,58,43.17,6.52,23072
Jared Goff,41,QB,DET,QB16,6,25,72,43.83,13.69,15501
Zay Flowers,42,WR,BAL,WR15,6,38,53,44.75,3.34,22916
DeVonta Smith,43,WR,PHI,WR16,6,40,55,47.17,5.38,19222
Carnell Tate,44,WR,TEN,WR17,6,29,86,48.67,15.32,26009
A.J. Brown,45,WR,NE,WR18,6,33,65,49.17,9.29,18218
Ladd McConkey,46,WR,LAC,WR19,6,41,56,49.33,5.15,26122
Tee Higgins,47,WR,CIN,WR20,6,42,62,49.33,7.12,19211
Colston Loveland,48,TE,CHI,TE3,6,22,61,49.58,12.08,26006
Luther Burden III,49,WR,CHI,WR21,6,37,72,50.92,9.29,27016
Breece Hall,50,RB,NYJ,RB10,6,39,72,52.08,12.38,22982
