name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Josh Allen,1,1,QB,QB,BUF,2181054,15,433,297,3406,227.1,28,10,104,130,592,4.6,11,4,386,25.7,2026
Patrick Mahomes,2,2,QB,QB,KC,2142052,15,533,333,3537,235.8,28,11,90.7,69,364,5.3,4,0,331,22.1,2026
Dak Prescott,3,5,QB,QB,DAL,1824864,15,534,356,3833,255.5,30,10,98.5,55,215,3.9,2,2,327,21.8,2026
Jalen Hurts,4,4,QB,QB,PHI,2240246,15,426,276,3107,207.1,26,6,100.9,100,436,4.4,6,3,327,21.8,2026
Trevor Lawrence,5,3,QB,QB,JAC,2967185,15,462,290,3506,233.7,29,12,96.1,63,277,4.4,5,2,327,21.8,2026
Brock Purdy,6,6,QB,QB,SF,2961306,15,483,336,3672,244.8,27,13,99.2,71,339,4.8,5,3,322,21.5,2026
Joe Burrow,7,7,QB,QB,CIN,2179798,15,535,360,3753,250.2,31,11,98.1,33,157,4.8,1,1,319,21.3,2026
Lamar Jackson,8,8,QB,QB,BAL,2181169,15,364,244,3145,209.7,28,9,109.3,91,519,5.7,3,5,319,21.3,2026
Tyler Shough,9,9,QB,QB,NO,2964064,15,533,365,3950,263.3,24,12,95.7,74,279,3.8,6,4,317,21.1,2026
Jared Goff,10,10,QB,QB,DET,2061053,15,477,334,3811,254.1,31,8,108.4,24,47,2,0,3,310,20.7,2026
Jayden Daniels,11,11,QB,QB,WAS,3123337,14,397,250,2859,204.2,23,9,94.4,107,644,6,4,2,303,21.6,2026
Caleb Williams,12,12,QB,QB,CHI,26695775,14,466,278,3178,227,24,8,90.2,70,368,5.3,3,1,292,20.9,2026
Daniel Jones,13,14,QB,QB,IND,2179245,15,471,300,3422,228.1,27,10,95.7,40,139,3.5,2,2,286,19.1,2026
Drake Maye,14,13,QB,QB,NE,26695757,15,412,283,3336,222.4,23,12,99.5,86,452,5.3,3,4,286,19.1,2026
Matthew Stafford,15,15,QB,QB,LAR,1114942,15,464,297,3521,234.7,28,7,100.9,26,33,1.3,0,2,283,18.9,2026
Bryce Young,16,16,QB,QB,CAR,3161957,15,467,302,3191,212.7,26,12,92.3,43,193,4.5,3,1,277,18.5,2026
Baker Mayfield,17,17,QB,QB,TB,2080032,15,476,308,3285,219,24,12,91.1,54,339,6.3,3,5,275,18.3,2026
C.J. Stroud,18,18,QB,QB,HOU,3163079,15,522,325,3670,244.7,24,10,90.6,44,228,5.2,1,5,272,18.1,2026
Sam Darnold,19,19,QB,QB,SEA,2180320,15,421,287,3496,233.1,27,10,105,42,119,2.8,0,5,268,17.9,2026
