name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,17,154,115,1080,63.5,9.4,8,0,148,8.7,2026
Brock Bowers,2,2,TE,TE,LV,26693971,17,119,88,992,58.4,11.3,9,0,144,8.5,2026
Colston Loveland,3,3,TE,TE,CHI,28874696,17,123,81,1007,59.2,12.4,8,0,140,8.2,2026
Dallas Goedert,4,4,TE,TE,PHI,2132551,17,92,68,717,42.2,10.5,11,0,136,8,2026
Tucker Kraft,5,5,TE,TE,GB,3133332,17,76,56,813,47.8,14.5,10,0,132,7.8,2026
Kyle Pitts,6,6,TE,TE,ATL,2964514,17,113,82,931,54.8,11.4,7,0,126,7.4,2026
Tyler Warren,7,7,TE,TE,IND,3168800,17,125,85,912,53.6,10.7,6,0,125,7.4,2026
Harold Fannin Jr.,8,8,TE,TE,CLE,28900882,17,108,72,785,46.2,10.9,8,1,122,7.2,2026
Isaiah Likely,9,9,TE,TE,NYG,2961906,17,94,69,899,52.9,13,7,2,119,7,2026
Sam LaPorta,10,10,TE,TE,DET,3124197,17,92,72,906,53.3,12.6,6,0,119,7,2026
George Kittle,11,11,TE,TE,SF,2818265,17,88,72,844,49.6,11.7,7,0,117,6.9,2026
Dalton Kincaid,12,12,TE,TE,BUF,2982991,17,81,60,778,45.8,13,7,0,111,6.5,2026
Travis Kelce,13,13,TE,TE,KC,1725130,17,110,78,813,47.8,10.4,6,0,108,6.4,2026
Mark Andrews,14,14,TE,TE,BAL,2131121,17,78,55,551,32.4,10,9,0,108,6.4,2026
Brenton Strange,15,15,TE,TE,JAC,3121696,17,94,70,805,47.4,11.5,5,0,102,6,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,17,93,70,868,51.1,12.4,4,2,100,5.9,2026
Hunter Henry,17,17,TE,TE,NE,2079848,17,86,58,703,41.4,12.1,6,0,99,5.8,2026
Jake Ferguson,18,18,TE,TE,DAL,2867159,17,100,78,636,37.4,8.2,7,2,93,5.5,2026
Cade Otton,19,19,TE,TE,TB,2815179,17,94,68,708,41.6,10.4,4,0,87,5.1,2026
A. Barner,20,20,TE,TE,SEA,3169283,17,60,47,472,27.8,10,7,0,86,5.1,2026
Dalton Schultz,21,21,TE,TE,HOU,2136748,17,95,71,684,40.2,9.6,4,0,85,5,2026
Kenyon Sadiq,22,22,TE,TE,NYJ,29125433,17,69,47,528,31.1,11.2,6,1,80,4.7,2026
Greg Dulcich,23,23,TE,TE,MIA,2964274,17,78,58,674,39.6,11.6,4,2,78,4.6,2026
Oronde Gadsden II,24,24,TE,TE,LAC,26727374,17,68,49,689,40.5,14.1,3,1,77,4.5,2026
Terrance Ferguson,25,25,TE,TE,LAR,26701481,17,57,29,530,31.2,18.3,5,0,76,4.5,2026
Pat Freiermuth,26,26,TE,TE,PIT,2961270,17,60,46,510,30,11.1,5,0,74,4.4,2026
Chigoziem Okonkwo,27,27,TE,TE,WAS,2965208,17,73,52,629,37,12.1,3,0,73,4.3,2026
Colby Parkinson,28,28,TE,TE,LAR,2867522,17,57,41,435,25.6,10.6,6,1,69,4.1,2026
David Njoku,29,29,TE,TE,LAC,2136474,17,63,42,404,23.8,9.6,6,0,68,4,2026
T.J. Hockenson,30,30,TE,TE,MIN,2251097,17,73,55,516,30.4,9.4,4,0,68,4,2026
Tyler Higbee,31,31,TE,TE,LAR,1853103,17,58,40,499,29.4,12.5,4,0,65,3.8,2026
Mike Gesicki,32,32,TE,TE,CIN,2139298,17,69,49,541,31.8,11,3,0,64,3.8,2026
Mason Taylor,33,33,TE,TE,NYJ,28878064,17,83,56,460,27.1,8.2,4,0,62,3.6,2026
Theo Johnson,34,34,TE,TE,NYG,3162129,17,54,33,390,22.9,11.8,5,0,60,3.5,2026
Evan Engram,35,35,TE,TE,DEN,2079887,17,84,56,478,28.1,8.5,3,0,57,3.4,2026
Dawson Knox,36,36,TE,TE,BUF,2186345,17,48,35,401,23.6,11.5,3,0,50,2.9,2026
Gunnar Helm,37,38,TE,TE,TEN,26696189,17,55,44,379,22.3,8.6,3,0,48,2.8,2026
Charlie Kolar,38,37,TE,TE,LAC,2866273,17,36,25,333,19.6,13.3,4,0,48,2.8,2026
Brock Wright,39,39,TE,TE,DET,2807423,17,47,31,278,16.4,9,4,0,43,2.5,2026
Daniel Bellinger,40,40,TE,TE,TEN,2963615,17,35,26,333,19.6,12.8,3,0,42,2.5,2026
Josh Oliver,41,42,TE,TE,MIN,2184618,17,28,22,243,14.3,11.1,4,0,40,2.4,2026
Will Kacmarek,42,41,TE,TE,MIA,26717403,17,52,35,327,19.2,9.3,3,1,40,2.4,2026
