name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,17,39,45,,0.305,0.305,8.4,9.3,12.6,13.2,11.5,13,6.5,6.5,50,51,167,9.8,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,17,39,43,,0.325,0.326,8.9,9.4,10.6,10.8,11.9,13.2,6.9,6.9,39,41,156,9.2,2026
Brandon Aubrey,3,3,K,DAL,2815718,17,35,39,,0.286,0.287,8.2,8.3,9.3,10.1,10.6,11.8,6.1,6.1,49,49,154,9.1,2026
Blake Grupe,4,4,K,IND,2876348,17,34,42,,0.262,0.262,8.9,9,11.5,13.5,7.5,11.2,5.6,5.6,51,52,153,9,2026
Nick Folk,5,5,K,ATL,410721,17,35,38,,0.293,0.293,8.1,8.1,10.1,10.2,10.1,11.2,6.2,6.2,46,47,151,8.9,2026
Jake Bates,6,6,K,DET,3173439,17,31,38,,0.241,0.242,6.6,6.7,9.5,9.6,9.5,11.5,5,5,53,55,146,8.6,2026
Cameron Dicker,7,8,K,LAC,2961997,17,35,38,,0.277,0.277,7.6,7.7,11.6,12.3,10.3,11.4,5.3,5.3,38,40,143,8.4,2026
Cairo Santos,8,7,K,CHI,2132690,17,32,37,,0.25,0.25,6.9,6.9,9,9.8,10.6,13.1,5.3,5.3,47,47,143,8.4,2026
Harrison Mevis,9,9,K,LAR,3162619,17,29,31,,0.243,0.246,6.7,6.8,7.9,8.3,10.3,11.5,3.38,3.38,55,56,142,8.4,2026
Chase McLaughlin,10,10,K,TB,2165272,17,33,40,,0.291,0.291,8.2,8.3,9.9,11.6,8.4,11.8,6.2,6.2,42,44,141,8.3,2026
Will Reichard,11,11,K,MIN,3121084,17,33,36,,0.29,0.29,8,8.1,9.9,10.2,8.3,9.3,6.2,6.2,42,43,141,8.3,2026
Tyler Loop,12,12,K,BAL,3174704,17,29,32,,0.231,0.232,9.3,9.3,10.6,10.7,7.7,8.7,1.16,1.16,49,51,136,8,2026
Cam Little,13,13,K,JAC,26702477,17,29,32,,0.238,0.238,6.5,6.6,8.2,8.3,8.7,10.4,5,5,48,49,135,7.9,2026
Harrison Butker,14,16,K,KC,2078888,17,33,39,,0.508,0.508,9.6,9.8,10.1,10.2,8.5,10.1,4.64,4.64,35,39,134,7.9,2026
Wil Lutz,15,15,K,DEN,2008545,17,30,36,,0.224,0.224,8.4,8.5,10.6,10.9,6.4,9.4,4.41,4.41,44,45,134,7.9,2026
Evan McPherson,16,14,K,CIN,2962681,17,29,34,,0.235,0.235,6.5,6.5,7.6,7.7,10,11.1,4.99,4.99,47,50,134,7.9,2026
Eddy Pineiro,17,17,K,SF,2221833,17,31,34,,0.246,0.246,6.8,6.8,8.5,8.8,10.4,11.6,5.2,5.2,37,41,130,7.6,2026
Charlie Smyth,18,18,K,NO,29375393,17,30,36,,0.27,0.273,7.5,7.7,9.8,10.6,8,11.1,4.21,4.21,37,38,127,7.5,2026
Trey Smack,19,19,K,GB,28899321,17,29,34,,0.285,0.287,8,8.2,9.1,10.1,8,10.4,3.13,3.13,39,43,126,7.4,2026
Tyler Bass,20,20,K,BUF,2188356,17,26,32,,0.215,0.215,8.1,9,7.2,7.3,6.3,9.4,4.57,4.57,46,49,124,7.3,2026
Jason Sanders,21,21,K,NYJ,2131909,17,29,34,,0.24,0.24,6.6,6.7,10.5,10.7,6.9,9.7,5.1,5.1,34,37,121,7.1,2026
Joey Slye,22,22,K,TEN,3116871,17,29,35,,0.257,0.257,7.1,7.4,8.4,8.7,7.6,9.9,5.5,5.5,34,35,121,7.1,2026
Drew Stevens,23,23,K,WAS,28873746,17,27,32,,0.27,0.273,7.6,7.8,8.6,9.6,7.6,9.8,2.97,2.97,39,43,120,7.1,2026
Andres Borregales,24,24,K,NE,26699665,17,26,31,,0.407,0.407,7,7.1,8.7,9.6,6.2,9.3,3.5,3.5,42,44,120,7.1,2026
Riley Patterson,25,26,K,MIA,2865368,17,27,31,,0.217,0.217,6,6,8.6,9.6,9.2,10.2,3.19,3.19,38,39,119,7,2026
