name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.03,0.17,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,7,2.61,1.00,17233
Drake Maye,3,QB,NE,QB3,1,2,18,3.60,2.11,23046
Joe Burrow,4,QB,CIN,QB4,1,2,16,5.05,2.28,19196
Jayden Daniels,5,QB,WAS,QB5,2,2,29,6.76,4.56,22902
Jalen Hurts,6,QB,PHI,QB6,2,3,17,6.98,3.18,19275
Ja'Marr Chase,7,WR,CIN,WR1,2,4,12,7.16,2.18,19788
Jahmyr Gibbs,8,RB,DET,RB1,2,2,15,10.06,2.24,22968
Caleb Williams,9,QB,CHI,QB7,2,3,29,10.63,5.03,23084
Puka Nacua,10,WR,LAR,WR2,2,6,21,10.97,2.58,23180
Bijan Robinson,11,RB,ATL,RB2,2,3,15,11.88,1.95,23133
Justin Herbert,12,QB,LAC,QB8,2,3,50,12.22,6.68,18635
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,27,12.75,2.71,23070
Amon-Ra St. Brown,14,WR,DET,WR4,3,8,21,13.61,2.11,19799
Dak Prescott,15,QB,DAL,QB9,3,4,32,15.09,5.65,15600
Trevor Lawrence,16,QB,JAC,QB10,3,5,30,15.10,5.93,19780
Christian McCaffrey,17,RB,SF,RB3,3,13,46,19.67,8.00,16393
CeeDee Lamb,18,WR,DAL,WR5,3,11,34,20.77,3.18,19202
Justin Jefferson,19,WR,MIN,WR6,3,12,48,21.58,4.43,19236
Brock Purdy,20,QB,SF,QB11,4,8,41,21.83,5.95,19797
Jonathan Taylor,21,RB,IND,RB4,4,12,56,24.40,8.39,19217
Jaxson Dart,22,QB,NYG,QB12,4,7,55,24.88,9.17,23160
Drake London,23,WR,ATL,WR7,4,20,43,25.55,5.52,23163
Bo Nix,24,QB,DEN,QB13,4,9,55,25.68,7.99,22910
Patrick Mahomes II,25,QB,KC,QB14,4,8,50,26.70,7.87,16413
A.J. Brown,26,WR,NE,WR8,4,20,52,27.23,6.44,18218
Nico Collins,27,WR,HOU,WR9,4,21,46,29.63,5.27,20130
James Cook III,28,RB,BUF,RB5,4,15,49,30.52,9.60,22958
Matthew Stafford,29,QB,LAR,QB15,4,8,56,31.03,10.19,9451
Jared Goff,30,QB,DET,QB16,4,8,50,32.48,7.87,15501
Chase Brown,31,RB,CIN,RB6,4,15,54,32.53,7.69,25324
Chris Olave,32,WR,NO,WR10,4,21,62,33.26,7.89,20111
Brock Bowers,33,TE,LV,TE1,5,21,70,33.65,5.74,22955
George Pickens,34,WR,DAL,WR11,5,21,57,35.20,7.24,22963
De'Von Achane,35,RB,MIA,RB7,5,22,58,36.46,8.31,23136
Trey McBride,36,TE,ARI,TE2,5,31,64,38.00,5.42,22936
Ashton Jeanty,37,RB,LV,RB8,5,15,77,38.39,12.33,25989
Kyler Murray,38,QB,MIN,QB17,5,18,66,38.75,11.11,18600
Rashee Rice,39,WR,KC,WR12,5,21,68,39.60,10.47,23113
DeVonta Smith,40,WR,PHI,WR13,5,27,63,40.02,7.90,19222
Saquon Barkley,41,RB,PHI,RB9,5,22,58,40.58,7.60,17240
Malik Nabers,42,WR,NYG,WR14,5,20,75,41.31,11.47,25409
Omarion Hampton,43,RB,LAC,RB10,5,22,54,41.42,7.28,25395
Kenneth Walker III,44,RB,KC,RB11,5,23,81,42.79,10.31,23021
Baker Mayfield,45,QB,TB,QB18,5,16,60,45.62,9.59,17237
Jordan Love,46,QB,GB,QB19,5,18,64,46.07,10.18,19246
Garrett Wilson,47,WR,NYJ,WR15,5,28,69,46.49,9.07,23072
Zay Flowers,48,WR,BAL,WR16,5,33,69,46.82,8.87,22916
Tyler Shough,49,QB,NO,QB20,6,19,87,50.00,10.91,23096
Tetairoa McMillan,50,WR,CAR,WR17,6,34,70,51.92,7.63,25417
Ladd McConkey,51,WR,LAC,WR18,6,28,72,52.17,8.19,26122
Jaylen Waddle,52,WR,DEN,WR19,6,34,82,52.20,8.76,19790
Tee Higgins,53,WR,CIN,WR20,6,28,73,53.24,7.75,19211
Colston Loveland,54,TE,CHI,TE3,6,39,113,54.35,15.70,26006
Derrick Henry,55,RB,BAL,RB12,6,24,77,54.37,10.88,15514
Malik Willis,56,QB,MIA,QB21,6,19,174,54.81,18.52,23499
Breece Hall,57,RB,NYJ,RB13,6,39,77,57.33,8.19,22982
Emeka Egbuka,58,WR,TB,WR21,6,28,84,58.63,8.80,23062
Jeremiyah Love,59,RB,ARI,RB14,6,44,85,58.82,10.69,25403
Kyren Williams,60,RB,LAR,RB15,6,39,79,59.68,8.31,23059
Sam Darnold,61,QB,SEA,QB22,6,30,178,62.75,13.85,17236
Javonte Williams,62,RB,DAL,RB16,6,46,88,63.30,7.58,22739
C.J. Stroud,63,QB,HOU,QB23,6,32,87,64.02,7.96,23071
Josh Jacobs,64,RB,GB,RB17,6,42,87,64.25,8.99,18269
Terry McLaurin,65,WR,WAS,WR22,6,44,89,65.47,7.35,18466
Luther Burden III,66,WR,CHI,WR23,7,43,96,66.67,10.20,27016
Travis Etienne Jr.,67,RB,NO,RB18,7,42,92,67.74,9.44,19231
Daniel Jones,68,QB,IND,QB24,7,38,94,65.16,9.02,18232
Davante Adams,69,WR,LAR,WR24,7,45,90,69.08,8.64,12123
Cam Ward,70,QB,TEN,QB25,7,50,116,70.73,8.78,24755
DJ Moore,71,WR,BUF,WR25,7,35,122,71.81,14.00,17265
Tyler Warren,72,TE,IND,TE4,7,47,104,74.02,12.62,26434
Mike Evans,73,WR,SF,WR26,7,52,102,75.42,11.04,12119
Jameson Williams,74,WR,DET,WR27,7,57,114,75.58,10.72,23677
D'Andre Swift,75,RB,CHI,RB19,7,49,95,76.24,8.59,19210
Cam Skattebo,76,RB,NYG,RB20,7,58,96,77.48,8.71,27166
Rome Odunze,77,WR,CHI,WR28,7,58,107,77.77,10.01,25411
Christian Watson,78,WR,GB,WR29,7,53,122,78.12,10.29,23886
Bucky Irving,79,RB,TB,RB21,7,48,104,79.36,9.22,25981
Bryce Young,80,QB,CAR,QB26,7,60,127,77.24,9.92,22900
David Montgomery,81,RB,HOU,RB22,7,58,98,81.44,8.21,18239
Quinshon Judkins,82,RB,CLE,RB23,7,58,98,81.90,8.74,25391
Parker Washington,83,WR,JAC,WR30,7,57,128,85.46,15.65,23106
Jacoby Brissett,84,QB,ARI,QB27,7,55,139,84.74,15.21,15642
Carnell Tate,85,WR,TEN,WR31,7,63,133,87.56,14.06,26009
Bhayshul Tuten,86,RB,JAC,RB24,7,59,115,87.67,10.01,27297
Marvin Harrison Jr.,87,WR,ARI,WR32,7,63,124,89.25,11.71,23064
TreVeyon Henderson,88,RB,NE,RB25,8,61,116,90.15,9.84,23065
Jadarian Price,89,RB,SEA,RB26,8,65,137,94.39,10.36,27329
Harold Fannin Jr.,90,TE,CLE,TE5,8,77,127,94.40,11.30,27050
Jaylen Warren,91,RB,PIT,RB27,8,85,119,96.70,7.35,24209
Chris Godwin Jr.,92,WR,TB,WR33,8,68,131,97.05,12.39,16406
Rhamondre Stevenson,93,RB,NE,RB28,8,71,130,97.26,8.94,22726
Brian Thomas Jr.,94,WR,JAC,WR34,8,69,135,97.86,12.77,23000
