name,Rank,source_rank,position,source_position,team,source_player_id,games_played,pass_attempts,pass_completions,pass_yards,pass_yards_per_game,pass_touchdowns,interceptions,passer_rating,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Josh Allen,1,1,QB,QB,BUF,2181054,16,464,320,3656,228.5,30,11,104.1,117,563,4.8,11,4,405,25.3,2026
Jalen Hurts,2,2,QB,QB,PHI,2240246,16,443,287,3269,204.3,27,5,102.4,110,486,4.4,8,4,357,22.3,2026
Lamar Jackson,3,3,QB,QB,BAL,2181169,16,380,254,3300,206.3,32,9,112.2,101,552,5.5,3,6,353,22.1,2026
Trevor Lawrence,4,4,QB,QB,JAC,2967185,16,495,309,3737,233.6,31,13,95.5,70,303,4.3,5,2,349,21.8,2026
Caleb Williams,5,5,QB,QB,CHI,26695775,16,537,319,3682,230.1,29,8,91.9,80,399,5,3,2,344,21.5,2026
Joe Burrow,6,6,QB,QB,CIN,2179798,16,579,386,4031,251.9,32,13,95.7,38,193,5.1,2,1,342,21.4,2026
Jayden Daniels,7,7,QB,QB,WAS,3123337,16,440,280,3270,204.4,26,10,96.3,125,703,5.6,4,2,342,21.4,2026
Dak Prescott,8,8,QB,QB,DAL,1824864,16,575,375,4069,254.3,31,11,95.9,54,192,3.6,2,2,340,21.3,2026
Brock Purdy,9,9,QB,QB,SF,2961306,16,526,361,3831,239.4,29,15,96.1,78,342,4.4,5,4,338,21.1,2026
Patrick Mahomes,10,10,QB,QB,KC,2142052,16,549,343,3588,224.3,28,12,89.3,76,368,4.8,4,1,331,20.7,2026
Jaxson Dart,11,11,QB,QB,NYG,26694019,16,473,289,3193,199.6,24,13,86.6,106,552,5.2,7,2,322,20.1,2026
Jared Goff,12,12,QB,QB,DET,2061053,16,502,350,3967,247.9,32,9,106.9,24,46,1.9,0,4,316,19.8,2026
Drake Maye,13,13,QB,QB,NE,26695757,16,446,307,3556,222.3,26,12,100.9,94,511,5.4,3,5,316,19.8,2026
Justin Herbert,14,14,QB,QB,LAC,2221960,16,491,326,3474,217.1,25,12,93.7,78,511,6.6,2,2,307,19.2,2026
Jordan Love,15,15,QB,QB,GB,2239997,16,487,314,3866,241.6,29,10,100.2,43,179,4.2,0,3,305,19.1,2026
