name,Rank,source_rank,position,team,source_player_id,bye,rush_attempts,rush_yards,rush_touchdowns,receptions,receiving_yards,receiving_touchdowns,projected_fantasy_points,source_updated_date,season
Travis Etienne,19,19,RB,NO,17561,8,246,1082,5,44,327,2,204.9,2026-08-30,2026
D'Andre Swift,20,20,RB,CHI,17220,10,233,1049,7,39,316,1,204,2026-08-30,2026
Bucky Irving,21,21,RB,TB,18997,10,249,995,6,38,305,2,197,2026-08-30,2026
Quinshon Judkins,22,22,RB,CLE,19411,11,275,1098,7,30,205,1,193.3,2026-08-30,2026
David Montgomery,23,23,RB,HOU,16658,8,217,935,7,34,244,1,182.9,2026-08-30,2026
Tony Pollard,24,24,RB,TEN,16676,9,242,1065,5,32,227,1,181.2,2026-08-30,2026
Jaylen Warren,25,25,RB,PIT,18267,9,190,854,5,41,329,2,180.8,2026-08-30,2026
Rhamondre Stevenson,26,26,RB,NE,17716,11,163,735,7,43,322,1,175.2,2026-08-30,2026
TreVeyon Henderson,27,27,RB,NE,19389,11,178,836,7,34,257,1,174.3,2026-08-30,2026
Jadarian Price,28,28,RB,SEA,19817,11,195,837,7,31,226,1,169.8,2026-08-30,2026
J.K. Dobbins,29,29,RB,DEN,17062,10,206,988,7,16,104,1,165.2,2026-08-30,2026
MarShawn Lloyd,30,30,RB,GB,19041,11,191,822,7,27,197,1,163.4,2026-08-30,2026
Chuba Hubbard,31,31,RB,CAR,17603,5,192,767,6,34,258,1,161.5,2026-08-30,2026
Rico Dowdle,32,32,RB,PIT,17262,9,186,801,5,30,203,1,151.4,2026-08-30,2026
Rachaad White,33,33,RB,WAS,18240,7,131,539,5,42,310,2,147.9,2026-08-30,2026
Jacory Croskey-Merritt,34,34,RB,WAS,19346,7,179,788,7,12,84,0,135.2,2026-08-30,2026
Jonathon Brooks,35,35,RB,CAR,18926,5,158,646,4,32,229,1,133.5,2026-08-30,2026
Kenneth Gainwell,36,36,RB,TB,17578,10,109,479,4,37,275,2,129.9,2026-08-30,2026
Aaron Jones,37,37,RB,MIN,15916,6,143,602,3,37,268,1,129.5,2026-08-30,2026
RJ Harvey,38,38,RB,DEN,19384,10,96,373,3,44,326,3,127.9,2026-08-30,2026
Kyle Monangai,39,39,RB,CHI,19453,10,176,775,4,20,162,0,127.7,2026-08-30,2026
Blake Corum,40,40,RB,LAR,18942,11,159,745,6,13,89,0,125.9,2026-08-30,2026
Jordan Mason,41,41,RB,MIN,18282,6,189,831,5,12,62,0,125.3,2026-08-30,2026
Josh Jacobs,42,42,RB,GB,16611,11,152,622,4,15,121,1,111.8,2026-08-30,2026
Alvin Kamara,43,43,RB,NO,15924,8,113,428,2,34,235,2,107.3,2026-08-30,2026
Woody Marks,44,44,RB,HOU,19432,8,135,527,2,27,214,1,105.6,2026-08-30,2026
Zach Charbonnet,45,45,RB,SEA,18495,11,128,537,3,19,135,1,100.7,2026-08-30,2026
Tyjae Spears,46,46,RB,TEN,18659,9,86,344,2,38,255,1,96.9,2026-08-30,2026
Dylan Sampson,47,47,RB,CLE,19494,11,61,245,1,40,316,2,94.1,2026-08-30,2026
Chris Rodriguez Jr.,48,48,RB,JAC,18633,7,129,556,4,10,76,0,92.2,2026-08-30,2026
Tyrone Tracy Jr.,49,49,RB,NYG,19125,8,90,380,2,28,215,1,91.5,2026-08-30,2026
Brian Robinson Jr.,50,50,RB,ATL,18194,11,107,462,4,9,58,0,80.5,2026-08-30,2026
Isiah Pacheco,51,51,RB,DET,18172,6,110,439,2,20,139,0,79.8,2026-08-30,2026
Tyler Allgeier,52,52,RB,ARI,18000,14,98,391,3,18,124,0,78.5,2026-08-30,2026
Justice Hill,53,53,RB,BAL,16598,13,51,241,2,28,221,1,78.2,2026-08-30,2026
Ty Johnson,54,54,RB,BUF,16623,7,51,211,1,25,230,1,68.6,2026-08-30,2026
Braelon Allen,55,55,RB,NYJ,18905,13,91,372,3,10,80,0,68.2,2026-08-30,2026
Samaje Perine,56,56,RB,CIN,15976,6,72,304,2,16,98,1,66.2,2026-08-30,2026
Keaton Mitchell,57,57,RB,LAC,18710,7,39,194,2,19,147,1,61.6,2026-08-30,2026
Ray Davis,58,58,RB,BUF,18949,7,62,281,2,12,94,1,61.5,2026-08-30,2026
Tank Bigsby,59,59,RB,PHI,18475,10,87,375,3,5,31,0,61.1,2026-08-30,2026
Mike Washington Jr.,60,60,RB,LV,19896,13,90,359,2,9,57,0,58.1,2026-08-30,2026
Malik Davis,61,61,RB,DAL,18345,14,69,317,2,10,78,0,56.5,2026-08-30,2026
Kimani Vidal,62,62,RB,LAC,19135,7,66,272,2,11,87,0,53.4,2026-08-30,2026
Emari Demercado,63,63,RB,KC,18741,5,51,235,1,19,135,0,52.5,2026-08-30,2026
Jonah Coleman,64,64,RB,DEN,19836,10,66,277,2,11,68,0,52,2026-08-30,2026
Sean Tucker,65,65,RB,TB,18709,10,60,227,3,9,67,0,51.9,2026-08-30,2026
Jaylen Wright,66,66,RB,MIA,19155,6,61,256,2,9,71,0,49.2,2026-08-30,2026
George Holani,67,67,RB,SEA,19262,11,58,233,2,11,78,0,48.6,2026-08-30,2026
Najee Harris,68,68,RB,NYG,17592,8,58,233,2,5,41,0,41.9,2026-08-30,2026
Jordan James,69,69,RB,SF,19403,8,57,249,1,7,47,0,39.1,2026-08-30,2026
Isaiah Davis,70,70,RB,NYJ,18947,13,36,145,1,14,107,0,38.2,2026-08-30,2026
Emmett Johnson,71,71,RB,KC,19790,5,48,186,1,11,77,0,37.8,2026-08-30,2026
LeQuint Allen,72,72,RB,JAC,19302,7,21,82,0,20,135,1,37.7,2026-08-30,2026
Chris Brooks,73,73,RB,GB,18750,11,33,131,1,15,102,0,36.8,2026-08-30,2026
Jeremy McNichols,74,74,RB,WAS,15957,7,21,105,1,16,116,0,36.1,2026-08-30,2026
Seth McGowan,75,75,RB,IND,19922,13,42,168,1,11,77,0,36,2026-08-30,2026
Kyle Juszczyk,76,76,RB,SF,13213,8,8,15,0,22,174,1,35.9,2026-08-30,2026
Kaelon Black,77,77,RB,SF,19849,8,55,224,1,5,36,0,34.5,2026-08-30,2026
Will Shipley,78,78,RB,PHI,19104,10,34,135,1,11,80,0,33,2026-08-30,2026
Ollie Gordon II,79,79,RB,MIA,19371,6,46,181,1,8,48,0,32.9,2026-08-30,2026
James Conner,80,80,RB,ARI,15840,14,36,142,1,8,68,0,31,2026-08-30,2026
Kaytron Allen,81,81,RB,WAS,19857,7,37,148,1,7,45,0,28.8,2026-08-30,2026
Demond Claiborne,82,82,RB,MIN,19771,6,36,145,1,4,29,0,25.4,2026-08-30,2026
Raheim Sanders,83,83,RB,CLE,19559,11,34,131,1,4,26,0,23.7,2026-08-30,2026
DJ Giddens,84,84,RB,IND,19368,13,38,148,1,2,17,0,23.5,2026-08-30,2026
Rasheen Ali,85,85,RB,BAL,18903,13,20,81,0,6,45,0,15.6,2026-08-30,2026
Trevor Etienne,86,86,RB,CAR,19354,5,18,82,0,4,25,0,12.7,2026-08-30,2026
Jawhar Jordan,87,87,RB,HOU,19014,8,21,88,0,3,17,0,12,2026-08-30,2026
Roschon Johnson,88,88,RB,CHI,18559,10,19,81,0,2,12,0,10.3,2026-08-30,2026
Emanuel Wilson,89,89,RB,SEA,18737,11,19,74,0,2,17,0,10.1,2026-08-30,2026
Tahj Brooks,90,90,RB,CIN,19324,6,21,82,0,1,7,0,9.4,2026-08-30,2026
Kendre Miller,91,91,RB,NO,18594,8,17,65,0,2,12,0,8.7,2026-08-30,2026
Nicholas Singleton,92,92,RB,TEN,19901,9,16,64,0,2,11,0,8.5,2026-08-30,2026
