name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,16,152,112,1106,69.1,9.9,10,0,163,10.2,2026
Dallas Goedert,2,2,TE,TE,PHI,2132551,16,98,72,835,52.2,11.6,12,0,154,9.6,2026
Brock Bowers,3,3,TE,TE,LV,26693971,16,110,82,854,53.4,10.4,8,0,126,7.9,2026
Tyler Warren,4,4,TE,TE,IND,3168800,16,101,67,778,48.6,11.6,8,0,123,7.7,2026
Isaiah Likely,5,5,TE,TE,NYG,2961906,16,95,76,781,48.8,10.3,9,2,119,7.4,2026
Dalton Kincaid,6,6,TE,TE,BUF,2982991,16,81,60,895,55.9,14.9,6,0,117,7.3,2026
Tucker Kraft,7,7,TE,TE,GB,3133332,16,78,54,766,47.9,14.2,8,0,116,7.3,2026
Sam LaPorta,8,8,TE,TE,DET,3124197,16,92,70,872,54.5,12.5,6,0,115,7.2,2026
Mark Andrews,9,9,TE,TE,BAL,2131121,16,76,54,570,35.6,10.6,9,0,110,6.9,2026
Harold Fannin Jr.,10,10,TE,TE,CLE,28900882,16,97,63,694,43.4,11,7,1,108,6.8,2026
Brenton Strange,11,11,TE,TE,JAC,3121696,16,89,65,746,46.6,11.5,7,0,108,6.8,2026
Kyle Pitts,12,12,TE,TE,ATL,2964514,16,99,70,796,49.8,11.4,6,0,107,6.7,2026
Travis Kelce,13,13,TE,TE,KC,1725130,16,109,77,836,52.3,10.9,5,0,106,6.6,2026
George Kittle,14,14,TE,TE,SF,2818265,16,87,67,780,48.8,11.6,6,0,105,6.6,2026
Colston Loveland,15,15,TE,TE,CHI,28874696,16,101,64,766,47.9,12,6,0,104,6.5,2026
Hunter Henry,16,16,TE,TE,NE,2079848,16,80,56,682,42.6,12.2,6,0,96,6,2026
Juwan Johnson,17,17,TE,TE,NO,2186637,16,84,61,759,47.4,12.4,4,1,90,5.6,2026
Dalton Schultz,18,18,TE,TE,HOU,2136748,16,93,67,647,40.4,9.7,4,0,81,5.1,2026
Pat Freiermuth,19,19,TE,TE,PIT,2961270,16,59,47,527,32.9,11.2,6,0,80,5,2026
Cade Otton,20,20,TE,TE,TB,2815179,16,86,61,633,39.6,10.4,4,0,79,4.9,2026
Jake Ferguson,21,22,TE,TE,DAL,2867159,16,84,66,543,33.9,8.2,6,2,78,4.9,2026
A. Barner,22,21,TE,TE,SEA,3169283,16,56,44,435,27.2,9.9,6,0,78,4.9,2026
Mike Gesicki,23,23,TE,TE,CIN,2139298,16,71,51,622,38.9,12.2,4,0,77,4.8,2026
Kenyon Sadiq,24,24,TE,TE,NYJ,29125433,16,65,45,505,31.6,11.2,5,2,76,4.8,2026
T.J. Hockenson,25,25,TE,TE,MIN,2251097,16,70,54,520,32.5,9.6,5,0,74,4.6,2026
Chigoziem Okonkwo,26,26,TE,TE,WAS,2965208,16,69,49,592,37,12.1,3,0,70,4.4,2026
David Njoku,27,27,TE,TE,LAC,2136474,16,62,45,423,26.4,9.4,5,0,64,4,2026
Greg Dulcich,28,28,TE,TE,MIA,2964274,16,67,52,563,35.2,10.8,3,2,63,3.9,2026
Darren Waller,29,29,TE,TE,CAR,1850793,16,54,39,399,24.9,10.2,5,0,61,3.8,2026
Colby Parkinson,30,30,TE,TE,LAR,2867522,16,53,37,391,24.4,10.6,5,0,61,3.8,2026
Evan Engram,31,31,TE,TE,DEN,2079887,16,81,55,488,30.5,8.9,3,0,59,3.7,2026
Oronde Gadsden II,32,32,TE,TE,LAC,26727374,16,47,35,484,30.3,13.8,2,1,51,3.2,2026
Tyler Higbee,33,33,TE,TE,LAR,1853103,16,52,37,433,27.1,11.7,3,2,50,3.1,2026
Gunnar Helm,34,35,TE,TE,TEN,26696189,16,56,45,380,23.8,8.4,3,0,48,3,2026
Mason Taylor,35,34,TE,TE,NYJ,28878064,16,75,51,380,23.8,7.5,3,0,48,3,2026
Dawson Knox,36,37,TE,TE,BUF,2186345,16,43,32,357,22.3,11.2,3,0,46,2.9,2026
Theo Johnson,37,36,TE,TE,NYG,3162129,16,48,30,358,22.4,11.9,3,0,46,2.9,2026
Eli Raridon,38,38,TE,TE,NE,28924611,16,41,28,304,19,10.9,4,1,45,2.8,2026
Noah Fant,39,39,TE,TE,NO,2251095,16,55,40,381,23.8,9.5,3,2,44,2.8,2026
Jonnu Smith,40,40,TE,TE,GB,2081506,16,40,29,294,18.4,10.1,2,0,41,2.6,2026
Josh Oliver,41,43,TE,TE,MIN,2184618,16,31,22,255,15.9,11.6,4,0,41,2.6,2026
Terrance Ferguson,42,42,TE,TE,LAR,26701481,16,34,17,306,19.1,18,3,0,41,2.6,2026
Charlie Kolar,43,41,TE,TE,LAC,2866273,16,34,24,309,19.3,12.9,3,0,41,2.6,2026
