name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Brandon Aubrey,1,134,K,DAL,6162,129.4,17.01,2076,74,184,21.2,14,ppr,8,6,7726,2026-08-18,2026-08-25
Jason Myers,2,149,K,SEA,2424,138.6,18.03,182,88,185,19.4,11,ppr,8,6,7726,2026-08-18,2026-08-25
Ka'imi Fairbairn,3,154,K,HOU,2531,140,18.04,180,92,185,18.1,8,ppr,8,6,7726,2026-08-18,2026-08-25
Cameron Dicker,4,159,K,LAC,5538,142.6,18.07,316,94,187,18.3,7,ppr,8,6,7726,2026-08-18,2026-08-25
Jake Bates,5,165,K,DET,6055,147.7,19.04,182,103,190,18.6,6,ppr,8,6,7726,2026-08-18,2026-08-25
Harrison Mevis,6,168,K,LAR,6299,148.4,19.04,132,111,194,17.2,11,ppr,8,6,7726,2026-08-18,2026-08-25
Chase McLaughlin,7,175,K,TB,4865,152.7,20.01,145,106,194,17.8,10,ppr,8,6,7726,2026-08-18,2026-08-25
Cam Little,8,182,K,JAX,6188,154,20.02,434,110,199,17.7,7,ppr,8,6,7726,2026-08-18,2026-08-25
Joey Slye,9,183,K,TEN,4868,154.3,20.02,9,148,178,12.6,9,ppr,8,6,7726,2026-08-18,2026-08-25
Tyler Loop,10,185,K,BAL,6587,154.6,20.03,186,115,180,15,13,ppr,8,6,7726,2026-08-18,2026-08-25
Chris Boswell,11,195,K,PIT,2340,157,20.05,51,111,203,17.4,9,ppr,8,6,7726,2026-08-18,2026-08-25
Tyler Bass,12,201,K,BUF,5036,158,20.06,13,110,210,24.9,7,ppr,8,6,7726,2026-08-18,2026-08-25
Wil Lutz,13,210,K,DEN,2522,160.5,20.08,177,120,207,16.4,10,ppr,8,6,7726,2026-08-18,2026-08-25
Blake Grupe,14,214,K,IND,6046,161,21.01,78,135,210,16.7,13,ppr,8,6,7726,2026-08-18,2026-08-25
Trey Smack,15,216,K,GB,6835,161.7,21.02,19,123,205,21.8,11,ppr,8,6,7726,2026-08-18,2026-08-25
Harrison Butker,16,218,K,KC,2514,162.2,21.02,205,117,210,17.3,5,ppr,8,6,7726,2026-08-18,2026-08-25
Will Reichard,17,219,K,MIN,6296,162.2,21.02,136,117,204,17.3,6,ppr,8,6,7726,2026-08-18,2026-08-25
Cairo Santos,18,234,K,CHI,2335,166.1,21.06,43,135,210,18.3,10,ppr,8,6,7726,2026-08-18,2026-08-25
Eddy Piñeiro,19,238,K,SF,3097,167.2,21.07,73,125,206,15.9,8,ppr,8,6,7726,2026-08-18,2026-08-25
Andy Borregales,20,244,K,NE,6585,168.3,21.08,15,124,206,22.2,11,ppr,8,6,7726,2026-08-18,2026-08-25
Evan McPherson,21,253,K,CIN,5669,170.8,22.03,99,137,206,15.2,6,ppr,8,6,7726,2026-08-18,2026-08-25
Nick Folk,22,255,K,ATL,383,171.5,22.03,22,93,204,30.1,11,ppr,8,6,7726,2026-08-18,2026-08-25
Dominic Zvada,23,267,K,NYG,6936,181.6,23.06,5,168,197,12.3,8,ppr,8,6,7726,2026-08-18,2026-08-25
