name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.7,1.02,707,1,4,0.8,6,2qb,10,6,3980,2026-08-23,2026-09-22
Josh Allen,2,2,QB,BUF,2885,1.9,1.02,629,1,4,0.9,7,2qb,10,6,3980,2026-08-23,2026-09-22
Bijan Robinson,3,3,RB,ATL,5670,2.7,1.03,381,1,6,0.6,11,2qb,10,6,3980,2026-08-23,2026-09-22
Jonathan Taylor,4,4,RB,IND,4864,5.1,1.05,394,3,10,1.2,13,2qb,10,6,3980,2026-08-23,2026-09-22
Puka Nacua,5,5,WR,LAR,5714,5.2,1.05,277,2,11,1.5,11,2qb,10,6,3980,2026-08-23,2026-09-22
Ja'Marr Chase,6,6,WR,CIN,5177,5.9,1.06,853,1,14,1.9,6,2qb,10,6,3980,2026-08-23,2026-09-22
Drake Maye,7,7,QB,NE,6187,8,1.08,523,1,17,3,11,2qb,10,6,3980,2026-08-23,2026-09-22
Lamar Jackson,8,8,QB,BAL,2888,8.5,1.09,879,1,17,3.2,13,2qb,10,6,3980,2026-08-23,2026-09-22
Christian McCaffrey,9,9,RB,SF,2434,8.6,1.09,594,3,16,2.5,8,2qb,10,6,3980,2026-08-23,2026-09-22
Jaxon Smith-Njigba,10,10,WR,SEA,5671,9,1.09,453,1,20,3.2,11,2qb,10,6,3980,2026-08-23,2026-09-22
Derrick Henry,11,11,RB,BAL,2350,9.8,1.10,235,4,19,2.4,13,2qb,10,6,3980,2026-08-23,2026-09-22
Joe Burrow,12,12,QB,CIN,4882,9.9,1.10,610,1,20,3,6,2qb,10,6,3980,2026-08-23,2026-09-22
James Cook III,13,13,RB,BUF,5652,13.2,2.03,988,4,27,3.7,7,2qb,10,6,3980,2026-08-23,2026-09-22
Amon-Ra St. Brown,14,14,WR,DET,5182,13.7,2.04,861,3,27,4.1,6,2qb,10,6,3980,2026-08-23,2026-09-22
