name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,16,36,41,,0.284,0.284,7.8,8.5,12,12.6,9.7,11.1,6,6,45,46,153,9.6,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,16,36,40,,0.308,0.309,8.5,8.9,10,10.2,10.8,12,6.6,6.6,39,41,147,9.2,2026
Brandon Aubrey,3,3,K,DAL,2815718,16,33,37,,0.269,0.269,7.9,8,8.7,9.5,9.8,10.9,5.7,5.7,46,47,145,9.1,2026
Nick Folk,4,4,K,ATL,410721,16,33,37,,0.269,0.27,7.4,7.5,8.8,8.9,10.5,12.9,5.7,5.7,43,44,142,8.9,2026
Harrison Butker,5,5,K,KC,2078888,17,34,40,,0.523,0.523,9.7,10,10.3,10.5,9.2,10.9,4.43,4.43,37,41,139,8.2,2026
Cairo Santos,6,7,K,CHI,2132690,16,30,35,,0.24,0.24,6.6,6.7,8.2,9,10.2,12.3,5.1,5.1,48,48,138,8.6,2026
Jake Bates,7,6,K,DET,3173439,16,29,35,,0.228,0.228,6.9,7,8.2,8.3,8.7,10.5,4.63,4.63,51,53,138,8.6,2026
Spencer Shrader,8,8,K,IND,3131541,16,32,36,,0.261,0.263,9.3,9.5,10.1,10.8,7.5,8.5,4.99,4.99,41,46,137,8.6,2026
Evan McPherson,9,9,K,CIN,2962681,16,30,33,,0.254,0.254,7,7.1,8.2,8.4,8.9,10,5.4,5.4,45,47,135,8.4,2026
Will Reichard,10,10,K,MIN,3121084,16,31,33,,0.261,0.262,7.2,7.3,10,10.3,7.5,8.4,5.6,5.6,41,41,134,8.4,2026
Wil Lutz,11,11,K,DEN,2008545,17,30,36,,0.222,0.222,8.6,8.6,10.1,10.4,6.4,9.2,4.5,4.5,44,44,134,7.9,2026
Tyler Loop,12,12,K,BAL,3174704,16,28,32,,0.222,0.222,8.3,8.4,9.1,9.3,8,8.9,2.22,2.22,50,51,134,8.4,2026
Cameron Dicker,13,13,K,LAC,2961997,16,32,35,,0.256,0.257,7.1,7.1,10.2,10.8,9.8,10.9,4.99,4.99,35,37,131,8.2,2026
Cam Little,14,14,K,JAC,26702477,16,28,31,,0.221,0.222,6.1,6.1,7.2,7.3,9.4,10.8,4.7,4.7,47,48,131,8.2,2026
Chase McLaughlin,15,15,K,TB,2165272,16,30,36,,0.261,0.261,7.2,7.2,9.8,11.2,7.5,10.1,5.5,5.5,40,41,130,8.1,2026
Tyler Bass,16,16,K,BUF,2188356,16,26,30,,0.211,0.211,5.8,6.4,10,10.1,7.2,9.3,3.1,3.1,47,50,125,7.8,2026
Eddy Pineiro,17,18,K,SF,2221833,16,29,32,,0.241,0.242,6.8,6.9,7.8,8.1,9.1,10.1,5.1,5.1,36,40,123,7.7,2026
Harrison Mevis,18,17,K,LAR,3162619,16,25,27,,0.214,0.216,5.9,5.9,7,7.3,9.1,10.1,2.97,2.97,48,49,123,7.7,2026
Trey Smack,19,19,K,GB,28899321,16,28,34,,0.275,0.277,7.9,8.1,8.8,9.8,7.9,10.2,3.2,3.2,36,41,120,7.5,2026
Jason Sanders,20,20,K,NYJ,2131909,16,28,33,,0.233,0.234,6.4,6.5,10.1,10.2,6.7,9.4,4.96,4.96,35,37,119,7.4,2026
Daniel Carlson,21,21,K,NO,2079862,16,28,35,,0.222,0.222,8.6,8.7,7.8,7.9,6.4,8.7,4.72,4.72,33,35,117,7.3,2026
Jake Elliott,22,22,K,PHI,2080295,16,25,32,,0.193,0.193,5.3,5.3,9.1,9.4,7.7,9.9,2.65,2.65,41,43,116,7.3,2026
Drew Stevens,23,23,K,WAS,28873746,16,26,31,,0.256,0.259,7.2,7.4,8.2,9.2,7.2,9.4,3.01,3.01,36,41,114,7.1,2026
Chad Ryland,24,24,K,ARI,2964074,16,26,33,,0.207,0.207,5.7,5.8,8,8.6,8.2,10.4,4.08,4.08,35,35,113,7.1,2026
Andres Borregales,25,25,K,NE,26699665,16,24,28,,0.37,0.371,6.2,6.2,7.2,8,5.7,8.5,4.19,4.19,39,40,111,6.9,2026
Riley Patterson,26,26,K,MIA,2865368,16,25,29,,0.198,0.199,5.5,5.5,8.5,9.3,8.4,10.1,2.51,2.51,34,35,109,6.8,2026
Joey Slye,27,27,K,TEN,3116871,16,25,31,,0.215,0.216,5.9,6.2,7,7.3,7.7,9.6,4.58,4.58,31,32,106,6.6,2026
Chris Boswell,28,28,K,PIT,1724930,16,24,28,,0.187,0.187,5.8,5.9,6.1,7.2,7.5,8.3,3.98,3.98,33,34,105,6.6,2026
Ryan Fitzgerald,29,29,K,CAR,3126649,16,23,28,,0.195,0.195,5.5,5.5,7.3,8.2,8.3,9.2,1.83,1.83,31,35,100,6.3,2026
Andre Szmyt,30,30,K,CLE,2868551,16,22,25,,0.173,0.173,5.3,5.4,8.2,8.5,4.97,6.1,3.67,3.67,33,33,99,6.2,2026
Matt Gay,31,31,K,LV,2870511,16,21,26,,0.165,0.165,4.6,4.65,6.1,6.8,7,7.8,2.85,2.85,30,30,93,5.8,2026
Ben Sauls,32,32,K,NYG,3169819,16,18,23,,0.172,0.173,5.2,5.5,6.1,7.5,4.83,6.7,1.67,1.67,22,28,76,4.8,2026
Dominic Zvada,33,33,K,NYG,28876817,16,6,8,,0.06,0.061,1.68,1.73,1.92,2.37,1.68,2.42,0.659,0.659,8,11,26,1.6,2026
