name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jeremy Ruckert,58,57,TE,TE,NYJ,2965446,17,36,27,195,11.5,7.2,2,0,24,1.4,2026
Connor Heyward,59,59,TE,FB,LV,2867599,17,19,15,104,6.1,6.9,2,0,23,1.4,2026
John Bates,60,61,TE,TE,WAS,2257291,17,30,20,202,11.9,10.1,2,1,22,1.3,2026
Nate Adkins,61,60,TE,TE,DEN,2977285,17,23,16,108,6.4,6.8,3,0,22,1.3,2026
Elijah Higgins,62,62,TE,TE,ARI,3122914,17,28,23,224,13.2,9.7,1,1,19,1.1,2026
Charlie Woerner,63,65,TE,TE,ATL,2248629,17,29,23,197,11.6,8.6,1,0,18,1.1,2026
Mitchell Evans,64,63,TE,TE,CAR,26693662,17,22,16,148,8.7,9.3,2,0,18,1.1,2026
Ja'Tavion Sanders,65,64,TE,TE,CAR,26731381,17,30,25,197,11.6,7.9,1,0,18,1.1,2026
Foster Moreau,66,66,TE,TE,HOU,2180634,17,15,11,132,7.8,12,2,0,17,1,2026
Ben Sinnott,67,67,TE,TE,WAS,3168647,17,13,11,121,7.1,11,2,0,17,1,2026
Jackson Hawes,68,68,TE,TE,BUF,3135324,17,12,10,113,6.6,11.3,2,0,16,0.9,2026
Andrew Ogletree,69,70,TE,TE,IND,26725942,17,13,9,79,4.6,8.8,2,0,15,0.9,2026
Grant Calcaterra,70,71,TE,TE,PHI,2804129,13,23,17,175,13.5,10.3,1,0,15,1.2,2026
Luke Musgrave,71,69,TE,TE,GB,3129283,12,25,19,190,15.8,10,1,0,15,1.3,2026
Noah Gray,72,72,TE,TE,KC,2866903,17,24,16,144,8.5,9,1,0,12,0.7,2026
Jack Endries,73,73,TE,TE,CIN,28916552,17,16,13,123,7.2,9.5,1,0,11,0.6,2026
Max Klare,74,76,TE,TE,LAR,28921209,16,14,11,115,7.2,10.5,1,0,11,0.7,2026
Luke Schoonmaker,75,75,TE,TE,DAL,2968473,17,22,15,133,7.8,8.9,1,0,11,0.6,2026
Cade Stover,76,74,TE,TE,HOU,3125978,17,20,14,113,6.6,8.1,1,0,11,0.6,2026
Drew Sample,77,80,TE,TE,CIN,2139646,17,15,13,100,5.9,7.7,1,0,10,0.6,2026
Kylen Granson,78,77,TE,TE,TEN,2247146,17,17,10,86,5.1,8.6,1,0,10,0.6,2026
Ian Thomas,79,93,TE,TE,LV,2253359,17,10,10,87,5.1,8.7,1,0,10,0.6,2026
Seydou Traore,80,82,TE,TE,MIA,26696643,17,12,9,88,5.2,9.8,1,0,10,0.6,2026
