name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Trey McBride,1,1,TE,TE,ARI,2963385,16,152,112,1106,69.1,9.9,10,0,163,10.2,2026
Dallas Goedert,2,2,TE,TE,PHI,2132551,16,98,72,831,51.9,11.5,12,0,153,9.6,2026
Brock Bowers,3,3,TE,TE,LV,26693971,16,111,82,844,52.8,10.3,9,0,130,8.1,2026
Isaiah Likely,4,5,TE,TE,NYG,2961906,16,98,78,802,50.1,10.3,9,2,123,7.7,2026
Tyler Warren,5,4,TE,TE,IND,3168800,16,100,67,776,48.5,11.6,8,0,123,7.7,2026
Dalton Kincaid,6,6,TE,TE,BUF,2982991,16,81,60,907,56.7,15.1,6,0,118,7.4,2026
Sam LaPorta,7,7,TE,TE,DET,3124197,16,94,71,893,55.8,12.6,6,0,117,7.3,2026
Tucker Kraft,8,8,TE,TE,GB,3133332,16,78,54,763,47.7,14.1,8,0,116,7.3,2026
Mark Andrews,9,9,TE,TE,BAL,2131121,16,76,54,562,35.1,10.4,9,0,110,6.9,2026
Harold Fannin Jr.,10,10,TE,TE,CLE,28900882,16,97,64,695,43.4,10.9,7,1,108,6.8,2026
Brenton Strange,11,11,TE,TE,JAC,3121696,16,89,65,744,46.5,11.5,7,0,108,6.8,2026
Kyle Pitts,12,12,TE,TE,ATL,2964514,16,98,69,790,49.4,11.5,6,0,107,6.7,2026
Travis Kelce,13,13,TE,TE,KC,1725130,16,108,77,842,52.6,10.9,5,0,106,6.6,2026
George Kittle,14,14,TE,TE,SF,2818265,16,86,67,777,48.6,11.6,6,0,105,6.6,2026
Colston Loveland,15,15,TE,TE,CHI,28874696,16,101,64,767,47.9,12,6,0,104,6.5,2026
Juwan Johnson,16,16,TE,TE,NO,2186637,16,86,62,786,49.1,12.7,5,1,99,6.2,2026
Hunter Henry,17,17,TE,TE,NE,2079848,16,79,56,681,42.6,12.2,5,0,90,5.6,2026
Pat Freiermuth,18,18,TE,TE,PIT,2961270,16,60,47,528,33,11.2,6,0,82,5.1,2026
Dalton Schultz,19,19,TE,TE,HOU,2136748,16,93,66,647,40.4,9.8,4,0,81,5.1,2026
Cade Otton,20,20,TE,TE,TB,2815179,16,86,62,635,39.7,10.2,4,0,79,4.9,2026
Jake Ferguson,21,22,TE,TE,DAL,2867159,16,84,66,542,33.9,8.2,6,2,78,4.9,2026
A. Barner,22,21,TE,TE,SEA,3169283,16,55,44,434,27.1,9.9,6,0,78,4.9,2026
Mike Gesicki,23,23,TE,TE,CIN,2139298,16,71,51,620,38.8,12.2,4,0,77,4.8,2026
Kenyon Sadiq,24,24,TE,TE,NYJ,29125433,16,65,45,503,31.4,11.2,5,2,76,4.8,2026
T.J. Hockenson,25,25,TE,TE,MIN,2251097,16,71,54,518,32.4,9.6,5,0,74,4.6,2026
Darren Waller,26,26,TE,TE,CAR,1850793,16,55,40,413,25.8,10.3,6,0,69,4.3,2026
Chigoziem Okonkwo,27,27,TE,TE,WAS,2965208,16,70,50,589,36.8,11.8,3,0,68,4.3,2026
David Njoku,28,28,TE,TE,LAC,2136474,16,60,43,408,25.5,9.5,5,0,63,3.9,2026
Colby Parkinson,29,29,TE,TE,LAR,2867522,16,53,37,390,24.4,10.5,5,0,61,3.8,2026
Greg Dulcich,30,30,TE,TE,MIA,2964274,16,66,51,544,34,10.7,3,2,61,3.8,2026
Evan Engram,31,31,TE,TE,DEN,2079887,16,81,55,486,30.4,8.8,3,0,59,3.7,2026
Theo Johnson,32,32,TE,TE,NYG,3162129,16,49,31,368,23,11.9,4,0,54,3.4,2026
Tyler Higbee,33,33,TE,TE,LAR,1853103,16,52,37,432,27,11.7,3,2,50,3.1,2026
Oronde Gadsden II,34,34,TE,TE,LAC,26727374,16,46,34,467,29.2,13.7,2,1,49,3.1,2026
Gunnar Helm,35,35,TE,TE,TEN,26696189,16,56,45,380,23.8,8.4,3,0,48,3,2026
Mason Taylor,36,36,TE,TE,NYJ,28878064,16,75,51,378,23.6,7.4,3,0,48,3,2026
Dawson Knox,37,37,TE,TE,BUF,2186345,16,43,32,362,22.6,11.3,3,0,46,2.9,2026
Noah Fant,38,38,TE,TE,NO,2251095,16,57,42,394,24.6,9.4,3,2,45,2.8,2026
Eli Raridon,39,39,TE,TE,NE,28924611,16,41,28,303,18.9,10.8,4,1,43,2.7,2026
Jonnu Smith,40,42,TE,TE,GB,2081506,16,40,29,293,18.3,10.1,2,0,41,2.6,2026
Josh Oliver,41,41,TE,TE,MIN,2184618,16,32,23,254,15.9,11,4,0,41,2.6,2026
Terrance Ferguson,42,40,TE,TE,LAR,26701481,16,34,17,305,19.1,17.9,3,0,41,2.6,2026
Darnell Washington,43,43,TE,TE,PIT,3163963,16,45,34,377,23.6,11.1,2,1,40,2.5,2026
Michael Mayer,44,44,TE,TE,LV,3171673,16,62,45,353,22.1,7.8,2,0,40,2.5,2026
Charlie Kolar,45,45,TE,TE,LAC,2866273,16,33,23,298,18.6,13,3,0,39,2.4,2026
Brock Wright,46,47,TE,TE,DET,2807423,16,41,28,240,15,8.6,3,0,35,2.2,2026
Marlin Klein,47,46,TE,TE,HOU,28927889,16,45,32,324,20.3,10.1,2,1,35,2.2,2026
Daniel Bellinger,48,48,TE,TE,TEN,2963615,16,31,24,294,18.4,12.3,2,0,33,2.1,2026
Cole Kmet,49,49,TE,TE,CHI,2868619,16,30,21,222,13.9,10.6,3,0,32,2,2026
Erick All,50,50,TE,TE,CIN,3121555,16,41,33,284,17.8,8.6,2,0,32,2,2026
Eli Stowers,51,51,TE,TE,PHI,26696120,13,38,26,277,21.3,10.7,2,1,30,2.3,2026
Austin Hooper,52,52,TE,TE,ATL,2067004,16,31,23,255,15.9,11.1,2,0,29,1.8,2026
Matthew Hibner,53,53,TE,TE,BAL,3169490,16,32,23,270,16.9,11.7,2,1,28,1.8,2026
Davis Allen,54,54,TE,TE,LAR,3123267,16,34,24,219,13.7,9.1,2,0,26,1.6,2026
Nate Boerkircher,55,55,TE,TE,JAC,3162867,16,28,20,219,13.7,11,2,1,24,1.5,2026
Adam Trautman,56,58,TE,TE,DEN,2182228,16,34,25,250,15.6,10,1,0,23,1.4,2026
Connor Heyward,57,56,TE,FB,LV,2867599,16,19,13,94,5.9,7.2,2,0,23,1.4,2026
Jeremy Ruckert,58,57,TE,TE,NYJ,2965446,16,31,24,177,11.1,7.4,2,0,23,1.4,2026
Charlie Woerner,59,60,TE,TE,ATL,2248629,16,29,23,202,12.6,8.8,1,0,18,1.1,2026
Tommy Tremble,60,59,TE,TE,CAR,2969027,16,32,23,204,12.8,8.9,1,0,18,1.1,2026
John Bates,61,62,TE,TE,WAS,2257291,16,30,20,188,11.8,9.4,1,0,17,1.1,2026
Ja'Tavion Sanders,62,63,TE,TE,CAR,26731381,16,27,23,184,11.5,8,1,0,17,1.1,2026
Grant Calcaterra,63,65,TE,TE,PHI,2804129,13,25,19,199,15.3,10.5,1,0,17,1.3,2026
Jackson Hawes,64,64,TE,TE,BUF,3135324,16,12,10,114,7.1,11.4,2,0,17,1.1,2026
Ben Sinnott,65,61,TE,TE,WAS,3168647,16,13,12,123,7.7,10.3,2,0,17,1.1,2026
Nate Adkins,66,68,TE,TE,DEN,2977285,16,19,13,90,5.6,6.9,2,0,16,1,2026
Elijah Higgins,67,67,TE,TE,ARI,3122914,16,27,22,205,12.8,9.3,1,1,16,1,2026
Luke Musgrave,68,66,TE,TE,GB,3129283,12,27,20,196,16.3,9.8,1,0,16,1.3,2026
Will Kacmarek,69,69,TE,TE,MIA,26717403,16,29,19,184,11.5,9.7,1,1,15,0.9,2026
Mitchell Evans,70,71,TE,TE,CAR,26693662,16,22,15,132,8.3,8.8,1,0,12,0.8,2026
Noah Gray,71,70,TE,TE,KC,2866903,16,21,15,136,8.5,9.1,1,0,12,0.8,2026
Foster Moreau,72,74,TE,TE,HOU,2180634,16,13,10,117,7.3,11.7,1,0,11,0.7,2026
Oscar Delp,73,72,TE,TE,NO,28873644,16,15,11,114,7.1,10.4,1,0,11,0.7,2026
Jack Endries,74,73,TE,TE,CIN,28916552,16,15,12,116,7.3,9.7,1,0,11,0.7,2026
Max Klare,75,75,TE,TE,LAR,28921209,16,14,11,115,7.2,10.5,1,0,11,0.7,2026
Luke Schoonmaker,76,76,TE,TE,DAL,2968473,16,19,14,127,7.9,9.1,1,0,11,0.7,2026
Durham Smythe,77,87,TE,TE,BAL,2082845,16,15,10,99,6.2,9.9,1,0,10,0.6,2026
Drew Sample,78,80,TE,TE,CIN,2139646,16,14,12,94,5.9,7.8,1,0,10,0.6,2026
Chris Manhertz,79,77,TE,TE,NYG,2167520,16,11,8,80,5,10,1,0,10,0.6,2026
Ian Thomas,80,84,TE,TE,LV,2253359,16,10,10,80,5,8,1,0,10,0.6,2026
Seydou Traore,81,86,TE,TE,MIA,26696643,16,11,9,81,5.1,9,1,0,10,0.6,2026
Thomas Fidone II,82,78,TE,TE,NYG,26699695,16,12,9,95,5.9,10.6,1,0,10,0.6,2026
Elijah Arroyo,83,95,TE,TE,SEA,26700496,16,17,10,105,6.6,10.5,1,0,10,0.6,2026
Josh Cuevas,84,79,TE,TE,BAL,26706410,16,10,8,95,5.9,11.9,1,0,10,0.6,2026
Bauer Sharp,85,90,TE,TE,TB,26730919,16,13,10,102,6.4,10.2,1,0,10,0.6,2026
Hunter Long,86,91,TE,TE,ARI,2867428,16,16,11,85,5.3,7.7,1,0,10,0.6,2026
Tanner Koziol,87,83,TE,TE,JAC,28874303,16,12,9,107,6.7,11.9,1,0,10,0.6,2026
Sam Roush,88,88,TE,TE,CHI,28877184,16,13,10,105,6.6,10.5,1,0,10,0.6,2026
Justin Joly,89,85,TE,TE,MIA,28927892,16,11,9,81,5.1,9,1,0,10,0.6,2026
Dallen Bentley,90,93,TE,TE,DEN,29164633,16,14,11,95,5.9,8.6,1,0,10,0.6,2026
Brevyn Spann-Ford,91,81,TE,TE,DAL,2961760,16,15,12,107,6.7,8.9,1,0,10,0.6,2026
Josh Whyle,92,82,TE,TE,GB,2962513,16,12,10,90,5.6,9,1,0,10,0.6,2026
Payne Durham,93,89,TE,TE,TB,2968469,16,15,8,87,5.4,10.9,1,0,10,0.6,2026
Jared Wiley,94,94,TE,TE,KC,3123819,16,14,10,94,5.9,9.4,1,0,10,0.6,2026
Cade Stover,95,92,TE,TE,HOU,3125978,16,17,12,99,6.2,8.3,1,0,10,0.6,2026
K. Kieft,96,96,TE,TE,TB,2239763,16,9,7,74,4.6,10.6,1,0,9,0.6,2026
Andrew Ogletree,97,98,TE,TE,IND,26725942,16,14,8,71,4.4,8.9,1,0,9,0.6,2026
Blake Whiteheart,98,97,TE,TE,CLE,2964419,16,14,8,69,4.3,8.6,1,0,9,0.6,2026
Will Mallory,99,99,TE,TE,IND,2962073,13,10,8,97,7.5,12.1,1,0,8,0.6,2026
Jelani Woods,100,100,TE,TE,NYJ,2787078,16,7,5,46,2.9,9.2,1,0,7,0.4,2026
