name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Denzel Boston,48,48,WR,WR,CLE,28875368,16,90,55,738,46.1,13.4,5,2,9,4.5,0,2,92,5.8,2026
Antonio Williams,49,49,WR,WR,WAS,28877974,16,72,46,705,44.1,15.3,5,2,13,6.5,0,1,91,5.7,2026
Michael Pittman,50,50,WR,WR,PIT,2240188,16,98,70,675,42.2,9.6,5,0,0,0,0,0,90,5.6,2026
Jerry Jeudy,51,52,WR,WR,CLE,2741201,16,120,62,811,50.7,13.1,3,1,3,3,0,1,89,5.6,2026
Wan'Dale Robinson,52,51,WR,WR,TEN,3124107,16,117,78,732,45.8,9.4,4,2,5,2.5,0,0,89,5.6,2026
Carnell Tate,53,54,WR,WR,TEN,29124411,16,89,55,747,46.7,13.6,4,1,8,8,0,2,86,5.4,2026
Ja'Kobi Lane,54,53,WR,WR,BAL,29158151,16,66,38,600,37.5,15.8,6,2,14,7,0,1,86,5.4,2026
Makai Lemon,55,55,WR,WR,PHI,29123772,16,95,60,728,45.5,12.1,4,2,12,6,0,2,85,5.3,2026
Keenan Allen,56,57,WR,WR,IND,1737096,16,98,65,673,42.1,10.4,4,0,0,0,0,0,84,5.3,2026
Troy Franklin,57,56,WR,WR,DEN,26693436,17,92,56,579,34.1,10.3,6,4,11,2.8,0,1,84,4.9,2026
Jauan Jennings,58,58,WR,WR,MIN,2180514,16,75,46,571,35.7,12.4,6,0,0,0,0,1,83,5.2,2026
Devaughn Vele,59,59,WR,WR,NO,3121113,16,72,50,596,37.3,11.9,5,0,0,0,0,0,82,5.1,2026
Jayden Reed,60,60,WR,WR,GB,2967762,16,84,58,604,37.8,10.4,4,14,121,8.6,0,0,81,5.1,2026
Cooper Kupp,61,61,WR,WR,SEA,2006951,16,78,52,650,40.6,12.5,4,0,3,0,0,1,79,4.9,2026
Rashid Shaheed,62,62,WR,WR,SEA,2250863,16,75,43,645,40.3,15,3,12,81,6.8,0,1,77,4.8,2026
Jalen Nailor,63,63,WR,WR,LV,2967232,16,74,43,534,33.4,12.4,5,2,5,2.5,0,0,76,4.8,2026
Mack Hollins,64,66,WR,WR,NE,2010349,16,71,49,654,40.9,13.4,3,1,3,3,0,0,75,4.7,2026
Caleb Douglas,65,64,WR,WR,MIA,28900321,16,83,52,663,41.4,12.8,3,2,9,4.5,0,1,75,4.7,2026
Khalil Shakir,66,65,WR,WR,BUF,2969119,16,81,63,613,38.3,9.7,4,1,4,4,0,1,75,4.7,2026
K. Concepcion,67,71,WR,WR,CLE,29123718,16,93,59,711,44.4,12.1,3,6,31,5.2,0,4,74,4.6,2026
Romeo Doubs,68,72,WR,WR,NE,2961886,16,70,43,584,36.5,13.6,4,0,0,0,0,0,74,4.6,2026
Tyquan Thornton,69,69,WR,WR,KC,2965066,17,53,27,588,34.6,21.8,4,0,0,0,0,0,74,4.4,2026
Dontayvion Wicks,70,68,WR,WR,PHI,3122375,16,70,40,520,32.5,13,5,1,5,5,0,0,74,4.6,2026
Jalen McMillan,71,67,WR,WR,TB,3162347,16,60,42,565,35.3,13.5,4,4,25,6.3,0,0,74,4.6,2026
Kayshon Boutte,72,70,WR,WR,HOU,3163170,16,53,33,515,32.2,15.6,5,0,0,0,0,0,74,4.6,2026
Elic Ayomanor,73,73,WR,WR,TEN,28900714,16,73,37,500,31.3,13.5,5,0,0,0,0,0,73,4.6,2026
