name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.5,1.01,2112,1,4,0.7,6,ppr,8,6,7986,2026-08-20,2026-08-27
Bijan Robinson,2,2,RB,ATL,5670,2.2,1.02,1195,1,6,0.6,11,ppr,8,6,7986,2026-08-20,2026-08-27
Puka Nacua,3,3,WR,LAR,5714,3.1,1.03,283,1,6,0.8,11,ppr,8,6,7986,2026-08-20,2026-08-27
Ja'Marr Chase,4,4,WR,CIN,5177,3.8,1.04,2109,1,8,1,6,ppr,8,6,7986,2026-08-20,2026-08-27
Jaxon Smith-Njigba,5,5,WR,SEA,5671,5.5,1.05,1115,2,11,1.1,11,ppr,8,6,7986,2026-08-20,2026-08-27
Amon-Ra St. Brown,6,6,WR,DET,5182,6.4,1.06,1245,2,12,1.3,6,ppr,8,6,7986,2026-08-20,2026-08-27
Christian McCaffrey,7,7,RB,SF,2434,6.6,1.07,1697,2,12,1.6,8,ppr,8,6,7986,2026-08-20,2026-08-27
Jonathan Taylor,8,8,RB,IND,4864,7.5,1.07,1955,3,13,1.7,13,ppr,8,6,7986,2026-08-20,2026-08-27
Drake London,9,9,WR,ATL,5574,10.2,2.02,312,6,17,1.8,11,ppr,8,6,7986,2026-08-20,2026-08-27
De'Von Achane,10,10,RB,MIA,5683,10.6,2.03,910,5,18,1.9,6,ppr,8,6,7986,2026-08-20,2026-08-27
CeeDee Lamb,11,11,WR,DAL,4869,10.7,2.03,1369,5,18,1.9,14,ppr,8,6,7986,2026-08-20,2026-08-27
Justin Jefferson,12,12,WR,MIN,4876,11.7,2.04,1511,5,20,2.3,6,ppr,8,6,7986,2026-08-20,2026-08-27
James Cook III,13,13,RB,BUF,5652,12.6,2.05,3087,5,22,2.8,7,ppr,8,6,7986,2026-08-20,2026-08-27
Chase Brown,14,14,RB,CIN,5706,13.4,2.05,1979,6,22,2.5,6,ppr,8,6,7986,2026-08-20,2026-08-27
Rashee Rice,15,15,WR,KC,5696,14.9,2.07,254,9,24,2.3,5,ppr,8,6,7986,2026-08-20,2026-08-27
Derrick Henry,16,16,RB,BAL,2350,17.4,3.01,1106,10,25,2.7,13,ppr,8,6,7986,2026-08-20,2026-08-27
A.J. Brown,17,17,WR,NE,3247,17.6,3.02,1612,9,29,3.2,11,ppr,8,6,7986,2026-08-20,2026-08-27
Ashton Jeanty,18,18,RB,LV,6500,17.6,3.02,1283,3,35,5.6,13,ppr,8,6,7986,2026-08-20,2026-08-27
Saquon Barkley,19,19,RB,PHI,2860,19.3,3.03,2825,10,30,3.4,10,ppr,8,6,7986,2026-08-20,2026-08-27
Chris Olave,20,20,WR,NO,5544,19.8,3.04,615,11,30,3.3,8,ppr,8,6,7986,2026-08-20,2026-08-27
Nico Collins,21,21,WR,HOU,5207,20.4,3.04,887,13,32,2.8,8,ppr,8,6,7986,2026-08-20,2026-08-27
George Pickens,22,22,WR,DAL,5576,20.7,3.05,788,12,29,3.1,14,ppr,8,6,7986,2026-08-20,2026-08-27
Kenneth Walker,23,23,RB,KC,5625,21.6,3.06,2666,10,37,4.2,5,ppr,8,6,7986,2026-08-20,2026-08-27
Omarion Hampton,24,24,RB,LAC,6538,23.3,3.07,2380,11,37,4.4,7,ppr,8,6,7986,2026-08-20,2026-08-27
Garrett Wilson,25,25,WR,NYJ,5548,25.6,4.02,398,17,39,3.1,13,ppr,8,6,7986,2026-08-20,2026-08-27
Zay Flowers,26,26,WR,BAL,5675,25.9,4.02,466,17,37,3.2,13,ppr,8,6,7986,2026-08-20,2026-08-27
Malik Nabers,27,27,WR,NYG,6183,26.8,4.03,1721,17,40,3.5,8,ppr,8,6,7986,2026-08-20,2026-08-27
Jeremiyah Love,28,28,RB,ARI,6769,27.8,4.04,690,17,41,3.8,14,ppr,8,6,7986,2026-08-20,2026-08-27
Trey McBride,29,29,TE,ARI,5656,28.9,4.05,1148,17,42,4.6,14,ppr,8,6,7986,2026-08-20,2026-08-27
DeVonta Smith,30,30,WR,PHI,4883,29.5,4.06,1467,20,44,3.5,10,ppr,8,6,7986,2026-08-20,2026-08-27
Josh Jacobs,31,31,RB,GB,3255,31.1,4.07,717,21,42,3.5,11,ppr,8,6,7986,2026-08-20,2026-08-27
Tetairoa McMillan,32,32,WR,CAR,6561,31.5,4.07,604,21,48,3.8,5,ppr,8,6,7986,2026-08-20,2026-08-27
Kyren Williams,33,33,RB,LAR,5623,32,4.08,1321,20,44,4.3,11,ppr,8,6,7986,2026-08-20,2026-08-27
