name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,4,2.00,1.41,17298
Lamar Jackson,2,QB,BAL,QB2,1,3,7,4.33,1.89,17233
Joe Burrow,3,QB,CIN,QB3,1,2,8,5.00,2.45,19196
Ja'Marr Chase,4,WR,CIN,WR1,1,1,9,5.67,3.40,19788
Drake Maye,5,QB,NE,QB4,2,2,11,6.33,3.68,23046
Jaxon Smith-Njigba,6,WR,SEA,WR2,2,2,10,6.67,3.40,23070
Caleb Williams,7,QB,CHI,QB5,2,4,14,10.00,4.32,23084
Puka Nacua,8,WR,LAR,WR3,2,5,15,10.00,4.08,23180
Jayden Daniels,9,QB,WAS,QB6,3,4,23,10.67,8.73,22902
Bijan Robinson,10,RB,ATL,RB1,3,3,18,11.33,6.24,23133
Jalen Hurts,11,QB,PHI,QB7,3,6,20,11.67,6.02,19275
Jahmyr Gibbs,12,RB,DET,RB2,3,6,19,12.33,5.31,22968
Amon-Ra St. Brown,13,WR,DET,WR4,3,9,22,14.00,5.72,19799
Justin Herbert,14,QB,LAC,QB8,3,7,28,14.33,9.67,18635
Patrick Mahomes II,15,QB,KC,QB9,3,11,18,15.00,2.94,16413
CeeDee Lamb,16,WR,DAL,WR5,3,14,17,15.67,1.25,19202
Trevor Lawrence,17,QB,JAC,QB10,4,14,26,19.00,5.10,19780
Ashton Jeanty,18,RB,LV,RB3,4,12,27,19.67,6.13,25989
Justin Jefferson,19,WR,MIN,WR6,4,16,24,20.33,3.30,19236
Brock Purdy,20,QB,SF,QB11,4,15,27,21.00,4.90,19797
Malik Nabers,21,WR,NYG,WR7,4,10,34,22.33,9.81,25409
Drake London,22,WR,ATL,WR8,4,15,27,22.67,5.44,23163
Bo Nix,23,QB,DEN,QB12,4,13,32,23.67,7.93,22910
Dak Prescott,24,QB,DAL,QB13,4,17,40,25.00,10.61,15600
De'Von Achane,25,RB,MIA,RB4,5,21,34,26.00,5.72,23136
James Cook III,26,RB,BUF,RB5,5,19,31,26.33,5.25,22958
Jeremiyah Love,27,RB,ARI,RB6,5,13,48,27.67,14.84,25403
Omarion Hampton,28,RB,LAC,RB7,5,19,33,28.00,6.38,25395
Brock Bowers,29,TE,LV,TE1,5,22,44,30.33,9.74,22955
Jaxson Dart,30,QB,NYG,QB14,5,24,37,30.67,5.31,23160
Jordan Love,31,QB,GB,QB15,5,20,41,31.00,8.60,19246
Jonathan Taylor,32,RB,IND,RB8,5,28,37,31.33,4.03,19217
Tetairoa McMillan,33,WR,CAR,WR9,5,24,39,32.00,6.16,25417
Nico Collins,34,WR,HOU,WR10,5,30,42,34.33,5.44,20130
George Pickens,35,WR,DAL,WR11,5,30,40,35.00,4.08,22963
Trey McBride,36,TE,ARI,TE2,5,25,48,37.00,9.42,22936
Emeka Egbuka,37,WR,TB,WR12,5,29,50,37.33,9.10,23062
Chris Olave,38,WR,NO,WR13,5,34,43,37.67,3.86,20111
Kenneth Walker III,39,RB,KC,RB9,5,35,42,37.67,3.09,23021
Rashee Rice,40,WR,KC,WR14,6,37,46,42.00,3.74,23113
Jared Goff,41,QB,DET,QB16,6,30,50,42.33,8.81,15501
Carnell Tate,42,WR,TEN,WR15,6,38,49,43.67,4.50,26009
Garrett Wilson,43,WR,NYJ,WR16,6,36,58,45.00,9.42,23072
Ladd McConkey,44,WR,LAC,WR17,6,42,54,47.33,4.99,26122
DeVonta Smith,45,WR,PHI,WR18,6,41,57,49.33,6.55,19222
Breece Hall,46,RB,NYJ,RB10,6,39,72,50.00,15.56,22982
A.J. Brown,47,WR,NE,WR19,6,35,81,53.00,20.07,18218
