name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,17,39,44,,0.301,0.301,8.3,9.2,12.4,13.1,11.3,12.8,6.4,6.4,50,50,167,9.8,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,17,39,43,,0.325,0.325,8.9,9.4,10.6,10.8,11.8,13.2,6.9,6.9,40,41,157,9.2,2026
Spencer Shrader,3,3,K,IND,3131541,17,34,38,,0.289,0.292,10.6,10.7,12,12.8,8.2,9.5,2.67,2.67,51,52,153,9,2026
Brandon Aubrey,4,4,K,DAL,2815718,17,34,39,,0.285,0.285,8.2,8.3,9.3,10.1,10.6,11.8,6.1,6.1,48,49,150,8.8,2026
Jake Bates,5,5,K,DET,3173439,17,31,38,,0.242,0.242,6.6,6.7,9.5,9.6,9.5,11.5,5,5,53,55,146,8.6,2026
Cameron Dicker,6,6,K,LAC,2961997,17,35,38,,0.275,0.275,7.6,7.6,11.5,12.2,10.2,11.4,5.2,5.2,38,40,143,8.4,2026
Cairo Santos,7,7,K,CHI,2132690,17,32,37,,0.25,0.251,6.9,7,9,9.9,10.6,13.2,5.3,5.3,47,47,143,8.4,2026
Harrison Mevis,8,8,K,LAR,3162619,17,29,31,,0.243,0.246,6.7,6.8,7.9,8.3,10.3,11.5,3.38,3.38,55,56,142,8.4,2026
Chase McLaughlin,9,9,K,TB,2165272,17,33,39,,0.288,0.288,8.1,8.2,9.8,11.5,8.3,11.7,6.1,6.1,42,43,141,8.3,2026
Will Reichard,10,10,K,MIN,3121084,17,33,36,,0.29,0.291,8,8.1,10,10.3,8.3,9.3,6.2,6.2,42,43,141,8.3,2026
Cam Little,11,11,K,JAC,26702477,17,29,32,,0.238,0.238,6.5,6.6,8.2,8.3,8.7,10.4,5,5,49,49,136,8,2026
Tyler Loop,12,12,K,BAL,3174704,17,29,32,,0.231,0.232,9.3,9.3,10.6,10.7,7.7,8.7,1.16,1.16,49,51,136,8,2026
Harrison Butker,13,13,K,KC,2078888,17,33,39,,0.506,0.507,9.5,9.8,10.1,10.2,8.4,10.1,4.63,4.63,35,39,134,7.9,2026
Wil Lutz,14,15,K,DEN,2008545,17,30,36,,0.223,0.224,8.4,8.4,10.6,10.8,6.4,9.3,4.4,4.4,44,45,134,7.9,2026
Evan McPherson,15,14,K,CIN,2962681,17,29,34,,0.234,0.234,6.4,6.5,7.6,7.7,9.9,11.1,4.97,4.97,47,50,134,7.9,2026
Nick Folk,16,16,K,ATL,410721,17,30,33,,0.256,0.256,7,7.1,8.8,8.9,8.8,9.8,5.4,5.4,41,41,131,7.7,2026
Eddy Pineiro,17,17,K,SF,2221833,17,31,34,,0.243,0.244,6.7,6.8,8.5,8.7,10.3,11.5,5.2,5.2,36,41,129,7.6,2026
Trey Smack,18,18,K,GB,28899321,17,29,34,,0.287,0.29,8,8.3,9.2,10.2,8,10.4,3.16,3.16,39,43,126,7.4,2026
Daniel Carlson,19,20,K,NO,2079862,17,30,35,,0.247,0.247,7.7,7.8,8.9,9.1,7.4,9.9,5.2,5.2,34,36,124,7.3,2026
Tyler Bass,20,19,K,BUF,2188356,17,26,31,,0.214,0.214,8,8.9,7.1,7.2,6.2,9.3,4.55,4.55,46,49,124,7.3,2026
Blake Grupe,21,21,K,NYJ,2876348,17,29,36,,0.225,0.225,7.7,7.7,9.9,11.6,6.5,9.7,4.79,4.79,36,37,123,7.2,2026
Joey Slye,22,22,K,TEN,3116871,17,29,35,,0.258,0.259,7.1,7.4,8.4,8.7,7.6,10,5.5,5.5,34,35,121,7.1,2026
Drew Stevens,23,23,K,WAS,28873746,17,27,32,,0.269,0.272,7.5,7.8,8.6,9.6,7.5,9.8,2.96,2.96,39,43,120,7.1,2026
Andres Borregales,24,24,K,NE,26699665,17,26,31,,0.407,0.407,7,7.1,8.7,9.6,6.2,9.3,3.5,3.5,42,44,120,7.1,2026
Riley Patterson,25,25,K,MIA,2865368,17,27,31,,0.214,0.215,5.9,6,8.5,9.5,9.1,10.1,3.15,3.15,37,38,118,6.9,2026
Jake Elliott,26,26,K,PHI,2080295,17,26,33,,0.199,0.199,5.5,5.5,8.4,8.6,8.4,10.8,3.34,3.34,40,43,118,6.9,2026
Chad Ryland,27,27,K,ARI,2964074,17,26,33,,0.214,0.214,5.9,5.9,8.3,9.1,7.3,10.6,4.54,4.54,36,37,114,6.7,2026
Chris Boswell,28,28,K,PIT,1724930,17,25,28,,0.21,0.21,5.8,5.9,6.8,8.1,7.6,8.6,4.46,4.46,36,37,111,6.5,2026
Ryan Fitzgerald,29,29,K,CAR,3126649,17,24,29,,0.196,0.197,5.9,6,7.9,8.9,8.4,9.3,1.96,1.96,34,37,106,6.2,2026
Andre Szmyt,30,30,K,CLE,2868551,17,23,26,,0.18,0.18,4.94,4.99,8.5,9.4,5.2,6.2,3.81,3.81,32,33,101,5.9,2026
Matt Gay,31,31,K,LV,2870511,17,22,29,,0.179,0.179,5.7,5.8,5.8,6.6,6.8,7.6,3.8,3.8,32,33,98,5.8,2026
Ben Sauls,32,32,K,NYG,3169819,17,20,26,,0.19,0.192,5.8,6.1,6.7,8.4,5.4,7.5,1.85,1.85,25,31,85,5,2026
Dominic Zvada,33,33,K,NYG,28876817,17,7,9,,0.066,0.067,1.86,1.92,2.13,2.63,1.86,2.69,0.731,0.731,9,12,30,1.8,2026
