name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,1,RB,DET,5672,1.5,1.01,2063,1,4,0.7,6,ppr,8,6,8007,2026-08-26,2026-09-02
Bijan Robinson,2,2,RB,ATL,5670,2.3,1.02,1185,1,6,0.7,11,ppr,8,6,8007,2026-08-26,2026-09-02
Puka Nacua,3,3,WR,LAR,5714,2.8,1.03,355,1,6,0.9,11,ppr,8,6,8007,2026-08-26,2026-09-02
Ja'Marr Chase,4,4,WR,CIN,5177,3.9,1.04,2178,1,9,1,6,ppr,8,6,8007,2026-08-26,2026-09-02
Jaxon Smith-Njigba,5,5,WR,SEA,5671,5.5,1.05,1064,2,10,1.2,11,ppr,8,6,8007,2026-08-26,2026-09-02
Christian McCaffrey,6,6,RB,SF,2434,6.5,1.06,1664,2,13,1.6,8,ppr,8,6,8007,2026-08-26,2026-09-02
Amon-Ra St. Brown,7,7,WR,DET,5182,6.5,1.07,1336,3,12,1.3,6,ppr,8,6,8007,2026-08-26,2026-09-02
Jonathan Taylor,8,8,RB,IND,4864,7.4,1.07,2027,3,14,1.7,13,ppr,8,6,8007,2026-08-26,2026-09-02
De'Von Achane,9,9,RB,MIA,5683,10.1,2.02,695,5,17,1.9,6,ppr,8,6,8007,2026-08-26,2026-09-02
CeeDee Lamb,10,10,WR,DAL,4869,10.2,2.02,1146,5,17,1.8,14,ppr,8,6,8007,2026-08-26,2026-09-02
James Cook III,11,12,RB,BUF,5652,11.7,2.04,2964,4,20,2.7,7,ppr,8,6,8007,2026-08-26,2026-09-02
Justin Jefferson,12,11,WR,MIN,4876,11.7,2.04,1339,5,20,2.2,6,ppr,8,6,8007,2026-08-26,2026-09-02
Drake London,13,13,WR,ATL,5574,12.9,2.05,331,8,18,2,11,ppr,8,6,8007,2026-08-26,2026-09-02
Chase Brown,14,14,RB,CIN,5706,13.1,2.05,1973,6,22,2.5,6,ppr,8,6,8007,2026-08-26,2026-09-02
Derrick Henry,15,16,RB,BAL,2350,16.4,2.08,1124,10,24,2.4,13,ppr,8,6,8007,2026-08-26,2026-09-02
Rashee Rice,16,15,WR,KC,5696,16.4,2.08,337,9,28,2.5,5,ppr,8,6,8007,2026-08-26,2026-09-02
A.J. Brown,17,17,WR,NE,3247,16.9,3.01,1650,9,27,2.7,11,ppr,8,6,8007,2026-08-26,2026-09-02
Saquon Barkley,18,18,RB,PHI,2860,18.7,3.03,3151,9,31,3.4,10,ppr,8,6,8007,2026-08-26,2026-09-02
Chris Olave,19,19,WR,NO,5544,19.3,3.03,641,11,28,2.9,8,ppr,8,6,8007,2026-08-26,2026-09-02
George Pickens,20,20,WR,DAL,5576,19.7,3.04,712,11,27,3,14,ppr,8,6,8007,2026-08-26,2026-09-02
Ashton Jeanty,21,21,RB,LV,6500,20.5,3.05,944,10,31,3.7,13,ppr,8,6,8007,2026-08-26,2026-09-02
Nico Collins,22,22,WR,HOU,5207,21.3,3.05,979,13,32,3,8,ppr,8,6,8007,2026-08-26,2026-09-02
Kenneth Walker,23,23,RB,KC,5625,21.4,3.05,2630,11,37,3.9,5,ppr,8,6,8007,2026-08-26,2026-09-02
Omarion Hampton,24,24,RB,LAC,6538,22.5,3.07,2394,11,36,4.2,7,ppr,8,6,8007,2026-08-26,2026-09-02
Zay Flowers,25,25,WR,BAL,5675,25.6,4.02,423,16,37,3.6,13,ppr,8,6,8007,2026-08-26,2026-09-02
Malik Nabers,26,26,WR,NYG,6183,26.6,4.03,1866,17,42,3.6,8,ppr,8,6,8007,2026-08-26,2026-09-02
Garrett Wilson,27,27,WR,NYJ,5548,27.1,4.03,594,18,40,3.4,13,ppr,8,6,8007,2026-08-26,2026-09-02
Jeremiyah Love,28,28,RB,ARI,6769,27.6,4.04,697,18,40,3.5,14,ppr,8,6,8007,2026-08-26,2026-09-02
Trey McBride,29,29,TE,ARI,5656,29.1,4.05,1086,17,41,4.5,14,ppr,8,6,8007,2026-08-26,2026-09-02
DeVonta Smith,30,30,WR,PHI,4883,29.4,4.05,1492,20,41,3.4,10,ppr,8,6,8007,2026-08-26,2026-09-02
Tetairoa McMillan,31,31,WR,CAR,6561,31.4,4.07,659,22,41,3.4,5,ppr,8,6,8007,2026-08-26,2026-09-02
Kyren Williams,32,32,RB,LAR,5623,31.7,4.08,1393,21,45,4,11,ppr,8,6,8007,2026-08-26,2026-09-02
Breece Hall,33,33,RB,NYJ,5503,32.7,5.01,800,22,44,4,13,ppr,8,6,8007,2026-08-26,2026-09-02
Josh Allen,34,34,QB,BUF,2885,33.3,5.01,1325,11,48,8.3,7,ppr,8,6,8007,2026-08-26,2026-09-02
Brock Bowers,35,35,TE,LV,6178,34.6,5.03,2619,15,50,7.2,13,ppr,8,6,8007,2026-08-26,2026-09-02
Emeka Egbuka,36,36,WR,TB,6576,35.5,5.04,1773,25,48,4.1,10,ppr,8,6,8007,2026-08-26,2026-09-02
Tee Higgins,37,37,WR,CIN,4870,35.7,5.04,992,23,48,4.6,6,ppr,8,6,8007,2026-08-26,2026-09-02
Javonte Williams,38,38,RB,DAL,5185,36.3,5.04,1651,23,49,5,14,ppr,8,6,8007,2026-08-26,2026-09-02
Ladd McConkey,39,40,WR,LAC,6281,37.9,5.06,2448,26,57,4.5,7,ppr,8,6,8007,2026-08-26,2026-09-02
