name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,17,262,1353,5.2,15,91,74,625,36.8,8.5,5,1,297,17.5,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,17,356,1578,4.4,15,53,42,345,20.3,8.2,2,2,274,16.1,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,17,289,1401,4.9,9,91,72,702,41.3,9.8,4,2,269,15.8,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,305,1655,5.4,15,23,17,171,10.1,10.1,1,2,259,15.2,2026
De'Von Achane,5,5,RB,RB,MIA,3171161,17,229,1130,4.9,7,92,75,551,32.4,7.4,6,1,227,13.4,2026
Christian McCaffrey,6,6,RB,RB,SF,2136743,17,256,1007,3.9,8,93,74,678,39.9,9.2,5,1,226,13.3,2026
James Cook,7,7,RB,RB,BUF,2975698,17,288,1436,5,9,39,32,273,16.1,8.5,2,3,214,12.6,2026
Chase Brown,8,8,RB,RB,CIN,2965160,17,236,1009,4.3,9,91,72,471,27.7,6.5,5,1,212,12.5,2026
Saquon Barkley,9,9,RB,RB,PHI,2185957,17,306,1374,4.5,7,55,40,313,18.4,7.8,2,1,203,11.9,2026
D'Andre Swift,10,10,RB,RB,CHI,2871710,17,248,1120,4.5,9,48,36,325,19.1,9,1,1,185,10.9,2026
Cam Skattebo,11,11,RB,RB,NYG,26697012,17,209,907,4.3,9,57,43,352,20.7,8.2,4,2,184,10.8,2026
Kenneth Walker III,12,12,RB,RB,KC,3121372,17,249,1160,4.7,8,55,47,360,21.2,7.7,0,1,182,10.7,2026
Kyren Williams,13,13,RB,RB,LAR,3121836,17,221,1048,4.7,9,43,33,243,14.3,7.4,3,2,181,10.6,2026
Bucky Irving,14,14,RB,RB,TB,26693770,17,264,1027,3.9,6,51,44,400,23.5,9.1,3,1,179,10.5,2026
Travis Etienne,15,16,RB,RB,NO,2809206,17,251,988,3.9,5,65,47,358,21.1,7.6,5,1,177,10.4,2026
Ashton Jeanty,16,15,RB,RB,LV,28874008,17,229,876,3.8,8,64,49,299,17.6,6.1,5,1,177,10.4,2026
Omarion Hampton,17,17,RB,RB,LAC,28908905,17,220,890,4.1,10,53,47,299,17.6,6.4,2,1,172,10.1,2026
Javonte Williams,18,18,RB,RB,DAL,2961719,17,234,1087,4.7,10,42,29,141,8.3,4.9,1,2,168,9.9,2026
Jeremiyah Love,19,19,RB,RB,ARI,29133405,17,211,983,4.7,7,56,43,381,22.4,8.9,2,3,167,9.8,2026
Breece Hall,20,20,RB,RB,NYJ,3123469,17,224,1014,4.5,6,53,40,370,21.8,9.3,2,2,165,9.7,2026
Bhayshul Tuten,21,21,RB,RB,JAC,26732838,17,224,890,4,11,22,16,128,7.5,8,3,3,164,9.6,2026
Quinshon Judkins,22,22,RB,RB,CLE,28878286,17,277,976,3.5,10,51,37,243,14.3,6.6,0,1,163,9.6,2026
David Montgomery,23,23,RB,RB,HOU,2261252,17,263,1013,3.9,9,31,27,211,12.4,7.8,0,2,155,9.1,2026
Jadarian Price,24,24,RB,RB,SEA,28875230,17,229,979,4.3,8,27,20,221,13,11.1,1,3,152,8.9,2026
J.K. Dobbins,25,25,RB,RB,DEN,2804420,17,248,1135,4.6,7,26,21,77,4.5,3.7,0,1,147,8.6,2026
TreVeyon Henderson,26,26,RB,RB,NE,26699547,17,189,884,4.7,7,40,33,207,12.2,6.3,1,1,140,8.2,2026
Rico Dowdle,27,27,RB,RB,PIT,2252798,17,191,835,4.4,7,46,36,253,14.9,7,1,1,137,8.1,2026
Jonathon Brooks,28,28,RB,RB,CAR,26730706,17,214,878,4.1,7,29,24,200,11.8,8.3,1,2,136,8,2026
Tony Pollard,29,29,RB,RB,TEN,2184011,17,227,993,4.4,6,43,34,215,12.6,6.3,0,3,133,7.8,2026
Rhamondre Stevenson,30,30,RB,RB,NE,3125832,17,169,694,4.1,7,40,33,332,19.5,10.1,2,3,133,7.8,2026
Jaylen Warren,31,31,RB,RB,PIT,3126535,17,195,838,4.3,5,46,40,317,18.6,7.9,1,1,131,7.7,2026
MarShawn Lloyd,32,32,RB,RB,GB,3162514,17,221,913,4.1,7,16,13,124,7.3,9.5,1,3,130,7.6,2026
R. Harvey,33,33,RB,RB,DEN,3121207,17,149,529,3.6,6,56,45,331,19.5,7.4,4,1,128,7.5,2026
Jordan Mason,34,34,RB,RB,MIN,2967536,17,195,907,4.7,7,21,18,82,4.8,4.6,0,1,126,7.4,2026
Jacory Croskey-Merritt,35,35,RB,RB,WAS,3126952,17,180,859,4.8,8,13,9,71,4.2,7.9,0,2,125,7.4,2026
Chuba Hubbard,36,36,RB,RB,CAR,2865693,17,166,711,4.3,5,44,33,211,12.4,6.4,3,1,122,7.2,2026
Kyle Monangai,37,37,RB,RB,CHI,3177368,17,206,854,4.2,5,37,23,208,12.2,9,0,1,119,7,2026
