name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,2,1.02,0.14,17298
Lamar Jackson,2,QB,BAL,QB2,1,1,7,2.63,1.02,17233
Drake Maye,3,QB,NE,QB3,1,2,9,3.46,1.42,23046
Joe Burrow,4,QB,CIN,QB4,1,2,16,4.97,2.28,19196
Ja'Marr Chase,5,WR,CIN,WR1,2,5,12,7.08,2.10,19788
Jalen Hurts,6,QB,PHI,QB5,2,3,17,7.22,3.55,19275
Jayden Daniels,7,QB,WAS,QB6,2,2,29,7.29,5.06,22902
Jahmyr Gibbs,8,RB,DET,RB1,2,2,15,9.91,2.23,22968
Caleb Williams,9,QB,CHI,QB7,2,4,29,10.39,5.00,23084
Puka Nacua,10,WR,LAR,WR2,2,6,21,10.92,2.40,23180
Bijan Robinson,11,RB,ATL,RB2,2,3,15,11.84,2.10,23133
Justin Herbert,12,QB,LAC,QB8,2,3,50,12.08,6.56,18635
Jaxon Smith-Njigba,13,WR,SEA,WR3,3,6,20,12.63,2.12,23070
Amon-Ra St. Brown,14,WR,DET,WR4,3,8,20,13.40,1.92,19799
Dak Prescott,15,QB,DAL,QB9,3,5,30,14.97,5.61,15600
Trevor Lawrence,16,QB,JAC,QB10,3,5,30,15.15,6.14,19780
Christian McCaffrey,17,RB,SF,RB3,3,13,42,18.99,7.17,16393
CeeDee Lamb,18,WR,DAL,WR5,3,14,29,20.78,2.61,19202
Justin Jefferson,19,WR,MIN,WR6,3,12,44,21.47,3.58,19236
Brock Purdy,20,QB,SF,QB11,4,8,50,22.86,6.66,19797
Jonathan Taylor,21,RB,IND,RB4,4,12,48,24.01,7.67,19217
Bo Nix,22,QB,DEN,QB12,4,9,55,24.70,8.13,22910
Jaxson Dart,23,QB,NYG,QB13,4,7,50,25.14,8.86,23160
Drake London,24,WR,ATL,WR7,4,20,43,25.99,5.45,23163
A.J. Brown,25,WR,NE,WR8,4,14,51,26.68,6.47,18218
Patrick Mahomes II,26,QB,KC,QB14,4,8,64,28.04,9.31,16413
