name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Josh Allen,1,1,QB,BUF,2885,1.5,1.01,354,1,3,0.7,7,2qb,10,6,2324,2026-07-06,2026-08-05
Jahmyr Gibbs,2,2,RB,DET,5672,2.2,1.02,194,1,4,0.8,6,2qb,10,6,2324,2026-07-06,2026-08-05
Bijan Robinson,3,3,RB,ATL,5670,2.6,1.03,176,1,4,0.7,11,2qb,10,6,2324,2026-07-06,2026-08-05
Lamar Jackson,4,4,QB,BAL,2888,5.3,1.05,263,1,14,1.9,13,2qb,10,6,2324,2026-07-06,2026-08-05
Joe Burrow,5,5,QB,CIN,4882,5.6,1.06,174,1,11,2.4,6,2qb,10,6,2324,2026-07-06,2026-08-05
Drake Maye,6,6,QB,NE,6187,6.3,1.06,233,1,12,2.2,11,2qb,10,6,2324,2026-07-06,2026-08-05
Puka Nacua,7,7,WR,LAR,5714,6.4,1.06,243,1,13,2.6,11,2qb,10,6,2324,2026-07-06,2026-08-05
Jonathan Taylor,8,8,RB,IND,4864,6.5,1.07,173,3,12,1.6,13,2qb,10,6,2324,2026-07-06,2026-08-05
Dak Prescott,9,9,QB,DAL,2377,9.6,1.10,139,1,16,3.6,14,2qb,10,6,2324,2026-07-06,2026-08-05
Ja'Marr Chase,10,10,WR,CIN,5177,10.3,1.10,602,1,26,4.9,6,2qb,10,6,2324,2026-07-06,2026-08-05
Christian McCaffrey,11,11,RB,SF,2434,11.9,2.02,356,3,21,3.5,8,2qb,10,6,2324,2026-07-06,2026-08-05
Jayden Daniels,12,12,QB,WAS,5854,12.4,2.02,233,5,20,2.6,7,2qb,10,6,2324,2026-07-06,2026-08-05
Jaxon Smith-Njigba,13,13,WR,SEA,5671,15.2,2.05,330,5,30,4.7,11,2qb,10,6,2324,2026-07-06,2026-08-05
Derrick Henry,14,15,RB,BAL,2350,15.3,2.05,97,7,23,3,13,2qb,10,6,2324,2026-07-06,2026-08-05
Trevor Lawrence,15,14,QB,JAX,5186,15.3,2.05,95,4,27,4.3,7,2qb,10,6,2324,2026-07-06,2026-08-05
Jalen Hurts,16,16,QB,PHI,5025,15.9,2.06,148,5,29,4.2,10,2qb,10,6,2324,2026-07-06,2026-08-05
Patrick Mahomes,17,17,QB,KC,2462,16.7,2.07,113,1,31,6.2,5,2qb,10,6,2324,2026-07-06,2026-08-05
Brock Purdy,18,18,QB,SF,5648,17,2.07,52,9,29,4.6,8,2qb,10,6,2324,2026-07-06,2026-08-05
Matthew Stafford,19,19,QB,LAR,1664,18.3,2.08,186,11,36,3.8,11,2qb,10,6,2324,2026-07-06,2026-08-05
James Cook III,20,20,RB,BUF,5652,19.7,2.10,501,9,30,4,7,2qb,10,6,2324,2026-07-06,2026-08-05
Amon-Ra St. Brown,21,21,WR,DET,5182,20.2,2.10,517,9,32,4.8,6,2qb,10,6,2324,2026-07-06,2026-08-05
Jared Goff,22,22,QB,DET,2351,20.9,3.01,87,12,30,3.3,6,2qb,10,6,2324,2026-07-06,2026-08-05
Justin Herbert,23,23,QB,LAC,4887,21,3.01,174,8,38,7.1,7,2qb,10,6,2324,2026-07-06,2026-08-05
Caleb Williams,24,24,QB,CHI,6173,21.6,3.02,233,6,38,5.6,10,2qb,10,6,2324,2026-07-06,2026-08-05
De'Von Achane,25,25,RB,MIA,5683,24.4,3.04,153,14,33,3.7,6,2qb,10,6,2324,2026-07-06,2026-08-05
Saquon Barkley,26,26,RB,PHI,2860,26.4,3.06,477,15,39,4.1,10,2qb,10,6,2324,2026-07-06,2026-08-05
Jaxson Dart,27,27,QB,NYG,6568,27,3.07,97,17,48,5.3,8,2qb,10,6,2324,2026-07-06,2026-08-05
