name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,16,36,40,,0.282,0.283,7.8,8.4,12.1,12.3,9.8,11.1,6,6,45,46,153,9.6,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,16,36,40,,0.305,0.305,8.4,8.8,9.9,10.1,10.7,11.9,6.5,6.5,39,40,147,9.2,2026
Nick Folk,3,3,K,ATL,410721,16,32,37,,0.265,0.265,7.3,7.4,8.6,8.7,10.6,12.9,5.6,5.6,43,43,139,8.7,2026
Cairo Santos,4,4,K,CHI,2132690,16,30,35,,0.24,0.24,6.6,6.7,8.2,9,10.2,12.3,5.1,5.1,48,48,138,8.6,2026
Jake Bates,5,5,K,DET,3173439,16,29,35,,0.229,0.229,7.1,7.2,7.9,8,8.9,10.8,4.72,4.72,51,53,138,8.6,2026
Spencer Shrader,6,6,K,IND,3131541,16,32,36,,0.27,0.273,8.9,9,9.9,10.5,7.7,8.8,5.2,5.2,41,46,137,8.6,2026
Brandon Aubrey,7,8,K,DAL,2815718,16,31,36,,0.256,0.256,8,8.1,8.3,9,8.9,9.9,5.4,5.4,42,45,135,8.4,2026
Evan McPherson,8,7,K,CIN,2962681,16,30,33,,0.253,0.253,6.9,7,8.2,8.3,9.1,10.1,5.4,5.4,45,47,135,8.4,2026
Will Reichard,9,9,K,MIN,3121084,16,31,33,,0.264,0.265,7.3,7.3,9.9,10.2,7.6,8.5,5.6,5.6,41,41,134,8.4,2026
Tyler Loop,10,10,K,BAL,3174704,16,28,32,,0.221,0.222,8.6,8.7,8.9,9.1,7.8,8.7,2.31,2.31,50,51,134,8.4,2026
Harrison Butker,11,11,K,KC,2078888,16,32,37,,0.495,0.496,10.6,10.8,9.4,9.5,8.3,9.9,3.49,3.49,37,39,133,8.3,2026
Cameron Dicker,12,13,K,LAC,2961997,16,32,35,,0.251,0.251,6.9,7,10,10.6,9.6,10.6,4.89,4.89,35,36,131,8.2,2026
Cam Little,13,12,K,JAC,26702477,16,28,31,,0.222,0.222,6.1,6.2,7.2,7.3,9.4,10.9,4.71,4.71,47,48,131,8.2,2026
Chase McLaughlin,14,14,K,TB,2165272,16,30,36,,0.26,0.26,7.1,7.2,9.7,11.2,7.5,10.1,5.5,5.5,40,41,130,8.1,2026
Tyler Bass,15,15,K,BUF,2188356,16,26,30,,0.211,0.211,5.8,6.4,10,10.1,7.2,9.3,3.1,3.1,47,50,125,7.8,2026
Eddy Pineiro,16,16,K,SF,2221833,16,29,33,,0.246,0.246,7.1,7.2,8,8.2,8.6,9.6,5.2,5.2,37,40,124,7.8,2026
Harrison Mevis,17,17,K,LAR,3162619,16,25,27,,0.213,0.215,5.9,5.9,6.9,7.3,9.1,10.1,2.96,2.96,48,49,123,7.7,2026
Wil Lutz,18,18,K,DEN,2008545,16,27,32,,0.205,0.205,7.5,7.6,9.7,9.9,5.9,7.9,3.93,3.93,40,41,121,7.6,2026
Trey Smack,19,19,K,GB,28899321,16,28,33,,0.274,0.277,7.9,8.1,8.8,9.8,7.9,10.1,3.19,3.19,36,41,120,7.5,2026
Jason Sanders,20,20,K,NYJ,2131909,16,28,33,,0.234,0.234,6.4,6.5,10.1,10.2,6.7,9.4,4.96,4.96,35,37,119,7.4,2026
Daniel Carlson,21,21,K,NO,2079862,16,28,35,,0.222,0.222,8.6,8.7,7.8,7.9,6.4,8.7,4.72,4.72,33,35,117,7.3,2026
Chad Ryland,22,22,K,ARI,2964074,16,27,34,,0.21,0.21,5.8,5.8,8.3,9,8.1,10.5,4.27,4.27,36,37,117,7.3,2026
Jake Elliott,23,23,K,PHI,2080295,16,25,30,,0.193,0.194,5.3,5.4,9.2,9.4,8.1,10.4,1.84,1.84,40,43,115,7.2,2026
Drew Stevens,24,24,K,WAS,28873746,16,26,31,,0.255,0.257,7.1,7.4,8.2,9.1,7.1,9.4,3,3,36,41,114,7.1,2026
Andres Borregales,25,25,K,NE,26699665,16,24,28,,0.37,0.37,5.9,6,7.5,8.3,5.7,8.5,4.19,4.19,40,40,112,7,2026
Riley Patterson,26,26,K,MIA,2865368,16,25,29,,0.194,0.195,5.3,5.4,8.7,9.5,8.3,10.1,2.56,2.56,34,35,109,6.8,2026
Dominic Zvada,27,27,K,NYG,28876817,16,24,29,,0.24,0.242,6.7,7,7.7,8.6,6.7,8.8,2.51,2.51,36,36,108,6.8,2026
Joey Slye,28,28,K,TEN,3116871,16,25,31,,0.209,0.209,5.9,6.2,6.8,7.1,8,10.1,4.44,4.44,31,32,106,6.6,2026
Chris Boswell,29,29,K,PIT,1724930,16,24,28,,0.191,0.191,6.1,6.3,6.2,7.4,6.9,7.8,4.06,4.06,33,34,105,6.6,2026
Ryan Fitzgerald,30,30,K,CAR,3126649,16,23,28,,0.195,0.195,5.4,5.4,7.5,8.5,8.3,9.2,1.88,1.88,31,35,100,6.3,2026
Andre Szmyt,31,31,K,CLE,2868551,16,22,25,,0.173,0.173,5.5,5.5,8.1,8.4,4.96,6.1,3.67,3.67,33,33,99,6.2,2026
Matt Gay,32,32,K,LV,2870511,16,21,26,,0.165,0.165,4.6,4.65,6.1,6.8,7,7.8,2.85,2.85,30,31,93,5.8,2026
