name,Rank,source_rank,position,team,source_player_id,games_played,fgm,fga,longest_field_goal,fg_1_19_made,fg_1_19_attempts,fg_20_29_made,fg_20_29_attempts,fg_30_39_made,fg_30_39_attempts,fg_40_49_made,fg_40_49_attempts,fg_50_plus_made,fg_50_plus_attempts,xpm,xpa,projected_fantasy_points,projected_fantasy_points_per_game,season
Jason Myers,1,1,K,SEA,2169640,15,33,37,,0.254,0.254,7,7.6,11.7,11.9,8.4,9.6,5.4,5.4,43,43,142,9.5,2026
Ka'imi Fairbairn,2,2,K,HOU,1996562,15,33,38,,0.275,0.275,7.6,8,9.2,9.4,10.4,11.6,5.8,5.8,35,37,134,8.9,2026
Spencer Shrader,3,3,K,IND,3131541,15,31,34,,0.245,0.248,6.8,6.8,9.1,9.6,10,11.3,4.94,4.94,41,45,134,8.9,2026
Harrison Butker,4,4,K,KC,2078888,15,32,37,,0.479,0.479,9.9,10.1,9.2,9.4,9.5,10.5,2.42,2.42,37,40,133,8.9,2026
Will Reichard,5,6,K,MIN,3121084,15,30,32,,0.241,0.241,6.6,6.7,10.6,10.8,7.1,7.9,5.1,5.1,40,41,130,8.7,2026
Evan McPherson,6,5,K,CIN,2962681,15,29,32,,0.258,0.258,7.1,7.2,8.4,8.5,7.9,8.7,5.5,5.5,43,46,130,8.7,2026
Jake Bates,7,7,K,DET,3173439,15,27,32,,0.212,0.213,6.3,6.4,8.6,8.7,7.5,9.1,4.19,4.19,48,50,129,8.6,2026
Brandon Aubrey,8,8,K,DAL,2815718,15,29,33,,0.234,0.235,7.8,7.9,7.6,8.3,8.6,9.6,4.98,4.98,41,43,128,8.5,2026
Chase McLaughlin,9,10,K,TB,2165272,15,29,32,,0.242,0.242,6.7,6.7,10,10.7,7,8.3,5.1,5.1,36,37,123,8.2,2026
Cam Little,10,9,K,JAC,26702477,15,26,30,,0.211,0.211,5.8,5.9,6.9,7,9,10,4.49,4.49,45,45,123,8.2,2026
Cairo Santos,11,12,K,CHI,2132690,15,26,30,,0.208,0.208,5.7,6.4,6.8,7.5,8.8,10.7,4.42,4.42,42,42,120,8,2026
Tyler Loop,12,11,K,BAL,3174704,15,25,30,,0.201,0.202,7.5,7.6,7.7,7.8,8,10.5,1.99,1.99,45,46,120,8,2026
Daniel Carlson,13,13,K,NO,2079862,15,28,34,,0.229,0.229,9.1,9.2,7.4,7.5,6.7,8.6,4.86,4.86,34,35,118,7.9,2026
Eddy Pineiro,14,14,K,SF,2221833,15,27,30,,0.219,0.219,6.7,6.7,7.1,7.4,8,8.9,4.65,4.65,36,39,117,7.8,2026
Tyler Bass,15,15,K,BUF,2188356,15,25,28,,0.196,0.196,5.4,6,9.3,9.4,6.7,8.7,2.89,2.89,41,45,116,7.7,2026
Wil Lutz,16,16,K,DEN,2008545,15,26,29,,0.192,0.193,7.4,7.5,8.9,9.1,5.5,7.1,3.44,3.44,37,37,115,7.7,2026
Harrison Mevis,17,17,K,LAR,3162619,15,23,27,,0.194,0.195,5.3,5.4,6.3,6.6,8.2,11.3,2.69,2.69,45,46,114,7.6,2026
Jason Sanders,18,18,K,NYJ,2131909,15,26,30,,0.202,0.203,5.6,5.6,9.6,9.7,5.8,8.2,4.3,4.3,33,34,111,7.4,2026
Nick Folk,19,19,K,ATL,410721,14,25,29,,0.198,0.198,5.5,5.5,6.4,6.5,8.4,9.8,4.21,4.21,33,34,108,7.7,2026
Cameron Dicker,20,21,K,LAC,2961997,15,26,29,,0.201,0.201,5.5,5.6,7.9,8.4,7.9,8.7,4.19,4.19,29,31,107,7.1,2026
Jake Elliott,21,20,K,PHI,2080295,15,23,29,,0.173,0.173,4.74,4.79,8.1,8.3,6.7,8.7,2.89,2.89,38,40,107,7.1,2026
Joey Slye,22,22,K,TEN,3116871,15,25,30,,0.206,0.206,5.7,5.9,7.9,8.1,6.7,8.6,4.37,4.37,31,32,106,7.1,2026
Drew Stevens,23,23,K,WAS,28873746,15,24,29,,0.233,0.235,6.9,7.1,7.5,8.4,6.9,8.7,2.86,2.86,33,38,105,7,2026
Trey Smack,24,24,K,GB,28899321,14,24,29,,0.231,0.233,7.1,7.2,7.4,8.1,6.5,8.7,3.05,3.05,31,36,103,7.4,2026
Andres Borregales,25,25,K,NE,26699665,15,22,26,,0.34,0.341,4.99,5,7.5,8.1,5.6,8.3,3.64,3.64,37,38,103,6.9,2026
Andre Szmyt,26,27,K,CLE,2868551,15,23,25,,0.179,0.18,4.93,4.98,8.5,8.7,5.2,6.4,3.81,3.81,32,32,101,6.7,2026
Chad Ryland,27,26,K,ARI,2964074,15,23,29,,0.178,0.179,4.9,4.95,6.9,7.5,7.1,9.2,3.75,3.75,32,32,101,6.7,2026
Ryan Fitzgerald,28,28,K,CAR,3126649,15,23,26,,0.182,0.182,6.1,6.2,7.7,8.5,7.7,8.6,1.06,1.06,32,36,101,6.7,2026
Chris Boswell,29,29,K,PIT,1724930,15,22,26,,0.181,0.181,5.5,5.7,5.9,7,6.2,7,3.84,3.84,30,30,96,6.4,2026
Riley Patterson,30,30,K,MIA,2865368,15,22,27,,0.174,0.174,5.8,5.9,6.8,7.4,7.2,8.8,2,2,28,29,94,6.3,2026
Matt Gay,31,31,K,LV,2870511,15,20,24,,0.162,0.162,4.46,4.5,5.8,6.1,6.3,7,3.44,3.44,32,32,92,6.1,2026
Dominic Zvada,32,32,K,NYG,28876817,15,20,24,,0.192,0.194,5.7,5.9,6.2,6.9,5.4,7.2,2.39,2.39,31,31,91,6.1,2026
