name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Jahmyr Gibbs,1,2,RB,DET,5672,1.8,1.02,403,1,6,0.8,6,ppr,8,6,3197,2026-07-19,2026-07-26
Bijan Robinson,2,1,RB,ATL,5670,1.8,1.02,370,1,4,0.8,11,ppr,8,6,3197,2026-07-19,2026-07-26
Puka Nacua,3,3,WR,LAR,5714,2.7,1.03,98,1,4,0.7,11,ppr,8,6,3197,2026-07-19,2026-07-26
Ja'Marr Chase,4,4,WR,CIN,5177,4.1,1.04,622,1,8,1.1,6,ppr,8,6,3197,2026-07-19,2026-07-26
Christian McCaffrey,5,5,RB,SF,2434,4.8,1.05,273,1,10,1.2,8,ppr,8,6,3197,2026-07-19,2026-07-26
Jaxon Smith-Njigba,6,6,WR,SEA,5671,6.1,1.06,353,1,11,1.7,11,ppr,8,6,3197,2026-07-19,2026-07-26
Jonathan Taylor,7,7,RB,IND,4864,7.3,1.07,361,3,12,1.8,13,ppr,8,6,3197,2026-07-19,2026-07-26
Amon-Ra St. Brown,8,8,WR,DET,5182,7.5,1.07,310,3,12,1.5,6,ppr,8,6,3197,2026-07-19,2026-07-26
De'Von Achane,9,9,RB,MIA,5683,9.5,2.02,165,5,14,1.6,6,ppr,8,6,3197,2026-07-19,2026-07-26
CeeDee Lamb,10,10,WR,DAL,4869,11.1,2.03,393,5,19,2.3,14,ppr,8,6,3197,2026-07-19,2026-07-26
Justin Jefferson,11,11,WR,MIN,4876,11.3,2.03,340,5,19,2.4,6,ppr,8,6,3197,2026-07-19,2026-07-26
Ashton Jeanty,12,12,RB,LV,6500,11.6,2.04,311,5,18,2.4,13,ppr,8,6,3197,2026-07-19,2026-07-26
Drake London,13,13,WR,ATL,5574,12.2,2.04,121,9,17,1.7,11,ppr,8,6,3197,2026-07-19,2026-07-26
James Cook III,14,14,RB,BUF,5652,13.1,2.05,587,6,20,2.6,7,ppr,8,6,3197,2026-07-19,2026-07-26
A.J. Brown,15,15,WR,NE,3247,14.4,2.06,273,8,22,2.6,11,ppr,8,6,3197,2026-07-19,2026-07-26
Derrick Henry,16,16,RB,BAL,2350,15.9,2.08,182,10,22,2.2,13,ppr,8,6,3197,2026-07-19,2026-07-26
Chase Brown,17,17,RB,CIN,5706,16.7,3.01,403,9,27,2.9,6,ppr,8,6,3197,2026-07-19,2026-07-26
Omarion Hampton,18,18,RB,LAC,6538,17.7,3.02,557,10,26,2.8,7,ppr,8,6,3197,2026-07-19,2026-07-26
Saquon Barkley,19,19,RB,PHI,2860,18.9,3.03,554,10,28,3.3,10,ppr,8,6,3197,2026-07-19,2026-07-26
George Pickens,20,20,WR,DAL,5576,19.8,3.04,191,11,29,3.1,14,ppr,8,6,3197,2026-07-19,2026-07-26
Kenneth Walker III,21,21,RB,KC,5625,21.9,3.06,443,14,30,3,5,ppr,8,6,3197,2026-07-19,2026-07-26
Jeremiyah Love,22,22,RB,ARI,6769,22.3,3.06,149,15,28,2.7,14,ppr,8,6,3197,2026-07-19,2026-07-26
Chris Olave,23,23,WR,NO,5544,22.9,3.07,161,15,33,3.6,8,ppr,8,6,3197,2026-07-19,2026-07-26
Nico Collins,24,24,WR,HOU,5207,23.7,3.08,356,15,36,3.1,8,ppr,8,6,3197,2026-07-19,2026-07-26
Rashee Rice,25,25,WR,KC,5696,26.3,4.02,363,16,39,3.7,5,ppr,8,6,3197,2026-07-19,2026-07-26
Josh Jacobs,26,26,RB,GB,3255,27.4,4.03,312,18,38,3.7,11,ppr,8,6,3197,2026-07-19,2026-07-26
Zay Flowers,27,27,WR,BAL,5675,27.5,4.03,120,21,42,4.1,13,ppr,8,6,3197,2026-07-19,2026-07-26
Josh Allen,28,28,QB,BUF,2885,27.9,4.04,376,10,42,6.9,7,ppr,8,6,3197,2026-07-19,2026-07-26
DeVonta Smith,29,29,WR,PHI,4883,28.1,4.04,301,18,38,3.5,10,ppr,8,6,3197,2026-07-19,2026-07-26
Garrett Wilson,30,30,WR,NYJ,5548,28.3,4.04,90,19,36,3.3,13,ppr,8,6,3197,2026-07-19,2026-07-26
Tee Higgins,31,31,WR,CIN,4870,28.5,4.04,121,21,39,3.7,6,ppr,8,6,3197,2026-07-19,2026-07-26
Trey McBride,32,32,TE,ARI,5656,29.2,4.05,414,15,41,5.1,14,ppr,8,6,3197,2026-07-19,2026-07-26
Breece Hall,33,33,RB,NYJ,5503,29.5,4.05,159,22,41,3.6,13,ppr,8,6,3197,2026-07-19,2026-07-26
Kyren Williams,34,34,RB,LAR,5623,33,5.01,490,22,45,4.2,11,ppr,8,6,3197,2026-07-19,2026-07-26
Tetairoa McMillan,35,35,WR,CAR,6561,33.1,5.01,236,24,41,3.4,5,ppr,8,6,3197,2026-07-19,2026-07-26
Javonte Williams,36,36,RB,DAL,5185,34.2,5.02,359,22,45,4.5,14,ppr,8,6,3197,2026-07-19,2026-07-26
Brock Bowers,37,37,TE,LV,6178,35.7,5.04,667,20,51,5.7,13,ppr,8,6,3197,2026-07-19,2026-07-26
Ladd McConkey,38,38,WR,LAC,6281,36.7,5.05,385,24,51,4.7,7,ppr,8,6,3197,2026-07-19,2026-07-26
Terry McLaurin,39,39,WR,WAS,3449,36.9,5.05,179,26,48,4.1,7,ppr,8,6,3197,2026-07-19,2026-07-26
Cam Skattebo,40,40,RB,NYG,6509,37.6,5.06,247,24,48,5.2,8,ppr,8,6,3197,2026-07-19,2026-07-26
Travis Etienne Jr.,41,41,RB,NO,4863,40.1,5.08,189,28,54,5.1,8,ppr,8,6,3197,2026-07-19,2026-07-26
Jaylen Waddle,42,42,WR,DEN,5178,40.9,6.01,273,29,57,4.4,10,ppr,8,6,3197,2026-07-19,2026-07-26
Davante Adams,43,43,WR,LAR,2125,41.7,6.02,188,31,53,4.1,11,ppr,8,6,3197,2026-07-19,2026-07-26
Emeka Egbuka,44,44,WR,TB,6576,44.5,6.05,793,30,62,5.5,10,ppr,8,6,3197,2026-07-19,2026-07-26
Colston Loveland,45,45,TE,CHI,6501,45.8,6.06,190,30,57,5.7,10,ppr,8,6,3197,2026-07-19,2026-07-26
Bucky Irving,46,46,RB,TB,6190,46.4,6.06,217,33,56,5,10,ppr,8,6,3197,2026-07-19,2026-07-26
Malik Nabers,47,47,WR,NYG,6183,46.7,6.07,485,27,70,7.4,8,ppr,8,6,3197,2026-07-19,2026-07-26
D'Andre Swift,48,48,RB,CHI,4862,46.9,6.07,186,34,57,4.6,10,ppr,8,6,3197,2026-07-19,2026-07-26
Joe Burrow,49,49,QB,CIN,4882,47.6,6.08,185,27,62,7.6,6,ppr,8,6,3197,2026-07-19,2026-07-26
Luther Burden III,50,50,WR,CHI,6559,47.7,6.08,205,32,62,5.8,10,ppr,8,6,3197,2026-07-19,2026-07-26
Quinshon Judkins,51,51,RB,CLE,6531,48.5,7.01,306,34,60,5.2,11,ppr,8,6,3197,2026-07-19,2026-07-26
Jameson Williams,52,52,WR,DET,5643,50.2,7.02,132,37,62,5,6,ppr,8,6,3197,2026-07-19,2026-07-26
Mike Evans,53,53,WR,SF,2111,50.4,7.02,372,36,68,5.3,8,ppr,8,6,3197,2026-07-19,2026-07-26
Tyler Warren,54,54,TE,IND,6504,53.5,7.06,254,33,70,7.7,13,ppr,8,6,3197,2026-07-19,2026-07-26
Lamar Jackson,55,55,QB,BAL,2888,54.9,7.07,238,33,71,8.4,13,ppr,8,6,3197,2026-07-19,2026-07-26
David Montgomery,56,56,RB,HOU,3238,55.1,7.07,469,40,73,5.6,8,ppr,8,6,3197,2026-07-19,2026-07-26
Rome Odunze,57,57,WR,CHI,6194,55.2,7.07,285,39,70,6,10,ppr,8,6,3197,2026-07-19,2026-07-26
DK Metcalf,58,58,WR,PIT,3239,57.2,8.01,141,39,77,6.9,9,ppr,8,6,3197,2026-07-19,2026-07-26
TreVeyon Henderson,59,59,RB,NE,6490,57.7,8.02,364,41,79,6.4,11,ppr,8,6,3197,2026-07-19,2026-07-26
Dak Prescott,60,60,QB,DAL,2377,59.8,8.04,112,33,75,10,14,ppr,8,6,3197,2026-07-19,2026-07-26
Christian Watson,61,61,WR,GB,5360,60,8.04,476,43,79,6.8,11,ppr,8,6,3197,2026-07-19,2026-07-26
Bhayshul Tuten,62,62,RB,JAX,6513,61.1,8.05,408,45,78,6.1,7,ppr,8,6,3197,2026-07-19,2026-07-26
Drake Maye,63,63,QB,NE,6187,61.7,8.06,186,42,79,7.2,11,ppr,8,6,3197,2026-07-19,2026-07-26
Carnell Tate,64,64,WR,TEN,6768,62,8.06,190,48,80,7,9,ppr,8,6,3197,2026-07-19,2026-07-26
Jaylen Warren,65,65,RB,PIT,5443,64.3,8.08,122,48,79,6,9,ppr,8,6,3197,2026-07-19,2026-07-26
Alec Pierce,66,66,WR,IND,5641,64.4,8.08,271,46,89,9,13,ppr,8,6,3197,2026-07-19,2026-07-26
Marvin Harrison Jr.,67,67,WR,ARI,6193,67.4,9.03,398,44,92,9,14,ppr,8,6,3197,2026-07-19,2026-07-26
DJ Moore,68,68,WR,BUF,2876,68.2,9.04,810,44,95,9.3,7,ppr,8,6,3197,2026-07-19,2026-07-26
Harold Fannin Jr.,69,69,TE,CLE,6502,68.2,9.04,104,49,86,7.5,11,ppr,8,6,3197,2026-07-19,2026-07-26
Tony Pollard,70,70,RB,TEN,3435,69.6,9.06,124,49,87,8.1,9,ppr,8,6,3197,2026-07-19,2026-07-26
Michael Pittman Jr.,71,71,WR,PIT,4880,70.3,9.06,200,52,86,7.1,9,ppr,8,6,3197,2026-07-19,2026-07-26
Jadarian Price,72,72,RB,SEA,6776,71.1,9.07,539,48,94,8.5,11,ppr,8,6,3197,2026-07-19,2026-07-26
Rhamondre Stevenson,73,73,RB,NE,5210,71.7,9.08,96,58,84,5.1,11,ppr,8,6,3197,2026-07-19,2026-07-26
Courtland Sutton,74,74,WR,DEN,2862,72.1,9.08,257,53,90,7.1,10,ppr,8,6,3197,2026-07-19,2026-07-26
Sam LaPorta,75,75,TE,DET,5564,72.3,9.08,117,49,112,9,6,ppr,8,6,3197,2026-07-19,2026-07-26
Parker Washington,76,76,WR,JAX,5705,73.5,10.02,201,54,91,7.3,7,ppr,8,6,3197,2026-07-19,2026-07-26
Tucker Kraft,77,77,TE,GB,5718,74,10.02,193,53,105,8,11,ppr,8,6,3197,2026-07-19,2026-07-26
Rico Dowdle,78,78,RB,PIT,5095,79.2,10.07,138,63,96,6.7,9,ppr,8,6,3197,2026-07-19,2026-07-26
Chris Godwin Jr.,79,79,WR,TB,2465,79.4,10.07,327,60,95,7.4,10,ppr,8,6,3197,2026-07-19,2026-07-26
Chuba Hubbard,80,80,RB,CAR,4873,80.8,11.01,281,58,112,8.8,5,ppr,8,6,3197,2026-07-19,2026-07-26
