name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,17,281,1438,5.1,16,90,72,632,37.2,8.8,5,1,314,18.5,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,17,359,1645,4.6,16,53,42,341,20.1,8.1,2,2,286,16.8,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,17,291,1410,4.9,9,92,71,679,39.9,9.6,3,2,258,15.2,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,305,1642,5.4,15,23,17,169,9.9,9.9,1,2,254,14.9,2026
Christian McCaffrey,5,5,RB,RB,SF,2136743,17,256,1010,4,8,93,73,672,39.5,9.2,5,1,226,13.3,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,17,229,1127,4.9,7,93,76,552,32.5,7.3,5,1,221,13,2026
James Cook,7,7,RB,RB,BUF,2975698,17,297,1443,4.9,9,39,31,260,15.3,8.4,2,3,213,12.5,2026
Chase Brown,8,8,RB,RB,CIN,2965160,17,233,1003,4.3,8,91,73,473,27.8,6.5,5,1,206,12.1,2026
Saquon Barkley,9,9,RB,RB,PHI,2185957,17,309,1384,4.5,7,55,40,311,18.3,7.8,2,1,205,12.1,2026
Kenneth Walker III,10,10,RB,RB,KC,3121372,17,266,1237,4.7,8,55,47,365,21.5,7.8,0,1,190,11.2,2026
Javonte Williams,11,11,RB,RB,DAL,2961719,17,255,1201,4.7,11,44,31,147,8.6,4.7,1,2,186,10.9,2026
Cam Skattebo,12,13,RB,RB,NYG,26697012,17,216,942,4.4,8,58,43,374,22,8.7,4,2,184,10.8,2026
D'Andre Swift,13,12,RB,RB,CHI,2871710,17,246,1123,4.6,9,47,35,325,19.1,9.3,1,2,184,10.8,2026
Ashton Jeanty,14,14,RB,RB,LV,28874008,17,228,876,3.8,8,68,51,328,19.3,6.4,5,1,180,10.6,2026
Bucky Irving,15,15,RB,RB,TB,26693770,17,263,1035,3.9,6,50,43,406,23.9,9.4,3,1,179,10.5,2026
