name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Josh Allen,1,1,QB,BUF,2885,1.6,1.02,787,1,4,0.8,7,2qb,10,6,4847,2026-07-22,2026-08-21
Jahmyr Gibbs,2,2,RB,DET,5672,1.9,1.02,617,1,4,0.8,6,2qb,10,6,4847,2026-07-22,2026-08-21
Bijan Robinson,3,3,RB,ATL,5670,2.6,1.03,378,1,4,0.6,11,2qb,10,6,4847,2026-07-22,2026-08-21
Puka Nacua,4,4,WR,LAR,5714,4.9,1.05,403,1,13,1.6,11,2qb,10,6,4847,2026-07-22,2026-08-21
Jonathan Taylor,5,5,RB,IND,4864,5.8,1.06,369,3,10,1.5,13,2qb,10,6,4847,2026-07-22,2026-08-21
Drake Maye,6,6,QB,NE,6187,6.3,1.06,484,1,15,2.5,11,2qb,10,6,4847,2026-07-22,2026-08-21
Lamar Jackson,7,7,QB,BAL,2888,7.7,1.08,847,1,17,2.8,13,2qb,10,6,4847,2026-07-22,2026-08-21
Ja'Marr Chase,8,8,WR,CIN,5177,8.2,1.08,1234,1,26,4.2,6,2qb,10,6,4847,2026-07-22,2026-08-21
Joe Burrow,9,9,QB,CIN,4882,8.6,1.09,663,1,18,2.9,6,2qb,10,6,4847,2026-07-22,2026-08-21
Jaxon Smith-Njigba,10,10,WR,SEA,5671,10.2,1.10,609,1,30,4.5,11,2qb,10,6,4847,2026-07-22,2026-08-21
Christian McCaffrey,11,11,RB,SF,2434,10.8,2.01,863,3,20,2.8,8,2qb,10,6,4847,2026-07-22,2026-08-21
Derrick Henry,12,12,RB,BAL,2350,11.5,2.01,307,3,23,3,13,2qb,10,6,4847,2026-07-22,2026-08-21
Dak Prescott,13,13,QB,DAL,2377,12.7,2.03,496,4,20,3.1,14,2qb,10,6,4847,2026-07-22,2026-08-21
Jayden Daniels,14,14,QB,WAS,5854,13.3,2.03,538,5,22,3.1,7,2qb,10,6,4847,2026-07-22,2026-08-21
Amon-Ra St. Brown,15,15,WR,DET,5182,15.2,2.05,1003,5,32,4.4,6,2qb,10,6,4847,2026-07-22,2026-08-21
Jalen Hurts,16,16,QB,PHI,5025,16.4,2.06,381,7,26,3.4,10,2qb,10,6,4847,2026-07-22,2026-08-21
James Cook III,17,17,RB,BUF,5652,17,2.07,1182,4,30,4.7,7,2qb,10,6,4847,2026-07-22,2026-08-21
Matthew Stafford,18,18,QB,LAR,1664,17.1,2.07,337,9,25,2.8,11,2qb,10,6,4847,2026-07-22,2026-08-21
Brock Purdy,19,19,QB,SF,5648,18.5,2.08,128,9,30,4.2,8,2qb,10,6,4847,2026-07-22,2026-08-21
Trevor Lawrence,20,20,QB,JAX,5186,18.6,2.09,312,4,37,5.3,7,2qb,10,6,4847,2026-07-22,2026-08-21
De'Von Achane,21,22,RB,MIA,5683,22.2,3.02,538,9,35,4.9,6,2qb,10,6,4847,2026-07-22,2026-08-21
Caleb Williams,22,21,QB,CHI,6173,22.2,3.02,530,8,45,5.4,10,2qb,10,6,4847,2026-07-22,2026-08-21
Patrick Mahomes,23,23,QB,KC,2462,22.2,3.02,285,9,42,4.9,5,2qb,10,6,4847,2026-07-22,2026-08-21
Jared Goff,24,24,QB,DET,2351,24.7,3.05,305,12,49,5.1,6,2qb,10,6,4847,2026-07-22,2026-08-21
Drake London,25,25,WR,ATL,5574,24.8,3.05,183,12,36,4.9,11,2qb,10,6,4847,2026-07-22,2026-08-21
Justin Herbert,26,26,QB,LAC,4887,25.2,3.05,628,11,45,5.1,7,2qb,10,6,4847,2026-07-22,2026-08-21
Saquon Barkley,27,27,RB,PHI,2860,25.8,3.06,1367,12,40,5.2,10,2qb,10,6,4847,2026-07-22,2026-08-21
CeeDee Lamb,28,28,WR,DAL,4869,25.9,3.06,1201,11,43,5.6,14,2qb,10,6,4847,2026-07-22,2026-08-21
Ashton Jeanty,29,29,RB,LV,6500,28.8,3.09,1114,12,47,6.3,13,2qb,10,6,4847,2026-07-22,2026-08-21
Jaxson Dart,30,30,QB,NYG,6568,28.8,3.09,204,16,58,7.5,8,2qb,10,6,4847,2026-07-22,2026-08-21
Justin Jefferson,31,31,WR,MIN,4876,29.1,3.09,1247,11,46,6.7,6,2qb,10,6,4847,2026-07-22,2026-08-21
Bo Nix,32,32,QB,DEN,6253,31,4.01,365,19,56,6.7,10,2qb,10,6,4847,2026-07-22,2026-08-21
Chase Brown,33,33,RB,CIN,5706,32.5,4.02,1261,15,53,6.6,6,2qb,10,6,4847,2026-07-22,2026-08-21
George Pickens,34,34,WR,DAL,5576,33.2,4.03,257,19,44,5.1,14,2qb,10,6,4847,2026-07-22,2026-08-21
Rashee Rice,35,35,WR,KC,5696,33.6,4.04,242,14,59,10.6,5,2qb,10,6,4847,2026-07-22,2026-08-21
Josh Jacobs,36,36,RB,GB,3255,34.2,4.04,192,18,49,6.2,11,2qb,10,6,4847,2026-07-22,2026-08-21
A.J. Brown,37,37,WR,NE,3247,34.8,4.05,614,21,47,5,11,2qb,10,6,4847,2026-07-22,2026-08-21
Nico Collins,38,38,WR,HOU,5207,37.1,4.07,328,25,48,4.3,8,2qb,10,6,4847,2026-07-22,2026-08-21
Omarion Hampton,39,39,RB,LAC,6538,38.4,4.08,1182,21,54,6.4,7,2qb,10,6,4847,2026-07-22,2026-08-21
Kenneth Walker,40,40,RB,KC,5625,40.3,4.10,1079,19,58,8,5,2qb,10,6,4847,2026-07-22,2026-08-21
Baker Mayfield,41,41,QB,TB,2886,40.7,5.01,635,23,72,8.3,10,2qb,10,6,4847,2026-07-22,2026-08-21
Kyren Williams,42,42,RB,LAR,5623,41.7,5.02,441,28,54,5.1,11,2qb,10,6,4847,2026-07-22,2026-08-21
Zay Flowers,43,43,WR,BAL,5675,42.3,5.02,120,33,55,3.8,13,2qb,10,6,4847,2026-07-22,2026-08-21
Chris Olave,44,44,WR,NO,5544,42.5,5.02,357,26,58,6.2,8,2qb,10,6,4847,2026-07-22,2026-08-21
Tyler Shough,45,45,QB,NO,5602,47.4,5.07,709,24,74,8.6,8,2qb,10,6,4847,2026-07-22,2026-08-21
Javonte Williams,46,46,RB,DAL,5185,47.7,5.08,431,34,58,5,14,2qb,10,6,4847,2026-07-22,2026-08-21
Breece Hall,47,47,RB,NYJ,5503,47.9,5.08,224,33,65,5.8,13,2qb,10,6,4847,2026-07-22,2026-08-21
Jeremiyah Love,48,48,RB,ARI,6769,48.7,5.09,456,32,65,6.2,14,2qb,10,6,4847,2026-07-22,2026-08-21
Emeka Egbuka,49,49,WR,TB,6576,50.8,6.01,783,33,73,6.6,10,2qb,10,6,4847,2026-07-22,2026-08-21
Malik Nabers,50,50,WR,NYG,6183,51,6.01,923,22,96,11.1,8,2qb,10,6,4847,2026-07-22,2026-08-21
Tee Higgins,51,51,WR,CIN,4870,51.3,6.01,297,37,65,5.2,6,2qb,10,6,4847,2026-07-22,2026-08-21
Cam Skattebo,52,52,RB,NYG,6509,52.3,6.02,452,38,70,5.3,8,2qb,10,6,4847,2026-07-22,2026-08-21
Davante Adams,53,53,WR,LAR,2125,52.6,6.03,228,38,66,5.6,11,2qb,10,6,4847,2026-07-22,2026-08-21
Tetairoa McMillan,54,54,WR,CAR,6561,53.3,6.03,348,38,68,5.7,5,2qb,10,6,4847,2026-07-22,2026-08-21
Jameson Williams,55,55,WR,DET,5643,53.6,6.04,93,41,69,6.3,6,2qb,10,6,4847,2026-07-22,2026-08-21
Kyler Murray,56,56,QB,MIN,3299,53.7,6.04,1062,25,79,10.7,6,2qb,10,6,4847,2026-07-22,2026-08-21
Sam Darnold,57,57,QB,SEA,2884,55.9,6.06,800,28,80,10.6,11,2qb,10,6,4847,2026-07-22,2026-08-21
DeVonta Smith,58,58,WR,PHI,4883,56.1,6.06,725,42,70,5.4,10,2qb,10,6,4847,2026-07-22,2026-08-21
Jordan Love,59,59,QB,GB,4892,56.7,6.07,1150,27,84,11.4,11,2qb,10,6,4847,2026-07-22,2026-08-21
Travis Etienne Jr.,60,60,RB,NO,4863,59.4,6.09,324,45,76,6.7,8,2qb,10,6,4847,2026-07-22,2026-08-21
D'Andre Swift,61,61,RB,CHI,4862,59.6,6.10,433,41,82,7,10,2qb,10,6,4847,2026-07-22,2026-08-21
Garrett Wilson,62,62,WR,NYJ,5548,59.7,6.10,328,49,74,5.1,13,2qb,10,6,4847,2026-07-22,2026-08-21
Rome Odunze,63,63,WR,CHI,6194,60.6,7.01,236,44,85,6,10,2qb,10,6,4847,2026-07-22,2026-08-21
Brock Bowers,64,64,TE,LV,6178,61.6,7.02,1489,23,89,14.7,13,2qb,10,6,4847,2026-07-22,2026-08-21
Terry McLaurin,65,65,WR,WAS,3449,63.5,7.04,295,47,78,6.2,7,2qb,10,6,4847,2026-07-22,2026-08-21
Bucky Irving,66,66,RB,TB,6190,64.6,7.05,334,48,85,6.1,10,2qb,10,6,4847,2026-07-22,2026-08-21
Trey McBride,67,67,TE,ARI,5656,65.4,7.05,881,32,96,12.6,14,2qb,10,6,4847,2026-07-22,2026-08-21
Quinshon Judkins,68,68,RB,CLE,6531,66,7.06,409,48,85,6.8,11,2qb,10,6,4847,2026-07-22,2026-08-21
Ladd McConkey,69,69,WR,LAC,6281,67.1,7.07,883,48,89,7,7,2qb,10,6,4847,2026-07-22,2026-08-21
Bhayshul Tuten,70,70,RB,JAX,6513,67.2,7.07,432,46,87,7.9,7,2qb,10,6,4847,2026-07-22,2026-08-21
Alec Pierce,71,71,WR,IND,5641,68,7.08,64,56,84,6.4,13,2qb,10,6,4847,2026-07-22,2026-08-21
C.J. Stroud,72,72,QB,HOU,5676,70.4,7.10,641,43,96,10.4,8,2qb,10,6,4847,2026-07-22,2026-08-21
Daniel Jones,73,73,QB,IND,3264,71.7,8.02,630,39,93,12.3,13,2qb,10,6,4847,2026-07-22,2026-08-21
DJ Moore,74,74,WR,BUF,2876,71.8,8.02,750,46,102,9.9,7,2qb,10,6,4847,2026-07-22,2026-08-21
David Montgomery,75,75,RB,HOU,3238,73.3,8.03,610,53,96,7.7,8,2qb,10,6,4847,2026-07-22,2026-08-21
Jaylen Waddle,76,76,WR,DEN,5178,73.4,8.03,832,54,92,7.3,10,2qb,10,6,4847,2026-07-22,2026-08-21
TreVeyon Henderson,77,77,RB,NE,6490,74.5,8.05,297,55,92,7.3,11,2qb,10,6,4847,2026-07-22,2026-08-21
Christian Watson,78,78,WR,GB,5360,76.2,8.06,413,55,100,8,11,2qb,10,6,4847,2026-07-22,2026-08-21
Mike Evans,79,79,WR,SF,2111,76.5,8.07,545,54,98,8.5,8,2qb,10,6,4847,2026-07-22,2026-08-21
Luther Burden III,80,80,WR,CHI,6559,79.2,8.09,581,57,99,8.6,10,2qb,10,6,4847,2026-07-22,2026-08-21
Courtland Sutton,81,81,WR,DEN,2862,79.3,8.09,244,58,99,8.4,10,2qb,10,6,4847,2026-07-22,2026-08-21
Malik Willis,82,82,QB,MIA,5545,79.6,8.10,604,52,103,10.4,6,2qb,10,6,4847,2026-07-22,2026-08-21
DK Metcalf,83,83,WR,PIT,3239,82,9.02,327,62,98,7.4,9,2qb,10,6,4847,2026-07-22,2026-08-21
Tony Pollard,84,84,RB,TEN,3435,82,9.02,90,65,98,6.4,9,2qb,10,6,4847,2026-07-22,2026-08-21
Colston Loveland,85,85,TE,CHI,6501,82.3,9.02,495,54,103,10.5,10,2qb,10,6,4847,2026-07-22,2026-08-21
Marvin Harrison Jr.,86,86,WR,ARI,6193,84.5,9.05,528,65,100,7.3,14,2qb,10,6,4847,2026-07-22,2026-08-21
Jadarian Price,87,87,RB,SEA,6776,86.2,9.06,904,54,121,12.2,11,2qb,10,6,4847,2026-07-22,2026-08-21
Parker Washington,88,88,WR,JAX,5705,87.1,9.07,539,68,111,7,7,2qb,10,6,4847,2026-07-22,2026-08-21
Bryce Young,89,89,QB,CAR,5678,89,9.09,515,69,114,7.6,5,2qb,10,6,4847,2026-07-22,2026-08-21
Tyler Warren,90,90,TE,IND,6504,89.4,9.09,710,65,111,9.1,13,2qb,10,6,4847,2026-07-22,2026-08-21
Brian Thomas Jr.,91,91,WR,JAX,6175,89.7,9.10,443,73,105,6.2,7,2qb,10,6,4847,2026-07-22,2026-08-21
Rhamondre Stevenson,92,92,RB,NE,5210,90.6,10.01,268,68,120,8.7,11,2qb,10,6,4847,2026-07-22,2026-08-21
Rico Dowdle,93,93,RB,PIT,5095,91.4,10.01,175,67,116,9.2,9,2qb,10,6,4847,2026-07-22,2026-08-21
Carnell Tate,94,94,WR,TEN,6768,91.7,10.02,424,72,107,7.4,9,2qb,10,6,4847,2026-07-22,2026-08-21
Quentin Johnston,95,95,WR,LAC,5674,95.7,10.06,310,72,137,8.8,7,2qb,10,6,4847,2026-07-22,2026-08-21
Jaylen Warren,96,96,RB,PIT,5443,96,10.06,214,65,118,11.6,9,2qb,10,6,4847,2026-07-22,2026-08-21
J.K. Dobbins,97,97,RB,DEN,4888,96.3,10.06,520,70,121,9.8,10,2qb,10,6,4847,2026-07-22,2026-08-21
Chuba Hubbard,98,98,RB,CAR,4873,96.7,10.07,344,71,118,9.5,5,2qb,10,6,4847,2026-07-22,2026-08-21
Cam Ward,99,99,QB,TEN,6457,97.8,10.08,829,66,150,12.1,9,2qb,10,6,4847,2026-07-22,2026-08-21
Jordan Addison,100,100,WR,MIN,5673,100.7,11.01,210,81,118,7.3,6,2qb,10,6,4847,2026-07-22,2026-08-21
Michael Wilson,101,101,WR,ARI,5721,101.4,11.01,430,74,138,10.2,14,2qb,10,6,4847,2026-07-22,2026-08-21
Jakobi Meyers,102,102,WR,JAX,3496,101.8,11.02,176,77,135,9.5,7,2qb,10,6,4847,2026-07-22,2026-08-21
Tucker Kraft,103,103,TE,GB,5718,102.3,11.02,371,71,156,12.6,11,2qb,10,6,4847,2026-07-22,2026-08-21
Chris Godwin Jr.,104,104,WR,TB,2465,104.2,11.04,457,79,129,9.7,10,2qb,10,6,4847,2026-07-22,2026-08-21
Jayden Reed,105,105,WR,GB,5707,104.6,11.05,267,84,123,7.8,11,2qb,10,6,4847,2026-07-22,2026-08-21
Xavier Worthy,106,106,WR,KC,6172,106.8,11.07,285,87,132,7.3,5,2qb,10,6,4847,2026-07-22,2026-08-21
Jordyn Tyson,107,107,WR,NO,6771,107.4,11.07,312,76,171,15.7,8,2qb,10,6,4847,2026-07-22,2026-08-21
Harold Fannin Jr.,108,108,TE,CLE,6502,107.9,11.08,88,77,150,11.8,11,2qb,10,6,4847,2026-07-22,2026-08-21
Jacoby Brissett,109,109,QB,ARI,2365,108.5,11.09,482,69,150,14.9,14,2qb,10,6,4847,2026-07-22,2026-08-21
Michael Pittman Jr.,110,111,WR,PIT,4880,109.4,11.09,404,86,149,8.9,9,2qb,10,6,4847,2026-07-22,2026-08-21
Kyle Pitts Sr.,111,112,TE,ATL,5181,109.7,11.10,177,77,150,12.2,11,2qb,10,6,4847,2026-07-22,2026-08-21
Jacory Croskey-Merritt,112,113,RB,WAS,6595,110,11.10,520,80,150,12.2,7,2qb,10,6,4847,2026-07-22,2026-08-21
Sam LaPorta,113,115,TE,DET,5564,112.2,12.02,362,71,150,15.5,6,2qb,10,6,4847,2026-07-22,2026-08-21
Aaron Rodgers,114,116,QB,PIT,1004,112.5,12.03,596,72,150,15.5,9,2qb,10,6,4847,2026-07-22,2026-08-21
Kyle Monangai,115,117,RB,CHI,6534,112.7,12.03,496,81,150,13.3,10,2qb,10,6,4847,2026-07-22,2026-08-21
