name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
Brandon Aubrey,1,135,K,DAL,6162,131,17.03,1500,70,184,23.3,14,ppr,8,6,6334,2026-08-07,2026-08-14
Jason Myers,2,143,K,SEA,2424,136.7,18.01,220,81,186,21.2,11,ppr,8,6,6334,2026-08-07,2026-08-14
Ka'imi Fairbairn,3,149,K,HOU,2531,140,18.04,150,89,187,20.5,8,ppr,8,6,6334,2026-08-07,2026-08-14
Cameron Dicker,4,152,K,LAC,5538,143.6,18.08,186,93,190,19.2,7,ppr,8,6,6334,2026-08-07,2026-08-14
Trey Smack,5,158,K,GB,6835,146.9,19.03,7,77,176,33.9,11,ppr,8,6,6334,2026-08-07,2026-08-14
Jake Bates,6,165,K,DET,6055,149.6,19.06,144,112,191,15.8,6,ppr,8,6,6334,2026-08-07,2026-08-14
Harrison Mevis,7,167,K,LAR,6299,150.2,19.06,54,120,188,15.1,11,ppr,8,6,6334,2026-08-07,2026-08-14
Andy Borregales,8,170,K,NE,6585,151.8,19.08,5,142,174,12.7,11,ppr,8,6,6334,2026-08-07,2026-08-14
Nick Folk,9,177,K,ATL,383,154.1,20.02,53,137,180,12.6,11,ppr,8,6,6334,2026-08-07,2026-08-14
Chase McLaughlin,10,184,K,TB,4865,157.1,20.05,116,136,210,15.6,10,ppr,8,6,6334,2026-08-07,2026-08-14
Chris Boswell,11,187,K,PIT,2340,157.8,20.06,21,110,206,21.7,9,ppr,8,6,6334,2026-08-07,2026-08-14
Cairo Santos,12,189,K,CHI,2335,158.2,20.06,59,117,178,15.6,10,ppr,8,6,6334,2026-08-07,2026-08-14
Will Reichard,13,191,K,MIN,6296,158.7,20.07,69,117,210,17.1,6,ppr,8,6,6334,2026-08-07,2026-08-14
Cam Little,14,194,K,JAX,6188,159.2,20.07,245,112,205,18,7,ppr,8,6,6334,2026-08-07,2026-08-14
Eddy Piñeiro,15,195,K,SF,3097,159.3,20.07,76,134,180,14,8,ppr,8,6,6334,2026-08-07,2026-08-14
Tyler Loop,16,203,K,BAL,6587,161,21.01,100,120,194,15.4,13,ppr,8,6,6334,2026-08-07,2026-08-14
Harrison Butker,17,204,K,KC,2514,161.1,21.01,118,115,210,17.7,5,ppr,8,6,6334,2026-08-07,2026-08-14
Tyler Bass,18,211,K,BUF,5036,162.1,21.02,12,141,209,23.3,7,ppr,8,6,6334,2026-08-07,2026-08-14
Wil Lutz,19,218,K,DEN,2522,163.2,21.03,53,115,209,19,10,ppr,8,6,6334,2026-08-07,2026-08-14
Evan McPherson,20,230,K,CIN,5669,166.4,21.06,84,114,210,20.1,6,ppr,8,6,6334,2026-08-07,2026-08-14
Blake Grupe,21,242,K,IND,6046,170.9,22.03,10,144,210,18.3,13,ppr,8,6,6334,2026-08-07,2026-08-14
