name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,15,296,1513,5.1,16,85,69,611,40.7,8.9,5,3,316,21.1,2026
Bijan Robinson,2,2,RB,RB,ATL,3168163,16,302,1438,4.8,10,102,80,808,50.5,10.1,5,2,294,18.4,2026
Jonathan Taylor,3,3,RB,RB,IND,2866395,16,334,1537,4.6,17,53,41,326,20.4,8,2,3,279,17.4,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,16,292,1589,5.4,15,21,16,170,10.6,10.6,1,2,252,15.8,2026
Ashton Jeanty,5,5,RB,RB,LV,28874008,16,281,1027,3.7,10,74,59,400,25,6.8,8,1,234,14.6,2026
Kenneth Walker III,6,6,RB,RB,KC,3121372,16,286,1327,4.6,8,65,51,387,24.2,7.6,2,1,213,13.3,2026
Cam Skattebo,7,8,RB,RB,NYG,26697012,16,252,1102,4.4,10,51,38,348,21.8,9.2,3,2,202,12.6,2026
Chase Brown,8,7,RB,RB,CIN,2965160,16,218,924,4.2,9,89,71,447,27.9,6.3,5,1,202,12.6,2026
Javonte Williams,9,9,RB,RB,DAL,2961719,16,245,1092,4.5,12,57,42,213,13.3,5.1,3,2,201,12.6,2026
Saquon Barkley,10,10,RB,RB,PHI,2185957,16,287,1351,4.7,7,57,40,295,18.4,7.4,2,1,200,12.5,2026
Christian McCaffrey,11,11,RB,RB,SF,2136743,16,213,851,4,7,86,65,577,36.1,8.9,4,1,192,12,2026
James Cook III,12,12,RB,RB,BUF,2975698,15,284,1369,4.8,8,38,29,214,14.3,7.4,1,2,192,12.8,2026
De'Von Achane,13,13,RB,RB,MIA,3171161,16,221,1025,4.6,5,85,69,480,30,7,4,1,188,11.8,2026
D'Andre Swift,14,14,RB,RB,CHI,2871710,16,234,1078,4.6,9,42,31,301,18.8,9.7,1,1,179,11.2,2026
Breece Hall,15,15,RB,RB,NYJ,3123469,16,224,1038,4.6,7,48,37,343,21.4,9.3,2,2,172,10.8,2026
Kyren Williams,16,16,RB,RB,LAR,3121836,16,199,939,4.7,9,42,33,243,15.2,7.4,3,2,170,10.6,2026
Bucky Irving,17,18,RB,RB,TB,26693770,16,232,933,4,7,52,46,401,25.1,8.7,2,3,166,10.4,2026
Jeremiyah Love,18,17,RB,RB,ARI,29133405,16,205,922,4.5,8,57,41,354,22.1,8.6,2,3,166,10.4,2026
David Montgomery,19,19,RB,RB,HOU,2261252,16,248,917,3.7,10,30,26,208,13,8,1,1,162,10.1,2026
Bhayshul Tuten,20,20,RB,RB,JAC,26732838,16,222,943,4.3,10,22,16,160,10,10,2,2,162,10.1,2026
Omarion Hampton,21,21,RB,RB,LAC,28908905,16,209,864,4.1,10,43,39,246,15.4,6.3,2,3,162,10.1,2026
Quinshon Judkins,22,22,RB,RB,CLE,28878286,16,264,914,3.5,9,49,36,275,17.2,7.6,0,1,156,9.8,2026
Chuba Hubbard,23,23,RB,RB,CAR,2865693,16,190,816,4.3,7,44,35,241,15.1,6.9,4,2,154,9.6,2026
Jadarian Price,24,24,RB,RB,SEA,28875230,16,214,942,4.4,7,34,26,261,16.3,10,2,3,151,9.4,2026
Jacory Croskey-Merritt,25,25,RB,RB,WAS,3126952,16,219,1005,4.6,10,15,12,57,3.6,4.8,0,2,150,9.4,2026
Travis Etienne,26,26,RB,RB,NO,2809206,16,203,800,3.9,4,66,48,330,20.6,6.9,4,1,144,9,2026
Rhamondre Stevenson,27,27,RB,RB,NE,3125832,16,185,730,4,7,45,37,360,22.5,9.7,2,3,141,8.8,2026
J.K. Dobbins,28,28,RB,RB,DEN,2804420,16,226,1050,4.7,6,21,17,62,3.9,3.7,0,1,133,8.3,2026
Tony Pollard,29,29,RB,RB,TEN,2184011,16,198,880,4.4,6,41,31,178,11.1,5.7,0,2,124,7.8,2026
Kyle Monangai,30,30,RB,RB,CHI,3177368,16,197,892,4.5,5,35,24,222,13.9,9.3,0,1,123,7.7,2026
Jaylen Warren,31,31,RB,RB,PIT,3126535,16,179,779,4.4,5,48,41,293,18.3,7.2,1,2,122,7.6,2026
MarShawn Lloyd,32,32,RB,RB,GB,3162514,16,207,833,4,6,22,11,115,7.2,10.5,1,2,119,7.4,2026
Aaron Jones,33,33,RB,RB,MIN,2071937,16,170,745,4.4,5,49,34,249,15.6,7.3,1,1,117,7.3,2026
R. Harvey,34,34,RB,RB,DEN,3121207,16,132,469,3.6,5,55,46,325,20.3,7.1,4,1,116,7.3,2026
TreVeyon Henderson,35,35,RB,RB,NE,26699547,16,158,729,4.6,6,35,29,172,10.8,5.9,1,1,114,7.1,2026
Rico Dowdle,36,36,RB,RB,PIT,2252798,16,150,636,4.2,6,44,32,223,13.9,7,1,1,109,6.8,2026
Blake Corum,37,37,RB,RB,LAR,3169252,16,173,872,5,5,8,5,29,1.8,5.8,0,1,108,6.8,2026
Kaelon Black,38,38,RB,RB,SF,3162599,16,186,734,4,5,17,13,124,7.8,9.5,1,2,102,6.4,2026
Jordan Mason,39,39,RB,RB,MIN,2967536,12,144,720,5,6,12,11,49,4.1,4.5,0,1,99,8.3,2026
Kenneth Gainwell,40,40,RB,RB,TB,2968948,16,111,467,4.2,3,60,52,379,23.7,7.3,2,1,97,6.1,2026
Chris Rodriguez Jr.,41,41,RB,RB,JAC,2964667,16,147,593,4,7,2,2,17,1.1,8.5,0,1,93,5.8,2026
Jonathon Brooks,42,42,RB,RB,CAR,26730706,16,144,574,4,4,26,18,238,14.9,13.2,1,1,92,5.8,2026
Josh Jacobs,43,43,RB,RB,GB,2257876,14,114,446,3.9,5,31,25,203,14.5,8.1,1,1,81,5.8,2026
Alvin Kamara,44,44,RB,RB,NO,2082721,16,122,452,3.7,3,42,33,248,15.5,7.5,1,1,76,4.8,2026
Zach Charbonnet,45,45,RB,RB,SEA,3123810,13,109,451,4.1,6,21,17,136,10.5,8,0,1,75,5.8,2026
Rachaad White,46,46,RB,RB,WAS,3169147,16,108,506,4.7,3,25,23,148,9.3,6.4,1,1,72,4.5,2026
Tyler Allgeier,47,47,RB,RB,ARI,2975590,16,133,471,3.5,5,19,17,100,6.3,5.9,0,1,71,4.4,2026
Brian Robinson Jr.,48,48,RB,RB,ATL,2741207,16,123,533,4.3,4,5,4,24,1.5,6,0,1,69,4.3,2026
Christopher Brooks,49,49,RB,RB,GB,2962350,16,125,561,4.5,3,17,12,81,5.1,6.8,0,1,69,4.3,2026
Woody Marks,50,50,RB,RB,HOU,3171045,16,120,462,3.9,2,27,18,130,8.1,7.2,2,1,65,4.1,2026
Mike Washington Jr.,51,51,RB,RB,LV,26693539,16,123,428,3.5,3,28,21,171,10.7,8.1,1,2,63,3.9,2026
Justice Hill,52,53,RB,RB,BAL,2250388,16,61,298,4.9,3,26,21,183,11.4,8.7,2,0,62,3.9,2026
Emmett Johnson,53,52,RB,RB,KC,28877097,16,112,449,4,3,15,12,125,7.8,10.4,1,2,62,3.9,2026
Braelon Allen,54,54,RB,RB,NYJ,26726580,16,119,508,4.3,2,19,11,87,5.4,7.9,1,2,61,3.8,2026
Samaje Perine,55,55,RB,RB,CIN,2131148,16,91,407,4.5,4,23,19,156,9.8,8.2,0,2,60,3.8,2026
Tyjae Spears,56,56,RB,RB,TEN,3122588,16,82,311,3.8,3,54,45,298,18.6,6.6,0,1,60,3.8,2026
Emanuel Wilson,57,57,RB,RB,SEA,29104952,16,99,404,4.1,3,13,11,75,4.7,6.8,0,0,54,3.4,2026
Adam Randall,58,58,RB,RB,BAL,28878514,13,63,342,5.4,3,16,13,141,10.8,10.9,1,1,53,4.1,2026
Tank Bigsby,59,59,RB,RB,PHI,3162021,16,71,379,5.3,3,4,3,28,1.8,9.3,0,0,49,3.1,2026
