name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,15,291,1440,5,15,84,68,607,40.5,8.9,5,3,303,20.2,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,15,322,1464,4.6,17,50,41,334,22.3,8.2,1,2,267,17.8,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,14,254,1253,4.9,8,77,60,576,41.1,9.6,4,1,237,16.9,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,15,274,1467,5.4,14,21,17,171,11.4,10.1,1,1,235,15.7,2026
Kenneth Walker III,5,5,RB,RB,KC,3121372,15,280,1310,4.7,7,75,55,441,29.4,8,2,1,211,14.1,2026
Ashton Jeanty,6,6,RB,RB,LV,28874008,15,259,973,3.8,9,75,56,353,23.5,6.3,7,1,209,13.9,2026
James Cook III,7,7,RB,RB,BUF,2975698,15,283,1352,4.8,8,38,28,214,14.3,7.6,1,2,191,12.7,2026
Chase Brown,8,8,RB,RB,CIN,2965160,15,213,909,4.3,9,84,66,388,25.9,5.9,4,1,189,12.6,2026
Javonte Williams,9,9,RB,RB,DAL,2961719,15,231,972,4.2,11,54,39,210,14,5.4,3,1,183,12.2,2026
Christian McCaffrey,10,10,RB,RB,SF,2136743,15,191,741,3.9,8,76,60,536,35.7,8.9,3,1,175,11.7,2026
De'Von Achane,11,11,RB,RB,MIA,3171161,15,213,972,4.6,5,79,62,431,28.7,7,4,1,174,11.6,2026
Saquon Barkley,12,12,RB,RB,PHI,2185957,15,244,1153,4.7,6,45,31,242,16.1,7.8,2,1,168,11.2,2026
D'Andre Swift,13,13,RB,RB,CHI,2871710,15,221,978,4.4,8,42,33,322,21.5,9.8,1,2,164,10.9,2026
Bhayshul Tuten,14,14,RB,RB,JAC,26732838,15,215,943,4.4,10,24,20,131,8.7,6.6,2,1,160,10.7,2026
Breece Hall,15,15,RB,RB,NYJ,3123469,15,213,910,4.3,6,47,38,385,25.7,10.1,2,2,157,10.5,2026
Omarion Hampton,16,16,RB,RB,LAC,28908905,15,229,951,4.2,10,38,36,222,14.8,6.2,1,5,156,10.4,2026
