name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Bijan Robinson,1,1,RB,RB,ATL,3168163,17,302,1508,5,11,101,79,795,46.8,10.1,5,2,303,17.8,2026
Jahmyr Gibbs,2,2,RB,RB,DET,3162723,17,261,1348,5.2,15,90,73,623,36.6,8.5,5,1,297,17.5,2026
Jonathan Taylor,3,3,RB,RB,IND,2866395,17,357,1583,4.4,15,60,48,345,20.3,7.2,2,2,276,16.2,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,304,1653,5.4,15,21,16,159,9.4,9.9,1,2,256,15.1,2026
Christian McCaffrey,5,5,RB,RB,SF,2136743,17,255,1006,4,8,94,74,682,40.1,9.2,5,1,229,13.5,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,17,228,1126,4.9,7,92,75,550,32.4,7.3,6,1,227,13.4,2026
Ashton Jeanty,7,7,RB,RB,LV,28874008,17,292,1049,3.6,10,73,55,342,20.1,6.2,6,1,218,12.8,2026
James Cook,8,8,RB,RB,BUF,2975698,17,287,1433,5,9,39,32,268,15.8,8.4,2,3,213,12.5,2026
Chase Brown,9,9,RB,RB,CIN,2965160,17,236,1008,4.3,9,92,73,472,27.8,6.5,5,1,212,12.5,2026
Saquon Barkley,10,10,RB,RB,PHI,2185957,17,305,1409,4.6,7,55,41,313,18.4,7.6,2,1,206,12.1,2026
Josh Jacobs,11,11,RB,RB,GB,2257876,17,284,1091,3.8,13,45,36,294,17.3,8.2,1,1,204,12,2026
Kyren Williams,12,12,RB,RB,LAR,3121836,17,235,1113,4.7,10,44,33,250,14.7,7.6,3,2,193,11.4,2026
Cam Skattebo,13,13,RB,RB,NYG,26697012,17,219,953,4.4,9,56,42,362,21.3,8.6,4,2,190,11.2,2026
Breece Hall,14,14,RB,RB,NYJ,3123469,17,255,1152,4.5,7,57,43,396,23.3,9.2,2,2,188,11.1,2026
D'Andre Swift,15,15,RB,RB,CHI,2871710,17,247,1114,4.5,9,47,35,316,18.6,9,1,1,183,10.8,2026
Omarion Hampton,16,16,RB,RB,LAC,28908905,17,220,936,4.3,11,53,47,299,17.6,6.4,2,1,183,10.8,2026
