name,Rank,position,team,position_rank,tier,rank_min,rank_max,rank_ave,rank_std,source_player_id
Josh Allen,1,QB,BUF,QB1,1,1,1,1.00,0.00,17298
Drake Maye,2,QB,NE,QB2,1,2,6,2.63,1.32,23046
Lamar Jackson,3,QB,BAL,QB3,1,2,11,4.38,2.60,17233
Jayden Daniels,4,QB,WAS,QB4,1,3,9,4.50,2.12,22902
Joe Burrow,5,QB,CIN,QB5,1,3,6,4.75,0.97,19196
Ja'Marr Chase,6,WR,CIN,WR1,2,5,8,6.88,1.05,19788
Caleb Williams,7,QB,CHI,QB6,2,5,11,8.50,2.35,23084
Puka Nacua,8,WR,LAR,WR2,2,6,12,8.88,1.62,23180
Jaxon Smith-Njigba,9,WR,SEA,WR3,2,7,11,9.38,1.49,23070
Justin Herbert,10,QB,LAC,QB7,2,6,28,11.25,6.80,18635
Jahmyr Gibbs,11,RB,DET,RB1,2,9,18,12.00,3.12,22968
Jalen Hurts,12,QB,PHI,QB8,3,5,23,12.25,5.26,19275
Bijan Robinson,13,RB,ATL,RB2,3,8,19,12.88,4.48,23133
Amon-Ra St. Brown,14,WR,DET,WR4,3,11,21,15.63,2.74,19799
Patrick Mahomes II,15,QB,KC,QB9,3,12,23,16.88,4.40,16413
Trevor Lawrence,16,QB,JAC,QB10,3,12,32,17.88,6.75,19780
CeeDee Lamb,17,WR,DAL,WR5,3,14,22,18.25,3.49,19202
Justin Jefferson,18,WR,MIN,WR6,3,13,22,18.38,2.83,19236
Bo Nix,19,QB,DEN,QB11,3,17,27,20.75,4.18,22910
Ashton Jeanty,20,RB,LV,RB3,4,18,29,21.88,3.30,25989
Jaxson Dart,21,QB,NYG,QB12,4,14,37,24.13,7.79,23160
Malik Nabers,22,WR,NYG,WR7,4,18,28,24.13,3.37,25409
Jeremiyah Love,23,RB,ARI,RB4,4,20,30,24.50,3.87,25403
Drake London,24,WR,ATL,WR8,4,20,28,25.25,2.28,23163
Brock Purdy,25,QB,SF,QB13,4,13,63,26.00,15.35,19797
Dak Prescott,26,QB,DAL,QB14,4,18,53,26.25,10.99,15600
De'Von Achane,27,RB,MIA,RB5,4,20,34,26.75,4.18,23136
Omarion Hampton,28,RB,LAC,RB6,4,21,36,29.25,4.60,25395
James Cook III,29,RB,BUF,RB7,4,21,35,29.63,4.39,22958
Jonathan Taylor,30,RB,IND,RB8,4,16,41,30.88,7.52,19217
Brock Bowers,31,TE,LV,TE1,4,17,56,32.00,11.68,22955
Tetairoa McMillan,32,WR,CAR,WR9,4,28,36,32.13,2.57,25417
Nico Collins,33,WR,HOU,WR10,4,29,37,32.88,2.71,20130
Jordan Love,34,QB,GB,QB15,5,24,65,35.63,13.11,19246
George Pickens,35,WR,DAL,WR11,5,32,40,35.63,2.55,22963
