name,Rank,source_rank,position,team,source_player_id,adp,adp_formatted,times_drafted,high,low,stdev,bye,source_format,source_team_count,actual_league_team_count,sample_total_drafts,sample_start_date,sample_end_date
TreVeyon Henderson,59,59,RB,NE,6490,57.8,8.02,435,41,79,6.3,11,ppr,8,6,3526,2026-07-21,2026-07-28
Christian Watson,60,60,WR,GB,5360,59.8,8.04,533,43,83,6.5,11,ppr,8,6,3526,2026-07-21,2026-07-28
Carnell Tate,61,61,WR,TEN,6768,60.2,8.04,199,42,80,7.2,9,ppr,8,6,3526,2026-07-21,2026-07-28
Drake Maye,62,62,QB,NE,6187,60.4,8.04,167,43,76,6.6,11,ppr,8,6,3526,2026-07-21,2026-07-28
Dak Prescott,63,63,QB,DAL,2377,60.6,8.05,145,39,75,8.1,14,ppr,8,6,3526,2026-07-21,2026-07-28
Bhayshul Tuten,64,64,RB,JAX,6513,61.3,8.05,558,44,79,6.6,7,ppr,8,6,3526,2026-07-21,2026-07-28
Jaylen Warren,65,65,RB,PIT,5443,64.6,9.01,154,50,79,5.4,9,ppr,8,6,3526,2026-07-21,2026-07-28
Alec Pierce,66,66,WR,IND,5641,67.3,9.03,321,47,89,8.8,13,ppr,8,6,3526,2026-07-21,2026-07-28
Tony Pollard,67,67,RB,TEN,3435,68.5,9.05,154,48,87,8.8,9,ppr,8,6,3526,2026-07-21,2026-07-28
Michael Pittman Jr.,68,69,WR,PIT,4880,68.7,9.05,229,49,86,7.4,9,ppr,8,6,3526,2026-07-21,2026-07-28
Harold Fannin Jr.,69,68,TE,CLE,6502,68.7,9.05,127,49,101,7.8,11,ppr,8,6,3526,2026-07-21,2026-07-28
Marvin Harrison Jr.,70,70,WR,ARI,6193,69.2,9.05,470,44,92,9.4,14,ppr,8,6,3526,2026-07-21,2026-07-28
Jadarian Price,71,71,RB,SEA,6776,70.3,9.06,621,48,91,8.5,11,ppr,8,6,3526,2026-07-21,2026-07-28
DJ Moore,72,72,WR,BUF,2876,70.4,9.06,952,45,95,9.4,7,ppr,8,6,3526,2026-07-21,2026-07-28
Sam LaPorta,73,73,TE,DET,5564,70.4,9.06,139,49,104,9.4,6,ppr,8,6,3526,2026-07-21,2026-07-28
Rhamondre Stevenson,74,74,RB,NE,5210,70.8,9.07,111,54,84,6.4,11,ppr,8,6,3526,2026-07-21,2026-07-28
Courtland Sutton,75,75,WR,DEN,2862,72.3,9.08,294,52,90,7.7,10,ppr,8,6,3526,2026-07-21,2026-07-28
