name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jahmyr Gibbs,1,1,RB,RB,DET,3162723,17,279,1435,5.1,16,92,75,633,37.2,8.4,5,1,314,18.5,2026
Jonathan Taylor,2,2,RB,RB,IND,2866395,17,358,1579,4.4,15,53,42,344,20.2,8.2,2,2,274,16.1,2026
Bijan Robinson,3,3,RB,RB,ATL,3168163,17,289,1399,4.8,9,91,71,701,41.2,9.9,4,2,269,15.8,2026
Derrick Henry,4,4,RB,RB,BAL,2061188,17,305,1656,5.4,15,23,17,171,10.1,10.1,1,2,259,15.2,2026
Christian McCaffrey,5,5,RB,RB,SF,2136743,17,256,1008,3.9,8,93,74,680,40,9.2,5,1,229,13.5,2026
De'Von Achane,6,6,RB,RB,MIA,3171161,17,229,1129,4.9,7,93,76,552,32.5,7.3,6,1,227,13.4,2026
James Cook,7,7,RB,RB,BUF,2975698,17,288,1435,5,9,39,32,273,16.1,8.5,2,3,214,12.6,2026
Chase Brown,8,8,RB,RB,CIN,2965160,17,236,1009,4.3,9,91,73,472,27.8,6.5,5,1,212,12.5,2026
Saquon Barkley,9,9,RB,RB,PHI,2185957,17,306,1379,4.5,7,55,41,316,18.6,7.7,2,1,205,12.1,2026
Kenneth Walker III,10,10,RB,RB,KC,3121372,17,264,1218,4.6,8,55,47,361,21.2,7.7,0,1,189,11.1,2026
Javonte Williams,11,11,RB,RB,DAL,2961719,17,257,1197,4.7,11,43,31,147,8.6,4.7,1,2,186,10.9,2026
D'Andre Swift,12,12,RB,RB,CHI,2871710,17,248,1118,4.5,9,48,36,323,19,9,1,1,185,10.9,2026
Kyren Williams,13,13,RB,RB,LAR,3121836,17,221,1046,4.7,9,43,33,243,14.3,7.4,3,2,181,10.6,2026
Cam Skattebo,14,14,RB,RB,NYG,26697012,17,209,905,4.3,8,56,43,368,21.6,8.6,4,2,180,10.6,2026
Bucky Irving,15,15,RB,RB,TB,26693770,17,264,1027,3.9,6,51,44,400,23.5,9.1,3,1,179,10.5,2026
Ashton Jeanty,16,16,RB,RB,LV,28874008,17,229,875,3.8,8,66,50,306,18,6.1,5,1,178,10.5,2026
Travis Etienne,17,17,RB,RB,NO,2809206,17,254,992,3.9,5,66,48,362,21.3,7.5,5,1,177,10.4,2026
Breece Hall,18,18,RB,RB,NYJ,3123469,17,230,1082,4.7,6,54,41,377,22.2,9.2,2,2,174,10.2,2026
Omarion Hampton,19,19,RB,RB,LAC,28908905,17,220,898,4.1,10,53,46,298,17.5,6.5,2,1,172,10.1,2026
Bhayshul Tuten,20,20,RB,RB,JAC,26732838,17,224,890,4,12,22,16,128,7.5,8,3,3,170,10,2026
Jeremiyah Love,21,21,RB,RB,ARI,29133405,17,210,944,4.5,7,56,43,382,22.5,8.9,2,3,164,9.6,2026
Quinshon Judkins,22,22,RB,RB,CLE,28878286,17,277,974,3.5,10,52,37,244,14.4,6.6,0,1,163,9.6,2026
David Montgomery,23,23,RB,RB,HOU,2261252,17,264,1014,3.8,9,31,27,214,12.6,7.9,0,2,155,9.1,2026
