name,Rank,source_rank,position,source_position,team,source_player_id,games_played,rush_attempts,rush_yards,rush_average,rush_touchdowns,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Jadarian Price,24,24,RB,RB,SEA,28875230,17,229,977,4.3,8,27,20,222,13.1,11.1,1,3,152,8.9,2026
MarShawn Lloyd,25,25,RB,RB,GB,3162514,17,244,1020,4.2,8,17,13,131,7.7,10.1,1,3,148,8.7,2026
J.K. Dobbins,26,26,RB,RB,DEN,2804420,17,248,1135,4.6,7,26,21,77,4.5,3.7,0,1,147,8.6,2026
Rico Dowdle,27,28,RB,RB,PIT,2252798,17,191,834,4.4,7,46,36,252,14.8,7,1,1,137,8.1,2026
Jaylen Warren,28,27,RB,RB,PIT,3126535,17,194,836,4.3,5,46,40,316,18.6,7.9,2,1,137,8.1,2026
Rhamondre Stevenson,29,29,RB,RB,NE,3125832,17,173,706,4.1,7,40,34,334,19.6,9.8,2,3,135,7.9,2026
TreVeyon Henderson,30,30,RB,RB,NE,26699547,16,177,836,4.7,7,38,31,196,12.3,6.3,1,1,134,8.4,2026
Tony Pollard,31,31,RB,RB,TEN,2184011,17,226,989,4.4,6,43,34,214,12.6,6.3,0,3,133,7.8,2026
Chuba Hubbard,32,32,RB,RB,CAR,2865693,17,177,764,4.3,6,45,34,225,13.2,6.6,3,2,132,7.8,2026
R. Harvey,33,33,RB,RB,DEN,3121207,17,149,529,3.6,6,56,45,331,19.5,7.4,4,1,128,7.5,2026
Jordan Mason,34,34,RB,RB,MIN,2967536,17,195,910,4.7,7,21,18,82,4.8,4.6,0,1,126,7.4,2026
Jonathon Brooks,35,35,RB,RB,CAR,26730706,17,208,847,4.1,6,29,23,202,11.9,8.8,1,2,125,7.4,2026
Jacory Croskey-Merritt,36,36,RB,RB,WAS,3126952,17,179,859,4.8,8,13,9,71,4.2,7.9,0,2,125,7.4,2026
Kyle Monangai,37,37,RB,RB,CHI,3177368,17,206,853,4.1,5,37,23,206,12.1,9,0,1,119,7,2026
Blake Corum,38,38,RB,RB,LAR,3169252,17,175,886,5.1,6,8,6,36,2.1,6,0,1,116,6.8,2026
Kenneth Gainwell,39,39,RB,RB,TB,2968948,17,123,535,4.4,4,71,60,438,25.8,7.3,2,1,115,6.8,2026
Rachaad White,40,40,RB,RB,WAS,3169147,17,145,710,4.9,6,28,25,167,9.8,6.7,1,1,110,6.5,2026
Chris Rodriguez Jr.,41,41,RB,RB,JAC,2964667,17,177,694,3.9,8,3,2,23,1.4,11.5,0,1,108,6.4,2026
Aaron Jones,42,42,RB,RB,MIN,2071937,17,158,665,4.2,3,53,38,292,17.2,7.7,2,1,107,6.3,2026
Mike Washington Jr.,43,44,RB,RB,LV,26693539,17,164,611,3.7,4,36,28,232,13.6,8.3,1,2,93,5.5,2026
Woody Marks,44,43,RB,RB,HOU,3171045,17,150,562,3.8,3,32,21,179,10.5,8.5,3,1,93,5.5,2026
Josh Jacobs,45,45,RB,RB,GB,2257876,14,128,506,4,6,27,21,171,12.2,8.1,1,1,91,6.5,2026
Kaelon Black,46,46,RB,RB,SF,3162599,17,152,594,3.9,5,17,13,126,7.4,9.7,1,2,87,5.1,2026
Tank Bigsby,47,47,RB,RB,PHI,3162021,17,126,651,5.2,5,6,4,36,2.1,9,0,1,85,5,2026
Jordan James,48,48,RB,RB,SF,28916212,17,126,494,3.9,4,31,24,232,13.6,9.7,1,2,82,4.8,2026
Tyjae Spears,49,49,RB,RB,TEN,3122588,17,92,347,3.8,4,56,50,327,19.2,6.5,1,1,79,4.6,2026
Braelon Allen,50,50,RB,RB,NYJ,26726580,17,123,499,4.1,5,20,14,103,6.1,7.4,1,3,75,4.4,2026
Dylan Sampson,51,51,RB,RB,CLE,28912068,17,105,289,2.8,2,53,44,352,20.7,8,3,2,74,4.4,2026
Zach Charbonnet,52,52,RB,RB,SEA,3123810,13,113,449,4,6,20,16,129,9.9,8.1,0,1,73,5.6,2026
Malik Davis,53,53,RB,RB,DAL,2773009,17,115,553,4.8,4,17,9,75,4.4,8.3,0,1,72,4.2,2026
Brian Robinson Jr.,54,54,RB,RB,ATL,2741207,17,119,528,4.4,4,6,4,23,1.4,5.8,0,1,69,4.1,2026
Tyler Allgeier,55,55,RB,RB,ARI,2975590,17,129,455,3.5,5,18,16,97,5.7,6.1,0,1,68,4,2026
Justice Hill,56,56,RB,RB,BAL,2250388,17,64,325,5.1,3,32,26,218,12.8,8.4,2,0,67,3.9,2026
Tyrone Tracy Jr.,57,57,RB,RB,NYG,2963637,17,123,523,4.3,2,25,19,146,8.6,7.7,1,1,66,3.9,2026
T. Johnson,58,58,RB,RB,BUF,2179323,17,53,225,4.3,2,33,24,280,16.5,11.7,3,0,64,3.8,2026
George Holani,59,59,RB,RB,SEA,3131661,17,143,509,3.6,5,15,13,109,6.4,8.4,0,6,63,3.7,2026
Alvin Kamara,60,60,RB,RB,NO,2082721,16,111,422,3.8,3,35,28,205,12.8,7.3,0,1,62,3.9,2026
Christopher Brooks,61,61,RB,RB,GB,2962350,17,118,535,4.5,2,17,13,92,5.4,7.1,0,1,60,3.5,2026
Samaje Perine,62,62,RB,RB,CIN,2131148,17,96,444,4.6,4,22,17,132,7.8,7.8,0,3,59,3.5,2026
Emanuel Wilson,63,63,RB,RB,SEA,29104952,17,107,442,4.1,3,15,13,87,5.1,6.7,0,0,58,3.4,2026
Isiah Pacheco,64,64,RB,RB,DET,2966551,13,113,473,4.2,2,27,20,119,9.2,6,1,1,58,4.5,2026
Keaton Mitchell,65,65,RB,RB,LAC,3164710,17,108,476,4.4,2,14,11,72,4.2,6.6,0,1,52,3.1,2026
Najee Harris,66,66,RB,RB,NYG,2741200,17,80,352,4.4,3,12,10,78,4.6,7.8,0,0,48,2.8,2026
Kimani Vidal,67,67,RB,RB,LAC,3163421,17,87,335,3.9,2,22,16,145,8.5,9.1,1,0,48,2.8,2026
Adam Randall,68,68,RB,RB,BAL,28878514,13,62,339,5.5,2,17,13,141,10.8,10.9,1,1,47,3.6,2026
Jaylen Wright,69,69,RB,RB,MIA,26698774,17,104,384,3.7,2,12,7,49,2.9,7,0,2,39,2.3,2026
Brashard Smith,70,70,RB,RB,KC,26694196,17,53,188,3.6,1,30,21,142,8.4,6.8,1,0,30,1.8,2026
Kyle Juszczyk,71,71,RB,FB,SF,1683145,17,4,2,0.5,0,33,27,254,14.9,9.4,2,0,28,1.6,2026
Roschon Johnson,72,72,RB,RB,CHI,3121395,17,34,116,3.4,3,3,3,18,1.1,6,0,0,23,1.4,2026
LeQuint Allen,73,73,RB,RB,JAC,28877884,17,56,218,3.9,1,9,9,50,2.9,5.6,0,0,20,1.2,2026
Seth McGowan,74,74,RB,RB,IND,3161581,17,32,141,4.4,2,3,2,25,1.5,12.5,0,0,19,1.1,2026
Isaiah Davis,75,75,RB,RB,NYJ,26718641,17,31,171,5.5,1,9,7,61,3.6,8.7,0,0,18,1.1,2026
Sean Tucker,76,76,RB,RB,TB,3168416,17,35,145,4.1,2,1,1,6,0.4,6,0,0,18,1.1,2026
Kaytron Allen,77,77,RB,RB,WAS,28875485,17,35,171,4.9,1,3,2,22,1.3,11,0,0,17,1,2026
Corey Kiner,78,78,RB,RB,NE,26698879,17,36,158,4.4,1,4,3,26,1.5,8.7,0,0,14,0.8,2026
Emari Demercado,79,79,RB,RB,DAL,2964372,17,32,206,6.4,0,7,5,41,2.4,8.2,0,0,14,0.8,2026
Michael Burton,80,83,RB,FB,CLE,1759407,17,9,10,1.1,1,8,6,40,2.4,6.7,1,0,13,0.8,2026
Andrew Beck,81,80,RB,FB,NYJ,2131774,17,1,8,8,0,7,5,35,2.1,7,2,0,13,0.8,2026
A. Dillon,82,81,RB,RB,CAR,2867083,17,30,139,4.6,1,4,3,24,1.4,8,0,0,13,0.8,2026
Jacob Saylors,83,82,RB,RB,DET,2976071,17,29,136,4.7,1,5,4,40,2.4,10,0,0,13,0.8,2026
Audric Estime,84,86,RB,RB,NO,26713577,17,30,122,4.1,1,3,3,24,1.4,8,0,0,12,0.7,2026
Emmett Johnson,85,87,RB,RB,KC,28877097,17,30,127,4.2,1,3,2,23,1.4,11.5,0,0,12,0.7,2026
Jonah Coleman,86,85,RB,RB,DEN,28877250,17,32,134,4.2,1,3,3,23,1.4,7.7,0,0,12,0.7,2026
Demond Claiborne,87,84,RB,RB,MIN,28883197,17,29,134,4.6,1,3,2,21,1.2,10.5,0,0,12,0.7,2026
Ameer Abdullah,88,89,RB,RB,JAC,1824308,17,17,71,4.2,1,9,8,56,3.3,7,0,0,11,0.6,2026
Devin Singletary,89,93,RB,RB,NYG,2241251,17,35,130,3.7,1,1,1,10,0.6,10,0,0,11,0.6,2026
Kene Nwangwu,90,96,RB,RB,NYJ,2261254,17,31,132,4.3,1,1,0,4,0.2,0,0,0,11,0.6,2026
D. Giddens,91,94,RB,RB,IND,26695679,17,32,133,4.2,1,1,1,11,0.6,11,0,0,11,0.6,2026
Raheim Sanders,92,95,RB,RB,CLE,26700087,17,29,108,3.7,1,3,2,17,1,8.5,0,0,11,0.6,2026
Nicholas Singleton,93,92,RB,RB,TEN,28876754,17,25,103,4.1,1,3,2,21,1.2,10.5,0,0,11,0.6,2026
Eli Heidenreich,94,90,RB,RB,PIT,28901170,17,29,117,4,1,3,2,21,1.2,10.5,0,0,11,0.6,2026
Zonovan Knight,95,88,RB,RB,ARI,3121860,17,26,86,3.3,1,3,3,20,1.2,6.7,0,0,11,0.6,2026
Kendre Miller,96,91,RB,RB,NO,3162256,17,32,127,4,1,2,2,11,0.6,5.5,0,0,11,0.6,2026
Isaac Guerendo,97,97,RB,RB,SF,2964154,13,25,122,4.9,1,3,3,29,2.2,9.7,0,0,10,0.8,2026
Ollie Gordon II,98,98,RB,RB,MIA,28873887,17,31,80,2.6,1,1,1,4,0.2,4,0,0,9,0.5,2026
Rasheen Ali,99,99,RB,RB,BAL,3168797,17,13,47,3.6,0,9,7,53,3.1,7.6,1,0,9,0.5,2026
Ray Davis,100,100,RB,RB,BUF,3123108,17,37,163,4.4,0,2,2,18,1.1,9,0,0,8,0.5,2026
