name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,rush_attempts,rush_yards,rush_average,rush_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Puka Nacua,1,1,WR,WR,LAR,3121687,17,178,130,1702,100.1,13.1,9,15,108,7.2,2,1,231,13.6,2026
Jaxon Smith-Njigba,2,2,WR,WR,SEA,3162959,17,154,111,1614,94.9,14.5,12,7,36,5.1,0,1,223,13.1,2026
Ja'Marr Chase,3,3,WR,WR,CIN,2966320,17,187,128,1553,91.4,12.1,10,3,19,6.3,0,1,207,12.2,2026
Amon-Ra St. Brown,4,4,WR,WR,DET,2967690,17,162,115,1370,80.6,11.9,11,3,8,2.7,0,0,195,11.5,2026
George Pickens,5,5,WR,WR,DAL,3123212,17,142,93,1384,81.4,14.9,10,1,-1,-1,0,0,191,11.2,2026
Rashee Rice,6,6,WR,WR,KC,3124978,17,150,104,1049,61.7,10.1,13,9,35,3.9,2,0,188,11.1,2026
Drake London,7,7,WR,WR,ATL,3127902,17,153,94,1257,73.9,13.4,12,0,0,0,0,1,187,11,2026
A.J. Brown,8,8,WR,WR,NE,2258303,17,143,91,1326,78,14.6,9,0,0,0,0,0,178,10.5,2026
Nico Collins,9,10,WR,WR,HOU,2878193,17,134,82,1247,73.4,15.2,9,2,13,6.5,1,1,175,10.3,2026
Chris Olave,10,9,WR,WR,NO,2963666,17,152,99,1238,72.8,12.5,10,1,0,0,0,0,175,10.3,2026
Malik Nabers,11,12,WR,WR,NYG,26697761,17,135,80,1034,60.8,12.9,11,4,2,0.5,0,0,161,9.5,2026
Tee Higgins,12,11,WR,WR,CIN,2809208,17,119,74,1035,60.9,14,11,0,0,0,0,0,161,9.5,2026
CeeDee Lamb,13,14,WR,WR,DAL,2865251,17,156,101,1331,78.3,13.2,6,5,25,5,0,0,161,9.5,2026
Zay Flowers,14,13,WR,WR,BAL,3127049,17,117,83,1183,69.6,14.3,8,10,60,6,1,2,161,9.5,2026
Justin Jefferson,15,15,WR,WR,MIN,2871343,17,147,90,1271,74.8,14.1,6,2,6,3,0,0,154,9.1,2026
Tetairoa McMillan,16,16,WR,WR,CAR,28877124,17,141,82,1172,68.9,14.3,8,0,0,0,0,1,153,9,2026
Alec Pierce,17,17,WR,WR,IND,2965664,17,89,49,1067,62.8,21.8,9,0,0,0,0,0,152,8.9,2026
Emeka Egbuka,18,18,WR,WR,TB,26696165,17,143,72,1118,65.8,15.5,8,2,10,5,0,0,151,8.9,2026
Jameson Williams,19,19,WR,WR,DET,3125968,17,98,63,1083,63.7,17.2,7,7,39,5.6,1,0,149,8.8,2026
Terry McLaurin,20,20,WR,WR,WAS,2139279,17,98,64,925,54.4,14.5,10,1,1,1,0,0,144,8.5,2026
DeVonta Smith,21,21,WR,WR,PHI,2866975,17,126,90,1158,68.1,12.9,6,0,0,0,0,0,143,8.4,2026
Garrett Wilson,22,22,WR,WR,NYJ,3123864,17,141,89,956,56.2,10.7,9,1,2,2,0,1,139,8.2,2026
Davante Adams,23,23,WR,WR,LAR,1893167,17,129,69,851,50.1,12.3,10,0,0,0,0,0,138,8.1,2026
Christian Watson,24,24,WR,WR,GB,2869806,17,88,53,905,53.2,17.1,9,3,13,4.3,0,0,137,8.1,2026
Ladd McConkey,25,25,WR,WR,LAC,3163962,17,126,82,1032,60.7,12.6,7,0,0,0,0,0,137,8.1,2026
Luther Burden III,26,26,WR,WR,CHI,28874444,17,101,72,1056,62.1,14.7,6,8,32,4,0,0,135,7.9,2026
Rome Odunze,27,27,WR,WR,CHI,3162979,17,125,63,916,53.9,14.5,8,1,4,4,0,0,131,7.7,2026
Marvin Harrison Jr.,28,29,WR,WR,ARI,26701883,17,119,66,952,56,14.4,7,0,0,0,0,0,129,7.6,2026
Brian Thomas Jr.,29,28,WR,WR,JAC,3132164,17,106,61,941,55.4,15.4,6,4,30,7.5,1,0,129,7.6,2026
D. Moore,30,30,WR,WR,BUF,2179328,17,109,69,813,47.8,11.8,8,16,81,5.1,1,1,127,7.5,2026
Jaylen Waddle,31,31,WR,WR,DEN,2962110,17,114,75,996,58.6,13.3,6,3,25,8.3,0,0,127,7.5,2026
Parker Washington,32,32,WR,WR,JAC,3168820,17,101,62,924,54.4,14.9,7,7,2,0.3,0,0,126,7.4,2026
Courtland Sutton,33,33,WR,WR,DEN,2218461,17,118,70,911,53.6,13,7,0,0,0,0,0,125,7.4,2026
Mike Evans,34,34,WR,WR,SF,1824909,17,121,69,899,52.9,13,7,0,0,0,0,0,123,7.2,2026
D. Metcalf,35,35,WR,WR,PIT,2260185,17,103,61,891,52.4,14.6,6,2,10,5,1,0,123,7.2,2026
Quentin Johnston,36,36,WR,WR,LAC,3162609,17,98,58,784,46.1,13.5,9,3,7,2.3,0,1,122,7.2,2026
Chris Godwin,37,38,WR,WR,TB,2818150,17,108,75,841,49.5,11.2,6,1,1,1,0,0,111,6.5,2026
Michael Wilson,38,39,WR,WR,ARI,2965181,17,106,66,837,49.2,12.7,6,0,2,0,0,0,111,6.5,2026
Jordan Addison,39,37,WR,WR,MIN,3162290,17,89,50,737,43.4,14.7,6,3,78,26,1,0,111,6.5,2026
Romeo Doubs,40,40,WR,WR,NE,2961886,17,93,61,809,47.6,13.3,6,0,0,0,0,0,108,6.4,2026
Rashid Shaheed,41,41,WR,WR,SEA,2250863,17,96,57,863,50.8,15.1,4,13,91,7,0,1,104,6.1,2026
De'Zhaun Stribling,42,42,WR,WR,SF,26696676,17,97,60,860,50.6,14.3,5,3,13,4.3,0,2,104,6.1,2026
Jakobi Meyers,43,43,WR,WR,JAC,2183835,17,102,68,814,47.9,12,5,4,17,4.3,0,1,101,5.9,2026
Calvin Ridley,44,44,WR,WR,TEN,2186328,17,99,50,846,49.8,16.9,3,3,23,7.7,1,0,100,5.9,2026
Jalen Coker,45,45,WR,WR,CAR,3163990,17,79,59,746,43.9,12.6,6,0,0,0,0,1,100,5.9,2026
Jayden Reed,46,46,WR,WR,GB,2967762,17,77,59,702,41.3,11.9,5,18,152,8.4,0,0,99,5.8,2026
Rashod Bateman,47,47,WR,WR,BAL,2960940,17,72,40,583,34.3,14.6,8,0,0,0,0,0,98,5.8,2026
Ja'Kobi Lane,48,48,WR,WR,BAL,29158151,17,71,44,653,38.4,14.8,7,3,17,5.7,0,1,97,5.7,2026
Josh Downs,49,49,WR,WR,IND,3162970,17,103,69,711,41.8,10.3,6,2,2,1,0,1,97,5.7,2026
Deebo Samuel,50,50,WR,WR,SF,2139735,17,93,66,653,38.4,9.9,5,36,115,3.2,1,0,96,5.6,2026
Jauan Jennings,51,53,WR,WR,MIN,2180514,17,83,51,630,37.1,12.4,7,0,0,0,0,1,95,5.6,2026
Jerry Jeudy,52,52,WR,WR,CLE,2741201,17,128,66,830,48.8,12.6,4,1,4,4,0,1,95,5.6,2026
K. Concepcion,53,51,WR,WR,CLE,29123718,17,111,69,847,49.8,12.3,4,2,10,5,0,2,95,5.6,2026
Michael Pittman,54,56,WR,WR,PIT,2240188,17,111,77,677,39.8,8.8,6,0,0,0,0,0,94,5.5,2026
Matthew Golden,55,54,WR,WR,GB,28874927,17,77,52,751,44.2,14.4,4,14,68,4.9,0,0,94,5.5,2026
Wan'Dale Robinson,56,55,WR,WR,TEN,3124107,17,127,84,796,46.8,9.5,4,2,6,3,0,0,94,5.5,2026
Stefon Diggs,57,57,WR,WR,WAS,2000038,17,85,68,748,44,11,4,1,2,2,0,0,91,5.4,2026
Xavier Worthy,58,58,WR,WR,KC,26730787,17,88,53,642,37.8,12.1,4,23,152,6.6,1,0,91,5.4,2026
Denzel Boston,59,59,WR,WR,CLE,28875368,17,103,63,782,46,12.4,4,2,10,5,0,2,90,5.3,2026
Carnell Tate,60,60,WR,WR,TEN,29124411,17,91,56,771,45.4,13.8,4,2,9,4.5,0,2,89,5.2,2026
Keenan Allen,61,61,WR,WR,IND,1737096,17,99,62,675,39.7,10.9,5,0,0,0,0,0,88,5.2,2026
Makai Lemon,62,63,WR,WR,PHI,29123772,17,87,53,738,43.4,13.9,4,3,13,4.3,0,2,86,5.1,2026
Kayshon Boutte,63,62,WR,WR,HOU,3163170,17,61,39,590,34.7,15.1,6,0,0,0,0,0,86,5.1,2026
Elic Ayomanor,64,64,WR,WR,TEN,28900714,17,84,42,569,33.5,13.6,6,0,0,0,0,0,85,5,2026
Tre Tucker,65,65,WR,WR,LV,3121848,17,85,52,605,35.6,11.6,5,12,52,4.3,0,0,84,4.9,2026
Cooper Kupp,66,66,WR,WR,SEA,2006951,17,85,57,696,40.9,12.2,4,1,3,3,0,1,83,4.9,2026
Jalen Nailor,67,67,WR,WR,LV,2967232,17,76,43,568,33.4,13.2,5,2,7,3.5,0,0,79,4.6,2026
Troy Franklin,68,70,WR,WR,DEN,26693436,17,92,56,590,34.7,10.5,5,4,11,2.8,0,1,78,4.6,2026
Khalil Shakir,69,68,WR,WR,BUF,2969119,17,85,67,646,38,9.6,4,1,4,4,0,1,78,4.6,2026
Jalen McMillan,70,69,WR,WR,TB,3162347,17,66,46,624,36.7,13.6,4,5,29,5.8,0,0,78,4.6,2026
Bryce Lance,71,71,WR,WR,NO,26725855,17,86,53,707,41.6,13.3,3,2,10,5,0,2,77,4.5,2026
Marquise Brown,72,72,WR,WR,PHI,2804128,17,69,44,548,32.2,12.5,5,0,0,0,0,0,77,4.5,2026
Antonio Williams,73,73,WR,WR,WAS,28877974,17,73,45,648,38.1,14.4,4,3,15,5,0,2,76,4.5,2026
Tory Horton,74,74,WR,WR,SEA,3165177,17,64,39,502,29.5,12.9,6,1,6,6,0,1,75,4.4,2026
Devaughn Vele,75,75,WR,WR,NO,3121113,17,68,45,589,34.6,13.1,4,0,0,0,0,0,74,4.4,2026
Tyquan Thornton,76,76,WR,WR,KC,2965066,17,52,27,574,33.8,21.3,4,0,0,0,0,0,73,4.3,2026
Chris Bell,77,77,WR,WR,MIA,28877196,17,76,47,583,34.3,12.4,4,2,11,5.5,0,1,72,4.2,2026
Chimere Dike,78,78,WR,WR,TEN,3162452,17,70,45,430,25.3,9.6,6,10,17,1.7,0,1,70,4.1,2026
Jordyn Tyson,79,79,WR,WR,NO,28900885,13,67,42,593,45.6,14.1,3,2,8,4,0,1,66,5.1,2026
Omar Cooper Jr.,80,80,WR,WR,NYJ,28900921,17,72,44,521,30.6,11.8,4,2,13,6.5,0,1,66,3.9,2026
Jahdae Walker,81,81,WR,WR,CHI,29174299,17,52,32,430,25.3,13.4,5,1,7,7,0,0,65,3.8,2026
Darius Slayton,82,82,WR,WR,NYG,2183982,17,72,42,612,36,14.6,2,1,5,5,0,1,63,3.7,2026
Malik Benson,83,83,WR,WR,LV,29121426,17,77,47,551,32.4,11.7,3,2,8,4,0,1,63,3.7,2026
Isaac TeSlaa,84,85,WR,WR,DET,29122587,17,46,27,404,23.8,15,5,0,0,0,0,0,62,3.6,2026
Xavier Hutchinson,85,84,WR,WR,HOU,3161943,17,78,43,515,30.3,12,3,2,16,8,0,0,62,3.6,2026
Ashton Dulin,86,86,WR,WR,IND,3116796,17,49,25,550,32.4,22,2,6,66,11,0,0,61,3.6,2026
Jaylin Noel,87,88,WR,WR,HOU,26697286,17,57,40,456,26.8,11.4,4,6,13,2.2,0,0,60,3.5,2026
Germie Bernard,88,87,WR,WR,PIT,28878358,17,68,42,511,30.1,12.2,3,2,10,5,0,1,60,3.5,2026
Christian Kirk,89,89,WR,WR,SF,2180820,13,74,42,485,37.3,11.6,3,0,0,0,0,0,58,4.5,2026
Tank Dell,90,90,WR,WR,HOU,2963970,13,60,38,483,37.2,12.7,3,9,40,4.4,0,0,58,4.5,2026
Demarcus Robinson,91,92,WR,WR,SF,2061095,17,53,32,464,27.3,14.5,3,1,5,5,0,0,56,3.3,2026
Andrei Iosivas,92,91,WR,WR,CIN,2966908,17,62,35,471,27.7,13.5,3,3,11,3.7,0,0,56,3.3,2026
Adonai Mitchell,93,93,WR,WR,NYJ,26701928,17,77,38,481,28.3,12.7,3,2,-1,-0.5,0,1,55,3.2,2026
Ted Hurst,94,94,WR,WR,TB,29421796,17,57,35,484,28.5,13.8,3,2,13,6.5,0,1,55,3.2,2026
Luke McCaffrey,95,95,WR,WR,WAS,3121502,17,30,22,362,21.3,16.5,4,0,0,0,0,0,53,3.1,2026
Malik Washington,96,96,WR,WR,MIA,3124729,17,65,46,350,20.6,7.6,3,14,83,5.9,1,1,52,3.1,2026
Josh Palmer,97,97,WR,WR,BUF,2867325,17,58,35,478,28.1,13.7,2,0,0,0,0,0,51,3,2026
Caleb Douglas,98,98,WR,WR,MIA,28900321,17,57,35,434,25.5,12.4,3,2,11,5.5,0,1,51,3,2026
Zavion Thomas,99,100,WR,WR,CHI,28909795,17,54,34,456,26.8,13.4,3,3,13,4.3,0,2,50,2.9,2026
Dontayvion Wicks,100,99,WR,WR,PHI,3122375,17,64,38,401,23.6,10.6,3,1,5,5,0,0,50,2.9,2026
